"?column?","word_rating"
"stepmother",1617763
"spouse",1472268
"family",1402033
"stepson",1338321
"stepdaughter",1263808
"husband",1136633
"son",1131536
"ex-wife",1058437
"orphan",1053169
"niece",979185
"sibling",934945
"nephew",891298
"stepparent",870022
"arm",804189
"brown",793749
"hot pink",792406
"peach",791154
"light-pink",775822
"stepfather",769534
"granddaughter",766791
"sister",758283
"camp",745573
"green",740763
"ex-husband",736098
"hope",733529
"smile",731080
"disgustedly",728325
"towel",727248
"aunt",726590
"switch",725103
"light-orange",715511
"grandson",713458
"black",711506
"great-grandfather",691051
"pillow",690106
"I",684403
"half-sister",683098
"wall",665219
"cereal",663738
"yellow",643666
"cousin",636502
"uncle",636078
"happy",632688
"neck",619721
"chocolate",616113
"daughter",612655
"limb",610448
"life",610291
"put",609767
"sepia",607807
"white",602270
"cause",600740
"grandmother",600200
"carpet",596495
"word",595903
"bright green",591726
"produce",588106
"bath",584955
"call",582694
"blue",580637
"snow-white",576873
"red",574166
"good",574115
"dizzy",573648
"pigeon pair",571804
"country",571405
"love",568124
"wife",567103
"brother",563172
"thrill",561789
"immersion heater",561560
"car",560621
"broom",560559
"silver",559316
"she",558731
"youngster",556983
"cheek",554389
"napkin",553214
"honeymoon",552704
"impatient",552474
"fill",552456
"great-grandmother",551026
"ashamed",550635
"gate",548415
"own",548099
"bathroom",542188
"idea",541989
"bulb",540138
"laundry basket",538856
"grandparent",531449
"bright",528513
"door",524792
"grandfather",524674
"school",523623
"light-brown",523592
"water",522456
"deep",521966
"think",516778
"blanket",516432
"hand",513424
"Sink",505074
"child",501443
"foot",500220
"dark green",497263
"balcony",497117
"dignity",491748
"irritation",491352
"revulsion",486795
"eat",485990
"conditioner",485571
"first-born",485539
"ankle",484751
"pink",482544
"pay",477018
"face",476331
"light-green",475713
"clever",474538
"want",471674
"through",471420
"anger",469583
"keep",469120
"eager",468328
"orange",468141
"hilarious",467015
"whole",466832
"it",464120
"gas",462571
"shelf",460227
"heart",457675
"entertainment",457469
"bread",457167
"caress",457076
"wealth",456665
"candle",456107
"saucer",454954
"block",454392
"inherit",451100
"answer",450941
"awkward",450643
"flat",449269
"pelvis",448702
"unripe",448446
"mouth",447730
"people",447657
"linen",446879
"time lapse",446791
"drink",446530
"start",446487
"boy",445144
"sing",443524
"great-aunt",443366
"let",443026
"hour",436274
"electric lighter",434963
"right",434782
"chocolate",434552
"time",434446
"eye",433962
"partner",432500
"vacuum cleaner",426646
"joy",424458
"match",423900
"change",420974
"know",420769
"saw",417857
"prank",415677
"socket",414334
"tree",410284
"radio",409161
"light",408759
"street",407835
"pie",406190
"year",404964
"advice",404624
"mean",404147
"help",403910
"shower stall",402675
"even",397031
"cousin",396780
"day",396304
"apathy",395939
"crockery",391989
"man",391841
"take",390461
"whatever",389297
"backbone",388458
"sheet",388144
"cemetery",388066
"woman",387908
"room",386418
"same",386289
"electricity",386253
"money",384793
"glue",384539
"kitchen",384486
"night lamp",384154
"rapture",383204
"each",382567
"let",382464
"table",381915
"mirror",380700
"morning",379863
"venison",379632
"bitter",379087
"wit",378311
"recommend",377835
"wife",376581
"break",375729
"badge",374815
"yoghurt",372024
"story",370809
"loud",369966
"minute",369566
"differ",369059
"house",368884
"lazy",368624
"week",368109
"opportunity",367868
"window",367506
"fact",367188
"apparel",366487
"parody",366232
"sun",363670
"silly",362979
"fly swatter",362423
"lead",358807
"circle",358689
"plenty",358272
"dining room",357340
"age",357082
"question",356418
"reach",354491
"attachment",354341
"brick",354007
"viral",353831
"embed",353350
"gradually",352705
"wash",352500
"wise",351160
"eventually",347847
"wacky",347692
"dignity",347506
"perfect",346893
"animal",346308
"conversation",346231
"buffet",346216
"girl",345913
"learn",345585
"lantern",345032
"better",344233
"share",344125
"quote",343619
"problem",343539
"poor",341874
"waitress",341504
"saucer",341289
"look",340046
"force",339172
"basket",338683
"may",335909
"pike",335744
"back",335648
"chance",334570
"stand",334209
"fail",333877
"far",333375
"increase",333040
"act",331830
"anxiety",331717
"add",331707
"learn",331323
"certain",330896
"paste",330861
"wide",328787
"rapture",327906
"nursery",327659
"down",326974
"avoid",325741
"work",325594
"new",325186
"guy",324757
"vase",323239
"instead",322953
"rapture",320996
"both",319561
"show",318924
"swab",318646
"enjoy",317688
"skull",316719
"television",316592
"native",315305
"close",314742
"enough",314730
"child",314721
"move",313617
"seek",313153
"able",312547
"make",311078
"kitten",310913
"napkin",310427
"inside",310033
"enthusiastic",308509
"branch",308187
"with",307917
"hairdryer",307313
"walk",307312
"fall",306113
"you",305594
"follow",305345
"croissant",302709
"much",302423
"vaudeville",302118
"warm",302088
"such",301422
