,word_id,word_value,lemma_id,definition,local_word,examples,definition_local,examples_local,word_rating
0,40876,the,40876,used before nouns to refer to particular things or people that have already been talked about or are already known,"опред. артикль, указывает на то, что предмет известен собеседнику","['Can you pass the salt?', ""I'll pick you up at the station."", ""That's the new restaurant I told you about.""]","используется перед существительными для обозначения конкретных вещей или людей, о которых уже говорили или которые уже известны","['Можете ли вы передать соль?', 'Я заеду за тобой на станцию.', 'Это новый ресторан, о котором я тебе рассказывал.']","опред. артикль, указывает на то, что предмет известен собеседнику"
1,40876,the,40876,used before nouns when only one of something exists,"опред. артикль, указывает на то, что предмет является единственным в своем роде","['Have you seen the Eiffel Tower?', ""I'd love to travel round the world.""]","используется перед существительными, когда существует только одно из чего-то","['Вы видели Эйфелеву башню?', 'Я хотел бы путешествовать по всему миру.']","опред. артикль, указывает на то, что предмет является единственным в своем роде"
2,40876,the,40876,used before a singular noun to refer to all the things or people described by that noun,"опред. артикль, указывает на то, что речь идет о классе однородных предметов",['The tiger has become extinct in many countries.'],"используется перед существительным единственного числа для обозначения всех вещей или людей, описанных этим существительным",['Тигр вымер во многих странах.'],"опред. артикль, указывает на то, что речь идет о классе однородных предметов"
3,40876,the,40876,used before some adjectives to make them into nouns,"опред. артикль, придает имени прилагательному значение имени существительного","['a home for the elderly', 'relatives of the deceased']","используется перед некоторыми прилагательными, чтобы превратить их в существительные","['дом для престарелых', 'родственники погибшего']","опред. артикль, придает имени прилагательному значение имени существительного"
4,40876,the,40876,used before each of two adjectives or adverbs to show how one thing changes depending on another,"чем …, тем","['The longer we live here, the more we like it.']","используется перед каждым из двух прилагательных или наречий, чтобы показать, как одна вещь меняется в зависимости от другой","['Чем дольше мы здесь живем, тем больше нам это нравится.']","чем …, тем"
5,40876,the,40876,used with units or measurements to mean each or every,"опред. артикль, употребляется с названиями единиц измерения, придает значение представителя определенного класса предметов",['How many US dollars to the pound?'],используемые с единицами измерения означает каждая или каждый,['Сколько долларов США в фунте стерлингов?'],"опред. артикль, употребляется с названиями единиц измерения, придает значение представителя определенного класса предметов"
6,40876,the,40876,used when referring to a part of the body,"опред. артикль, употребляется с названиями частей тела",['He held her tightly by the arm.'],используется при обращении к части тела,['Он крепко держал ее за руку.'],"опред. артикль, употребляется с названиями частей тела"
7,40876,the,40876,used before numbers that refer to dates or periods of time,"опред. артикль, употребляется с датами и периодами времени","['the sixties', 'Thursday the 29th of April']","используется перед числами, которые относятся к датам или периодам времени","['шестидесятые годы', 'Четверг, 29 апреля']","опред. артикль, употребляется с датами и периодами времени"
8,40876,the,40876,used with the names of musical instruments or dances to mean the type of instrument or dance in general,"опред. артикль, употребляется с названиями музыкальных инструментов и танцев",['Can you play the violin?'],"используется с названиями музыкальных инструментов или танцев, чтобы означать тип инструмента или танца в целом",['Ты умеешь играть на скрипке?'],"опред. артикль, употребляется с названиями музыкальных инструментов и танцев"
9,2890,and,2890,used to join two words or two parts of a sentence,"и, а","['tea and coffee', 'We were tired and hungry.']",используется для объединения двух слов или двух частей предложения,"['чай и кофе', 'Мы устали и проголодались.']","и, а"
