,word_list,local_word_sence,defin,example
0,go,"идти, ехать",to move or travel somewhere,"[""I'd love to go to America."", 'We went into the house.', 'Are you going by train?']"
1,go,"идти, ехать",to move or travel somewhere in order to do something,"[""Let's go for a walk."", ""We're going camping tomorrow.""]"
2,go,"исчезать, проходить",to disappear or no longer exist,['When I turned round the man had gone.']
3,go,"проходить, протекать хорошо/плохо и т. д.",to develop in a particular way,['My exams went really badly.']
4,go,оставаться (в каком-либо состоянии),to continue to be in a particular state,"[""We won't let anyone go hungry.""]"
5,go,"работать, функционировать",to work correctly,['Did you manage to get the car going?']
6,go,"пропадать, слабеть",to stop working correctly,"['Her hearing is going, so speak loudly.']"
7,go,"подходить, годиться","If two things go, they match each other.",['Any colour goes with jeans.']
8,go,"идти, проходить (о времени)","If time goes, it passes.",['The day went very quickly.']
9,go,"иметь мелодию или слова, звучать",to have a particular tune or words,"[""I can't remember how it goes.""]"
10,go,"издавать звук, двигаться определенным образом",to make a particular sound or movement,['My dog goes like this when he wants some food.']
11,go,попытка,an attempt to do something,"['I had a go at catching a fish.', ""If you think you might like skiing, why don't you give it a go (= try to do it)?""]"
12,go,очередь,someone's turn to do something,"[""Throw the dice Jane, it's your go.""]"
13,go,ругать кого-либо,to criticize someone angrily,"[""My mother's always having a go at me about my hair.""]"
14,go,добиваться успеха,"to try to make something succeed, usually by working hard",[]
15,report,"отчет, доклад",a description of an event or situation,"['a police report', 'an annual report on the economy']"
16,report,"дневник, табель успеваемости (школьника)",something teachers write about a child's progress at school for their parents,[]
17,report,"сообщать, описывать","to describe a recent event or situation, especially on television, radio, or in a newspaper","['Jo Smith reports on recent developments.', 'She reported that the situation had changed dramatically.', 'A woman outside the shop reported seeing the gun.']"
18,report,сообщать,"to tell someone in authority that something has happened, especially an accident or crime","['He should have reported the accident immediately.', 'Have you reported the fault to a technician?']"
19,report,"жаловаться, доносить",to complain about someone's behaviour to someone in authority.,"[""I'm going to report him to the police."", ""Duncan's been reported for smoking.""]"
20,drive,"водить машину, автобус, управлять поездом","to make a car, bus, or train move, and control what it does","[""She's learning to drive."", 'He drives a red sports car.']"
21,drive,"ехать на машине, везти кого-либо на машине","to travel somewhere in a car, or to take someone somewhere in a car",['My friend drove me home last night.']
22,drive,"вытеснять, выживать",to force someone to leave a place,['The supermarket has driven many small shops out of the area.']
23,drive,сводить кого-либо с ума,"to make someone feel crazy, annoyed, or excited",['That noise is driving me mad.']
24,drive,доводить кого-либо до чего-либо,to make someone have a bad feeling or do something bad,['The arguments and violence drove her to leave home.']
25,drive,"загонять, вбивать",to push something somewhere by hitting it hard,['He drove the nail into the wall with a hammer.']
26,drive,"руководить, управлять",to provide the power or energy that makes someone or something work,['She was driven by greed and ambition.']
27,drive,езда,a journey in a car,['The drive from Boston to New York took 4 hours.']
28,drive,подъездная дорога,the area of ground that you drive on to get from your house to the road,['You can park on the drive.']
29,drive,драйвер (компьютера),a part of a computer that can read or store information,"['a DVD drive', 'Save your work on the C drive.']"
30,drive,общественная кампания,a great effort to achieve something,['The government started a drive to improve standards in schools.']
31,drive,"напористость, энергия",energy and determination to achieve things,['She has drive and ambition.']
32,look,смотреть,to turn your eyes in the direction of something or someone so that you can see them,"['Look at the picture on page two.', 'He was looking out of the window.', 'I looked around and there she was.']"
33,look,искать,to try to find someone or something,"[""I'm looking for my keys."", ""I've looked everywhere but I can't find my bag.""]"
34,look,хорошо/странно и т. д. выглядеть,used to describe the appearance of a person or thing,"['That food looks nice.', 'You look tired, my love.', 'Do I look silly in this hat?', 'He looked like a drug addict.']"
35,look,"похоже, что …",used to say that something is likely to happen,"[""It looks like there'll be three of us."", ""It looks as if he isn't coming.""]"
36,look,"собираться, планировать сделать что-либо",to plan to do something,"[""I'm looking to start my own business.""]"
37,look,послушай!,something you say when you are annoyed and you want people to know that what you are saying is important,"[""Look, I've had enough of your complaints.""]"
38,look,взгляд,an act of looking at someone or something,"['Take a look at these pictures.', ""You've got your photos back - can I have a look?""]"
39,look,"посмотреть, поискать",to try to find something,"[""I've had a look in the drawer but I can't find your passport.""]"
40,look,выражение лица,an expression on someone's face,"['She had a worried look about her.', 'She gave me a questioning look.']"
41,look,"стиль, мода",a style or fashion,['the new look for the summer']
42,look,"вид, наружность",the appearance of someone or something,"[""I like the look of that new music programme they're advertising.""]"
43,look,внешность,"a person's appearance, especially how attractive they are",[]
44,feel,чувствовать,to experience an emotion or a physical feeling,"[""You shouldn't feel embarrassed about making a mistake."", 'I felt a sharp pain in my side when I stood up.', '""Are you feeling better?"" ""Yes, thanks, I feel fine now.""']"
45,feel,"казаться, давать ощущение","If you describe the way a place, situation, or object feels, you say how it seems to you, or what your experience of it is like.","['It felt strange to see him again after so long.', 'The house feels empty without the children.', 'This shirt feels tight under my arms.', ""I feel as if I've known you for ages.""]"
46,feel,чувствовать себя как кто-либо/каким-либо образом,"to seem to be similar to a type of person, thing, or situation","['My feet feel like blocks of ice.', 'I felt like a fool when I saw what everyone else was wearing.']"
47,feel,"считать, иметь мнение",to think something or have an opinion,"[""I feel that he's the best person for the job."", 'Do you feel strongly (= have strong opinions) about it?']"
48,feel,"трогать, щупать","to touch something, especially with your hands, in order to examine it",['He felt her ankle to see if it was broken.']
49,feel,хотеть чего-либо/сделать что-либо,"to want something, or want to do something","['I feel like some chocolate.', 'Jane felt like crying.']"
50,feel,"чувствовать, ощущать",to be aware of something,"['You could feel the tension in the room.', 'I could feel them watching me.']"
51,feel,"ощущение, дух","the way that something seems, or feels when you touch it","['I love the feel of silk against my skin.', 'His art has a very modern feel to it.']"
