,word,sence_id,definition,example,def_trans,ex_trans
0,go,0,a time for working (after which you will be relieved by someone else),"[""it's my go"", 'a spell of work']",,"[None, None]"
1,go,1,street names for methylenedioxymethamphetamine,[],,[]
2,go,2,a usually brief attempt,"['he took a crack at it', 'I gave it a whirl']",,"[None, None]"
3,go,3,a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters,[],,[]
4,go,4,"change location; move, travel, or proceed, also metaphorically","['How fast does your new car go?', 'We travelled from Rome to Naples by bus', 'The policemen went from door to door looking for the suspect', 'The soldiers moved towards the city in an attempt to take it before night fell', 'news travelled fast']",,"[None, None, None, None, None]"
5,go,5,follow a procedure or take a course,"['We should go farther in this matter', 'She went through a lot of trouble', 'go about the world in a certain manner', 'Messages must go through diplomatic channels']",,"[None, None, None, None]"
6,go,6,move away from a place into another direction,"['Go away before I start to cry', 'The train departs at noon']",,"[None, None]"
7,go,7,enter or assume a certain state or condition,"['He became annoyed when he heard the bad news', 'It must be getting more serious', 'her face went red with anger', 'She went into ecstasy', 'Get going!']",,"[None, None, None, None, None]"
8,go,8,be awarded; be allotted,"['The first prize goes to Mary', 'Her money went on clothes']",,"[None, None]"
9,go,9,have a particular form,"['the story or argument runs as follows', 'as the saying goes...']",,"[None, None]"
10,go,10,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point","['Service runs all the way to Cranbury', ""His knowledge doesn't go very far"", 'My memory extends back to my fourth year of life', 'The facts extend beyond a consideration of her personal assets']",,"[None, None, None, None]"
11,go,11,follow a certain course,"['The inauguration went well', 'how did your interview go?']",,"[None, None]"
12,go,12,be abolished or discarded,"['These ugly billboards have to go!', 'These luxuries all had to go under the Khmer Rouge']",,"[None, None]"
13,go,13,be or continue to be in a certain condition,['The children went hungry that day'],,[None]
14,go,14,make a certain noise or sound,"[""She went `Mmmmm'"", ""The gun went `bang'""]",,"[None, None]"
15,go,15,perform as expected when applied,"[""The washing machine won't go unless it's plugged in"", 'Does this old car still run well?', ""This old radio doesn't work anymore""]",,"[None, None, None]"
16,go,16,to be spent or finished,"['The money had gone after a few days', 'Gas is running low at the gas stations in the Midwest']",,"[None, None]"
17,go,17,progress by being changed,"['The speech has to go through several more drafts', 'run through your presentation before the meeting']",,"[None, None]"
18,go,18,continue to live through hardship or adversity,"['We went without water and food for 3 days', 'These superstitions survive in the backwaters of America', 'The race car driver lived through several very serious accidents', 'how long can a person last without food and water?']",,"[None, None, None, None]"
19,go,19,"pass, fare, or elapse; of a certain state of affairs or action","['How is it going?', 'The day went well until I got your call']",,"[None, None]"
20,go,20,pass from physical life and lose all bodily attributes and functions necessary to sustain life,"['She died from cancer', 'The children perished in the fire', 'The patient went peacefully', 'The old guy kicked the bucket at the age of 102']",,"[None, None, None, None]"
21,go,21,be in the right place or situation,"['Where do these books belong?', ""Let's put health care where it belongs--under the control of the government"", 'Where do these books go?']",,"[None, None, None]"
22,go,22,be ranked or compare,['This violinist is as good as Juilliard-trained violinists go'],,[None]
23,go,23,begin or set in motion,"['I start at eight in the morning', 'Ready, set, go!']",,"[None, None]"
24,go,24,have a turn; make one's move in a game,['Can I go now?'],,[None]
