,word,russian_word,local_word,examples,local_examples
0,for,для,pour,"['for the bank', 'for last month', 'for one year', 'for all tastes', 'for seven days', 'application for participation', 'for a moment', 'ready for operation', 'for this reason', 'ask for help']","['pour la banque', 'pour le mois dernier', 'pendant un an', 'pour tous les goûts', 'pendant sept jours', 'demande de participation', 'pour un moment', ""prêt pour l'opération"", 'pour cette raison', ""demander de l'aide""]"
1,for,ради,pour,['for god'],['pour dieu']
2,for,в течение,au cours de,[],[]
3,for,в отношении,à l'égard de,[],[]
4,for,для целей,à des fins,[],[]
5,for,ибо,car,[],[]
6,for,чтобы,pour,[],[]
7,before,до,avant,['before the war'],['avant la guerre']
8,before,впереди,en avant de,[],[]
9,before,пред,devant,[],[]
10,before,накануне,la veille,[],[]
11,before,передо,Peredo,[],[]
12,before,прежде,avant,[],[]
13,before,раньше,précédemment,['just before'],['juste avant']
14,before,до этого,auparavant,[],[]
15,before,в преддверии,sur le seuil,[],[]
16,before,до наступления,avant l'offensive,[],[]
17,before,прежде чем,avant,[],[]
18,before,прежде нежели,avant,[],[]
19,before,пока,au revoir,[],[]
20,adverb,наречие,adverbe,[],[]
21,during,в течение,au cours de,[],[]
22,during,во время,lors de,[],[]
23,during,в процессе,en voie de,[],[]
24,during,во,durant,['level during the period'],['niveau au cours de la période']
25,airport,аэропорт,aéroport,"['regional airport', 'airport shuttle bus', 'alternate airport']","[""l'aéroport régional de"", ""bus navette de l'aéroport"", 'autre aéroport']"
26,airport,авиапорт,aéroport,[],[]
27,airport,аэровокзал,aérogare,[],[]
28,airport,аэропортовый,aéroportuaire,['airport charge'],['redevance aéroportuaire']
29,exit,выход,sortie,['emergency exit doors'],['portes de sortie de secours']
30,exit,выезд,départ,['exit permit'],['permis de sortie']
31,exit,уход,soin,[],[]
32,exit,съезд,congrès,[],[]
33,exit,выйти,sortir,"['exit the church', 'exit the stage']","[""la sortie de l'église"", 'quitter la scène']"
34,exit,свернуть,rouler,[],[]
35,exit,выездной,de sortie,['exit visa'],['visa de sortie']
36,exit,выходной,congé,['exit pupil'],['la pupille de sortie']
37,drum,барабан,tambour,"['brake drum', 'big bass drum', 'metal drum']","['tambour de frein', 'big bass drum', 'tambour en métal']"
38,drum,барабанный бой,batterie,[],[]
39,drum,бочка,tonneau,[],[]
40,drum,барабанчик,Tambour,['little drum'],['petit tambour']
41,drum,барабанщик,batteur,[],[]
42,drum,бубен,tambourin,[],[]
43,drum,ударный инструмент,instrument à percussion,[],[]
44,drum,партия ударных,parti de percussions,[],[]
45,drum,барабанная перепонка,tympan,[],[]
46,drum,дробь,fraction,[],[]
47,drum,Бикс,Bix,[],[]
48,drum,барабанить,tambouriner,[],[]
