,word,local_word,pos,eng_handled
5674,bass Strait,пролив Басса,noun,False
5782,lemon tea,чай с лимоном,noun,False
5784,bronzed,бронзовый,adjective,False
5785,bronzed,загорелый,adjective,False
5824,very well,очень хорошо,adverb,False
5825,very well,ладно,adverb,False
5873,lime juice,лимонный сок,noun,False
5874,sources,исходный,adjective,False
5890,decades,многие десятилетия,noun,False
5907,flavoured tea,ароматизированный чай,noun,False
5921,pick axe,кирка,noun,False
5939,layer,слой,noun,False
5940,layer,наслоение,noun,False
5941,layer,несушка,noun,False
5942,layer,пленка,noun,False
5943,layer,уровень,noun,False
5944,layer,покрытие,noun,False
5945,layer,ярус,noun,False
5946,layer,наслаивать,verb,False
5947,layer,наслоить,verb,False
5948,layer,слоевой,adjective,False
5949,layer,слойный,adjective,False
5950,layer,пластовой,adjective,False
6000,spare parts,запчасти,noun,False
6001,augmenting,увеличение,noun,False
6002,augmenting,приумножение,noun,False
6003,augmenting,увеличивающийся,participle,False
6010,admitted,признанный,participle,False
6011,admitted,допущенный,participle,False
6012,admitted,принятый,participle,False
6013,admitted,допускаемый,participle,False
6014,admitted,поступивший,participle,False
6015,admitted,помещенный,participle,False
6016,admitted,признавшийся,participle,False
6017,admitted,общепризнанный,adjective,False
6018,admitted,принят,adjective,False
6019,admitted,допустимый,adjective,False
6027,piles,забивные сваи,noun,False
6214,failing,недостаток,noun,False
6215,failing,провал,noun,False
6216,failing,ошибка,noun,False
6217,failing,неумение,noun,False
6218,failing,провал попытки,noun,False
6219,failing,неудачный,adjective,False
6220,failing,неисправный,adjective,False
6221,failing,обанкротившийся,participle,False
6222,failing,подводящий,participle,False
6223,failing,в противном случае,adverb,False
6224,failing,в случае отсутствия,adverb,False
6308,chased,чеканный,adjective,False
6309,chased,изгнанный,participle,False
6396,distinguished,выдающийся,adjective,False
6397,distinguished,изысканный,adjective,False
6398,distinguished,известный,adjective,False
6399,distinguished,отличный,adjective,False
6400,distinguished,уважаемый,participle,False
6401,distinguished,заслуженный,participle,False
6402,distinguished,отличающийся,participle,False
6403,distinguished,отмеченный,participle,False
6404,distinguished,прославленный,participle,False
6405,distinguished,отличавший,participle,False
6430,closing,закрытие,noun,False
