,word,local_word,examples,local_examples
0,before,до,['before the war'],['до войны']
1,before,впереди,[],[]
2,before,пред,[],[]
3,before,накануне,[],[]
4,before,передо,[],[]
5,before,прежде,[],[]
6,before,раньше,['just before'],['немного раньше']
7,before,до этого,[],[]
8,before,в преддверии,[],[]
9,before,до наступления,[],[]
10,before,прежде чем,[],[]
11,before,прежде нежели,[],[]
12,before,пока,[],[]
13,adverb,наречие,[],[]
14,during,в течение,[],[]
15,during,во время,[],[]
16,during,в процессе,[],[]
17,during,во,['level during the period'],['уровень за период']
18,airport,аэропорт,"['regional airport', 'airport shuttle bus', 'alternate airport']","['региональный аэропорт', 'автобус до аэропорта', 'запасной аэродром']"
19,airport,авиапорт,[],[]
20,airport,аэровокзал,[],[]
21,airport,аэропортовый,['airport charge'],['аэропортовый сбор']
22,drum,барабан,"['brake drum', 'big bass drum', 'metal drum']","['тормозной барабан', 'большой барабан', 'металлический цилиндр']"
23,drum,барабанный бой,[],[]
24,drum,бочка,[],[]
25,drum,барабанчик,['little drum'],['маленький барабанчик']
26,drum,барабанщик,[],[]
27,drum,бубен,[],[]
28,drum,ударный инструмент,[],[]
29,drum,партия ударных,[],[]
30,drum,барабанная перепонка,[],[]
31,drum,дробь,[],[]
32,drum,Бикс,[],[]
33,drum,барабанить,[],[]
34,drum,ударный,"['drum kit', 'drum set']","['ударная установка', 'барабанная установка']"
35,empty,пустой,['empty run'],['порожний пробег']
36,empty,бессодержательный,[],[]
37,empty,пустынный,[],[]
38,empty,свободный,['empty seat'],['свободное место']
39,empty,голодный,['empty stomach'],['голодный желудок']
40,empty,опорожнять,['empty the bladder'],['опорожнить мочевой пузырь']
41,empty,пустеть,[],[]
42,empty,высыпать,[],[]
43,empty,очистить,[],[]
44,empty,пустота,['empty feeling'],['ощущение пустоты']
45,empty,опорожнение,[],[]
46,empty,пустышка,[],[]
47,empty,порожняк,[],[]
48,empty,пустующий,[],[]
49,empty,порожняком,[],[]
50,dressed,одетый,[],[]
51,dressed,облаченный,[],[]
52,dressed,заправленный,[],[]
53,dressed,выделанный,[],[]
54,dressed,украшенный,[],[]
55,dressed,обтесанный,[],[]
56,dressed,одеваемый,[],[]
57,dressed,одевший,[],[]
58,cafe,кофейня,[],[]
59,cafe,буфет,[],[]
60,cafe,кафе-ресторан,[],[]
61,flight,полет,"['flight control system', 'manned space flight', 'flight plan data', 'net flight path', 'flight safety level', 'connecting flight', 'nonstop flight', 'operational flight']","['система управления полетом', 'пилотируемый космический полет', 'данные плана полета', 'чистая траектория полета', 'уровень безопасности полетов', 'стыковочный рейс', 'беспосадочный перелет', 'боевой вылет']"
62,flight,стая,['flight of birds'],['стая птиц']
63,flight,бегство,"['capital flight', 'new flight']","['бегство капитала', 'новый побег']"
64,flight,пролет,['flight of stairs'],['пролет по лестнице']
65,flight,взлет,[],[]
66,flight,налет,[],[]
67,flight,облет,[],[]
68,flight,отлет,[],[]
69,flight,летный,"['flight crew member', 'flight test program', 'flight information region']","['член летного экипажа', 'программа летных испытаний', 'район полетной информации']"
70,flight,бортовой,[],[]
71,flight,взлетный,[],[]
72,flight,летать,[],[]
73,begin,начинать,"['begin negotiations', 'begin divorce proceedings', 'begin long', 'begin the search', 'begin work']","['начинать переговоры', 'начать бракоразводный процесс', 'начинаться задолго', 'приступить к поиску', 'приступать к работе']"
74,begin,наступить,[],[]
75,begin,пойти,[],[]
76,begin,положить начало,[],[]
