,word,local_word,pos,examples,local_examples
0,tomber,упасть,verb,"['branches tombées', 'tomber à terre', 'tomber victimes', 'tomber du flux']","['упавшие ветви', 'падать на землю', 'пасть жертвами', 'выпасть из потока']"
1,tomber,попасть,verb,['tomber en disgrâce'],['попадать в немилость']
2,tomber,опускать,verb,[],[]
3,tomber,опадать,verb,[],[]
4,tomber,положить,verb,[],[]
5,tomber,снижаться,verb,[],[]
6,tomber,приходиться,verb,[],[]
7,pénétrer,проникать,verb,['capable de pénétrer'],['способен проникать']
8,pénétrer,пронизывать,verb,[],[]
9,pénétrer,входить,verb,[],[]
10,pénétrer,пробраться,verb,[],[]
11,pénétrer,впитаться,verb,[],[]
12,pénétrer,вникнуть,verb,[],[]
13,pénétrer,внедриться,verb,[],[]
14,pénétrer,пробить,verb,[],[]
15,pénétrer,пролезать,verb,[],[]
16,pénétrer,пронять,verb,[],[]
17,complet,полный,adjective,"['refroidissement complet', 'un repas complet']","['полное охлаждение', 'полноценный обед']"
18,complet,всеобъемлющий,adjective,"['un programme complet', 'examens complets']","['всеобъемлющая программа', 'всесторонние рассмотрения']"
19,complet,комплектный,adjective,[],[]
20,complet,комплексный,adjective,['solutions complètes'],['комплексные решения']
21,complet,исчерпывающий,participle,[],[]
22,complet,завершенный,participle,[],[]
23,complet,укомплектованный,participle,[],[]
24,complet,заполненный,participle,[],[]
25,complet,полный комплект,noun,[],[]
26,complet,костюм,noun,[],[]
27,complet,пара,noun,[],[]
28,complet,традиционный завтрак,noun,[],[]
29,complet,тройка,noun,[],[]
30,lettré,просвещенный человек,noun,[],[]
31,lettré,ученый,noun,[],[]
32,lettré,начитанный,participle,[],[]
33,lettré,просвещенный,adjective,[],[]
34,tiré,вытянутый,participle,[],[]
35,tiré,оттянутый,participle,[],[]
36,tiré,притянутый,participle,[],[]
37,tiré,произведенный,participle,[],[]
38,tiré,обнаженный,participle,[],[]
39,tiré,выписанный,participle,[],[]
40,tiré,выстреленный,adjective,[],[]
41,tiré,отпечатанный,participle,[],[]
42,tiré,разливной,adjective,[],[]
43,tiré,осунувшийся,participle,[],[]
44,tiré,выстрел,noun,[],[]
45,tiré,трассат,noun,[],[]
46,tiré,трассант,noun,[],[]
47,tiré,банк-плательщик,noun,[],[]
48,tiré,подлесок,noun,[],[]
49,figurant,статист,noun,[],[]
50,figurant,фигурант,noun,[],[]
51,équiper,оборудовать,verb,"['bureau entièrement équipé', 'entièrement équipée']","['оборудованный офис', 'полностью оснащенная кухня']"
52,équiper,оснащать,verb,[],[]
53,équiper,экипировать,verb,[],[]
54,équiper,снарядить,verb,[],[]
55,équiper,наделить,verb,[],[]
56,équiper,собрать,verb,[],[]
57,exhaustivement,исчерпывающе,adverb,[],[]
58,ultérieurement,впоследствии,adverb,[],[]
59,ultérieurement,в дальнейшем,adverb,[],[]
60,convenir,согласовать,verb,[],[]
61,convenir,подходить,verb,[],[]
62,convenir,соответствовать,verb,[],[]
63,convenir,признать,verb,[],[]
64,convenir,устраивать,verb,[],[]
65,convenir,подобать,verb,[],[]
66,convenir,приличествовать,verb,[],[]
67,convenir,сговориться,verb,[],[]
68,convenir,идти,verb,[],[]
69,convenir,прийтись,verb,[],[]
70,convenir,допускать,verb,[],[]
71,convenir,пристать,verb,[],[]
72,réellement,фактически,adverb,"['réellement assurée', 'refléter réellement']","['фактически осуществляться', 'действительно отражать']"
73,réellement,собственно,adverb,[],[]
74,réellement,в самом деле,adverb,[],[]
75,réellement,впрямь,adverb,[],[]
76,devant,пред,preposition,"[""devant l'Éternel""]",['пред Господом']
77,devant,мимо,preposition,[],[]
78,devant,к,preposition,[],[]
79,devant,при,preposition,[],[]
80,devant,впереди,adverb,['devant moi'],['впереди меня']
81,devant,в присутствии,adverb,[],[]
82,devant,передняя часть,noun,[],[]
83,virer,лавировать,verb,[],[]
84,virer,уволить,verb,[],[]
85,virer,делать поворот,verb,[],[]
86,virer,переводить,verb,[],[]
87,virer,поворачивать,verb,[],[]
88,virer,поворачиваться,verb,[],[]
89,virer,тонировать,verb,[],[]
90,virer,убрать,verb,[],[]
91,virer,меняться,verb,[],[]
92,virer,развернуться,verb,[],[]
93,alcool,алкоголь,noun,['teneur en alcool'],['содержание алкоголя']
94,alcool,спирт,noun,['alcool isopropylique'],['изопропиловый спирт']
95,alcool,водка,noun,[],[]
96,alcool,крепкий напиток,noun,[],[]
97,histoire,история,noun,"['histoire contemporaine', 'écrit des histoires', 'histoires au coucher']","['современная история', 'писать рассказы', 'сказки на ночь']"
98,histoire,вещь,noun,[],[]
99,histoire,приключение,noun,[],[]
100,histoire,предание,noun,[],[]
101,histoire,случай,noun,[],[]
102,histoire,сложность,noun,[],[]
103,histoire,неприятность,noun,[],[]
104,aéronef,воздушное судно,noun,['des aéronefs civils'],['гражданские самолеты']
105,aéronef,ЛА,noun,[],[]
106,pile,батарейка,noun,"['nouvelle pile', 'pile usagée']","['новая батарейка', 'использованные батареи']"
107,pile,стопка,noun,"['hauteur de pile', 'pile de cadeaux']","['высота стопки', 'кучи подарков']"
108,pile,свая,noun,[],[]
109,pile,решка,noun,[],[]
110,pile,элемент,noun,[],[]
111,pile,фотоэлемент,noun,[],[]
112,pile,гальванический элемент,noun,[],[]
113,pile,поленница,noun,[],[]
114,pile,опора,noun,[],[]
115,pile,стопа,noun,[],[]
116,pile,чан,noun,[],[]
117,pile,решетка,noun,[],[]
118,pile,столб,noun,[],[]
119,pile,ровно,adverb,[],[]
120,pile,резко,adverb,[],[]
121,pilé,толченый,adjective,[],[]
122,unique,уникальный,adjective,"['un nom unique', 'atmosphère unique']","['уникальное имя', 'неповторимая атмосфера']"
123,unique,единый,adjective,"['marché unique', 'monnaie unique']","['единый рынок', 'общие валюты']"
124,unique,один,pronoun,['souris unique'],['один щелчок мыши']
125,unique,единственный,adjective,['solution unique'],['единственное решение']
126,unique,одиночный,adjective,"['unique mode simplex', 'doses uniques', 'un cas unique']","['одиночный режим', 'однократные дозы', 'единичный случай']"
127,unique,единородный,adjective,['fils unique'],['единородный сын']
128,unique,единовременный,adjective,['un paiement unique'],['единовременная выплата']
129,unique,несравненный,adjective,[],[]
130,unique,редкостный,adjective,[],[]
131,unique,чудной,adjective,[],[]
132,s'envoler,улететь,verb,[],[]
133,s'envoler,взлететь,verb,[],[]
134,s'envoler,слететь,verb,[],[]
135,s'envoler,отлететь,verb,[],[]
136,s'envoler,подниматься,verb,[],[]
137,s'envoler,ускользать,verb,[],[]
138,s'envoler,улетучиваться,verb,[],[]
139,s'envoler,разлететься,verb,[],[]
140,exposer,подвергать,verb,['exposer au danger'],['подвергать опасности']
141,exposer,выставить,verb,[],[]
142,exposer,выставляться,verb,[],[]
143,exposer,экспонировать,verb,[],[]
144,exposer,разоблачить,verb,[],[]
145,exposer,изложить,verb,['exposer ses vues'],['изложить свои взгляды']
146,exposer,подвергать воздействию,verb,[],[]
147,exposer,подвергать действию,verb,[],[]
148,exposer,предоставлять,verb,['exposer uniquement'],['предоставлять только']
149,exposer,облучать,verb,[],[]
150,locomotive,локомотив,noun,['locomotives diesel'],['дизельные локомотивы']
151,locomotive,паровозик,noun,[],[]
152,locomotive,движущая сила,noun,[],[]
153,locomotive,лидер,noun,[],[]
154,doigt,палец,noun,['pointer du doigt'],['указывать пальцем']
155,doigt,рычаг,noun,[],[]
156,doigt,штифт,noun,[],[]
157,doigt,упор,noun,[],[]
158,doigt,дюйм,noun,[],[]
159,doigt,отросток,noun,[],[]
160,siècle,век,noun,"['quart de siècle', 'fois par siècle']","['четверть века', 'раз в столетие']"
161,siècle,эпоха,noun,[],[]
162,siècle,мир,noun,[],[]
163,siècle,целый век,noun,[],[]
164,siècle,очень долгое время,noun,[],[]
165,bandeau,оголовье,noun,[],[]
166,bandeau,повязка,noun,[],[]
167,bandeau,заставка,noun,['faire un bandeau'],['сделать заставку']
168,bandeau,полоска,noun,[],[]
169,bandeau,пояс,noun,[],[]
170,bandeau,заголовок,noun,[],[]
171,bandeau,завеса,noun,[],[]
172,auparavant,ранее,adverb,['jamais vu auparavant'],['видеть прежде']
173,auparavant,до этого,adverb,[],[]
174,repas,завтрак,noun,['repas chaud'],['горячий обед']
175,repas,еда,noun,"['un repas gastronomique', 'chaque repas', 'repas gratuits']","['изысканная еда', 'каждый прием пищи', 'бесплатное питание']"
176,repas,трапеза,noun,['repas familial'],['семейная трапеза']
177,nettement,значительно,adverb,"['nettement plus élevés', 'nettement réduit']","['значительно более высокий', 'заметно снижаться']"
178,nettement,отчетливо,adverb,['nettement dominer'],['явно доминировать']
179,nettement,резко,adverb,[],[]
180,nettement,решительно,adverb,[],[]
181,nettement,чисто,adverb,[],[]
182,nettement,дочиста,adverb,[],[]
183,nettement,четко,adjective,['nettement définir'],['четко определенное']
184,nettement,прямо,adjective,[],[]
185,faculté,факультет,noun,['la faculté préparatoire'],['подготовительный факультет']
186,faculté,способность,noun,['les facultés mentales'],['умственные способности']
187,faculté,право,noun,['faculté de modifier'],['право изменять']
188,faculté,груз,noun,[],[]
189,faculté,товары,noun,[],[]
190,faculté,свойство,noun,[],[]
191,décoller,взлетать,verb,[],[]
192,décoller,отклеить,verb,[],[]
193,décoller,отклеиваться,verb,[],[]
194,décoller,снимать,verb,['décoller les couches'],['снимать слои']
195,décoller,подняться в воздух,verb,[],[]
196,décoller,оторваться от земли,verb,[],[]
197,décoller,слезать,verb,[],[]
198,décoller,отслаивать,verb,[],[]
199,décoller,отрываться,verb,[],[]
200,décoller,разлепить,verb,[],[]
201,décoller,расклеить,verb,[],[]
202,décoller,худеть,verb,[],[]
203,décoller,отправляться,verb,[],[]
204,décoller,отвлекаться,verb,[],[]
205,zone,зона,noun,"['zone morte', 'zone imprimable', 'zone rurale', 'zones exposées', 'la zone commerçante', 'indicatifs de zone', 'des zones desservies']","['мертвая зона', 'область печати', 'сельский район', 'участки кожи', 'торговая площадь', 'коды регионов', 'территории обслуживания']"
206,zone,поле,noun,['zone de table'],['поле таблицы']
207,zone,пояс,noun,[],[]
208,zone,полоса,noun,[],[]
209,zone,ареал,noun,[],[]
210,zone,пустыри,noun,[],[]
211,zoné,зональный,adjective,[],[]
212,coco,кокос,noun,['coco râpée'],['тертый кокос']
213,coco,белая фасоль,noun,[],[]
214,coco,яйцо,noun,[],[]
215,coco,голова,noun,[],[]
216,coco,тип,noun,[],[]
