,word,local_word,examples,local_examples
0,for,pour,[],[]
1,before,avant,[],[]
2,before,auparavant,[],[]
3,adverb,adverbe,[],[]
4,during,lors,[],[]
5,during,durant,[],[]
6,airport,aéroport,[],[]
7,exit,sortie,[],[]
8,exit,quitter,[],[]
9,drum,Tambour,[],[]
10,drum,fût,[],[]
11,empty,vide,[],[]
12,empty,vider,[],[]
13,cafe,café,[],[]
14,flight,vol,[],[]
15,begin,commencer,[],[]
16,fact,fait,[],[]
17,dream,rêve,[],[]
18,dream,rêver,[],[]
19,alarm,alarme,[],[]
20,alarm,alarmer,[],[]
21,along,ainsi,[],[]
22,follow,suivre,[],[]
23,follow,suivi,[],[]
24,follow,ensuit,[],[]
25,warm,chaud,[],[]
26,warm,réchauffer,[],[]
27,collide,collision,[],[]
28,collide,heurter,[],[]
29,excellent,excellent,[],[]
30,excellent,super,[],[]
31,break,briser,[],[]
32,break,pause,[],[]
33,break,rupture,[],[]
34,examination,examen,[],[]
35,tiger,tigre,[],[]
36,engineer,ingénieur,[],[]
37,lion,Lion,[],[]
38,even,même,[],[]
39,even,voire,[],[]
40,field,champ,[],[]
41,background,fond,[],[]
42,background,antécédents,[],[]
43,easily,facilement,[],[]
44,write,écrire,[],[]
45,write,écriture,[],[]
46,ravioli,ravioli,[],[]
47,apologise,excuser,[],[]
48,apologise,excuse,[],[]
49,fire,feu,[],[]
50,fly,voler,[],[]
51,fly,mouche,[],[]
52,beaver,Beaver,[],[]
53,duck,canard,[],[]
54,coincide,coïncider,[],[]
55,exactly,exactement,[],[]
56,anything,quoi,[],[]
57,coconut,coco,[],[]
58,coconut,cocotier,[],[]
59,not,pas,[],[]
60,international,international,[],[]
61,best,meilleur,[],[]
62,best,Best,[],[]
63,parent,parent,[],[]
64,ocean,océan,[],[]
65,ocean,océanique,[],[]
66,coincidental,coïncidence,[],[]
67,coincidental,fortuit,[],[]
68,buzzer,buzzer,[],[]
69,century,siècle,[],[]
70,euro,Euro,[],[]
71,dynamite,dynamite,[],[]
72,buy,acheter,[],[]
73,buy,achat,[],[]
74,afraid,peur,[],[]
75,afraid,craindre,[],[]
76,member,membre,[],[]
77,childhood,enfance,[],[]
78,go,aller,[],[]
79,go,entrain,[],[]
80,plate,plaque,[],[]
81,fish,poisson,[],[]
82,fish,pêche,[],[]
83,farmer,agriculteur,[],[]
84,stand,debout,[],[]
85,stand,tenir,[],[]
86,stand,stand,[],[]
87,stand,dresser,[],[]
88,drawing,dessin,[],[]
89,explain,expliquer,[],[]
90,typhus,typhus,[],[]
91,advertisement,publicité,[],[]
92,issue,question,[],[]
93,issue,émettre,[],[]
94,aged,âgé,[],[]
95,file,fichier,[],[]
96,file,déposer,[],[]
97,pen,stylo,[],[]
98,pen,enclos,[],[]
99,fan,ventilateur,[],[]
100,pasta,pâte,[],[]
101,pasta,Pasta,[],[]
102,hot,chaud,[],[]
103,that,que,[],[]
104,that,qui,[],[]
105,that,ce,[],[]
106,engine,moteur,[],[]
