,word,local_word,pos,examples,local_examples
0,before,avant,preposition,[],[]
1,before,auparavant,adverb,[],[]
2,adverb,adverbe,noun,[],[]
3,during,lors,adverb,[],[]
4,during,durant,preposition,[],[]
5,airport,aéroport,noun,[],[]
6,drum,Tambour,noun,[],[]
7,drum,fût,noun,[],[]
8,empty,vide,noun,[],[]
9,empty,vider,verb,[],[]
10,cafe,café,noun,[],[]
11,flight,vol,noun,[],[]
12,begin,commencer,verb,[],[]
13,fact,fait,noun,[],[]
14,dream,rêve,noun,[],[]
15,dream,rêver,verb,[],[]
16,alarm,alarme,noun,[],[]
17,alarm,alarmer,verb,[],[]
18,along,ainsi,adverb,[],[]
19,warm,chaud,adjective,[],[]
20,warm,réchauffer,verb,[],[]
21,collide,collision,noun,[],[]
22,collide,heurter,verb,[],[]
23,excellent,excellent,adjective,[],[]
24,excellent,super,noun,[],[]
25,break,briser,verb,[],[]
26,break,pause,noun,[],[]
27,break,rupture,noun,[],[]
28,examination,examen,noun,[],[]
29,tiger,tigre,noun,[],[]
30,engineer,ingénieur,noun,[],[]
31,lion,Lion,noun,[],[]
32,even,même,adverb,[],[]
33,even,voire,adverb,[],[]
34,field,champ,noun,[],[]
35,background,fond,noun,[],[]
36,background,antécédents,noun,[],[]
37,easily,facilement,adverb,[],[]
38,write,écrire,verb,[],[]
39,write,écriture,noun,[],[]
40,ravioli,ravioli,noun,[],[]
41,apologise,excuser,verb,[],[]
42,apologise,excuse,noun,[],[]
43,fire,feu,noun,[],[]
44,fly,voler,verb,[],[]
45,fly,mouche,noun,[],[]
46,beaver,Beaver,noun,[],[]
47,duck,canard,noun,[],[]
48,coincide,coïncider,verb,[],[]
49,exactly,exactement,adverb,[],[]
50,coconut,coco,noun,[],[]
51,coconut,cocotier,noun,[],[]
52,international,international,adjective,[],[]
53,best,meilleur,noun,[],[]
54,best,Best,noun,[],[]
55,parent,parent,noun,[],[]
56,ocean,océan,noun,[],[]
57,ocean,océanique,adjective,[],[]
58,coincidental,coïncidence,noun,[],[]
59,coincidental,fortuit,adjective,[],[]
60,buzzer,buzzer,noun,[],[]
61,century,siècle,noun,[],[]
62,euro,Euro,noun,[],[]
63,dynamite,dynamite,noun,[],[]
64,afraid,peur,noun,[],[]
65,afraid,craindre,verb,[],[]
66,member,membre,noun,[],[]
67,childhood,enfance,noun,[],[]
68,plate,plaque,noun,[],[]
69,fish,poisson,noun,[],[]
70,fish,pêche,noun,[],[]
71,farmer,agriculteur,noun,[],[]
72,drawing,dessin,noun,[],[]
73,explain,expliquer,verb,[],[]
74,typhus,typhus,noun,[],[]
75,advertisement,publicité,noun,[],[]
76,issue,question,noun,[],[]
77,issue,émettre,verb,[],[]
78,aged,âgé,adjective,[],[]
79,file,fichier,noun,[],[]
80,file,déposer,verb,[],[]
81,pen,stylo,noun,[],[]
82,pen,enclos,noun,[],[]
83,fan,ventilateur,noun,[],[]
84,pasta,pâte,noun,[],[]
85,pasta,Pasta,noun,[],[]
86,hot,chaud,adjective,[],[]
87,engine,moteur,noun,[],[]
88,advanced,avancé,adjective,[],[]
89,advanced,Advanced,noun,[],[]
90,expertise,expertise,noun,[],[]
91,dry,sec,adjective,[],[]
92,dry,sécher,verb,[],[]
93,dry,séchage,noun,[],[]
94,fantastic,fantastique,noun,[],[]
95,eighty,vingts,numeral,[],[]
96,eighty,Eighty,noun,[],[]
97,bedroom,coucher,noun,[],[]
98,fit,équiper,verb,[],[]
99,fit,cadrer,verb,[],[]
100,fit,ajustement,noun,[],[]
101,fit,apte,adjective,[],[]
102,earn,gagner,verb,[],[]
103,especially,surtout,adverb,[],[]
104,entrance,entrée,noun,[],[]
105,extra,supplémentaire,adjective,[],[]
106,extra,Extra,noun,[],[]
107,singular,singulier,adjective,[],[]
108,fall,tomber,verb,[],[]
109,fall,relever,verb,[],[]
110,fall,tombe,noun,[],[]
111,fall,automne,noun,[],[]
112,news,nouvelles,noun,[],[]
113,electric,électrique,adjective,[],[]
114,enter,entrer,verb,[],[]
115,enter,entrée,noun,[],[]
116,start,commencer,verb,[],[]
117,start,début,noun,[],[]
118,intelligent,intelligent,adjective,[],[]
119,refugee,réfugié,noun,[],[]
120,refugee,réfugiée,noun,[],[]
121,enough,assez,adverb,[],[]
122,behind,derrière,preposition,[],[]
123,fair,juste,noun,[],[]
124,fair,équitable,adjective,[],[]
125,fair,Fair,noun,[],[]
126,genetically,génétiquement,adverb,[],[]
127,mug,tasse,noun,[],[]
128,countryside,campagne,noun,[],[]
129,electricity,électricité,noun,[],[]
130,spoon,cuillère,noun,[],[]
131,spoon,Spoon,noun,[],[]
132,journey,voyage,noun,[],[]
133,journey,parcours,noun,[],[]
134,journey,périple,noun,[],[]
135,table,table,noun,[],[]
136,table,tableau,noun,[],[]
137,shampoo,shampooing,noun,[],[]
138,shampoo,shampoings,noun,[],[]
139,shampoo,Shampoo,noun,[],[]
140,finger,doigt,noun,[],[]
141,elephant,éléphant,noun,[],[]
142,add,ajouter,verb,[],[]
143,add,ajout,noun,[],[]
144,advice,conseil,noun,[],[]
145,point,point,noun,[],[]
146,point,pointer,verb,[],[]
147,curriculum,curriculum,noun,[],[]
148,tip,conseil,noun,[],[]
149,tip,bout,noun,[],[]
150,entire,ensemble,noun,[],[]
151,entire,entier,adjective,[],[]
152,entire,intégralité,noun,[],[]
153,against,contre,preposition,[],[]
154,hear,entendre,verb,[],[]
155,hear,entendu,adjective,[],[]
156,actually,réellement,adverb,[],[]
157,right,droit,noun,[],[]
158,else,autre,pronoun,[],[]
159,else,ailleurs,adverb,[],[]
160,album,album,noun,[],[]
161,beer,bière,noun,[],[]
162,secret,secret,noun,[],[]
163,guru,gourou,noun,[],[]
164,guru,Guru,noun,[],[]
165,fashion,mode,noun,[],[]
166,except,sauf,preposition,[],[]
167,except,excepté,preposition,[],[]
168,star,étoile,noun,[],[]
169,star,Star,noun,[],[]
170,star,vedette,noun,[],[]
171,star,Etoiles,noun,[],[]
172,East,Orient,noun,[],[]
173,East,est,noun,[],[]
174,benefit,avantage,noun,[],[]
175,benefit,bénéficier,verb,[],[]
176,meeting,réunion,noun,[],[]
177,quite,assez,adverb,[],[]
178,strength,force,noun,[],[]
179,ketchup,ketchup,noun,[],[]
180,afterwards,ensuite,adverb,[],[]
181,beginner,débutant,noun,[],[]
182,final,final,adjective,[],[]
183,final,finale,noun,[],[]
184,agree,convenir,verb,[],[]
185,agree,accepter,verb,[],[]
186,agree,accord,noun,[],[]
187,alone,seul,adjective,[],[]
188,exam,examen,noun,[],[]
189,exercise,exercice,noun,[],[]
190,exercise,exercer,verb,[],[]
191,child,enfant,noun,[],[]
192,school,école,noun,[],[]
193,school,scolaire,adjective,[],[]
194,band,bande,noun,[],[]
195,letter,lettre,noun,[],[]
196,letter,lettres,noun,[],[]
197,driving,conduite,noun,[],[]
198,driving,impérieux,adjective,[],[]
199,driving,conduire,verb,[],[]
200,fishing,pêche,noun,[],[]
201,adjective,adjectif,noun,[],[]
202,dinner,dîner,noun,[],[]
203,America,Amérique,noun,[],[]
204,America,America,noun,[],[]
205,dependable,fiable,adjective,[],[]
206,finally,enfin,adverb,[],[]
207,Belgium,Belgique,noun,[],[]
208,almost,presque,adverb,[],[]
209,secular,laïque,noun,[],[]
210,secular,séculier,adjective,[],[]
211,secular,profane,adjective,[],[]
212,far,loin,adverb,[],[]
213,far,extrême,noun,[],[]
214,far,lointain,adjective,[],[]
215,eighth,huitième,numeral,[],[]
216,exit,sortie,noun,[],[]
217,exit,quitter,verb,[],[]
218,everything,tout,adverb,[],[]
219,air,air,noun,[],[]
220,air,aérien,adjective,[],[]
221,below,dessous,adverb,[],[]
222,dance,danser,verb,[],[]
223,dance,Dance,noun,[],[]
224,dance,dansant,adjective,[],[]
225,mother,mère,noun,[],[]
226,everywhere,partout,adverb,[],[]
227,order,ordre,noun,[],[]
228,order,commander,verb,[],[]
229,fail,échouer,verb,[],[]
230,fail,échec,noun,[],[]
231,everyone,chacun,pronoun,[],[]
232,envelope,enveloppe,noun,[],[]
233,freeze,geler,verb,[],[]
234,freeze,gel,noun,[],[]
235,necessary,nécessaire,adjective,[],[]
236,necessary,faut,verb,[],[]
237,size,taille,noun,[],[]
238,select,sélectionner,verb,[],[]
239,read,lire,verb,[],[]
240,read,lecture,noun,[],[]
