,word,local_word,examples,local_examples
0,for,для,"['for the bank', 'for last month', 'for one year', 'for all tastes', 'for seven days', 'application for participation', 'for a moment', 'ready for operation', 'for this reason', 'ask for help']","['для банка', 'за последний месяц', 'на один год', 'на любой вкус', 'на семь дней', 'заявка на участие', 'на мгновение', 'готовый к работе', 'по этой причине', 'просить о помощи']"
1,for,ради,['for god'],['ради бога']
2,for,в течение,[],[]
3,for,в отношении,[],[]
4,for,для целей,[],[]
5,for,ибо,[],[]
6,for,чтобы,[],[]
7,cafe,кофейня,[],[]
8,cafe,буфет,[],[]
9,cafe,кафе-ресторан,[],[]
10,follow,следовать,"['follow these instructions', 'follow suit', 'follow the law']","['следовать этим инструкциям', 'последовать их примеру', 'подчиняться закону']"
11,follow,следить,['follow the process'],['следить за процессом']
12,follow,соблюдать,"['follow certain rules', 'follow the plan', 'follow the logic']","['соблюдать определенные правила', 'придерживаться плана', 'руководствоваться логикой']"
13,follow,сопровождать,[],[]
14,follow,идти,['follow the way'],['идти по пути']
15,follow,выполнять,[],[]
16,follow,вытекать,[],[]
17,follow,далее следовать,[],[]
18,follow,повторять,[],[]
19,follow,последующий,[],[]
20,warm,теплый,"['warm weather', 'warm air mass', 'warm summer evening', 'warm salt water', 'warm sunny day', 'warm apple pie', 'warm subtropical climate', 'warm yellow light', 'receive a warm welcome', 'very warm', 'warm country', 'warm reception']","['теплая погода', 'теплая воздушная масса', 'теплый летний вечер', 'теплая соленая вода', 'теплый солнечный день', 'теплый яблочный пирог', 'теплый субтропический климат', 'теплый желтый свет', 'получать теплый прием', 'очень теплый', 'жаркая страна', 'горячий прием']"
21,warm,сердечный,['warm congratulations'],['сердечные поздравления']
22,warm,согревать,"['warm the soul', 'warmed oil']","['греть душу', 'подогретое масло']"
23,warm,погреться,[],[]
24,warm,утеплить,[],[]
25,warm,тепло,[],[]
26,warm,разминка,[],[]
27,collide,сталкиваться,[],[]
28,collide,конфликтовать,[],[]
29,collide,наехать,[],[]
30,collide,соударяться,[],[]
31,collide,в конфликт,[],[]
32,break,ломать,"['broken line', 'break the resistance', 'broken leg']","['ломанная линия', 'сломить сопротивление', 'сломанная нога']"
33,break,нарушать,"['break the rules', 'spontaneously broken symmetry']","['нарушать правила', 'спонтанно нарушенная симметрия']"
34,break,разбивать,"['break hearts', 'break a bottle']","['разбивать сердца', 'разбить бутылку']"
35,break,разорвать,['broken chain'],['разорванная цепь']
36,break,прорваться,[],[]
37,break,разрушить,[],[]
38,break,вырваться,['break forth'],['вырваться наружу']
39,break,разбиться,[],[]
40,break,разразиться,[],[]
41,break,пробить,[],[]
42,break,преодолеть,[],[]
43,break,отколоться,[],[]
44,break,вырывать,[],[]
45,break,преломлять,[],[]
46,break,перерыв,['top break'],['верхний брейк']
47,break,разрыв,['page break'],['разрыв страницы']
48,break,пролом,['big break'],['большой пролом']
49,break,каникулы,[],[]
50,break,передышка,[],[]
51,tiger,тигр,['asian tiger'],['азиатский тигр']
52,tiger,зверь,[],[]
53,tiger,тигриный,"[""tiger's eye""]",['тигровый глаз']
54,lion,лев,['sea lion'],['морской лев']
55,lion,львиный,"[""lion's share""]",['львиная доля']
56,background,фон,"['background color', 'natural radiation background', 'dark blue background', 'text on white background']","['цвет фона', 'естественный радиационный фон', 'синий фон', 'текст на белом фоне']"
57,background,предпосылка,"['genetic background', 'political background', 'conceptual background']","['генетическая предпосылка', 'политическая подоплека', 'концептуальная основа']"
58,background,происхождение,['ethnic background'],['этническое происхождение']
59,background,подготовка,['scientific background'],['научная подготовка']
60,background,история,"['background of the conflict', 'professional background']","['предыстория конфликта', 'профессиональная биография']"
61,background,сведения,[],[]
62,background,фоновый режим,[],[]
63,background,опыт,['diverse background'],['разнообразный опыт']
64,background,справочная информация,[],[]
65,background,история вопроса,[],[]
66,background,прошлое,['rich historical background'],['богатое историческое прошлое']
67,background,образование,[],[]
68,background,корень,[],[]
69,background,исходная информация,[],[]
70,background,контекст,[],[]
71,background,общие сведения,[],[]
72,background,исток,[],[]
73,background,фоновое изображение,[],[]
74,background,фоновая,[],[]
75,background,фоновый,"['background noise level', 'soft background music', 'background data']","['уровень фонового шума', 'легкая фоновая музыка', 'исходные данные']"
76,background,справочный,['background document'],['справочный документ']
77,background,второстепенный,[],[]
78,write,писать,"['write science fiction', 'write new songs', 'write short stories', 'write a letter', 'write music']","['писать научную фантастику', 'писать новые песни', 'писать рассказы', 'написать письмо', 'сочинять музыку']"
79,write,записывать,"['write files', 'write code']","['записывать файлы', 'записать код']"
80,write,выписывать,"['write a check', 'write a cheque']","['выписывать чек', 'выписать чек']"
81,write,вписать,[],[]
82,write,списать,[],[]
83,write,письменный,[],[]
84,apologise,извиниться,[],[]
85,fly,летать,"['unidentified flying object', 'fly home', 'fly away', 'fly further', 'fly over']","['неопознанный летающий объект', 'полететь домой', 'лететь прочь', 'пролететь дальше', 'прилететь сюда']"
86,fly,вылететь,"['fly to london', 'fly upwards']","['вылететь в лондон', 'взлететь вверх']"
87,fly,влететь,[],[]
88,fly,подлететь,[],[]
89,fly,отлететь,[],[]
90,fly,слетаться,[],[]
91,fly,муха,['fruit fly'],['фруктовая муха']
92,fly,полет,['fly ball'],['полет мяча']
93,beaver,бобр,['grey beaver'],['серый бобр']
94,beaver,Бобрик,[],[]
95,beaver,Бивер,[],[]
96,beaver,работяга,[],[]
97,beaver,бородач,[],[]
98,beaver,бобровый,['beaver dam'],['бобровая плотина']
99,coincide,совпадать,[],[]
100,coincide,совмещаться,[],[]
101,anything,что угодно,[],[]
102,anything,ничего,[],[]
103,anything,все,[],[]
104,exhaustively,исчерпывающе,[],[]
105,exhaustively,полностью,[],[]
106,exhaustively,тщательно,[],[]
107,apoplexy,удар,[],[]
108,apoplexy,инсульт,[],[]
109,apoplexy,кровоизлияние,[],[]
110,apoplexy,апоплексический,[],[]
111,coconut,кокос,['green coconut'],['зеленый кокос']
112,coconut,мякоть кокоса,[],[]
113,coconut,кокосовый,"['coconut oil', 'coconut palm tree', 'coconut milk']","['кокосовое масло', 'кокосовая пальма', 'кокосовое молоко']"
114,not,не,"['not only', 'not very good', 'not all species', 'not so much', 'do not smoke', 'not a bit']","['не только', 'не очень хороший', 'не все виды', 'не столько', 'не курить', 'ни капельки']"
115,not,нет,['not available'],['нет данных']
116,international,международный,"['international covenant', 'international monetary fund', 'international olympic committee', 'international finance corporation', 'international civil aviation', 'international economic relations', 'international polar year', 'international armed conflict', 'international red cross', 'international duty']","['международный пакт', 'международный валютный фонд', 'международный олимпийский комитет', 'международная финансовая корпорация', 'международная гражданская авиация', 'международные экономические отношения', 'международный полярный год', 'международный вооруженный конфликт', 'международный красный крест', 'интернациональный долг']"
117,international,Интернационал,[],[]
118,parent,родитель,['love for his parents'],['любовь к родителям']
119,parent,предок,[],[]
120,parent,отец,[],[]
121,parent,родительский элемент,[],[]
122,parent,родительница,[],[]
123,parent,родительский,"['parent element', 'ultimate parent company']","['родительский элемент', 'материнская компания']"
124,parent,исходный,['parent compound'],['исходное соединение']
125,parent,вышестоящий,['parent body'],['вышестоящий орган']
126,parent,один из родителей,[],[]
127,ocean,океан,"['world ocean', 'ocean surface temperature', 'deep blue ocean', 'great western ocean', 'turquoise ocean']","['мировой океан', 'температура поверхности океана', 'синий океан', 'великий западный океан', 'бирюзовое море']"
128,ocean,дно океана,[],[]
129,ocean,океанский,"['fresh ocean air', 'luxury ocean liner', 'warm ocean current', 'ocean basin', 'ocean carrier']","['свежий океанский воздух', 'роскошный океанский лайнер', 'теплое океанское течение', 'океанический бассейн', 'морской перевозчик']"
130,coincidental,случайный,['coincidental events'],['случайные события']
131,coincidental,совпадающий,[],[]
132,coincidental,случайное совпадение,[],[]
133,buzzer,сирена,"['final buzzer', 'buzzer sound']","['финальная сирена', 'звук зуммера']"
134,buzzer,звонок,['alarm buzzer'],['тревожный звонок']
135,buzzer,пищалка,[],[]
136,buzzer,зуммерный,[],[]
137,dynamite,динамит,[],[]
138,dynamite,динамитная шашка,[],[]
139,dynamite,динамитный,['dynamite bomb'],['динамитная бомба']
140,dynamite,взрывной,[],[]
141,buy,купить,"['buy glasses', 'buy lottery tickets', 'buy new clothes', 'buy property', 'buy souvenirs', 'buy goods', 'buy the company', 'buy the equipment', 'buy dollars']","['купить очки', 'покупать лотерейные билеты', 'покупать новую одежду', 'приобретать недвижимость', 'приобрести сувениры', 'закупать товар', 'выкупить компанию', 'закупить оборудование', 'скупать доллары']"
142,buy,продать,[],[]
143,buy,накупить,['buy gifts'],['накупить подарков']
144,buy,подкупить,[],[]
145,buy,покупка,['buying experience'],['приобретение опыта']
146,peremptory,императивный,"['peremptory rule', 'peremptory tone']","['императивная норма', 'повелительный тон']"
147,peremptory,безапелляционный,[],[]
148,member,член,"['member of congress', 'flight crew member', 'full fledged member', 'stock exchange member', 'members of nongovernmental organizations', 'member of civil society', 'foreign honorary member', 'local community members', 'expedition member']","['член конгресса', 'член летного экипажа', 'полноправный член', 'член биржи', 'члены неправительственных организаций', 'член гражданского общества', 'иностранный почетный член', 'члены местного сообщества', 'участник экспедиции']"
149,member,представитель,['members of ethnic minorities'],['представители этнических меньшинств']
150,member,элемент,['calculated member'],['вычисляемый элемент']
151,member,депутат,[],[]
152,member,член организации,[],[]
153,member,членский,[],[]
154,childhood,детство,"['happy childhood', 'early childhood education', 'friends of his childhood']","['счастливое детство', 'образование в раннем детстве', 'друзья детства']"
155,childhood,детский,['childhood dream'],['детская мечта']
156,go,идти,"['go right ahead', 'go south', 'go barefoot', 'go by train', 'go ashore']","['идти прямо вперед', 'пойти на юг', 'ходить босиком', 'поехать поездом', 'сходить на берег']"
157,go,проходить,"['go through walls', 'go well']","['проходить сквозь стены', 'пройти успешно']"
158,go,ехать,"['go anywhere', 'go everywhere']","['ехать никуда', 'ездить везде']"
159,go,отправиться,"['go on leave', 'go quietly']","['уходить в отпуск', 'уйти спокойно']"
160,go,перейти,[],[]
161,go,происходить,[],[]
162,plate,пластина,"['thin metal plate', 'nail plate', 'guide plate']","['тонкие металлические пластины', 'ногтевая пластинка', 'направляющая планка']"
163,plate,плита,"['reinforced concrete plate', 'memorial plate', 'mounting plate']","['железобетонная плита', 'памятная доска', 'монтажная плата']"
164,plate,тарелка,"['paper plate', 'silver plate', 'little plates']","['бумажная тарелка', 'серебряное блюдо', 'маленькие тарелочки']"
165,plate,лист,['steel plate'],['стальной лист']
166,plate,номерной знак,[],[]
167,plate,дощечка,"['wooden plates', 'name plate']","['деревянные дощечки', 'фирменная табличка']"
168,plate,панель,['front plate'],['передняя панель']
169,plate,накладка,['decorative plates'],['декоративные накладки']
170,plate,платформа,['tectonic plate'],['тектоническая платформа']
171,plate,стяжка,[],[]
172,plate,бляха,[],[]
173,plate,толстый лист,[],[]
174,plate,листовой,[],[]
175,plate,пластинчатый,"['plate heat exchanger', 'plate material']","['пластинчатый теплообменник', 'плитный материал']"
176,fish,рыба,"['fresh water fish', 'large predatory fish', 'deep sea fish', 'length of this fish', 'tropical fish', 'golden fish']","['пресноводная рыба', 'крупная хищная рыба', 'глубоководная рыба', 'длина этой рыбы', 'тропическая рыба', 'золотая рыбка']"
177,fish,Фиш,[],[]
178,fish,рыбный,"['fish dish', 'local fish market', 'fish liver oil']","['рыбное блюдо', 'местный рыбный рынок', 'рыбий жир']"
179,fish,ловить рыбу,[],[]
180,fish,удить,[],[]
181,fish,выудить,[],[]
182,stand,стоять,"['stand around', 'stand on end', 'stand on tiptoe']","['стоять вокруг', 'вставать дыбом', 'встать на цыпочки']"
183,stand,устоять,['stand alone'],['выстоять в одиночку']
184,stand,выдерживать,['stand the test'],['выдержать испытание']
185,stand,отстаивать,['stand for freedom'],['отстаивать свободу']
186,stand,выступать,[],[]
187,stand,остановиться,[],[]
188,stand,предстать,[],[]
189,stand,остаться,[],[]
190,stand,замереть,[],[]
191,stand,стенд,['exhibition stand'],['выставочный стенд']
192,stand,подставка,"['printer stand', 'floor stand']","['подставка для принтера', 'напольная стойка']"
193,stand,позиция,['civic stand'],['гражданская позиция']
194,stand,трибуна,['government stand'],['правительственная трибуна']
195,precedent,прецедент,['historical precedent'],['исторический прецедент']
196,precedent,предыдущий,[],[]
197,precedent,прецедентный,['precedent case'],['прецедентное дело']
198,precedent,предшествующий,[],[]
199,issue,вопрос,"['key issue', ""women's issue"", 'foreign policy issue', 'issue of death penalty', 'national security issue', 'human rights issue', 'important global issue', 'sensitive issue', 'priority issue']","['ключевой вопрос', 'женский вопрос', 'вопрос внешней политики', 'вопрос о смертной казни', 'вопрос национальной безопасности', 'проблема прав человека', 'важная глобальная проблема', 'щекотливая тема', 'приоритетная задача']"
200,issue,выпуск,['special issue'],['специальный выпуск']
201,issue,выдача,['place of issue'],['место выдачи']
202,issue,номер,"[""today's issue""]",['сегодняшний номер']
203,issue,вытекание,[],[]
204,issue,эмиссия,[],[]
205,issue,выдавать,['issue certificates'],['выдавать сертификаты']
206,issue,выпускать,"['issue shares', 'issued share capital']","['выпускать акции', 'выпущенный акционерный капитал']"
207,issue,издавать,"['issue orders', 'issue a decree', 'issue a report']","['издавать приказы', 'издать указ', 'опубликовать доклад']"
208,issue,оформить,[],[]
209,issue,эмиссионный,[],[]
210,thousand,тыс.,[],[]
211,thousand,тысячелетие,[],[]
212,thousand,множество,[],[]
213,thousand,тысяча долларов,[],[]
214,thousand,тысяча,[],[]
215,thousand,тысячный,[],[]
216,pen,ручка,"['ballpoint pen', 'ball point pen', 'light pen']","['шариковая ручка', 'шариковая ручка', 'световое перо']"
217,pen,рейсфедер,[],[]
218,pen,фломастер,[],[]
219,pen,загон,['sheep pen'],['овечий загон']
220,pen,Перу,[],[]
221,pen,пена,[],[]
222,pen,пенал,[],[]
223,pen,световое перо,[],[]
224,pen,писать,[],[]
225,pen,перьевой,['pen tablet'],['перьевой планшет']
226,pasta,паста,['type of pasta'],['вид пасты']
227,pasta,блюда из макарон,[],[]
228,hot,горячий,"['hot spot', 'hot water supply', 'hot plastic deformation', 'hot green tea', 'natural hot spring', 'hot exhaust gas', 'hot apple pie', 'long hot summer', 'hot towel', 'hot desert']","['горячая точка', 'горячее водоснабжение', 'горячая пластическая деформация', 'горячий зеленый чай', 'природный горячий источник', 'горячий выхлопной газ', 'горячий яблочный пирог', 'долгое жаркое лето', 'теплое полотенце', 'знойная пустыня']"
229,hot,острый,['hot red pepper'],['острый красный перец']
230,hot,популярный,[],[]
231,hot,жгучий,['hot taste'],['жгучий вкус']
232,hot,горячительный,[],[]
233,hot,жарко,[],[]
234,hot,горячо,['hot cocoa'],['горячее какао']
235,hot,разгоряченный,[],[]
236,hot,горящий,[],[]
237,hot,накалиться,[],[]
238,that,что,[],[]
239,that,будто,[],[]
240,that,дабы,[],[]
241,that,который,[],[]
242,that,это,[],[]
243,that,тот самый,[],[]
244,that,так,[],[]
245,that,таковой,[],[]
246,be,быть,"['be home', 'be the result']","['быть дома', 'являться результатом']"
247,be,происходить,[],[]
248,be,находиться,['be under control'],['находиться под контролем']
249,be,составлять,['be an exception'],['составлять исключение']
250,be,заключаться,[],[]
251,be,идти,['be on foot'],['идти пешком']
252,be,относиться,[],[]
253,be,равно,[],[]
254,but,но,['but also'],['но также']
255,but,а,[],[]
256,but,однако,[],[]
257,but,только,[],[]
258,but,кроме,[],[]
259,and,и,[],[]
260,and,а также,[],[]
261,and,причем,[],[]
262,and,так и,[],[]
263,and,с,[],[]
264,expertise,экспертиза,['expertise of industrial safety'],['экспертиза промышленной безопасности']
265,expertise,компетентность,['functional expertise'],['профессиональная компетенция']
266,expertise,мастерство,['technological expertise'],['технологическое мастерство']
267,expertise,квалификация,['professional expertise'],['профессиональная квалификация']
268,expertise,опыт,['design expertise'],['опыт проектирования']
269,expertise,экспертные знания,[],[]
270,expertise,эксперт,[],[]
271,expertise,профессионализм,[],[]
272,expertise,экспертный потенциал,[],[]
273,expertise,знание дела,[],[]
274,expertise,деловой опыт,[],[]
275,expertise,экспертный,['center of expertise'],['экспертный центр']
276,tell,рассказывать,['tell different stories'],['рассказывать разные истории']
277,tell,говорить,"['tell the truth', 'tell the lord']","['говорить правду', 'сказать господу']"
278,tell,сообщать,['tell the user'],['сообщать пользователю']
279,tell,указывать,"['tell the time', 'tell the system']","['указывать время', 'указать системе']"
280,tell,уверять,[],[]
281,tell,велеть,[],[]
282,tell,подсказать,[],[]
283,tell,поведать,['tell the world'],['поведать миру']
284,tell,объяснить,['tell the king'],['объяснить царю']
285,tell,передать,['tell the president'],['передать президенту']
286,tell,попросить,[],[]
287,tell,поделиться,[],[]
288,tell,отличить,[],[]
289,tell,сказаться,[],[]
290,feel,чувствовать,"['feel fine', 'feel joy']","['чувствовать себя прекрасно', 'ощущать радости']"
291,feel,полагать,['feel differently'],['считать иначе']
292,feel,ощупывать,['feel the pulse'],['нащупать пульс']
293,feel,испытывать,['feel fear'],['испытать страх']
294,feel,стесняться,[],[]
295,feel,ощущение,"['tactile feel', 'feel shame']","['тактильное ощущение', 'чувство стыда']"
296,news,новость,"['important news', 'international news stories', 'tragic news', 'news release', 'preach the good news']","['важная новость', 'международные новости', 'трагическое известие', 'сообщение для печати', 'проповедовать благую весть']"
297,news,весточка,[],[]
298,news,Ньюс,[],[]
299,news,новинка,['fashion news'],['модные новинки']
300,news,выпуск новостей,[],[]
301,news,известия,[],[]
302,news,новостной,['online news site'],['новостной сайт']
303,start,начать,"['start new businesses', 'start immediately', 'start simultaneously', 'start over again', 'start treatment']","['начать новый бизнес', 'начинаться сразу', 'стартовать одновременно', 'начинать снова', 'приступать к лечению']"
304,start,запустить,"['start the service', 'start games']","['запустить службу', 'запускать игры']"
305,start,вздрагивать,[],[]
306,start,завести,[],[]
307,start,заняться,[],[]
308,start,затеять,[],[]
309,start,начало,"['start of fiscal year', 'start of last season', 'start of his career', 'start of program execution', 'start of construction work']","['начало финансового года', 'начало прошлого сезона', 'начало своей карьеры', 'начало выполнения программы', 'начало строительных работ']"
310,start,старт,"['quick start', 'sequence start', 'operating system to start']","['быстрый старт', 'последовательный пуск', 'операционная система для запуска']"
311,start,начальный,"['start address', 'start bit']","['начальный адрес', 'стартовый бит']"
312,intelligent,умный,"['intelligent dog', 'intelligent boy', 'intelligent guy', 'intelligent person']","['умная собака', 'смышленый мальчик', 'толковый парень', 'грамотный человек']"
313,intelligent,разумный,"['intelligent human being', 'intelligent life form', 'intelligent design theory']","['разумный человек', 'разумная форма жизни', 'теория разумного замысла']"
314,intelligent,осмысленный,[],[]
315,intelligent,продуманный,[],[]
316,intelligent,неглупый,[],[]
317,intelligent,микропроцессорный,[],[]
318,intelligent,понятливый,['intelligent student'],['понятливый ученик']
319,intelligent,мыслящий,[],[]
320,intelligent,программируемый,[],[]
321,intelligent,настраиваемый,[],[]
322,intelligent,понимающий,[],[]
323,refugee,беженец,"['refugee camp', 'granted refugee status', 'human rights of refugees', 'political refugee']","['лагерь беженцев', 'статус беженца', 'права беженцев', 'политический эмигрант']"
324,refugee,беженка,[],[]
325,refugee,беглец,[],[]
326,refugee,беженский,[],[]
327,create,создавать,"['often create', 'create favorable conditions', 'create additional problems', 'create beauty', 'newly created position', 'create shortcut', 'create the universe']","['часто создавать', 'создавать благоприятные условия', 'создавать дополнительных проблем', 'творить красоту', 'вновь созданная должность', 'создать ярлык', 'сотворить вселенную']"
328,create,порождать,"['create fear', 'create demand', 'create an order']","['порождать страх', 'формировать спрос', 'сформировать заказ']"
329,create,вызывать,['create trust'],['вызывать доверие']
330,create,производить,['create the impression'],['производить впечатление']
331,create,разработать,['create a plan'],['разработать план']
332,create,образовать,['create connections'],['образовать связи']
333,nobody,никто,[],[]
334,nobody,некого,[],[]
335,nobody,ничей,[],[]
336,nobody,ничтожество,[],[]
337,word,слово,"['last word', 'old english word', 'new word in art', 'sure word of prophecy', 'part of that word', 'man of his word', 'strong word']","['последнее слово', 'старое английское слово', 'новое слово в искусстве', 'пророческое слово', 'часть этого слова', 'человек слова', 'крепкое словечко']"
338,word,известие,[],[]
339,word,слова,[],[]
340,word,говорить,[],[]
341,word,сформулировать,[],[]
342,word,текстовый,['word processing document'],['текстовый документ']
343,word,словесный,['word game'],['словесная игра']
344,genetically,генетически,['genetically modified organism'],['генетически модифицированный организм']
345,genetically,генетический,[],[]
346,mug,кружка,"['beer mug', 'coffee mug']","['пивная кружка', 'чашка кофе']"
347,mug,рожица,[],[]
348,mug,бокал,[],[]
349,mug,рыло,[],[]
350,mug,балбес,[],[]
351,mug,мурло,[],[]
352,mug,ебальник,[],[]
353,mug,грабить,[],[]
354,countryside,сельская местность,"['beautiful countryside', 'development of the countryside']","['красивые деревни', 'развитие села']"
355,countryside,природа,[],[]
356,countryside,пригород,[],[]
357,countryside,сельские районы,[],[]
358,countryside,загородная местность,[],[]
359,countryside,сельский ландшафт,[],[]
360,countryside,сельский,"['countryside life', 'countryside village']","['сельская жизнь', 'загородный поселок']"
361,spoon,ложка,['tea spoon'],['чайная ложечка']
362,spoon,блесна,[],[]
363,spoon,обниматься,[],[]
364,spoon,черпать ложкой,[],[]
365,journey,путешествие,"['end of his journey', 'purpose of this journey', 'spiritual journey']","['конец путешествию', 'цель этой поездки', 'духовное странствие']"
366,journey,путь,"['last journey', 'complete journey', 'long journey']","['последний путь', 'полный маршрут', 'дальняя дорога']"
367,journey,рейс,['return journey'],['обратный рейс']
368,journey,проезд,['cost of the journey'],['стоимость проезда']
369,journey,переезд,['night journeys'],['ночных переездов']
370,journey,странствование,[],[]
371,journey,путешествовать,[],[]
372,you,вы,['pleased with all of you'],['доволен вами всеми']
373,you,ты,"['to talk to you', 'someone who loves you', 'to invite you for dinner']","['говорить с тобой', 'та, кто тебя любит', 'пригласить Вас на ужин']"
374,table,таблица,"['file allocation table', 'local temporary table']","['таблица размещения файлов', 'локальная временная таблица']"
375,table,стол,"['negotiating table', 'dining room table', 'table working surface', 'round work table', 'universal operating table', 'rotary indexing table', 'night table']","['стол переговоров', 'обеденный стол', 'рабочая поверхность стола', 'круглый стол', 'универсальный операционный стол', 'поворотный стол', 'ночной столик']"
376,table,скрижаль,['tables of testimony'],['скрижали откровения']
377,table,расписание,[],[]
378,table,табель,['table of ranks'],['табель о рангах']
379,table,столовая,[],[]
380,table,табличка,['rock table'],['каменная табличка']
381,table,настольный,[],[]
382,table,табличный,['table space'],['табличное пространство']
383,table,застольный,[],[]
384,table,на стол,[],[]
