,word,local_word,examples,local_examples
0,for,для,"['for the bank', 'for last month', 'for one year', 'for all tastes', 'for seven days', 'application for participation', 'for a moment', 'ready for operation', 'for this reason', 'ask for help']","['для банка', 'за последний месяц', 'на один год', 'на любой вкус', 'на семь дней', 'заявка на участие', 'на мгновение', 'готовый к работе', 'по этой причине', 'просить о помощи']"
1,for,ради,['for god'],['ради бога']
2,for,в течение,[],[]
3,for,в отношении,[],[]
4,for,для целей,[],[]
5,for,ибо,[],[]
6,for,чтобы,[],[]
7,before,до,['before the war'],['до войны']
8,before,впереди,[],[]
9,before,пред,[],[]
10,before,накануне,[],[]
11,before,передо,[],[]
12,before,прежде,[],[]
13,before,раньше,['just before'],['немного раньше']
14,before,до этого,[],[]
15,before,в преддверии,[],[]
16,before,до наступления,[],[]
17,before,прежде чем,[],[]
18,before,прежде нежели,[],[]
19,before,пока,[],[]
20,adverb,наречие,[],[]
21,during,в течение,[],[]
22,during,во время,[],[]
23,during,в процессе,[],[]
24,during,во,['level during the period'],['уровень за период']
25,airport,аэропорт,"['regional airport', 'airport shuttle bus', 'alternate airport']","['региональный аэропорт', 'автобус до аэропорта', 'запасной аэродром']"
26,airport,авиапорт,[],[]
27,airport,аэровокзал,[],[]
28,airport,аэропортовый,['airport charge'],['аэропортовый сбор']
29,exit,выход,['emergency exit doors'],['двери аварийного выхода']
30,exit,выезд,['exit permit'],['разрешение на выезд']
31,exit,уход,[],[]
32,exit,съезд,[],[]
33,exit,выйти,"['exit the church', 'exit the stage']","['выходить из церкви', 'покинуть сцену']"
34,exit,свернуть,[],[]
35,exit,выездной,['exit visa'],['выездная виза']
36,exit,выходной,['exit pupil'],['выходной зрачок']
37,drum,барабан,"['brake drum', 'big bass drum', 'metal drum']","['тормозной барабан', 'большой барабан', 'металлический цилиндр']"
38,drum,барабанный бой,[],[]
39,drum,бочка,[],[]
40,drum,барабанчик,['little drum'],['маленький барабанчик']
41,drum,барабанщик,[],[]
42,drum,бубен,[],[]
43,drum,ударный инструмент,[],[]
44,drum,партия ударных,[],[]
45,drum,барабанная перепонка,[],[]
46,drum,дробь,[],[]
47,drum,Бикс,[],[]
48,drum,барабанить,[],[]
49,drum,ударный,"['drum kit', 'drum set']","['ударная установка', 'барабанная установка']"
50,empty,пустой,['empty run'],['порожний пробег']
51,empty,бессодержательный,[],[]
52,empty,пустынный,[],[]
53,empty,свободный,['empty seat'],['свободное место']
54,empty,голодный,['empty stomach'],['голодный желудок']
55,empty,опорожнять,['empty the bladder'],['опорожнить мочевой пузырь']
56,empty,пустеть,[],[]
57,empty,высыпать,[],[]
58,empty,очистить,[],[]
59,empty,пустота,['empty feeling'],['ощущение пустоты']
60,empty,опорожнение,[],[]
61,empty,пустышка,[],[]
62,empty,порожняк,[],[]
63,empty,пустующий,[],[]
64,empty,порожняком,[],[]
65,dressed,одетый,[],[]
66,dressed,облаченный,[],[]
67,dressed,заправленный,[],[]
68,dressed,выделанный,[],[]
69,dressed,украшенный,[],[]
70,dressed,обтесанный,[],[]
71,dressed,одеваемый,[],[]
72,dressed,одевший,[],[]
73,cafe,кофейня,[],[]
74,cafe,буфет,[],[]
75,cafe,кафе-ресторан,[],[]
76,flight,полет,"['flight control system', 'manned space flight', 'flight plan data', 'net flight path', 'flight safety level', 'connecting flight', 'nonstop flight', 'operational flight']","['система управления полетом', 'пилотируемый космический полет', 'данные плана полета', 'чистая траектория полета', 'уровень безопасности полетов', 'стыковочный рейс', 'беспосадочный перелет', 'боевой вылет']"
77,flight,стая,['flight of birds'],['стая птиц']
78,flight,бегство,"['capital flight', 'new flight']","['бегство капитала', 'новый побег']"
79,flight,пролет,['flight of stairs'],['пролет по лестнице']
80,flight,взлет,[],[]
81,flight,налет,[],[]
82,flight,облет,[],[]
83,flight,отлет,[],[]
84,flight,летный,"['flight crew member', 'flight test program', 'flight information region']","['член летного экипажа', 'программа летных испытаний', 'район полетной информации']"
85,flight,бортовой,[],[]
86,flight,взлетный,[],[]
87,flight,летать,[],[]
88,begin,начинать,"['begin negotiations', 'begin divorce proceedings', 'begin long', 'begin the search', 'begin work']","['начинать переговоры', 'начать бракоразводный процесс', 'начинаться задолго', 'приступить к поиску', 'приступать к работе']"
89,begin,наступить,[],[]
90,begin,пойти,[],[]
91,begin,положить начало,[],[]
92,fact,факт,"['simple fact', 'well known fact', 'distortion of historical facts', 'proof of this fact', 'facts of his biography', 'fact of its existence', 'represent the facts', 'new fact']","['простой факт', 'хорошо известный факт', 'искажение исторических фактов', 'подтверждение этого факта', 'факты его биографии', 'факт своего существования', 'соответствовать действительности', 'новое обстоятельство']"
93,fact,сущность,[],[]
94,fact,то,[],[]
95,dream,мечта,"['great american dream', 'long cherished dream', 'girl of his dreams', 'man of her dreams', 'childhood dream', 'bad dream', 'dream of red mansions', 'interpretation of dreams', 'dream factory', 'strange dream', 'ultimate dream']","['великая американская мечта', 'давняя мечта', 'девушка его мечты', 'мужчина ее мечты', 'детская мечта', 'дурной сон', 'сон в красном тереме', 'толкование сновидений', 'фабрика грез', 'странное видение', 'предел мечтаний']"
96,dream,чаяние,[],[]
97,dream,мечтать,['dream again'],['мечтать снова']
98,dream,видеть во сне,['dream at night'],['сниться по ночам']
99,dream,спать,[],[]
100,dream,помышлять,[],[]
101,dream,во сне,[],[]
102,alarm,сигнал тревоги,[],[]
103,alarm,тревога,"['false alarm', 'general quarters alarm', 'audio alarm']","['ложная тревога', 'общая тревога', 'звуковое оповещение']"
104,alarm,сигнализация,[],[]
105,alarm,будильник,[],[]
106,alarm,предупредительный сигнал,[],[]
107,alarm,сигнализатор,[],[]
108,alarm,набат,[],[]
109,alarm,встревожить,[],[]
110,alarm,настораживать,[],[]
111,alarm,аварийный,"['alarm signal', 'alarm relay']","['тревожный сигнал', 'сигнальное реле']"
112,alarm,сигнализационный,[],[]
113,along,по,['along the length'],['по длине']
114,along,вдоль,[],[]
115,along,вместе,['come along'],['идти вместе']
116,along,вперед,[],[]
117,along,с собой,[],[]
118,along,рядом,[],[]
119,follow,следовать,"['follow these instructions', 'follow suit', 'follow the law']","['следовать этим инструкциям', 'последовать их примеру', 'подчиняться закону']"
120,follow,следить,['follow the process'],['следить за процессом']
121,follow,соблюдать,"['follow certain rules', 'follow the plan', 'follow the logic']","['соблюдать определенные правила', 'придерживаться плана', 'руководствоваться логикой']"
122,follow,сопровождать,[],[]
123,follow,идти,['follow the way'],['идти по пути']
124,follow,выполнять,[],[]
125,follow,вытекать,[],[]
126,follow,далее следовать,[],[]
127,follow,повторять,[],[]
128,follow,последующий,[],[]
129,warm,теплый,"['warm weather', 'warm air mass', 'warm summer evening', 'warm salt water', 'warm sunny day', 'warm apple pie', 'warm subtropical climate', 'warm yellow light', 'receive a warm welcome', 'very warm', 'warm country', 'warm reception']","['теплая погода', 'теплая воздушная масса', 'теплый летний вечер', 'теплая соленая вода', 'теплый солнечный день', 'теплый яблочный пирог', 'теплый субтропический климат', 'теплый желтый свет', 'получать теплый прием', 'очень теплый', 'жаркая страна', 'горячий прием']"
130,warm,сердечный,['warm congratulations'],['сердечные поздравления']
131,warm,согревать,"['warm the soul', 'warmed oil']","['греть душу', 'подогретое масло']"
132,warm,погреться,[],[]
133,warm,утеплить,[],[]
134,warm,тепло,[],[]
135,warm,разминка,[],[]
136,collide,сталкиваться,[],[]
137,collide,конфликтовать,[],[]
138,collide,наехать,[],[]
139,collide,соударяться,[],[]
140,collide,в конфликт,[],[]
141,excellent,отличный,"['excellent customer service', 'excellent image quality', 'achieve excellent results', 'excellent sense of humor', 'excellent state of health', 'excellent source of information', 'excellent opportunity', 'excellent physical shape', 'excellent restaurant', 'excellent beer', 'excellent cuisine', 'excellent taste', 'excellent acoustics']","['отличный сервис', 'отличное качество изображения', 'добиваться отличных результатов', 'отличное чувство юмора', 'отличное состояние здоровья', 'отличный источник информации', 'прекрасная возможность', 'прекрасная физическая форма', 'превосходный трактир', 'отменное пиво', 'великолепная кухня', 'хороший вкус', 'замечательная акустика']"
142,excellent,исключительный,[],[]
143,excellent,блестящий,['excellent representative'],['выдающийся представитель']
144,excellent,первоклассный,[],[]
145,break,ломать,"['broken line', 'break the resistance', 'broken leg']","['ломанная линия', 'сломить сопротивление', 'сломанная нога']"
146,break,нарушать,"['break the rules', 'spontaneously broken symmetry']","['нарушать правила', 'спонтанно нарушенная симметрия']"
147,break,разбивать,"['break hearts', 'break a bottle']","['разбивать сердца', 'разбить бутылку']"
148,break,разорвать,['broken chain'],['разорванная цепь']
149,break,прорваться,[],[]
150,break,разрушить,[],[]
151,break,вырваться,['break forth'],['вырваться наружу']
152,break,разбиться,[],[]
153,break,разразиться,[],[]
154,break,пробить,[],[]
155,break,преодолеть,[],[]
156,break,отколоться,[],[]
157,break,вырывать,[],[]
158,break,преломлять,[],[]
159,break,перерыв,['top break'],['верхний брейк']
160,break,разрыв,['page break'],['разрыв страницы']
161,break,пролом,['big break'],['большой пролом']
162,break,каникулы,[],[]
163,break,передышка,[],[]
164,examination,обследование,"['thorough medical examination', 'complete physical examination', 'eye examination', 'psychiatric examination', 'customs examination']","['тщательное медицинское обследование', 'полный медицинский осмотр', 'проверка зрения', 'психиатрическое освидетельствование', 'таможенный досмотр']"
165,examination,изучение,"['further examination', 'microscopic examination', 'results of these examinations']","['дальнейшее изучение', 'микроскопический анализ', 'результаты этих исследований']"
166,examination,экспертиза,"['ecological examination', 'preliminary expert examination']","['экологическая экспертиза', 'предварительная экспертиза']"
167,examination,экзамен,"[""candidate's examination"", 'competitive entrance examination', 'examination of conscience']","['кандидатский экзамен', 'конкурсный вступительный экзамен', 'испытание совести']"
168,examination,рассмотрение,['examination of his case'],['рассмотрение его дела']
169,examination,допрос,['cross examination'],['перекрестный допрос']
170,examination,разбирательство,['court examination'],['судебное разбирательство']
171,examination,ознакомление,[],[]
172,examination,проведение экспертизы,[],[]
173,examination,проведение экзаменов,[],[]
174,examination,экзаменационная сессия,[],[]
175,examination,экзаменационный,['examination session'],['экзаменационная сессия']
176,examination,смотровой,[],[]
177,examination,досмотровый,[],[]
178,tiger,тигр,['asian tiger'],['азиатский тигр']
179,tiger,зверь,[],[]
180,tiger,тигриный,"[""tiger's eye""]",['тигровый глаз']
181,engineer,инженер,"['chief engineer', 'deputy chief engineer', 'highly skilled engineers', 'engineer of human souls', 'society of civil engineers', 'mining engineer', 'engineer of the company', 'genetic engineer']","['главный инженер', 'заместитель главного инженера', 'высококвалифицированные инженеры', 'инженер человеческих душ', 'общество гражданских инженеров', 'горный инженер', 'технолог предприятия', 'генная инженерия']"
182,engineer,конструктор,[],[]
183,engineer,сапер,[],[]
184,engineer,специалист,[],[]
185,engineer,звукоинженер,[],[]
186,engineer,машинист,['engineer bob'],['машинист боб']
187,engineer,ИТР,[],[]
188,engineer,инженерные войска,[],[]
189,engineer,теплотехник,[],[]
190,engineer,наладчик,[],[]
191,engineer,проектировать,[],[]
192,engineer,работать инженером,[],[]
193,engineer,инженерный,['regional engineering geology'],['региональная инженерная геология']
194,lion,лев,['sea lion'],['морской лев']
195,lion,львиный,"[""lion's share""]",['львиная доля']
196,even,даже,"['even then', 'even more']","['даже тогда', 'еще больше']"
197,even,ровный,"['even layer', 'even distribution']","['ровный слой', 'равномерное распределение']"
198,even,четный,[],[]
199,even,эвенский,[],[]
200,even,вечер,[],[]
201,even,эвен,[],[]
202,even,выравнивать,[],[]
203,even,и,[],[]
204,even,пусть,[],[]
205,field,поле,"['electromagnetic field', 'strong magnetic field', 'locally compact field']","['электромагнитное поле', 'сильное магнитное поле', 'локально компактное поле']"
206,field,область,"['professional field', 'financial field', 'sports field', 'promising field']","['профессиональная область', 'финансовая сфера', 'спортивная площадка', 'перспективное направление']"
207,field,пространство,['information field'],['информационное пространство']
208,field,месторождение,"['natural gas field', 'field development plan']","['газовое месторождение', 'план разработки месторождения']"
209,field,отрасль,['field of economy'],['отрасль экономики']
210,field,нива,['fertile field'],['плодородная нива']
211,field,поприще,[],[]
212,field,промысел,[],[]
213,field,полевой,"['field effect transistor', 'field tax audit']","['полевой транзистор', 'выездная налоговая проверка']"
214,field,промысловый,[],[]
215,field,походный,[],[]
216,field,в полевых условиях,[],[]
217,background,фон,"['background color', 'natural radiation background', 'dark blue background', 'text on white background']","['цвет фона', 'естественный радиационный фон', 'синий фон', 'текст на белом фоне']"
218,background,предпосылка,"['genetic background', 'political background', 'conceptual background']","['генетическая предпосылка', 'политическая подоплека', 'концептуальная основа']"
219,background,происхождение,['ethnic background'],['этническое происхождение']
220,background,подготовка,['scientific background'],['научная подготовка']
221,background,история,"['background of the conflict', 'professional background']","['предыстория конфликта', 'профессиональная биография']"
222,background,сведения,[],[]
223,background,фоновый режим,[],[]
224,background,опыт,['diverse background'],['разнообразный опыт']
225,background,справочная информация,[],[]
226,background,история вопроса,[],[]
227,background,прошлое,['rich historical background'],['богатое историческое прошлое']
228,background,образование,[],[]
229,background,корень,[],[]
230,background,исходная информация,[],[]
231,background,контекст,[],[]
232,background,общие сведения,[],[]
233,background,исток,[],[]
234,background,фоновое изображение,[],[]
235,background,фоновая,[],[]
236,background,фоновый,"['background noise level', 'soft background music', 'background data']","['уровень фонового шума', 'легкая фоновая музыка', 'исходные данные']"
237,background,справочный,['background document'],['справочный документ']
238,background,второстепенный,[],[]
239,easily,легко,['easily accessible'],['легко доступный']
240,easily,без труда,[],[]
241,easily,спокойно,['sleep easily'],['спать спокойно']
242,easily,доступно,[],[]
243,easily,просто,[],[]
244,easily,удобно,[],[]
245,easily,нетрудно,[],[]
246,write,писать,"['write science fiction', 'write new songs', 'write short stories', 'write a letter', 'write music']","['писать научную фантастику', 'писать новые песни', 'писать рассказы', 'написать письмо', 'сочинять музыку']"
247,write,записывать,"['write files', 'write code']","['записывать файлы', 'записать код']"
248,write,выписывать,"['write a check', 'write a cheque']","['выписывать чек', 'выписать чек']"
249,write,вписать,[],[]
250,write,списать,[],[]
251,write,письменный,[],[]
252,ravioli,равиоли,[],[]
253,ravioli,пельменный,[],[]
254,apologise,извиниться,[],[]
255,fire,огонь,"['machine gun fire', 'heavy artillery fire', 'cold blue fire', 'make a fire', 'large forest fire', 'hell fire']","['пулеметный огонь', 'сильный артиллерийский огонь', 'холодный синий огонь', 'разжечь костер', 'крупный лесной пожар', 'адское пламя']"
256,fire,возгорание,['risk of fire'],['опасность возгорания']
257,fire,камин,['gas fire'],['газовый камин']
258,fire,стрельба,['rate of fire'],['темп стрельбы']
259,fire,обстрел,['rocket fire'],['ракетный обстрел']
260,fire,стрелять,"['fire again', 'fire twice']","['стрелять снова', 'выстрелить дважды']"
261,fire,увольнять,['fire employees'],['увольнять сотрудников']
262,fire,поджечь,[],[]
263,fire,обстрелять,[],[]
264,fire,огневой,['fire power'],['огневая мощь']
265,fire,противопожарный,"['fire damper', 'fire alarm system', 'voluntary fire brigade', 'fire protection service', 'fire engine']","['противопожарная заслонка', 'пожарная сигнализация', 'добровольная пожарная дружина', 'пожарная охрана', 'пожарная машина']"
266,fire,огненный,['huge ball of fire'],['огромный огненный шар']
267,fly,летать,"['unidentified flying object', 'fly home', 'fly away', 'fly further', 'fly over']","['неопознанный летающий объект', 'полететь домой', 'лететь прочь', 'пролететь дальше', 'прилететь сюда']"
268,fly,вылететь,"['fly to london', 'fly upwards']","['вылететь в лондон', 'взлететь вверх']"
269,fly,влететь,[],[]
270,fly,подлететь,[],[]
271,fly,отлететь,[],[]
272,fly,слетаться,[],[]
273,fly,муха,['fruit fly'],['фруктовая муха']
274,fly,полет,['fly ball'],['полет мяча']
275,beaver,бобр,['grey beaver'],['серый бобр']
276,beaver,Бобрик,[],[]
277,beaver,Бивер,[],[]
278,beaver,работяга,[],[]
279,beaver,бородач,[],[]
280,beaver,бобровый,['beaver dam'],['бобровая плотина']
281,duck,утка,"['wild duck', 'roast duck', 'rubber duck', 'little duck']","['дикая утка', 'жареная утка', 'резиновый утенок', 'маленькая уточка']"
282,duck,парусина,[],[]
283,duck,утятина,[],[]
284,duck,душка,[],[]
285,duck,нырок,[],[]
286,duck,нагнуться,[],[]
287,duck,нырять,[],[]
288,duck,увернуться,[],[]
289,duck,наклонить,[],[]
290,duck,утиный,['duck hunt'],['утиная охота']
291,coincide,совпадать,[],[]
292,coincide,совмещаться,[],[]
293,exactly,именно,['contain exactly'],['содержать ровно']
294,exactly,точно,['exactly solvable model'],['точно решаемая модель']
295,exactly,совсем,[],[]
296,exactly,как раз,[],[]
297,exactly,конкретно,[],[]
298,exactly,в точности,[],[]
299,exactly,аккурат,[],[]
300,exactly,точь,[],[]
301,exactly,совершенно верно,[],[]
302,anything,что угодно,[],[]
303,anything,ничего,[],[]
304,anything,все,[],[]
305,exhaustively,исчерпывающе,[],[]
306,exhaustively,полностью,[],[]
307,exhaustively,тщательно,[],[]
308,apoplexy,удар,[],[]
309,apoplexy,инсульт,[],[]
310,apoplexy,кровоизлияние,[],[]
311,apoplexy,апоплексический,[],[]
312,coconut,кокос,['green coconut'],['зеленый кокос']
313,coconut,мякоть кокоса,[],[]
314,coconut,кокосовый,"['coconut oil', 'coconut palm tree', 'coconut milk']","['кокосовое масло', 'кокосовая пальма', 'кокосовое молоко']"
315,not,не,"['not only', 'not very good', 'not all species', 'not so much', 'do not smoke', 'not a bit']","['не только', 'не очень хороший', 'не все виды', 'не столько', 'не курить', 'ни капельки']"
316,not,нет,['not available'],['нет данных']
317,international,международный,"['international covenant', 'international monetary fund', 'international olympic committee', 'international finance corporation', 'international civil aviation', 'international economic relations', 'international polar year', 'international armed conflict', 'international red cross', 'international duty']","['международный пакт', 'международный валютный фонд', 'международный олимпийский комитет', 'международная финансовая корпорация', 'международная гражданская авиация', 'международные экономические отношения', 'международный полярный год', 'международный вооруженный конфликт', 'международный красный крест', 'интернациональный долг']"
318,international,Интернационал,[],[]
319,synchrophasotron,синхрофазотрон,[],[]
320,best,лучший,['best quality'],['лучшее качество']
321,best,наивысший,[],[]
322,best,лучше всего,[],[]
323,best,Бест,[],[]
324,parent,родитель,['love for his parents'],['любовь к родителям']
325,parent,предок,[],[]
326,parent,отец,[],[]
327,parent,родительский элемент,[],[]
328,parent,родительница,[],[]
329,parent,родительский,"['parent element', 'ultimate parent company']","['родительский элемент', 'материнская компания']"
330,parent,исходный,['parent compound'],['исходное соединение']
331,parent,вышестоящий,['parent body'],['вышестоящий орган']
332,parent,один из родителей,[],[]
333,ocean,океан,"['world ocean', 'ocean surface temperature', 'deep blue ocean', 'great western ocean', 'turquoise ocean']","['мировой океан', 'температура поверхности океана', 'синий океан', 'великий западный океан', 'бирюзовое море']"
334,ocean,дно океана,[],[]
335,ocean,океанский,"['fresh ocean air', 'luxury ocean liner', 'warm ocean current', 'ocean basin', 'ocean carrier']","['свежий океанский воздух', 'роскошный океанский лайнер', 'теплое океанское течение', 'океанический бассейн', 'морской перевозчик']"
336,coincidental,случайный,['coincidental events'],['случайные события']
337,coincidental,совпадающий,[],[]
338,coincidental,случайное совпадение,[],[]
339,buzzer,сирена,"['final buzzer', 'buzzer sound']","['финальная сирена', 'звук зуммера']"
340,buzzer,звонок,['alarm buzzer'],['тревожный звонок']
341,buzzer,пищалка,[],[]
342,buzzer,зуммерный,[],[]
343,century,век,"['century ad', 'beginning of last century']","['столетие нашей эры', 'начало прошлого столетия']"
344,century,столетье,[],[]
345,century,центурия,[],[]
346,century,вековой,['century oak'],['вековой дуб']
347,century,в.,[],[]
348,euro,евро,['euro exchange rate'],['курс евро']
349,euro,ЕРБ,[],[]
350,euro,европейский,[],[]
351,dynamite,динамит,[],[]
352,dynamite,динамитная шашка,[],[]
353,dynamite,динамитный,['dynamite bomb'],['динамитная бомба']
354,dynamite,взрывной,[],[]
355,buy,купить,"['buy glasses', 'buy lottery tickets', 'buy new clothes', 'buy property', 'buy souvenirs', 'buy goods', 'buy the company', 'buy the equipment', 'buy dollars']","['купить очки', 'покупать лотерейные билеты', 'покупать новую одежду', 'приобретать недвижимость', 'приобрести сувениры', 'закупать товар', 'выкупить компанию', 'закупить оборудование', 'скупать доллары']"
356,buy,продать,[],[]
357,buy,накупить,['buy gifts'],['накупить подарков']
358,buy,подкупить,[],[]
359,buy,покупка,['buying experience'],['приобретение опыта']
360,afraid,испуганный,[],[]
361,afraid,боящийся,[],[]
362,afraid,напуганный,[],[]
363,afraid,страшно,[],[]
364,afraid,боязно,[],[]
365,peremptory,императивный,"['peremptory rule', 'peremptory tone']","['императивная норма', 'повелительный тон']"
366,peremptory,безапелляционный,[],[]
367,member,член,"['member of congress', 'flight crew member', 'full fledged member', 'stock exchange member', 'members of nongovernmental organizations', 'member of civil society', 'foreign honorary member', 'local community members', 'expedition member']","['член конгресса', 'член летного экипажа', 'полноправный член', 'член биржи', 'члены неправительственных организаций', 'член гражданского общества', 'иностранный почетный член', 'члены местного сообщества', 'участник экспедиции']"
368,member,представитель,['members of ethnic minorities'],['представители этнических меньшинств']
369,member,элемент,['calculated member'],['вычисляемый элемент']
370,member,депутат,[],[]
371,member,член организации,[],[]
372,member,членский,[],[]
373,childhood,детство,"['happy childhood', 'early childhood education', 'friends of his childhood']","['счастливое детство', 'образование в раннем детстве', 'друзья детства']"
374,childhood,детский,['childhood dream'],['детская мечта']
375,go,идти,"['go right ahead', 'go south', 'go barefoot', 'go by train', 'go ashore']","['идти прямо вперед', 'пойти на юг', 'ходить босиком', 'поехать поездом', 'сходить на берег']"
376,go,проходить,"['go through walls', 'go well']","['проходить сквозь стены', 'пройти успешно']"
377,go,ехать,"['go anywhere', 'go everywhere']","['ехать никуда', 'ездить везде']"
378,go,отправиться,"['go on leave', 'go quietly']","['уходить в отпуск', 'уйти спокойно']"
379,go,перейти,[],[]
380,go,происходить,[],[]
381,plate,пластина,"['thin metal plate', 'nail plate', 'guide plate']","['тонкие металлические пластины', 'ногтевая пластинка', 'направляющая планка']"
382,plate,плита,"['reinforced concrete plate', 'memorial plate', 'mounting plate']","['железобетонная плита', 'памятная доска', 'монтажная плата']"
383,plate,тарелка,"['paper plate', 'silver plate', 'little plates']","['бумажная тарелка', 'серебряное блюдо', 'маленькие тарелочки']"
384,plate,лист,['steel plate'],['стальной лист']
385,plate,номерной знак,[],[]
386,plate,дощечка,"['wooden plates', 'name plate']","['деревянные дощечки', 'фирменная табличка']"
387,plate,панель,['front plate'],['передняя панель']
388,plate,накладка,['decorative plates'],['декоративные накладки']
389,plate,платформа,['tectonic plate'],['тектоническая платформа']
390,plate,стяжка,[],[]
391,plate,бляха,[],[]
392,plate,толстый лист,[],[]
393,plate,листовой,[],[]
