,word,local_word,examples,local_examples
0,word,слово,"['last word', 'old english word', 'new word in art', 'sure word of prophecy', 'part of that word', 'man of his word', 'strong word']","['последнее слово', 'старое английское слово', 'новое слово в искусстве', 'пророческое слово', 'часть этого слова', 'человек слова', 'крепкое словечко']"
1,word,известие,[],[]
2,word,слова,[],[]
3,word,говорить,[],[]
4,word,сформулировать,[],[]
5,word,текстовый,['word processing document'],['текстовый документ']
6,word,словесный,['word game'],['словесная игра']
7,wording,формулировка,['exact wording'],['точная формулировка']
8,wording,редакция,['new wording'],['новая редакция']
9,wording,текст,['wording of the declaration'],['текст декларации']
10,worded,сформулированный,[],[]
11,words,речь,"['sweet words', 'obscene words']","['сладкие речи', 'нецензурные фразы']"
12,words,текст,[],[]
13,words,пословный,[],[]
14,the,этот,"[""I didn't like the book""]",['эта книга мне не понравилась']
15,the,тот,"['the woman I told you about', 'this is the guy']","['та женщина, о которой я тебе рассказывал', 'это тот самый человек']"
16,the,такой,['not the man to shrink form responsibility'],"['не такой человек, чтобы бежать от ответственности']"
17,the,тем,"['the more the better', 'so much the worse']","['чем больше, тем лучше', 'тем хуже']"
18,thes,Фес,[],[]
19,and,и,[],[]
20,and,а также,[],[]
21,and,причем,[],[]
22,and,так и,[],[]
23,and,с,[],[]
24,ands,НСРА,[],[]
25,ood,ООПР,[],[]
26,Ander,Андер,[],[]
27,that,что,[],[]
28,that,будто,[],[]
29,that,дабы,[],[]
30,that,который,[],[]
31,that,это,[],[]
32,that,тот самый,[],[]
33,that,так,[],[]
34,that,таковой,[],[]
35,those,те,[],[]
36,for,для,"['for the bank', 'for last month', 'for one year', 'for all tastes', 'for seven days', 'application for participation', 'for a moment', 'ready for operation', 'for this reason', 'ask for help']","['для банка', 'за последний месяц', 'на один год', 'на любой вкус', 'на семь дней', 'заявка на участие', 'на мгновение', 'готовый к работе', 'по этой причине', 'просить о помощи']"
37,for,ради,['for god'],['ради бога']
38,for,в течение,[],[]
39,for,в отношении,[],[]
40,for,для целей,[],[]
41,for,ибо,[],[]
42,for,чтобы,[],[]
43,with,с,"['along with', 'with great success', 'with open arms', 'with all amenities', 'with due account', 'coffee with milk', 'with best wishes', 'with such speed', 'incompatible with life', 'with the participation']","['вместе с', 'с большим успехом', 'с распростертыми объятиями', 'со всеми удобствами', 'с учетом', 'кофе с молоком', 'с наилучшими пожеланиями', 'с такой скоростью', 'несовместимый с жизнью', 'при участии']"
44,with,причем,[],[]
45,with,вместе с,[],[]
46,but,но,['but also'],['но также']
47,but,а,[],[]
48,but,однако,[],[]
49,but,только,[],[]
50,but,кроме,[],[]
51,you,вы,['pleased with all of you'],['доволен вами всеми']
52,you,ты,"['to talk to you', 'someone who loves you', 'to invite you for dinner']","['говорить с тобой', 'та, кто тебя любит', 'пригласить Вас на ужин']"
53,this,этот,"['this method', 'follow these instructions', 'this new phenomenon', 'this information system', 'reject this proposal', 'this small group', 'this type']","['этот метод', 'следовать этим инструкциям', 'это новое явление', 'эта информационная система', 'отклонить это предложение', 'эта малая группа', 'такой тип']"
54,this,это,[],[]
55,this,настоящий,"['this standard', 'this season']","['настоящий стандарт', 'нынешний сезон']"
56,this,то,[],[]
57,this,так,[],[]
58,this led,этот светодиод,[],[]
59,these,эти,[],[]
60,not,не,"['not only', 'not very good', 'not all species', 'not so much', 'do not smoke', 'not a bit']","['не только', 'не очень хороший', 'не все виды', 'не столько', 'не курить', 'ни капельки']"
61,not,нет,['not available'],['нет данных']
62,have,иметь,"['have full access', 'have good relations', 'have certain rights', 'have negative consequences', 'have sexual intercourse', 'have spaces']","['иметь полный доступ', 'иметь хорошие отношения', 'иметь определенные права', 'иметь негативные последствия', 'иметь половое сношение', 'содержать пробелы']"
63,have,обладать,['have nuclear weapons'],['обладать ядерным оружием']
64,have,получать,['have fun'],['получать удовольствие']
65,have,испытывать,['have difficulty'],['испытывать трудности']
66,have,провести,['have talks'],['провести переговоры']
67,have,приходиться,[],[]
68,have,оказывать,[],[]
69,have,носить,[],[]
70,have,проявлять,[],[]
71,have,потерпеть,[],[]
72,have,питать,[],[]
73,have,уже,[],[]
74,have,вспомогательный глагол,[],[]
75,haves,имущий,[],[]
76,having,имеющий,[],[]
77,having,обладающий,[],[]
78,having,оказывающий,[],[]
79,having,носивший,[],[]
80,letter,письмо,"['open letter', 'write love letters', 'copy of that letter', 'most recent letter', 'apostolic letter']","['открытое письмо', 'писать любовные письма', 'копия этого письма', 'последнее письмо', 'апостольское послание']"
81,letter,буква,"['lower case letter', 'use of capital letters', 'big red letters', 'initial letters of words', 'golden letter']","['строчная буква', 'использование заглавных букв', 'большие красные буквы', 'начальные буквы слов', 'золотая литера']"
82,letter,грамота,['gold letter'],['золотая грамота']
83,letter,письмена,[],[]
84,letter,буквенный,[],[]
85,letter,письменный,[],[]
86,letter,Letters,[],[]
87,letter,писать письмо,[],[]
88,lettered,литерный,[],[]
