,word,local_word,examples,local_examples
0,for,pour,"['for the bank', 'for last month', 'for one year', 'for all tastes', 'for seven days', 'application for participation', 'for a moment', 'ready for operation', 'for this reason', 'ask for help']","['pour la banque', 'pour le mois dernier', 'pendant un an', 'pour tous les goûts', 'pendant sept jours', 'demande de participation', 'pour un moment', ""prêt pour l'opération"", 'pour cette raison', ""demander de l'aide""]"
1,for,pour,['for god'],['pour dieu']
2,for,au cours de,[],[]
3,for,à l'égard de,[],[]
4,for,à des fins,[],[]
5,for,car,[],[]
6,for,pour,[],[]
7,cafe,café,[],[]
8,cafe,buffet,[],[]
9,cafe,café-restaurant,[],[]
10,follow,suivre,"['follow these instructions', 'follow suit', 'follow the law']","['suivez ces instructions', 'emboîter', 'suivre la loi']"
11,follow,surveiller,['follow the process'],['suivre le processus']
12,follow,respecter,"['follow certain rules', 'follow the plan', 'follow the logic']","['suivre certaines règles', 'suivre le plan', 'suivre la logique']"
13,follow,accompagner,[],[]
14,follow,aller,['follow the way'],['suivez le chemin']
15,follow,exécuter,[],[]
16,follow,découler,[],[]
17,follow,suivant à suivre,[],[]
18,follow,répéter,[],[]
19,follow,ultérieur,[],[]
20,warm,chaud,"['warm weather', 'warm air mass', 'warm summer evening', 'warm salt water', 'warm sunny day', 'warm apple pie', 'warm subtropical climate', 'warm yellow light', 'receive a warm welcome', 'very warm', 'warm country', 'warm reception']","['temps chaud', ""masse d'air chaud"", ""chaude soirée d'été"", ""de l'eau chaude salée"", 'jour chaud et ensoleillé', 'tarte aux pommes chaude', 'climat subtropical chaud', 'chaude lumière jaune', 'recevez un accueil chaleureux', 'très chaud', 'pays chaud', 'accueil chaleureux']"
21,warm,cardiaque,['warm congratulations'],['chaleureuses félicitations']
22,warm,réchauffer,"['warm the soul', 'warmed oil']","[""chaud l'âme"", 'huile chauffée']"
23,warm,se réchauffer,[],[]
24,warm,isoler,[],[]
25,warm,Il fait chaud,[],[]
26,warm,échauffement,[],[]
27,collide,se heurter,[],[]
28,collide,être en conflit,[],[]
29,collide,donner contre,[],[]
30,collide,se battre,[],[]
31,collide,en conflit,[],[]
32,break,casser,"['broken line', 'break the resistance', 'broken leg']","['la ligne brisée', 'briser la résistance', 'jambe cassée']"
33,break,violer,"['break the rules', 'spontaneously broken symmetry']","['briser les règles', 'symétrie cassée spontanément']"
34,break,briser,"['break hearts', 'break a bottle']","['briser des coeurs', 'casser une bouteille']"
35,break,rompre,['broken chain'],['rupture de la chaîne']
36,break,percer,[],[]
37,break,détruire,[],[]
38,break,échapper,['break forth'],['pause de suite']
39,break,se briser,[],[]
40,break,éclater,[],[]
41,break,perforer,[],[]
42,break,surmonter,[],[]
43,break,se détacher,[],[]
44,break,arracher,[],[]
45,break,réfracter,[],[]
46,break,pause,['top break'],['haut rupture']
47,break,écart,['page break'],['saut de page']
48,break,brèche,['big break'],['big break']
49,break,vacance,[],[]
50,break,répit,[],[]
51,tiger,gros chat,['asian tiger'],"[""tigre de l'asie""]"
52,tiger,bête,[],[]
53,tiger,tigrin,"[""tiger's eye""]","[""l'oeil du tigre""]"
54,lion,lion,['sea lion'],['lion de mer']
55,lion,de lion,"[""lion's share""]",['la part du lion']
56,background,toile de fond,"['background color', 'natural radiation background', 'dark blue background', 'text on white background']","[""couleur d'arrière-plan"", 'rayonnement naturel', 'fond bleu foncé', 'texte sur fond blanc']"
57,background,condition préalable,"['genetic background', 'political background', 'conceptual background']","['antécédents génétiques', 'contexte politique', 'arrière-plan conceptuel']"
58,background,origine,['ethnic background'],"[""l'origine ethnique""]"
59,background,préparation,['scientific background'],['contexte scientifique']
60,background,histoire,"['background of the conflict', 'professional background']","['arrière-plan du conflit', 'parcours professionnel']"
61,background,information,[],[]
62,background,le mode arrière-plan,[],[]
63,background,expérience,['diverse background'],['antécédents diversifiés']
64,background,informations de référence,[],[]
65,background,l'histoire de la question,[],[]
66,background,passé,['rich historical background'],['contexte historique riche']
67,background,éducation,[],[]
68,background,racine,[],[]
69,background,informations de base,[],[]
70,background,contexte,[],[]
71,background,généralités,[],[]
72,background,origine,[],[]
73,background,l'image de fond,[],[]
74,background,parasite,[],[]
75,background,parasite,"['background noise level', 'soft background music', 'background data']","['niveau de bruit de fond', 'douce musique de fond', 'données en arrière-plan']"
76,background,de référence,['background document'],"[""document d'information""]"
77,background,secondaire,[],[]
78,write,écrire,"['write science fiction', 'write new songs', 'write short stories', 'write a letter', 'write music']","['ecrire de la science fiction', 'écrire de nouvelles chansons', 'écrire des histoires courtes', 'écrire une lettre', 'écrire de la musique']"
79,write,enregistrer,"['write files', 'write code']","['écrire des fichiers', 'écrire du code']"
80,write,prescrire,"['write a check', 'write a cheque']","['écrire un chèque', 'écrire un chèque']"
81,write,inscrire,[],[]
82,write,radier,[],[]
83,write,écrit,[],[]
84,apologise,s'excuser devant,[],[]
85,fly,voler,"['unidentified flying object', 'fly home', 'fly away', 'fly further', 'fly over']","['objet volant non identifié', 'rentrer à la maison', 'envoler', 'voler plus loin', 'survoler']"
86,fly,s'envoler,"['fly to london', 'fly upwards']","[""s'envoler pour londres"", 'voler vers le haut']"
87,fly,entrer,[],[]
88,fly,voler,[],[]
89,fly,s'envoler,[],[]
90,fly,слетаться,[],[]
91,fly,mouche,['fruit fly'],['la mouche des fruits']
92,fly,vol,['fly ball'],['fly ball']
93,beaver,castor,['grey beaver'],['gris castor']
94,beaver,Castor,[],[]
95,beaver,Castor,[],[]
96,beaver,bourreau de travail,[],[]
97,beaver,gypaète,[],[]
98,beaver,de castor,['beaver dam'],['beaver dam']
99,coincide,coïncider,[],[]
100,coincide,se confondre,[],[]
101,anything,n'importe quoi,[],[]
102,anything,rien,[],[]
103,anything,C'est tout,[],[]
104,exhaustively,limitativement,[],[]
105,exhaustively,entièrement,[],[]
106,exhaustively,soigneusement,[],[]
107,apoplexy,coup,[],[]
108,apoplexy,apoplexie,[],[]
109,apoplexy,hémorragie,[],[]
110,apoplexy,apoplectique,[],[]
111,coconut,coco,['green coconut'],['vert de noix de coco']
112,coconut,pulpe de noix de coco,[],[]
113,coconut,de coco,"['coconut oil', 'coconut palm tree', 'coconut milk']","['huile de noix de coco', 'cocotier', 'lait de noix de coco']"
114,not,pas,"['not only', 'not very good', 'not all species', 'not so much', 'do not smoke', 'not a bit']","['non seulement', 'pas très bon', 'pas toutes les espèces', 'pas tellement', 'ne pas fumer', 'pas un peu']"
115,not,pas,['not available'],['pas disponible']
