,word,local_word,pos,examples,local_examples
0,подчиненный,inferior,noun,['подчиненное положение'],['inferior position']
1,подчиненный,subject,noun,[],[]
2,подчиненный,subordination,noun,[],[]
3,подчиненный,underling,noun,[],[]
4,подчиненный,subaltern,noun,[],[]
5,подчиненный,subordinate,participle,['непосредственный подчиненный'],['immediate subordinate']
6,подчиненный,slave,participle,['подчиненное устройство'],['slave device']
7,подчиненный,subordinated,participle,[],[]
8,подчиненный,dependent,participle,[],[]
9,подчиненный,subdued,participle,[],[]
10,точечный,spot,adjective,"['точечная сварка', 'точечная матрица', 'точечный источник']","['spot welding', 'dot matrix', 'point source']"
11,точечный,punctual,adjective,[],[]
12,точечный,dotty,adjective,[],[]
13,точечный,bitmap,adjective,[],[]
14,точечный,pinpoint,adjective,[],[]
15,точечный,precision,adjective,['точечный удар'],['precision strike']
16,пожаробезопасность,fire safety,noun,[],[]
17,значительно,significantly,adverb,"['значительно увеличивать', 'значительно снизиться', 'значительно упрощать']","['increase significantly', 'decrease considerably', 'greatly simplify']"
18,значительно,dramatically,adverb,[],[]
19,в секрете,in secret,adverb,[],[]
20,в секрете,secret,adverb,[],[]
21,профессионализм,professionalism,noun,['недостаток профессионализма'],['lack of professionalism']
22,профессионализм,qualification,noun,['высокий профессионализм'],['strong qualifications']
23,очистить,clean,verb,"['очищенный газ', 'очистить фильтр', 'очищенная кожа', 'очищенная вода', 'очищенное масло']","['cleaned gas', 'clear filter', 'cleansed skin', 'purified water', 'refined oil']"
24,очистить,peel,verb,[],[]
25,очистить,empty,verb,['очистить корзину'],['empty the trash']
26,очистить,wipe,verb,[],[]
27,очистить,flush,verb,[],[]
28,труба,pipe,noun,"['стальная труба', 'вентиляционная труба', 'нефтяная труба', 'медная труба']","['steel pipe', 'ventilation duct', 'oil pipeline', 'copper tubing']"
29,труба,trumpet,noun,['серебряная труба'],['silver trumpet']
30,труба,chimney,noun,['фабричная труба'],['factory chimney']
31,труба,funnel,noun,['высокая труба'],['tall funnel']
32,труба,stack,noun,['дымовая труба'],['smoke stack']
33,несколько,several,numeral,['несколько раз'],['several times']
34,несколько,few,numeral,['несколько дней'],['few days']
35,несколько,some,numeral,['несколько лет'],['some years']
36,несколько,multiple,numeral,[],[]
37,несколько,couple,numeral,['несколько человек'],['handful of people']
38,несколько,number,numeral,[],[]
39,несколько,somewhat,adverb,"['несколько особняком', 'несколько позднее', 'несколько странно', 'несколько иначе']","['somewhat apart', 'slightly later', 'little odd', 'rather differently']"
40,невежественный,ignorant,adjective,['невежественный дикарь'],['ignorant savage']
41,невежественный,illiterate,adjective,[],[]
42,невежественный,untaught,adjective,[],[]
43,невежественный,rude,adjective,[],[]
44,завтрак,breakfast,noun,"['континентальный завтрак', 'легкий завтрак', 'коробка для завтрака']","['continental breakfast', 'light luncheon', 'lunch box']"
45,район,area,noun,"['жилой район', 'деловой район', 'административный район']","['residential area', 'business district', 'administrative region']"
46,район,neighbourhood,noun,['тихий район'],['quiet neighbourhood']
47,район,vicinity,noun,[],[]
48,район,borough,noun,['густонаселенный район'],['populous borough']
49,район,locality,noun,['различные районы'],['various localities']
50,район,rayon,noun,['территория района'],['territory of the rayon']
51,район,section,noun,[],[]
52,район,hinterland,noun,['сельскохозяйственный район'],['agricultural hinterland']
53,район,township,noun,[],[]
54,район,corner,noun,[],[]
55,долить,top up,verb,[],[]
56,долить,add,verb,['долить масло'],['add oil']
57,пряный,spicy,adjective,['пряный вкус'],['spicy flavor']
58,пряный,savoury,adjective,[],[]
59,пряный,spice,adjective,['пряное растение'],['spice plant']
60,пряный,rich,adjective,[],[]
61,одобрять,approve,verb,[],[]
62,одобрять,welcome,verb,[],[]
63,одобрять,commend,verb,[],[]
64,одобрять,favour,verb,[],[]
65,одобрять,appreciate,verb,[],[]
66,одобрять,condone,verb,[],[]
67,всполошить,arouse,verb,[],[]
68,восьмерка,eight,noun,['большая восьмерка'],['big eight']
69,слон,elephant,noun,['белый слон'],['white elephant']
70,слон,bishop,noun,['черный слон'],['black bishop']
71,подача,supply,noun,"['подача топлива', 'подача воды']","['fuel supply', 'water delivery']"
72,подача,submission,noun,['правильная подача'],['proper presentation']
73,подача,filing,noun,['подача заявления'],['filing of application']
74,подача,serve,noun,[],[]
75,подача,feeding,noun,['автоматическая подача'],['automatic feeding']
76,подача,pitch,noun,['коммерческая подача'],['sales pitch']
77,подача,innings,noun,[],[]
78,подача,feed,noun,['скорость подачи'],['feed speed']
79,подача,flow,noun,['подача кислорода'],['oxygen flow']
80,подача,feeder,noun,['система подачи'],['feeder systems']
81,подача,serving,noun,['подача блюд'],['serving dishes']
82,подача,admission,noun,[],[]
83,подача,travel,noun,[],[]
84,войсковая часть,army part,noun,[],[]
85,войсковая часть,troop unit,noun,[],[]
86,войсковая часть,military unit,noun,[],[]
87,стойкость,resistance,noun,"['коррозионная стойкость', 'химическая стойкость', 'криптографическая стойкость', 'удивительная стойкость']","['corrosion resistance', 'chemical durability', 'cryptographic strength', 'remarkable resilience']"
88,стойкость,firmness,noun,[],[]
89,стойкость,endurance,noun,"['высокая стойкость', 'хорошая стойкость']","['high endurance', 'good stamina']"
90,стойкость,staunchness,noun,[],[]
91,стойкость,rigidity,noun,[],[]
92,напев,tune,noun,['сладкие напевы'],['sweet melodies']
93,напев,croon,noun,[],[]
94,соответствовать,correspond,verb,"['соответствовать примерно', 'соответствовать ожиданиям', 'соответствовать шаблону']","['correspond roughly', 'meet expectations', 'match the pattern']"
95,соответствовать,comply,verb,"['соответствовать требованиям', 'соответствовать стандарту']","['comply with requirements', 'conform to a standard']"
96,соответствовать,fit,verb,"['соответствовать фактам', 'соответствовать случаю']","['fit the facts', 'suit the occasion']"
97,соответствовать,relevant,verb,[],[]
98,соответствовать,accord,verb,[],[]
99,соответствовать,agree,verb,[],[]
100,соответствовать,tally,verb,[],[]
101,соответствовать,parallel,verb,[],[]
102,соответствовать,comport,verb,[],[]
103,соответствовать,jibe,verb,[],[]
104,промерзнуть,be chilled,verb,[],[]
105,техническое умение,technical skill,noun,[],[]
