,word,local_word,pos,examples,local_examples,examples_and_definitions
0,word,conseil,NOUN,NOUN,NOUN,national security council | council | board | school board | board of education | staff meeting | town council | district council | word | advice | piece of advice | board of directors | employment tribunal | industrial tribunal | governing body | tip | marriage guidance | cabinet meeting | counsel | senate | caution | hint | disciplinary committee | marriage counselling | counseling | Just one word of warning – don’t trust any of them. | 
1,word,nouvelles,OTHER,OTHER,OTHER,news | word | stop press | breaking news | I was afraid to leave Edinburgh in case there was word from the War Office. | 
2,word,mot,NOUN,NOUN,NOUN,"line | note | code word | word | password | root word | sick note | buzzword | watchword | witticism | colloquialism | Can you spell the word correctly? | Not a word was spoken. | Benjamin copied the verse down, word for word. | He wastes no words, though details are terribly important to him. | Back in those days the referee would have a quiet word in your ear and warn you not to do it again. | I take it that all my well-chosen words have been entirely wasted. | Typical restraints range from regulations to the occasional word to the wise. | I don't like the word ‘unofficial’. | I haven't told him in so many words, but he'd understand. | I can’t understand a word she says. | Don't believe a word of it. | Ready to leave again at a word. | That’s word for word what the man said. | He had to learn his words. | Her father would have had words with her about that. | A word of warning. | He's a man of few words. | The word on the street is that there will be a major announcement soon. | Word up, my brother, you got me high as a kite. | Why so many words for so few ideas? | Are there any real reasons to worry? In a word, plenty. | He words his request in a particularly ironic way. | Someone gave me the word to start playing. | He felt a vague disappointment which he couldn't put into words. | I had a quick word with him about not wearing jeans. | A dictionary containing over 12,000 words. | "
3,word,paroles,OTHER,OTHER,OTHER,word | talk | lyrics | lyric | pep talk | utterance | bluster | His grandfather's words had been meant kindly. | I really like the words of this song. | 
4,word,parole,OTHER,OTHER,OTHER,"word | faith | speech | gospel truth | spoken | pledge | You know that I always keep my word. | You have my word. | I'll be good to you always, I give you my word of honour. | He conforms in word and deed to the values of a society that he rejects. | Everything will be taken care of—you have my word. | My word, you were here quickly!. | I take him at his word, for I cannot go to see for myself. | In court it would have been his word against mine. | Philip was as good as his word about turning Richard into an actor. | "
5,word,bruit qui court,NOUN,NOUN,NOUN,word | 
6,word,formuler,VERB,VERB,VERB,level | word | frame | shape | draw up | formulate | couch | 
7,word,rédiger,VERB,VERB,VERB,word | write | write up | phrase | compose | 
8,the,la,ADJ,ADJ,ADJ,the | it | what | them | her | I've got the flu. | Dish of the day. | 35p in the pound. | 
9,the,le,DET,DET,DET,"the | it | his | first | what | them | best | him | least | best yet | least expensive | worst | mine | defense secretary | fastest yet | worse | yours | foremost | ours | slightest | theirs | northernmost | furthest | innermost | farthest | topmost | uppermost | westernmost | furthermost | They placed the African elephant on their endangered list. | They are trying to accomplish the impossible. | I'm meeting the boss. | The top of a bus. | The more she thought about it, the more devastating it became. | The 11th of January/January the 11th. | He hoped to publish monthly, if only he could find the money. | Give it to the postman. | The fuss that he made of her. | "
