,word,local_word,examples,local_examples
0,for,pour,"['for the bank', 'for last month', 'for one year', 'for all tastes', 'for seven days', 'application for participation', 'for a moment', 'ready for operation', 'for this reason', 'ask for help']","['pour la banque', 'pour le mois dernier', 'pendant un an', 'pour tous les goûts', 'pendant sept jours', 'demande de participation', 'pour un moment', ""prêt pour l'opération"", 'pour cette raison', ""demander de l'aide""]"
1,for,pour,['for god'],['pour dieu']
2,for,au cours de,[],[]
3,for,à l'égard de,[],[]
4,for,à des fins,[],[]
5,for,car,[],[]
6,for,pour,[],[]
7,before,avant,['before the war'],['avant la guerre']
8,before,en avant de,[],[]
9,before,devant,[],[]
10,before,la veille,[],[]
11,before,Peredo,[],[]
12,before,avant,[],[]
13,before,précédemment,['just before'],['juste avant']
14,before,auparavant,[],[]
15,before,sur le seuil,[],[]
16,before,avant l'offensive,[],[]
17,before,avant,[],[]
18,before,avant,[],[]
19,before,au revoir,[],[]
20,adverb,adverbe,[],[]
21,during,au cours de,[],[]
22,during,lors de,[],[]
23,during,en voie de,[],[]
24,during,durant,['level during the period'],['niveau au cours de la période']
25,airport,aéroport,"['regional airport', 'airport shuttle bus', 'alternate airport']","[""l'aéroport régional de"", ""bus navette de l'aéroport"", 'autre aéroport']"
26,airport,aéroport,[],[]
27,airport,aérogare,[],[]
28,airport,aéroportuaire,['airport charge'],['redevance aéroportuaire']
29,exit,sortie,['emergency exit doors'],['portes de sortie de secours']
30,exit,départ,['exit permit'],['permis de sortie']
31,exit,soin,[],[]
32,exit,congrès,[],[]
33,exit,sortir,"['exit the church', 'exit the stage']","[""la sortie de l'église"", 'quitter la scène']"
34,exit,rouler,[],[]
35,exit,de sortie,['exit visa'],['visa de sortie']
36,exit,congé,['exit pupil'],['la pupille de sortie']
37,drum,tambour,"['brake drum', 'big bass drum', 'metal drum']","['tambour de frein', 'big bass drum', 'tambour en métal']"
38,drum,batterie,[],[]
39,drum,tonneau,[],[]
40,drum,Tambour,['little drum'],['petit tambour']
41,drum,batteur,[],[]
42,drum,tambourin,[],[]
43,drum,instrument à percussion,[],[]
44,drum,parti de percussions,[],[]
45,drum,tympan,[],[]
46,drum,fraction,[],[]
47,drum,Bix,[],[]
48,drum,tambouriner,[],[]
49,drum,de choc,"['drum kit', 'drum set']","['kit de tambour', 'set de batterie']"
50,empty,vide,['empty run'],['fonctionnement à vide']
51,empty,dépourvu d'idées,[],[]
52,empty,désertique,[],[]
53,empty,libre,['empty seat'],['siège vide']
54,empty,affamé,['empty stomach'],"[""l'estomac vide""]"
55,empty,vider,['empty the bladder'],['vider la vessie']
56,empty,se vider,[],[]
57,empty,verser,[],[]
58,empty,nettoyer,[],[]
59,empty,vacuité,['empty feeling'],['sensation de vide']
60,empty,vidange,[],[]
61,empty,sucette,[],[]
62,empty,vides,[],[]
63,empty,vide,[],[]
64,empty,à vide,[],[]
65,dressed,vêtu,[],[]
66,dressed,habillé,[],[]
67,dressed,ravitaillas,[],[]
68,dressed,fabriquas,[],[]
69,dressed,décoré,[],[]
70,dressed,taillas,[],[]
71,dressed,habillant,[],[]
72,dressed,habillas,[],[]
73,cafe,café,[],[]
74,cafe,buffet,[],[]
75,cafe,café-restaurant,[],[]
76,flight,vol,"['flight control system', 'manned space flight', 'flight plan data', 'net flight path', 'flight safety level', 'connecting flight', 'nonstop flight', 'operational flight']","['système de contrôle de vol', 'les vols spatiaux habités', 'données du plan de vol', 'la trajectoire nette de vol', 'vol de niveau de sécurité', 'vol de correspondance', 'vol sans escale', 'vol opérationnel']"
77,flight,meute,['flight of birds'],['le vol des oiseaux']
78,flight,escapade,"['capital flight', 'new flight']","['la fuite des capitaux', 'nouveau vol']"
79,flight,travée,['flight of stairs'],['escalier']
80,flight,décollage,[],[]
81,flight,incursion,[],[]
82,flight,survol,[],[]
83,flight,départ,[],[]
84,flight,d'aviation,"['flight crew member', 'flight test program', 'flight information region']","[""membre d'équipage de conduite"", ""programme d'essais en vol"", ""région d'information de vol""]"
85,flight,embarqué,[],[]
86,flight,décollage,[],[]
87,flight,voler,[],[]
88,begin,commencer,"['begin negotiations', 'begin divorce proceedings', 'begin long', 'begin the search', 'begin work']","['commencer les négociations', 'entamer la procédure de divorce', 'commencer longtemps', 'commencer la recherche', 'commencer à travailler']"
89,begin,venir,[],[]
90,begin,aller,[],[]
91,begin,initier,[],[]
92,fact,fait,"['simple fact', 'well known fact', 'distortion of historical facts', 'proof of this fact', 'facts of his biography', 'fact of its existence', 'represent the facts', 'new fact']","['simple fait', 'fait bien connu', 'distorsion des faits historiques', 'la preuve de ce fait', 'les faits de sa biographie', 'fait de son existence', 'représenter les faits', 'fait nouveau']"
93,fact,essence,[],[]
94,fact,ce,[],[]
95,dream,rêve,"['great american dream', 'long cherished dream', 'girl of his dreams', 'man of her dreams', 'childhood dream', 'bad dream', 'dream of red mansions', 'interpretation of dreams', 'dream factory', 'strange dream', 'ultimate dream']","['grand rêve américain', 'rêve longtemps caressé', 'fille de ses rêves', ""l'homme de ses rêves"", ""rêve d'enfance"", 'mauvais rêve', 'rêve de manoirs rouges', ""l'interprétation des rêves"", 'usine à rêves', 'rêve étrange', 'rêve ultime']"
96,dream,attente,[],[]
97,dream,rêver,['dream again'],['encore rêver']
98,dream,voir en songe,['dream at night'],['rêve la nuit']
99,dream,dormir,[],[]
100,dream,songer,[],[]
101,dream,en songe,[],[]
102,alarm,alarme,[],[]
103,alarm,anxiété,"['false alarm', 'general quarters alarm', 'audio alarm']","['fausse alarme', ""quartier général de l'alarme"", 'alarme sonore']"
104,alarm,signalisation,[],[]
105,alarm,réveil,[],[]
106,alarm,signal d'avertissement,[],[]
107,alarm,détecteur,[],[]
108,alarm,tocsin,[],[]
109,alarm,alarmer,[],[]
110,alarm,alarmer,[],[]
111,alarm,en panne,"['alarm signal', 'alarm relay']","[""le signal d'alarme"", ""relais d'alarme""]"
112,alarm,alarme,[],[]
113,along,par,['along the length'],['le long de la longueur']
114,along,le long de,[],[]
115,along,ensemble,['come along'],['venir']
116,along,en avant,[],[]
117,along,avec moi,[],[]
118,along,à côté,[],[]
119,follow,suivre,"['follow these instructions', 'follow suit', 'follow the law']","['suivez ces instructions', 'emboîter', 'suivre la loi']"
120,follow,surveiller,['follow the process'],['suivre le processus']
121,follow,respecter,"['follow certain rules', 'follow the plan', 'follow the logic']","['suivre certaines règles', 'suivre le plan', 'suivre la logique']"
122,follow,accompagner,[],[]
123,follow,aller,['follow the way'],['suivez le chemin']
124,follow,exécuter,[],[]
125,follow,découler,[],[]
126,follow,suivant à suivre,[],[]
127,follow,répéter,[],[]
128,follow,ultérieur,[],[]
