,word_list,defin,example
0,go,['move from one place to another; travel'],"['he went out to the store', 'she longs to go back home', ""we've got a long way to go""]"
1,go,['travel a specified distance'],['you just have to go a few miles to get to the road']
2,go,['travel or move in order to engage in a specified activity or course of action'],"[""let's go and have a beer"", 'we went to see her', 'she used to go hunting']"
3,go,['attend or visit for a particular purpose'],"['we went to the movies', 'he went to Brown University']"
4,go,['(of a rank or honor) be allotted or awarded'],['the top prize went to a twenty-four-year-old sculptor']
5,go,['(of a thing) lie or extend in a certain direction'],['the scar started just above her ankle and went all the way up inside her leg']
6,go,"['change in level, amount, or rank in a specified direction']",['prices went up by 15 percent']
7,go,['said in various expressions when angrily or contemptuously dismissing someone'],['\n              go and get stuffed']
8,go,"[""used to emphasize the speaker's annoyance at a specified action or event""]","['then he goes and spoils it all', ""don't go poking your nose where you shouldn't""]"
9,go,"[""begin motion (used in a starter's order to begin a race)""]","['ready, set, go!']"
10,go,['leave; depart'],['I really must go']
11,go,['(of time) pass or elapse'],"['the hours went by', 'three years went past']"
12,go,['pass a specified amount of time in a particular way or under particular circumstances'],['sometimes they went for two months without talking']
13,go,['come to an end; cease to exist'],"['a golden age that has now gone for good', '11,500 jobs are due to go by next year']"
14,go,['leave or resign from a post'],['I tried to persuade the Chancellor not to go']
15,go,['die (used euphemistically)'],"[""I'd like to see my grandchildren before I go""]"
16,go,['be lost or stolen'],"['when he returned minutes later, his equipment was gone']"
17,go,"['(of money) be spent, especially in a specified way']",['the rest of his money went into medical expenses']
18,go,['intend or be likely or intended to be or do something; be about to (used to express a future tense)'],"[""I'm going to be late for work"", ""she's going to have a baby""]"
19,go,"['pass into a specified state, especially an undesirable one']","['the food is going bad', ""he's gone crazy"", 'her mind immediately went blank']"
20,go,"['enter into a specified state, institution, or course of action']","['she turned over and went back to sleep', 'the car went into a spin', 'no one went hungry in our house']"
21,go,['make a sound of a specified kind'],['the engine went bang']
22,go,['(of a bell or similar device) make a sound in functioning'],['I heard the buzzer go four times']
23,go,['proceed in a specified way or have a specified outcome; turn out'],"['how did the weekend go?', 'it all went off smoothly']"
24,go,['be acceptable or permitted'],['underground events where anything goes']
25,go,"['be harmonious, complementary, or matching']","['rosemary goes with roast lamb', ""the earrings and the scarf don't really go""]"
26,go,['be found in the same place or situation; be associated'],['cooking and eating go together']
27,go,['(of a machine or device) function'],"[""my car won't go""]"
28,go,['continue in operation or existence'],['the committee was kept going even when its existence could no longer be justified']
29,go,['(of a thing) contribute to or be put into (a whole); be used for or devoted to'],['considerable effort went into making the operation successful']
30,go,"['used to indicate how many people a supply of food, money, or another resource is sufficient for or how much can be achieved using it']","['the sale will go a long way toward easing the huge debt burden', 'a little luck can go a long way']"
31,go,['(of an article) be regularly kept or put in a particular place'],['remember which card goes in which slot']
32,go,['fit or be able to be accommodated in a particular place or space'],"[""you're trying to fit a round peg into a square hole, and it just won't go""]"
33,go,"['(of a song, account, verse, etc.) have a specified content or wording']","[""if you haven't heard it, the story goes like this""]"
34,go,['be known or called by (a specified name)'],['he now goes under the name Charles Perez']
35,go,['say'],"['the kids go, “Yeah, sure.”']"
36,go,['use a toilet; urinate or defecate.'],NO EXAMPLES
37,go,['an attempt or trial at something'],"[""I thought I'd give it a go""]"
38,go,"[""a person's turn to use or do something""]","[""I had a go on Nigel's racing bike"", ""come on Tony, it's your go""]"
