,eng_word,rus,fr
0,for,для,pour
1,for,для,de
2,for,для,à
3,for,для,aux
4,for,для,par
5,for,для,dans
6,for,для,au
7,for,для,en
8,for,для,sur
9,for,ради,pour
10,for,в течение,pendant | durant
11,for,в течение,par
12,for,в течение,durant
13,for,в отношении,au titre de | au titre
14,for,для целей,pour
15,for,для целей,au titre de | au titre
16,for,ибо,car
17,for,ибо,puisque
18,for,чтобы,pour
19,before,до,avant
20,before,до,auparavant
21,before,до,précédant
22,before,впереди,devant
23,before,пред,devant
24,before,накануне,juste avant
25,before,передо,devant
26,before,прежде,avant
27,before,прежде,déjà
28,before,прежде,précédemment
29,before,прежде,auparavant
30,before,прежде,passé
31,before,раньше,avant
32,before,раньше,déjà
33,before,раньше,précédemment
34,before,раньше,auparavant
35,before,раньше,passé
36,before,до этого,auparavant
37,before,в преддверии,avant
38,before,до наступления,avant
39,before,прежде чем,avant
40,before,прежде чем,avant que | avant même que
41,before,прежде нежели,avant
42,before,прежде нежели,déjà
43,before,прежде нежели,auparavant
44,before,пока,avant que
45,adverb,наречие,adverbe
46,during,в течение,pendant | durant
47,during,в течение,au cours
48,during,в течение,durant
49,during,в течение,lors
50,during,во время,pendant | durant
51,during,во время,au cours
52,during,во время,durant
53,during,во время,lors
54,during,в процессе,pendant | durant
55,during,в процессе,durant
56,during,в процессе,lors
57,during,во,sou
58,airport,аэропорт,aéroport
59,airport,авиапорт,no_equality
60,airport,аэровокзал,no_equality
61,airport,аэропортовый,aéroport | d'aéroport
62,exit,выход,sortie
63,exit,выход,issue
64,exit,выход,retrait
65,exit,выезд,sortie
66,exit,выезд,départ
67,exit,выезд,quitter
68,exit,уход,retrait
69,exit,уход,départ
70,exit,уход,désengagement
71,exit,съезд,no_equality
72,exit,выйти,sortir
73,exit,выйти,quitter
74,exit,свернуть,no_equality
75,exit,выездной,sortie | de sortie
76,exit,выходной,no_equality
77,drum,барабан,tambour
78,drum,барабанный бой,tambour | de tambour
79,drum,бочка,baril
80,drum,барабанчик,no_equality
81,drum,барабанщик,no_equality
82,drum,бубен,tambour
83,drum,ударный инструмент,no_equality
84,drum,партия ударных,tambour
85,drum,партия ударных,batterie | de batterie
86,drum,барабанная перепонка,no_equality
87,drum,дробь,tambour | de tambour
88,drum,Бикс,no_equality
89,drum,барабанить,no_equality
90,drum,ударный,no_equality
91,empty,пустой,vide
92,empty,бессодержательный,creux
93,empty,пустынный,désert
94,empty,свободный,libre
