,word,rus_word,local_word,examples,local_examples
0,word,слово,mot,key word|english word|first word|good word,le mot-clé|mot anglais|premier mot|bonne parole
1,and,и,et,,
2,and,а,et,,
3,and,и,et,He thinks of you day and night,Il pense à toi jour et nuit
4,and,но,mais,It's an embarrassing joke and not an insult,C'est embarrassant blague et pas une insulte
5,and,а,et,This is a squid and not an octopus,C'est un calmar et pas un poulpe
6,that,так,donc,,
7,that,то,ce,,
8,that,который / кто / тот который,qui / qui / celui qui,I know the guy that sold you the disk,Je connais le gars qui vous a vendu le disque
9,that,тот,le,On that evening I met Natalie|Do you see those two marks on the wall?,"Sur la soirée, j'ai rencontré Natalie|Voyez-vous ces deux marques sur le mur?"
10,that,что,que,Tell him that Margaret wanted to see him,Dites-lui que Margaret voulait le voir
11,that,чтобы,pour,Turn the mirror so that the room becomes visually larger,Tourner le miroir de sorte que la pièce devient visuellement plus
12,for,для,pour,,
13,for,на,sur,,
14,for,за,pour,,
15,for,в,dans,,
16,for,по,par,,
17,for,к,de,,
18,for,потому что / ибо,parce que / pour,"Lord forgive me, for I've sinned","Seigneur, pardonne-moi, car j'ai péché"
19,with,с,avec,,
20,with no,без,sans,,
21,but,но,mais,,
22,but,однако,cependant,,
23,but,а,et,,
24,but,но,mais,He's hardworking but not very intelligent,Il est laborieux mais pas très intelligent
25,but,а,et,You may tell that to others but not to me,Vous pouvez dire que pour les autres mais pas pour moi
26,but,тем не менее,néanmoins,"What he says is ugly, but it's quite true","Ce qu'il dit, c'est moche, mais c'est tout à fait vrai"
27,but,однако,cependant,"Sam would have been best, but he was dead","Sam aurait été mieux, mais il était mort"
28,but,как / кроме как,comme / sauf comme,There was nothing else to do but to wait,Il n'y avait rien d'autre à faire que d'attendre
29,but,чтобы не,pour ne pas,Never a day passes but he calls her,Jamais un jour ne passe sans qu'il l'appelle
30,you,вы,vous,May I offer you a drink?,Puis-je vous offrir un verre?
31,you,ты,tu,I'm thinking about you,Je pense à vous
32,this,этот,ce,Do you recognise this object?,Reconnaissez-vous cet objet?
33,this,это,ce,I will explain this to you more fully later,Je vais vous expliquer ce à vous plus en détail plus tard
34,not,нельзя,on ne saurait,,
35,not,мало,peu,,
36,not,недостаточно,pas assez,,
37,not,совсем,tout à fait,,
38,not,плохо,mauvais,,
39,not,невозможно,il est impossible,,
40,have,иметь,avoir,to have the right|to have children|to have consequences|to have access,pour avoir le droit|pour avoir des enfants|d'avoir des conséquences|pour avoir accès
41,have,быть,être,to have time|to have their hands full|to have a product|to have nuclear weapons,pour avoir le temps|pour avoir les mains pleines|pour avoir un produit|posséder des armes nucléaires
42,have,получить,recevoir,to have a chance|to have infections,pour avoir une chance|une infection
43,have,обладать,posséder,to have legitimacy|to have its own local particularities,la légitimité|avoir ses particularités locales
44,have,оказать,apporter,,
45,have,мочь,pouvoir,,
46,have got,быть,être,,
47,have got,попалить,frapper,,
48,have to,придтись,придтись,,
49,have to,вынудить,contraindre,,
50,have to,приходиться,tomber,,
51,have to,следовать,suivre,,
52,have to,потребоваться,être nécessaire,,
53,have to,обязать,obliger,,
54,have to,иметь,avoir,,
55,letter,письмо,lettre,open letter|cover letter|official letter|registered letter,lettre ouverte|lettre d'accompagnement|lettre officielle|lettre recommandée
56,letter,буква,lettre,drive letter|first letter|letter of the law|capital letter,lettre de lecteur|première lettre|la lettre de la loi|majuscule
57,letter,символ,symbole,letters of genetic code,lettres de code génétique
58,plate,пластина,plaque,color plate|offset plate|phosphorous plate|gold plate,plaque de couleur|des plaques offset|le phosphore de la plaque|plaque en or
