,en,ru,fr,votes
0,fall,упасть,tomber,4
1,fall,упасть,baisser,1
2,fall,падать,tomber,2
3,fall,пасть,tomber,2
4,fall,оказаться,tomber,3
5,fall,осень,automne,4
6,fall,падение,chute,3
7,fall,падение,baisse,1
8,fall,падение,déclin,1
9,fall,снижение,chute,1
10,fall,снижение,baisse,1
11,fall,снижение,déclin,1
12,fall,сокращение,chute,1
13,fall,снижаться,baisser,1
14,fall,снижаться,tomber,1
15,fall,попадать,no_equality,1
16,fall,приходиться,no_equality,1
17,fall,впадать,no_equality,1
18,fall,подпадать,no_equality,1
19,fall,влюбляться,no_equality,1
20,fall,обрушиться,no_equality,1
21,fall,попасться,no_equality,1
22,fall,грехопадение,chute,1
23,fall,осенний,no_equality,1
24,fall,опускаться,tomber,1
25,fall,выпадать,tomber,1
26,fall,no_equality,tombe,1
27,fell,упасть,tomber,1
28,fell,пасть,tomber,1
29,fall down,упасть,tomber,2
30,fall down,падать,tomber,1
31,penetrate,проникнуть,pénétrer,1
32,penetrate,проникнуть,percer,1
33,penetrate,проникать,pénétrer,2
34,penetrate,пронизывать,pénétrer,1
35,penetrate,вникнуть,pénétrer,1
36,penetrate,пробить,pénétrer,1
37,full,полный,complet,2
38,full,всеобъемлющий,complet,2
39,full,всесторонний,complet,1
40,full,исчерпывающий,complet,1
41,full,весь,entier,1
42,full,целый,entier,1
43,complete,полный,complet,2
44,complete,всесторонний,complet,1
45,complete,дополнить,compléter,1
46,complete,завершить,compléter,1
47,complete,закончить,compléter,1
48,complete,завершение,compléter,1
49,complete,исчерпывающий,complet,1
50,complete,завершенный,complet,1
51,complete,заполнить,compléter,1
52,complete,весь,entier,1
53,comprehensive,полный,complet,2
54,comprehensive,всеобъемлющий,complet,2
55,comprehensive,комплексный,complet,2
56,comprehensive,всесторонний,complet,1
57,comprehensive,подробный,complet,1
58,comprehensive,исчерпывающий,complet,2
59,entire,полный,complet,2
60,entire,полный,entier,1
61,entire,полный,intégralité,1
62,entire,целый,entier,3
63,entire,целый,tout,1
64,entire,целостный,no_equality,1
65,entire,весь,tout,2
66,entire,весь,complet,1
67,entire,весь,intégralité,1
68,entire,весь,entier,1
69,entire,целиком,no_equality,1
70,entire,no_equality,ensemble,1
71,entire,целое,intégralité,1
72,entire,всего,intégralité,1
73,entire,вся,tout,1
74,fully,полный,complet,2
75,fully,всесторонний,complet,1
76,fully,подлинно,véritablement,1
77,later,впоследствии,ultérieurement,2
78,later,впоследствии,après,1
79,later,поздний,ultérieurement,1
80,later,поздний,après,1
81,later,последующий,ultérieurement,1
82,later,дальнейший,ultérieurement,1
83,later,после,après,2
84,later,после,plus tard,1
85,later,спустя,après,2
86,later,через,après,2
87,later,в дальнейшем,ultérieurement,1
88,later,в дальнейшем,par la suite,1
89,later,позже,plus tard,1
90,later,позже,après,1
91,later,позже,ensuite,1
92,later,потом,plus tard,1
93,later,затем,après,1
94,later,затем,ensuite,1
95,later,затем,puis,1
96,subsequently,впоследствии,ultérieurement,2
97,subsequently,поздний,ultérieurement,1
98,subsequently,последующий,ultérieurement,1
99,subsequently,в дальнейшем,ultérieurement,1
100,subsequently,в дальнейшем,par la suite,1
101,subsequently,позже,plus tard,1
102,subsequently,позже,ensuite,1
103,subsequently,потом,plus tard,1
104,subsequently,затем,ensuite,1
105,subsequently,затем,puis,1
106,agree,согласовать,convenir,2
107,agree,согласиться,convenir,2
108,agree,согласиться,être d'accord,1
109,agree,согласиться,accepter,1
110,agree,согласование,convenir,2
111,agree,соглашаться,accepter,2
112,agree,соглашаться,être d'accord,1
113,agree,соглашаться,convenir,1
114,agree,договариваться,convenir,2
115,agree,согласоваться,no_equality,1
116,agree,сходиться,no_equality,1
117,agree,одобрить,accepter,1
118,agree,одобрить,approuver,1
119,agree,быть согласным,no_equality,1
120,agree,сходиться во мнениях,no_equality,1
121,agree,сговориться,no_equality,1
122,agree,согласовывать,convenir,1
123,agree,признать,convenir,2
124,agree,признать,accepter,1
125,agree,no_equality,accord,1
126,suitable,no_equality,convenir,1
127,suit,no_equality,convenir,1
128,suit,костюм,complet,1
129,suit,подходить,convenir,1
130,suit,подходить,cadrer,1
131,agreed,no_equality,convenir,1
132,agreed,соглашение,accord,1
133,agreed,согласен,d'accord,1
134,actually,действительно,réellement,3
135,actually,действительно,effectivement,2
136,actually,действительно,véritablement,2
137,actually,действительно,vraiment,3
138,actually,действительно,en fait,1
139,actually,действительно,bien,1
140,actually,действительно,en effet,2
141,actually,действительно,en réalité,1
142,actually,на самый дело,réellement,2
143,actually,на самый дело,effectivement,1
144,actually,на самый дело,vraiment,1
145,actually,реально,réellement,2
146,actually,реально,effectivement,1
147,actually,реально,véritablement,1
148,actually,реально,vraiment,1
149,actually,фактически,réellement,4
150,actually,фактически,effectivement,3
151,actually,фактически,en fait,2
152,actually,фактически,en réalité,2
153,actually,фактически,même,1
154,actually,фактически,véritablement,1
155,actually,фактически,en effet,1
156,actually,фактически,ailleurs,1
157,actually,вправду,vraiment,1
158,actually,вправду,réellement,1
159,actually,правда,vraiment,1
160,actually,вообще-то,en fait,1
161,actually,вообще-то,vraiment,1
162,actually,вообще-то,en réalité,1
