,ru,fr,en,vote
0,упасть,tomber,fall,5
1,упасть,tomber,fell,1
2,упасть,tomber,fall down,3
3,упасть,tomber,drop,2
4,упасть,baisser,fall,1
5,упасть,baisser,drop,1
6,упасть,se laisser tomber,no_equality,1
7,упасть,faire chute,fall,1
8,упасть,faire chute,drop,1
9,упасть,faire chute,collapse,1
10,упасть,se planter,crash,1
11,упасть,se foutre,no_equality,1
12,упасть,s'abattre,fall down,1
13,упасть,se répandre,no_equality,1
14,упасть,s'aplatir,collapse,1
15,упасть,dévisser,no_equality,1
16,упасть,se ramasser,no_equality,1
17,падать,tomber,fall,3
18,падать,tomber,fall down,2
19,падать,tomber,drop,1
20,падать,tomber,down,1
21,падать,baisser,drop,1
22,падать,incliner,no_equality,2
23,падать,descendre,fall,1
24,падать,descendre,drop,1
25,падать,diminuer,fall,1
26,падать,diminuer,drop,1
27,падать,diminuer,decline,1
28,падать,porter,no_equality,1
29,падать,perdre,no_equality,1
30,падать,choir,fall,1
31,падать,fléchir,drop,1
32,падать,fléchir,decline,1
33,падать,s'affaisser,no_equality,1
34,падать,s'abaisser,fall,1
35,падать,s'abaisser,stoop,1
36,падать,dinguer,no_equality,1
37,падать,périr,no_equality,1
38,падать,piquer,no_equality,1
39,падать,se projeter,no_equality,1
40,пасть,tomber,fall,2
41,пасть,tomber,fell,1
42,пасть,tomber,no_equality,1
43,пасть,gueule,mouth,1
44,пасть,gueule,maw,1
45,пасть,goule,mouth,1
46,оказаться,tomber,fall,4
47,оказаться,tomber,become,1
48,оказаться,s'avérer,prove,1
49,оказаться,s'avérer,become,1
50,оказаться,être,no_equality,1
51,оказаться,se trouver,fall,1
52,оказаться,se trouver,being,1
53,оказаться,se trouver,find themselves,1
54,оказаться,se trouver,face,1
55,оказаться,se montrer,prove,1
56,оказаться,se montrer,appear,1
57,оказаться,se montrer,being,1
58,оказаться,se mettre,go,1
59,опускаться,tomber,fall,1
60,опускаться,descendre,fall,1
61,опускаться,descendre,go down,1
62,опускаться,descendre,drop,1
63,опускаться,descendre,lower,1
64,опускаться,s'affaisser,no_equality,1
65,опускаться,se rabaisser,sink,1
66,опускаться,déchoir,no_equality,1
67,опускаться,s'avilir,no_equality,1
68,опускаться,s'avachir,no_equality,1
69,опускаться,se rabattre,no_equality,1
