,fr,ru,en,vote
0,tomber,упасть,fall,4
1,tomber,упасть,fell,1
2,tomber,упасть,fall down,2
3,tomber,упасть,drop,1
4,tomber,падать,fall,2
5,tomber,падать,fall down,1
6,tomber,пасть,fall,2
7,tomber,пасть,fell,1
8,tomber,оказаться,fall,3
9,tomber,опускаться,fall,1
10,tomber,выпадать,fall,1
11,tomber,попасть,fall into,1
12,tomber,опускать,drop out,1
13,tomber,опадать,no_equality,1
14,tomber,снижаться,fall,1
15,tomber,снижаться,drop,1
16,tomber,снижаться,go down,1
17,tomber,снижаться,come down,1
18,tomber,приходиться,no_equality,1
19,automne,осень,fall,4
20,automne,осень,autumn,1
21,chute,падение,fall,3
22,chute,падение,drop,1
23,chute,падение,downfall,1
24,chute,падение,falling,1
25,chute,падение,collapse,1
26,chute,падение,crash,1
27,chute,падение,tumble,1
28,chute,снижение,fall,1
29,chute,сокращение,fall,1
30,chute,грехопадение,fall,1
31,chute,грехопадение,no_equality,1
32,chute,no_equality,waterfall,1
33,chute,водопад,waterfall,1
34,chute,выпадение,loss,1
35,chute,перепад,no_equality,1
36,chute,опадение,no_equality,1
37,chute,упадок,collapse,1
38,chute,упадок,decline,1
39,chute,отходы,no_equality,1
40,chute,отпадение,no_equality,1
41,baisse,падение,fall,1
42,baisse,падение,drop,1
43,baisse,снижение,drop,2
44,baisse,снижение,decrease,1
45,baisse,снижение,reduction,1
46,baisse,снижение,fall,1
47,baisse,снижение,lower,1
48,baisse,снижение,declining,1
49,baisse,снижение,reduced,1
50,baisse,снижение,falling,1
51,baisse,снижение,decreasing,1
52,baisse,снижение,decreased,1
53,baisse,снижение,lowering,1
54,baisse,сокращение,drop,1
55,baisse,спад,drop,1
56,baisse,удешевление,no_equality,1
57,baisse,опускание,lowering,1
58,baisse,опускание,dropping,1
59,déclin,падение,fall,1
60,déclin,падение,decline,1
61,déclin,снижение,decline,1
62,déclin,снижение,declining,1
63,déclin,снижение,decrease,1
64,déclin,снижение,fall,1
65,déclin,сокращение,decline,1
66,déclin,упадок,decline,2
67,déclin,упадок,declining,1
68,déclin,упадок,decay,1
69,déclin,упадок,demise,1
70,déclin,упадок,declined,1
71,déclin,спад,decline,1
72,déclin,уменьшение,decline,1
73,déclin,убыль,decline,1
74,déclin,убыль,decrease,1
75,déclin,убыль,wane,1
76,déclin,закат,decline,1
77,déclin,закат,sunset,1
78,déclin,упадок сил,no_equality,1
79,déclin,деградация,no_equality,1
80,déclin,ухудшение состояния,no_equality,1
81,tombe,no_equality,fall,1
82,tombe,могила,grave,1
83,tombe,могила,tomb,1
84,tombe,могила,gravesite,1
85,tombe,водопад,no_equality,1
86,tombe,надгробный камень,tombstone,1
87,tombe,надгробный камень,gravestone,1
88,tombe,надгробный камень,headstone,1
89,baisser,снижаться,fall,1
90,baisser,снижаться,drop,1
91,baisser,снижаться,lower,1
92,baisser,снижаться,decline,1
93,baisser,снижаться,decrease,1
94,baisser,снижение,drop,1
95,baisser,снижение,lower,1
96,baisser,снижение,decline,1
97,baisser,снижение,decrease,1
98,baisser,сокращение,drop,1
99,baisser,сокращение,lower,1
100,baisser,сокращение,decline,1
101,baisser,сокращение,decrease,1
102,baisser,сокращение,cut,1
