,word,local_word,examples,local_examples,examples_and_definitions
0,word,mot,key word|last word|signal word|first words|,mot clé | dernier mot | mot indicateur | premier mot | ,key word|last word|signal word|first words|term | remark | 
1,word,parole,fine words|word of god|kind word|word of the lord|,belle parole | parole de dieu | aimables paroles | parole du seigneur | ,fine words|word of god|kind word|word of the lord|floor | speech | lyric | hon | voice | 
2,word,terme,following words|search word|operative word|english words|,termes suivants | terme de recherche | terme performatif | terme anglais | ,following words|search word|operative word|english words|term | end | stop | 
3,word,propos,written word|wise words|clear words|warm words|,propos écrits ici | propos sages | propos clairs | propos chaleureux | ,written word|wise words|clear words|warm words|comment | remark | hon | rhetoric | pertinence | suitableness | rightness | aptness | 
4,word,mention,words of limitation|,mention de limitation | ,words of limitation|particular | reference | mention | statement | indication | entry | endorsement | 
5,word,expression,nice words|words of the day|,belle expression | expressions du jour | ,nice words|words of the day|expression | term | phrase | speech | 
6,word,discours,words alone|empty words|political words|,discours seuls | vain discours | discours politique | ,words alone|empty words|political words|speech | address | discourse | rhetoric | talk | remark | 
7,word,formuler,empty_cell,empty_cell,make | formulate | express | make | formulate | put forward | draw up | articulate | 
8,word,libeller,empty_cell,empty_cell,label | denominate | label | 
9,the,le,the bed|the house|the story|the computer|the fifties|,le lit | la maison | l'histoire | l'ordinateur | les années 50 | ,the bed|the house|the story|the computer|the fifties|
10,and,et,empty_cell,empty_cell,empty_cell
11,that ,qui,The actor that won the oscar is very young|This is the dog that bit her|,L'acteur qui a gagné l'oscar est très jeune | C'est le chien qui l'a mordue | ,The actor that won the oscar is very young|This is the dog that bit her|
12,that ,que,Cherries are the fruit that my children prefer|The latest book that he wrote won a prestigious price|,Les cerises sont le fruit que mes enfants préfèrent | Le dernier livre qu'il a écrit a gagné un prix prestigieux | ,Cherries are the fruit that my children prefer|The latest book that he wrote won a prestigious price|
13,that ,où,You got married the year that I graduated|,Tu t'es marié l'année où j'ai eu mon diplôme | ,You got married the year that I graduated|
14,that ,lequel,This isn't the candidate that I voted for|,Ce n'est pas le candidat pour lequel j'ai voté  | ,This isn't the candidate that I voted for|
15,that,que,empty_cell,empty_cell,than | as | 
16,that,ce,that bike|that flower|that man|that tool|those books|,ce vélo | cette fleur | cet homme | cet outil | ces livres | ,that bike|that flower|that man|that tool|those books|
17,that,ce... -là,I want that dress.|,C'est cette robe-là que je veux. | ,I want that dress.|
18,that,cela / ça / ce,Who is that ?|What is that ?|Before that|That's my brother over there|,Qui est-ce ? | Qu'est que c'est que ça ? | Avant ça/cela | C'est mon frère là-bas | ,Who is that ?|What is that ?|Before that|That's my brother over there|
19,for,car,empty_cell,empty_cell,because | as | since | 
20,for,pour,empty_cell,empty_cell,to | on | 
21,for,de,empty_cell,empty_cell,of | in | from | to | on | by | 
22,for,à,empty_cell,empty_cell,to | in | at | on | with | 
23,for,dans,empty_cell,empty_cell,in | into | on | within | to | 
24,with,avec,empty_cell,empty_cell,empty_cell
25,with,à,empty_cell,empty_cell,to | in | at | for | on | 
26,with,par,empty_cell,empty_cell,by | per | through | from | 
27,with no,sans,empty_cell,empty_cell,without | 
28,but,mais,empty_cell,empty_cell,empty_cell
29,but,sauf,empty_cell,empty_cell,except | other than | except for | excluding | with the exception of | 
30,but,à l'exception de,empty_cell,empty_cell,with the exception of | except | except for | other than | apart from | excluding | 
31,you,tu,You forgot your keys|,Tu as oublié tes clés | ,You forgot your keys|
32,you,vous,Could you give me the address?|I will send you the papers tomorrow|,Pourriez-vous me donner l'adresse ? | Je vous enverrai les documents demain | ,Could you give me the address?|I will send you the papers tomorrow|
