,word,local_word,examples,local_examples,examples_and_definitions
0,word,слово,key word|english word|first word|good word|,ключевое слово | английское слово | первое слово | хорошее слово | ,key word|english word|first word|good word|speech | expression | term | 
1,and,и,empty_cell,empty_cell,empty_cell
2,and,а,empty_cell,empty_cell,but | while | 
3,and,и,He thinks of you day and night|,Он думает о вас день и ночь | ,He thinks of you day and night|
4,and,но,It's an embarrassing joke and not an insult|,"Это неуместная шутка, а не оскорбление | ",It's an embarrassing joke and not an insult|
5,and,а,This is a squid and not an octopus|,"Это кальмар, а не осьминог | ",This is a squid and not an octopus|
6,that,так,empty_cell,empty_cell,as | so | as well as | how | so that | both | 
7,that,то,empty_cell,empty_cell,empty_cell
8,that,который / кто / тот который,I know the guy that sold you the disk|,"Я знаю парня, который продал тебе диск | ",I know the guy that sold you the disk|
9,that,тот,On that evening I met Natalie|Do you see those two marks on the wall?|,В тот вечер я встретил Натали | Видишь те две отметины на стене? | ,On that evening I met Natalie|Do you see those two marks on the wall?|
10,that,что,Tell him that Margaret wanted to see him|,"Скажите ему, что Марагарет хотела видеть его | ",Tell him that Margaret wanted to see him|
11,that,чтобы,Turn the mirror so that the room becomes visually larger|,"Поверните зеркало, так чтобы комната казалась больше | ",Turn the mirror so that the room becomes visually larger|
12,for,для,empty_cell,empty_cell,to | 
13,for,на,empty_cell,empty_cell,on | in | to | at | by | 
14,for,за,empty_cell,empty_cell,per | over | during | behind | 
15,for,в,empty_cell,empty_cell,in | to | at | on | into | 
16,for,по,empty_cell,empty_cell,on | by | at | according to | 
17,for,к,empty_cell,empty_cell,to | toward | 
18,for,потому что / ибо,"Lord forgive me, for I've sinned|","Прости меня, Господи, ибо грешен | ","Lord forgive me, for I've sinned|"
19,with,с,empty_cell,empty_cell,from | to | on | 
20,with no,без,empty_cell,empty_cell,without | 
21,but,но,empty_cell,empty_cell,empty_cell
22,but,однако,empty_cell,empty_cell,yet | though | 
23,but,а,empty_cell,empty_cell,and | while | 
24,but,но,He's hardworking but not very intelligent|,"Он трудолюбивый, но не очень умный | ",He's hardworking but not very intelligent|
25,but,а,You may tell that to others but not to me|,"Можешь рассказывать это другим, а не мне | ",You may tell that to others but not to me|
