,word_list,defin,example
0,go,a time for working (after which you will be relieved by someone else),"[""it's my go"", 'a spell of work']"
1,go,street names for methylenedioxymethamphetamine,[]
2,go,a usually brief attempt,"['he took a crack at it', 'I gave it a whirl']"
3,go,a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters,[]
4,go,"change location; move, travel, or proceed, also metaphorically","['How fast does your new car go?', 'We travelled from Rome to Naples by bus', 'The policemen went from door to door looking for the suspect', 'The soldiers moved towards the city in an attempt to take it before night fell', 'news travelled fast']"
5,go,follow a procedure or take a course,"['We should go farther in this matter', 'She went through a lot of trouble', 'go about the world in a certain manner', 'Messages must go through diplomatic channels']"
6,go,move away from a place into another direction,"['Go away before I start to cry', 'The train departs at noon']"
7,go,enter or assume a certain state or condition,"['He became annoyed when he heard the bad news', 'It must be getting more serious', 'her face went red with anger', 'She went into ecstasy', 'Get going!']"
8,go,be awarded; be allotted,"['The first prize goes to Mary', 'Her money went on clothes']"
9,go,have a particular form,"['the story or argument runs as follows', 'as the saying goes...']"
10,go,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point","['Service runs all the way to Cranbury', ""His knowledge doesn't go very far"", 'My memory extends back to my fourth year of life', 'The facts extend beyond a consideration of her personal assets']"
11,go,follow a certain course,"['The inauguration went well', 'how did your interview go?']"
12,go,be abolished or discarded,"['These ugly billboards have to go!', 'These luxuries all had to go under the Khmer Rouge']"
13,go,be or continue to be in a certain condition,['The children went hungry that day']
14,go,make a certain noise or sound,"[""She went `Mmmmm'"", ""The gun went `bang'""]"
15,go,perform as expected when applied,"[""The washing machine won't go unless it's plugged in"", 'Does this old car still run well?', ""This old radio doesn't work anymore""]"
16,go,to be spent or finished,"['The money had gone after a few days', 'Gas is running low at the gas stations in the Midwest']"
17,go,progress by being changed,"['The speech has to go through several more drafts', 'run through your presentation before the meeting']"
18,go,continue to live through hardship or adversity,"['We went without water and food for 3 days', 'These superstitions survive in the backwaters of America', 'The race car driver lived through several very serious accidents', 'how long can a person last without food and water?']"
19,go,"pass, fare, or elapse; of a certain state of affairs or action","['How is it going?', 'The day went well until I got your call']"
20,go,pass from physical life and lose all bodily attributes and functions necessary to sustain life,"['She died from cancer', 'The children perished in the fire', 'The patient went peacefully', 'The old guy kicked the bucket at the age of 102']"
21,go,be in the right place or situation,"['Where do these books belong?', ""Let's put health care where it belongs--under the control of the government"", 'Where do these books go?']"
22,go,be ranked or compare,['This violinist is as good as Juilliard-trained violinists go']
23,go,begin or set in motion,"['I start at eight in the morning', 'Ready, set, go!']"
24,go,have a turn; make one's move in a game,['Can I go now?']
25,go,be contained in,['How many times does 18 go into 54?']
26,go,"be sounded, played, or expressed",['How does this song go again?']
27,go,blend or harmonize,"['This flavor will blend with those in your dish', ""This sofa won't go with the chairs""]"
28,go,"lead, extend, or afford access","['This door goes to the basement', 'The road runs South']"
29,go,be the right size or shape; fit correctly or as desired,"[""This piece won't fit into the puzzle""]"
30,go,go through in search of something; search through someone's belongings in an unauthorized way,['Who rifled through my desk drawers?']
31,go,be spent,['All my money went for food and rent']
32,go,give support (to) or make a choice (of) one out of a group or number,['I plumped for the losing candidates']
33,go,stop operating or functioning,"['The engine finally went', 'The car died on the road', 'The bus we travelled in broke down on the way to town', 'The coffee maker broke', 'The engine failed on the way to town', 'her eyesight went after the accident']"
34,go,functioning correctly and ready for action,['all systems are go']
35,report,a written document describing the findings of some individual or group,['this accords with the recent study by Hill and Dale']
36,report,the act of informing by verbal report,"['he heard reports that they were causing trouble', 'by all accounts they were a happy couple']"
37,report,a short account of the news,"['the report of his speech', ""the story was on the 11 o'clock news"", 'the account of his speech that was given on the evening news made the governor furious']"
38,report,a sharp explosive sound (especially the sound of a gun firing),['they heard a violent report followed by silence']
39,report,a written evaluation of a student's scholarship and deportment,['his father signed his report card']
40,report,an essay (especially one written as an assignment),['he got an A on his composition']
41,report,the general estimation that the public has for a person,"['he acquired a reputation as an actor before he started writing', 'he was a person of bad report']"
42,report,to give an account or representation of in words,['Discreet Italian police described it in a manner typically continental']
43,report,announce as the result of an investigation or experience or finding,"['Dozens of incidents of wife beatings are reported daily in this city', 'The team reported significant advances in their research']"
44,report,announce one's presence,"[""I report to work every day at 9 o'clock""]"
45,report,make known to the authorities,['One student reported the other to the principal']
46,report,"be responsible for reporting the details of, as in journalism","[""Snow reported on China in the 1950's"", 'The cub reporter covered New York City']"
47,report,complain about; make a charge against,['I reported her to the supervisor']
48,drive,the act of applying force to propel something,['after reaching the desired velocity the drive is cut off']
49,drive,a mechanism by which force or power is transmitted in a machine,['a variable speed drive permitted operation through a range of speeds']
50,drive,a series of actions advancing a principle or tending toward a particular end,"['he supported populist campaigns', 'they worked in the cause of world peace', 'the team was ready for a drive toward the pennant', 'the movement to end slavery', 'contributed to the war effort']"
51,drive,a road leading up to a private house,['they parked in the driveway']
52,drive,the trait of being highly motivated,['his drive and energy exhausted his co-workers']
53,drive,hitting a golf ball off of a tee with a driver,['he sliced his drive out of bounds']
54,drive,the act of driving a herd of animals overland,[]
