,word,local_word,examples,local_examples
0,for,pour,[],[]
1,cafe,café,[],[]
2,follow,suivre,[],[]
3,follow,suivi,[],[]
4,follow,ensuit,[],[]
5,warm,chaud,[],[]
6,warm,réchauffer,[],[]
7,collide,collision,[],[]
8,collide,heurter,[],[]
9,break,briser,[],[]
10,break,pause,[],[]
11,break,rupture,[],[]
12,tiger,tigre,[],[]
13,lion,Lion,[],[]
14,background,fond,[],[]
15,background,antécédents,[],[]
16,write,écrire,[],[]
17,write,écriture,[],[]
18,apologise,excuser,[],[]
19,apologise,excuse,[],[]
20,fly,voler,[],[]
21,fly,mouche,[],[]
22,beaver,Beaver,[],[]
23,coincide,coïncider,[],[]
24,anything,quoi,[],[]
25,coconut,coco,[],[]
26,coconut,cocotier,[],[]
27,not,pas,[],[]
28,international,international,[],[]
29,parent,parent,[],[]
30,ocean,océan,[],[]
31,ocean,océanique,[],[]
32,coincidental,coïncidence,[],[]
33,coincidental,fortuit,[],[]
34,buzzer,buzzer,[],[]
35,dynamite,dynamite,[],[]
36,buy,acheter,[],[]
37,buy,achat,[],[]
38,member,membre,[],[]
39,childhood,enfance,[],[]
40,go,aller,[],[]
41,go,entrain,[],[]
42,plate,plaque,[],[]
43,fish,poisson,[],[]
44,fish,pêche,[],[]
45,stand,debout,[],[]
46,stand,tenir,[],[]
47,stand,stand,[],[]
48,stand,dresser,[],[]
49,issue,question,[],[]
50,issue,émettre,[],[]
51,pen,stylo,[],[]
52,pen,enclos,[],[]
53,pasta,pâte,[],[]
54,pasta,Pasta,[],[]
55,hot,chaud,[],[]
56,that,que,[],[]
57,that,qui,[],[]
58,that,ce,[],[]
59,be,être,[],[]
60,be,est,[],[]
61,be,tre,[],[]
62,but,mais,[],[]
63,and,et,[],[]
64,expertise,expertise,[],[]
65,tell,dire,[],[]
66,feel,sentir,[],[]
67,news,nouvelles,[],[]
68,start,commencer,[],[]
69,start,début,[],[]
70,intelligent,intelligent,[],[]
71,refugee,réfugié,[],[]
72,refugee,réfugiée,[],[]
73,create,créer,[],[]
74,create,création,[],[]
75,word,mot,[],[]
76,genetically,génétiquement,[],[]
77,mug,tasse,[],[]
78,countryside,campagne,[],[]
79,spoon,cuillère,[],[]
80,spoon,Spoon,[],[]
81,journey,voyage,[],[]
82,journey,parcours,[],[]
83,journey,périple,[],[]
84,you,vous,[],[]
85,table,table,[],[]
86,table,tableau,[],[]
87,thing,chose,[],[]
88,shampoo,shampooing,[],[]
89,shampoo,shampoings,[],[]
90,shampoo,Shampoo,[],[]
91,come,venir,[],[]
92,point,point,[],[]
93,point,pointer,[],[]
94,lie,mentir,[],[]
95,lie,résider,[],[]
96,lie,incomber,[],[]
97,lie,mensonge,[],[]
98,curriculum,curriculum,[],[]
99,tip,conseil,[],[]
100,tip,bout,[],[]
101,entire,ensemble,[],[]
102,entire,entier,[],[]
103,entire,intégralité,[],[]
104,hear,entendre,[],[]
105,hear,entendu,[],[]
106,right,droit,[],[]
107,secret,secret,[],[]
108,this,ce,[],[]
109,this,cela,[],[]
110,guru,gourou,[],[]
111,guru,Guru,[],[]
112,star,étoile,[],[]
113,star,Star,[],[]
114,star,vedette,[],[]
115,star,Etoiles,[],[]
116,benefit,avantage,[],[]
117,benefit,bénéficier,[],[]
118,strength,force,[],[]
119,ketchup,ketchup,[],[]
120,beginner,débutant,[],[]
121,child,enfant,[],[]
122,school,école,[],[]
123,school,scolaire,[],[]
124,band,bande,[],[]
125,letter,lettre,[],[]
126,letter,lettres,[],[]
127,dinner,dîner,[],[]
128,America,Amérique,[],[]
129,America,America,[],[]
130,dependable,fiable,[],[]
131,Belgium,Belgique,[],[]
132,secular,laïque,[],[]
133,secular,séculier,[],[]
134,secular,profane,[],[]
135,the,le,[],[]
136,the,au,[],[]
137,everything,tout,[],[]
138,dance,danser,[],[]
139,dance,Dance,[],[]
140,dance,dansant,[],[]
141,mother,mère,[],[]
142,have,avoir,[],[]
143,order,ordre,[],[]
144,order,commander,[],[]
145,freeze,geler,[],[]
146,freeze,gel,[],[]
147,necessary,nécessaire,[],[]
148,necessary,faut,[],[]
149,with,avec,[],[]
150,treat,traiter,[],[]
151,select,sélectionner,[],[]
152,read,lire,[],[]
153,read,lecture,[],[]
