,word,local_word,examples,local_examples
0,word,mot,"['last word', 'old english word', 'new word in art', 'sure word of prophecy', 'part of that word', 'man of his word', 'strong word']","['dernier mot', 'le vieux mot anglais', ""nouveau mot dans l'art"", 'parole certaine de prophétie', 'une partie de ce mot', 'homme de parole', 'mot fort']"
1,word,nouvelle,[],[]
2,word,mot,[],[]
3,word,dire,[],[]
4,word,formuler,[],[]
5,word,textuel,['word processing document'],['document de traitement de texte']
6,word,verbal,['word game'],['jeu de mot']
7,wording,formulation,['exact wording'],['libellé exact']
8,wording,révision,['new wording'],['nouveau libellé']
9,wording,texte,['wording of the declaration'],['libellé de la déclaration']
10,worded,formulas,[],[]
11,words,discours,"['sweet words', 'obscene words']","['des mots doux', 'mot obscène']"
12,words,texte,[],[]
13,words,proverbe,[],[]
14,the,ce,"[""I didn't like the book""]","[""Je n'ai pas aimé le livre""]"
15,the,le,"['the woman I told you about', 'this is the guy']","['la femme dont je vous ai parlé', ""c'est le gars""]"
16,the,le,['not the man to shrink form responsibility'],"[""pas l'homme pour rétrécir la responsabilité""]"
17,the,tant,"['the more the better', 'so much the worse']","['le plus sera le mieux', 'tant pis']"
18,thes,Fès,[],[]
19,and,et,[],[]
20,and,et aussi,[],[]
21,and,et en outre,[],[]
22,and,donc et,[],[]
23,and,avec,[],[]
24,ands,NSRA,[],[]
25,ood,Oopr,[],[]
26,Ander,Ander,[],[]
27,that,que,[],[]
28,that,comme,[],[]
29,that,afin que,[],[]
30,that,qui,[],[]
31,that,ce,[],[]
32,that,propre,[],[]
33,that,donc,[],[]
34,that,tel,[],[]
35,those,il,[],[]
36,for,pour,"['for the bank', 'for last month', 'for one year', 'for all tastes', 'for seven days', 'application for participation', 'for a moment', 'ready for operation', 'for this reason', 'ask for help']","['pour la banque', 'pour le mois dernier', 'pendant un an', 'pour tous les goûts', 'pendant sept jours', 'demande de participation', 'pour un moment', ""prêt pour l'opération"", 'pour cette raison', ""demander de l'aide""]"
37,for,pour,['for god'],['pour dieu']
38,for,au cours de,[],[]
39,for,à l'égard de,[],[]
40,for,à des fins,[],[]
41,for,car,[],[]
42,for,pour,[],[]
43,with,avec,"['along with', 'with great success', 'with open arms', 'with all amenities', 'with due account', 'coffee with milk', 'with best wishes', 'with such speed', 'incompatible with life', 'with the participation']","['avec', 'avec un grand succès', 'avec les bras ouverts', 'avec toutes les commodités', 'en tenant compte', 'café avec du lait', 'avec les meilleurs voeux', 'avec une telle vitesse', 'incompatible avec la vie', 'avec la participation']"
44,with,et en outre,[],[]
45,with,en compagnie de,[],[]
46,but,mais,['but also'],['mais aussi']
47,but,et,[],[]
48,but,cependant,[],[]
49,but,seulement,[],[]
50,but,sauf,[],[]
51,you,vous,['pleased with all of you'],['heureux avec vous tous']
52,you,tu,"['to talk to you', 'someone who loves you', 'to invite you for dinner']","['pour vous parler', ""quelqu'un qui vous aime"", 'de vous inviter pour le dîner']"
53,this,ce,"['this method', 'follow these instructions', 'this new phenomenon', 'this information system', 'reject this proposal', 'this small group', 'this type']","['cette méthode', 'suivez ces instructions', 'ce nouveau phénomène', ""ce système d'information"", 'rejeter cette proposition', 'ce petit groupe', 'ce type']"
54,this,ce,[],[]
55,this,actuel,"['this standard', 'this season']","['cette norme', 'cette saison']"
56,this,ce,[],[]
57,this,donc,[],[]
58,this led,cette LED,[],[]
59,these,ces,[],[]
60,not,pas,"['not only', 'not very good', 'not all species', 'not so much', 'do not smoke', 'not a bit']","['non seulement', 'pas très bon', 'pas toutes les espèces', 'pas tellement', 'ne pas fumer', 'pas un peu']"
61,not,pas,['not available'],['pas disponible']
62,have,avoir,"['have full access', 'have good relations', 'have certain rights', 'have negative consequences', 'have sexual intercourse', 'have spaces']","['avoir un accès complet', 'avoir de bonnes relations', 'ont certains droits', 'avoir des conséquences négatives', 'avoir des relations sexuelles', 'les espaces']"
63,have,posséder,['have nuclear weapons'],['posséder des armes nucléaires']
64,have,recevoir,['have fun'],['amuser']
65,have,éprouver,['have difficulty'],['avoir de la difficulté à']
66,have,tenir,['have talks'],['ont parle']
67,have,tomber,[],[]
68,have,avoir,[],[]
69,have,porter,[],[]
70,have,manifester,[],[]
71,have,essuyer,[],[]
72,have,nourrir,[],[]
73,have,déjà,[],[]
74,have,verbe auxiliaire,[],[]
75,haves,possédant,[],[]
76,having,ayant,[],[]
77,having,possdant,[],[]
78,having,ayant,[],[]
79,having,portant,[],[]
