,English text,train_type,en_fr_translate,fr_en_translate,correct
4,I wasn't doing anything!,past_continuous тneg,Je ne faisais pas n'importe quoi!,I wasn't doing anything!,True
5,She wasn't going home.,past_continuous тneg,Elle n'allait pas à la maison.,She wasn't going home.,True
8,I wasn't going home.,past_continuous тneg,Je n'allais pas à la maison.,I wasn't going home.,True
19,It wasn't raining yesterday.,past_continuous тneg,Il ne pleuvait pas d'hier.,It wasn't raining yesterday.,True
22,She wasn't dating anyone.,past_continuous тneg,Elle n'était pas la datation n'importe qui.,She wasn't dating anyone.,True
24,I wasn't hiding it.,past_continuous тneg,Je n'étais pas le cacher.,I wasn't hiding it.,True
25,Jacob wasn't smiling.,past_continuous тneg,Jacob ne souriait pas.,Jacob wasn't smiling.,True
26,Harry wasn't listening.,past_continuous тneg,Harry n'écoutait pas.,Harry wasn't listening.,True
27,Barney wasn't lying.,past_continuous тneg,Barney ne mentait pas.,Barney wasn't lying.,True
28,Susan wasn't listening.,past_continuous тneg,Susan n'écoutait pas.,Susan wasn't listening.,True
30,Amy wasn't complaining.,past_continuous тneg,Amy ne se plaignait pas.,Amy wasn't complaining.,True
31,Thomas wasn't laughing.,past_continuous тneg,Thomas ne riait pas.,Thomas wasn't laughing.,True
33,Mark wasn't kidding.,past_continuous тneg,Mark ne plaisantait pas.,Mark wasn't kidding.,True
34,Richard wasn't smiling.,past_continuous тneg,Richard ne souriait pas.,Richard wasn't smiling.,True
35,Jace wasn't laughing.,past_continuous тneg,Jace ne riait pas.,Jace wasn't laughing.,True
36,Izzie wasn't listening.,past_continuous тneg,Izzie n'écoutait pas.,Izzie wasn't listening.,True
37,Marcus wasn't listening.,past_continuous тneg,Marcus n'écoutait pas.,Marcus wasn't listening.,True
38,Nina wasn't listening.,past_continuous тneg,Nina n'écoutait pas.,Nina wasn't listening.,True
39,Roy wasn't concentrating.,past_continuous тneg,Roy n'était pas à se concentrer.,Roy wasn't concentrating.,True
41,Tim wasn't listening.,past_continuous тneg,Tim n'était pas à l'écoute.,Tim wasn't listening.,True
42,Seth wasn't moving.,past_continuous тneg,Seth ne bougeait pas.,Seth wasn't moving.,True
44,Lucy wasn't kidding.,past_continuous тneg,Lucy ne plaisantait pas.,Lucy wasn't kidding.,True
45,Logan wasn't moving.,past_continuous тneg,Logan ne bougeait pas.,Logan wasn't moving.,True
48,He wasn't waiting alone.,past_continuous тneg,Il n'était pas d'attendre seul.,He wasn't waiting alone.,True
55,It wasn't working properly.,past_continuous тneg,Ça ne marchait pas correctement.,It wasn't working properly.,True
56,I wasn't running away.,past_continuous тneg,Je n'étais pas en train de fuir.,I wasn't running away.,True
59,You weren't thinking clearly.,past_continuous тneg,Tu ne pensais pas clairement.,You weren't thinking clearly.,True
60,I wasn't going anywhere.,past_continuous тneg,Je n'étais pas aller n'importe où.,I wasn't going anywhere.,True
62,They weren't smiling anymore.,past_continuous тneg,Ils n'étaient pas souriant plus.,They weren't smiling anymore.,True
63,He wasn't smiling anymore.,past_continuous тneg,Il n'était pas souriant plus.,He wasn't smiling anymore.,True
65,I wasn't thinking clearly.,past_continuous тneg,Je ne pensais pas clairement.,I wasn't thinking clearly.,True
69,I wasn't pretending anymore.,past_continuous тneg,Je ne faisais plus semblant.,I wasn't pretending anymore.,True
71,He wasn't fighting anymore.,past_continuous тneg,Il n'était pas de combat plus.,He wasn't fighting anymore.,True
72,He wasn't drinking then.,past_continuous тneg,Il n'était pas boire ensuite.,He wasn't drinking then.,True
75,He wasn't crying anymore.,past_continuous тneg,Il n'était pas pleurait plus.,He wasn't crying anymore.,True
77,She wasn't crying anymore.,past_continuous тneg,Elle ne pleurait plus.,She wasn't crying anymore.,True
78,She wasn't smiling anymore.,past_continuous тneg,Elle n'était pas souriant plus.,She wasn't smiling anymore.,True
81,They weren't coming upstairs.,past_continuous тneg,Ils n'étaient pas à venir à l'étage.,They weren't coming upstairs.,True
85,They weren't moving fast.,past_continuous тneg,Ils n'étaient pas en mouvement rapide.,They weren't moving fast.,True
91,She wasn't living here.,past_continuous тneg,Elle n'était pas de vivre ici.,She wasn't living here.,True
93,I wasn't crying anymore.,past_continuous тneg,Je n'étais pas pleurait plus.,I wasn't crying anymore.,True
94,She wasn't laughing anymore.,past_continuous тneg,Elle n'était pas rire plus.,She wasn't laughing anymore.,True
95,We weren't looking back.,past_continuous тneg,Nous n'étions pas regarder en arrière.,We weren't looking back.,True
97,I wasn't following her.,past_continuous тneg,Je n'étais pas en la suivant.,I wasn't following her.,True
98,I wasn't calling you.,past_continuous тneg,Je n'étais pas à vous appeler.,I wasn't calling you.,True
99,I wasn't accusing you.,past_continuous тneg,Je n'étais pas vous accuse.,I wasn't accusing you.,True
103,I wasn't following you.,past_continuous тneg,Je n'étais pas de vous suivre.,I wasn't following you.,True
104,They weren't following you.,past_continuous тneg,Ils n'étaient pas de vous suivre.,They weren't following you.,True
108,She wasn't using it.,past_continuous тneg,Elle n'était pas à l'utiliser.,She wasn't using it.,True
110,I wasn't using you.,past_continuous тneg,Je ne vous utilisais pas.,I wasn't using you.,True
112,He wasn't expecting her.,past_continuous тneg,Il ne s'y attendait pas elle.,He wasn't expecting her.,True
114,They weren't fighting me.,past_continuous тneg,Ils ne se battaient pas moi.,They weren't fighting me.,True
115,I wasn't threatening him.,past_continuous тneg,Je ne le menaçais pas.,I wasn't threatening him.,True
116,She wasn't wearing it.,past_continuous тneg,Elle n'était pas la porter.,She wasn't wearing it.,True
117,I wasn't threatening you.,past_continuous тneg,Je n'étais pas qui vous menace.,I wasn't threatening you.,True
119,She wasn't asking me.,past_continuous тneg,Elle n'était pas à me le demander.,She wasn't asking me.,True
121,I wasn't wearing them.,past_continuous тneg,Je ne les portais pas.,I wasn't wearing them.,True
124,He wasn't using it.,past_continuous тneg,Il n'était pas à l'utiliser.,He wasn't using it.,True
125,I wasn't expecting it.,past_continuous тneg,Je ne l'attendais pas.,I wasn't expecting it.,True
130,I wasn't threatening him!,past_continuous тneg,Je n'étais pas menaçant de lui!,I wasn't threatening him!,True
131,You weren't using it.,past_continuous тneg,Vous n'étiez pas à l'utiliser.,You weren't using it.,True
132,I wasn't kissing her.,past_continuous тneg,Je n'étais pas de l'embrasser.,I wasn't kissing her.,True
133,I wasn't judging him.,past_continuous тneg,Je n'étais pas en train de le juger.,I wasn't judging him.,True
134,I wasn't protecting him.,past_continuous тneg,Je ne le protégeais pas.,I wasn't protecting him.,True
135,I wasn't telling you.,past_continuous тneg,Je n'étais pas vous dire.,I wasn't telling you.,True
136,I wasn't enjoying it.,past_continuous тneg,Je n'étais pas en profiter.,I wasn't enjoying it.,True
142,She wasn't doing it.,past_continuous тneg,Elle n'était pas le faire.,She wasn't doing it.,True
143,I wasn't leaving her.,past_continuous тneg,Je ne la quittais pas.,I wasn't leaving her.,True
144,He wasn't leaving me.,past_continuous тneg,Il n'était pas en me laissant.,He wasn't leaving me.,True
145,She wasn't defending him.,past_continuous тneg,Elle n'était pas la défense de lui.,She wasn't defending him.,True
146,I wasn't bothering you.,past_continuous тneg,Je ne vous embêtais pas.,I wasn't bothering you.,True
147,I wasn't fighting him.,past_continuous тneg,Je n'étais pas en luttant contre lui.,I wasn't fighting him.,True
149,They weren't judging him.,past_continuous тneg,Ils n'étaient pas en train de le juger.,They weren't judging him.,True
150,I wasn't following him.,past_continuous тneg,Je n'étais pas le suivre.,I wasn't following him.,True
155,I wasn't asking for permission.,past_continuous тneg,Je n'étais pas en train de demander la permission.,I wasn't asking for permission.,True
156,I wasn't talking about dinner.,past_continuous тneg,Je ne parlait pas de dîner.,I wasn't talking about dinner.,True
158,He wasn't looking for anything.,past_continuous тneg,Il n'était pas à la recherche de quoi que ce soit.,He wasn't looking for anything.,True
159,They weren't asking for information.,past_continuous тneg,Ils n'étaient pas en train de demander de l'information.,They weren't asking for information.,True
160,She wasn't yelling at anyone.,past_continuous тneg,Elle ne criait sur personne.,She wasn't yelling at anyone.,True
161,I wasn't asking for anything.,past_continuous тneg,Je n'étais pas en train de demander quoi que ce soit.,I wasn't asking for anything.,True
164,I wasn't looking for anything.,past_continuous тneg,Je n'étais pas à la recherche de quoi que ce soit.,I wasn't looking for anything.,True
166,He wasn't thinking about fish.,past_continuous тneg,Il n'était pas à la réflexion sur les poissons.,He wasn't thinking about fish.,True
167,I wasn't talking about religion.,past_continuous тneg,Je ne parlais pas de religion.,I wasn't talking about religion.,True
168,He wasn't asking for help.,past_continuous тneg,Il n'était pas en train de demander de l'aide.,He wasn't asking for help.,True
169,I wasn't answering that question.,past_continuous тneg,Je n'étais pas répondre à cette question.,I wasn't answering that question.,True
170,I wasn't asking for forgiveness.,past_continuous тneg,Je n'étais pas en train de demander pardon.,I wasn't asking for forgiveness.,True
171,She wasn't thinking about time.,past_continuous тneg,Elle n'était pas la réflexion sur le temps.,She wasn't thinking about time.,True
172,He wasn't listening to her.,past_continuous тneg,Il n'était pas à l'écoute de son.,He wasn't listening to her.,True
173,He wasn't talking to us.,past_continuous тneg,Il n'était pas à nous parler.,He wasn't talking to us.,True
174,They said you weren't coming.,past_continuous тneg,Ils ont dit que vous n'étiez pas à venir.,They said you weren't coming.,True
175,I knew he wasn't listening!,past_continuous тneg,Je savais qu'il n'était pas à l'écoute!,I knew he wasn't listening!,True
178,She wasn't talking to me.,past_continuous тneg,Elle n'était pas à me parler.,She wasn't talking to me.,True
1,Each video has two parts.,numerals,Chaque vidéo comporte deux parties.,Each video has two parts.,True
3,The book has two parts.,numerals,Le livre comporte deux parties.,The book has two parts.,True
4,This program takes four months.,numerals,Ce programme prend quatre mois.,This program takes four months.,True
5,This building has twenty-two floors.,numerals,Ce bâtiment dispose de vingt-deux étages.,This building has twenty-two floors.,True
6,This band has two singers.,numerals,Ce groupe a deux chanteurs.,This band has two singers.,True
8,I have five lessons today.,numerals,J'ai cinq leçons aujourd'hui.,I have five lessons today.,True
9,A woman has two children.,numerals,Une femme a deux enfants.,A woman has two children.,True
10,Each team has seven players.,numerals,Chaque équipe compte sept joueurs.,Each team has seven players.,True
11,My mother has four cats.,numerals,Ma mère a quatre chats.,My mother has four cats.,True
12,This hotel has seven floors.,numerals,Cet hôtel a sept étages.,This hotel has seven floors.,True
13,The price is three dollars.,numerals,Le prix est de trois dollars.,The price is three dollars.,True
15,The trip takes three hours.,numerals,Le voyage dure trois heures.,The trip takes three hours.,True
22,She's two years older than me.,numerals,Elle a deux ans de plus que moi.,She's two years older than me.,True
23,He's two years older than me.,numerals,Il a deux ans de plus que moi.,He's two years older than me.,True
25,She's ten years younger than me.,numerals,Elle a dix ans de moins que moi.,She's ten years younger than me.,True
26,She's six centimeters taller than him!,numerals,Elle fait six centimètres de plus que lui!,She's six centimeters taller than him!,True
27,She's two weeks younger than you.,numerals,Elle a deux semaines de moins que toi.,She's two weeks younger than you.,True
28,It lasted seven hours and 15 days.,numerals,Elle a duré sept heures et 15 jours.,It lasted seven hours and 15 days.,True
29,It lasted two months and three days.,numerals,Il a duré deux mois et trois jours.,It lasted two months and three days.,True
30,It's been forty days and forty nights,numerals,Cela fait quarante jours et quarante nuits,It's been forty days and forty nights,True
31,It lasted 10 months and 2 days,numerals,Elle a duré 10 mois et 2 jours,It lasted 10 months and 2 days,True
35,It's four minutes to three.,numerals,C'est quatre minutes à trois.,It's four minutes to three.,True
36,It's ten minutes to three.,numerals,On est à dix minutes à trois.,It's ten minutes to three.,True
41,It's five minutes to one.,numerals,Il est à cinq minutes à à une.,It's five minutes to one.,True
43,It's three minutes to eight.,numerals,C'est à trois minutes à huit.,It's three minutes to eight.,True
44,The answer is two thirds.,numerals,La réponse est les deux tiers.,The answer is two thirds.,True
45,A cat has nine lives.,numerals,Un chat a neuf vies.,A cat has nine lives.,True
46,My sister has six books.,numerals,Ma sœur a six livres.,My sister has six books.,True
48,There are three main tasks.,numerals,Il y a trois tâches principales.,There are three main tasks.,True
49,I have three phones.,numerals,J'ai trois téléphones.,I have three phones.,True
50,The man has thirteen houses.,numerals,L'homme a treize maisons.,The man has thirteen houses.,True
51,The building has ten floors.,numerals,Le bâtiment a dix étages.,The building has ten floors.,True
52,My dog has three puppies.,numerals,Mon chien a trois chiots.,My dog has three puppies.,True
53,The video lasts nine minutes.,numerals,La vidéo dure neuf minutes.,The video lasts nine minutes.,True
54,It takes eight years.,numerals,Il faut huit ans.,It takes eight years.,True
61,She has a million dresses.,numerals,Elle a un million de robes.,She has a million dresses.,True
62,There are five museums in the city.,numerals,Il y a cinq musées dans la ville.,There are five museums in the city.,True
63,A woman comes here every two weeks.,numerals,Une femme vient ici toutes les deux semaines.,A woman comes here every two weeks.,True
64,A day is like a thousand years,numerals,Un jour est comme mille ans,A day is like a thousand years,True
66,She has seventy thousand pounds.,numerals,Elle a soixante-dix mille livres.,She has seventy thousand pounds.,True
67,It's 20 million years.,numerals,C'est 20 millions d'années.,It's 20 million years.,True
68,It's six hundred rubles.,numerals,C'est six cents roubles.,It's six hundred rubles.,True
70,It's ten thousand things.,numerals,C'est dix mille choses.,It's ten thousand things.,True
73,It's 12 million pounds.,numerals,C'est 12 millions de livres.,It's 12 million pounds.,True
74,It's five thousand dollars.,numerals,Il est cinq mille dollars.,It's five thousand dollars.,True
75,It's ten thousand pounds.,numerals,C'est dix mille livres.,It's ten thousand pounds.,True
76,It's 10 million miles.,numerals,C'est à 10 millions de miles.,It's 10 million miles.,True
81,He has ten thousand men.,numerals,Il a dix mille hommes.,He has ten thousand men.,True
84,This is one of the best ways to learn English quickly.,numerals,C'est l'une des meilleures façons d'apprendre l'anglais rapidement.,This is one of the best ways to learn English quickly.,True
87,A cube has six sides.,numerals,Un cube a six côtés.,A cube has six sides.,True
88,Each lesson lasts forty minutes.,numerals,Chaque leçon dure quarante minutes.,Each lesson lasts forty minutes.,True
90,This chair has three legs.,numerals,Cette chaise a trois jambes.,This chair has three legs.,True
92,The game lasts six minutes.,numerals,Le jeu dure six minutes.,The game lasts six minutes.,True
93,The flight takes eight hours.,numerals,Le vol dure huit heures.,The flight takes eight hours.,True
94,My friend has eight cousins.,numerals,Mon ami a huit cousins.,My friend has eight cousins.,True
98,The dress has four parts.,numerals,La robe a quatre parties.,The dress has four parts.,True
102,I have two tasks.,numerals,J'ai deux tâches.,I have two tasks.,True
103,The dragon has three heads.,numerals,Le dragon a trois têtes.,The dragon has three heads.,True
105,Each cat catches seven mice.,numerals,Chaque chat attrape sept souris.,Each cat catches seven mice.,True
