,English text,train_type,en_fr_translate,fr_en_translate,correct
0,They weren't working today.,past_continuous тneg,Ils n'étaient pas au travail aujourd'hui.,They weren't at work today.,False
1,I wasn't meeting anyone.,past_continuous тneg,Je n'ai pas de rencontrer une personne.,I don't have to meet a person.,False
2,He wasn't attacking anyone.,past_continuous тneg,Il n'était pas d'attaquer n'importe qui.,It was not to attack anyone.,False
3,He wasn't doing anything.,past_continuous тneg,Il n'a rien fait.,He didn't do anything.,False
6,We weren't having fun.,past_continuous тneg,Nous n'étions pas avoir du plaisir.,We weren't having any fun.,False
7,You weren't saying anything.,past_continuous тneg,Vous n'étiez pas dire quoi que ce soit.,You weren't gonna say anything.,False
9,We weren't watching TV.,past_continuous тneg,Nous n'avons pas été à regarder la TÉLÉVISION.,We haven't been watching television.,False
10,I wasn't wasting time.,past_continuous тneg,Je n'étais pas perdre de temps.,I wasn't wasting any time.,False
11,He wasn't having fun.,past_continuous тneg,Il n'était pas amusant.,He wasn't funny.,False
12,He wasn't doing anything!,past_continuous тneg,Il n'a rien fait!,He didn't do anything!,False
13,He wasn't avoiding responsibility.,past_continuous тneg,Il n'était pas d'éviter la responsabilité.,It was not to avoid responsibility.,False
14,I wasn't bothering anybody.,past_continuous тneg,Je ne dérangeais personne.,I wasn't bothering anyone.,False
15,He wasn't saying anything.,past_continuous тneg,Il n'était pas de dire quoi que ce soit.,It was not to say anything.,False
16,He wasn't sharing information.,past_continuous тneg,Il n'était pas le partage de l'information.,It was not the sharing of information.,False
17,He was not studying medicine.,past_continuous тneg,Il n'a pas fait des études de médecine.,He didn't go to medical school.,False
18,I wasn't asking anything.,past_continuous тneg,Je n'étais pas en train de demander quoi que ce soit.,I wasn't asking for anything.,False
20,I wasn't planning anything.,past_continuous тneg,Je n'avais pas l'intention de rien.,I had no intention of anything.,False
21,They weren't doing anything.,past_continuous тneg,Ils ne le faisaient pas n'importe quoi.,They didn't do anything.,False
23,We weren't avoiding anything.,past_continuous тneg,Nous n'avons pas d'éviter quoi que ce soit.,We don't have to avoid anything.,False
29,Pappy wasn't waiting.,past_continuous тneg,Papy n'a pas attendu.,Grandpa didn't wait.,False
32,Sawyer wasn't answering.,past_continuous тneg,Sawyer ne répondait pas.,Sawyer didn't answer.,False
40,Lydia was not talking.,past_continuous тneg,Lydia n'était pas en train de parler.,Lydia wasn't talking.,False
43,Carol was not eating.,past_continuous тneg,Carol ne mangeait pas.,Carol wasn't eating.,False
46,Rachel wasn't playing.,past_continuous тneg,Rachel n'était pas en cours de lecture.,Rachel wasn't reading.,False
47,They were not sitting together.,past_continuous тneg,Ils n'étaient pas assis ensemble.,They weren't sitting together.,False
49,They were not going away.,past_continuous тneg,Ils n'étaient pas près de disparaître.,They weren't about to disappear.,False
