,English text,en_fr_yandex_tr,fr_en_yandex_tr,correct_translation
1,I want everything,Je veux tout,I want it all,False
3,I love reading.,J'aime la lecture.,I like reading.,False
5,I enjoy cooking.,J'aime faire la cuisine.,I like cooking.,False
8,We love cakes.,On aime les gâteaux.,We like cake.,False
10,I love meat.,J'aime la viande.,I like meat.,False
11,I watch TV.,- Je regarder la TÉLÉVISION.,- Watching TV.,False
13,I love flowers.,J'aime les fleurs.,I like flowers.,False
15,I love baseball.,J'aime le baseball.,I like baseball.,False
21,I have work.,J'ai du travail.,I've got work to do.,False
22,I love coffee.,J'aime le café.,I like coffee.,False
23,I love food.,J'aime beaucoup la nourriture.,I like food very much.,False
24,I have information.,- Je avoir des informations., I have information.,False
25,I need cash.,J'ai besoin d'argent.,I need money.,False
29,We go home.,Nous rentrons à la maison.,We're going home.,False
32,We lose everything.,Nous avons tout à perdre.,We have everything to lose.,False
33,I love music,J'aime la musique,I love the music,False
42,I take his hand.,Je prends sa main.,I'll take his hand.,False
49,I tell her everything.,Je lui dis tout.,I tell him everything.,False
53,I miss my dad.,Je m'ennuie de mon père.,I miss my father.,False
63,I hear you.,Je vous entends.,I can hear you.,False
73,I grab my phone.,Je me saisis de mon téléphone.,I'm taking my phone.,False
74,I like my life.,J'aime ma vie.,I love my life.,False
75,I take her hand.,Je lui prends la main.,I'll take his hand.,False
88,I call my doctor.,- Je appeler mon médecin., I call my doctor.,False
91,I take her home,Je l'emmène à la maison,I'm taking her home.,False
92,I know something.,J'en sais quelque chose.,I know that.,False
93,You look fine.,Vous avez l'air fin.,You look good.,False
96,I love ice-cream.,J'aime la crème glacée.,I like ice cream.,False
98,We do nothing.,Nous ne faisons rien.,We're not doing anything.,False
103,I know maths.,Je connais les maths.,I know math.,False
105,This is a game.,C'est un jeu.,It's a game.,False
106,This is a clothes shop.,C'est un magasin de vêtements.,It's a clothing store.,False
107,This is a police station.,C'est un poste de police.,It's a police station.,False
108,This is a birthday cake.,C'est un gâteau d'anniversaire.,It's a birthday cake.,False
109,This is a mountain lion.,C'est un lion de montagne.,It's a mountain lion.,False
110,This is an example.,C'est un exemple.,It's an example.,False
111,This is a wakeup call.,C'est un appel de réveil.,It's a wake-up call.,False
116,His story is strange.,Son histoire est étrange.,His story is Strange.,False
117,My battery is low.,Ma batterie est faible.,My battery's low.,False
122,She's here in the kitchen.,Elle est là dans la cuisine.,She's in the kitchen.,False
123,Your brother looks happy.,Votre frère est heureux.,Your brother is happy.,False
124,My name is Brown!,Mon nom est Brun!,My Name Is Brown!,False
129,He's a really good snowboarder.,C'est vraiment un bon surfeur.,He's a really good surfer.,False
133,It is a very difficult problem.,C'est un problème très difficile.,This is a very difficult problem.,False
134,It's a really simple story.,C'est vraiment une histoire simple.,It's really a simple story.,False
135,He has a really interesting job.,Il a vraiment un travail intéressant.,It was really an interesting job.,False
140,She's a really good mom.,C'est une très bonne maman.,She's a very good mom.,False
142,It is a very good job.,C'est du très bon travail.,It's very good work.,False
144,He's a clever guy.,Il est un gars intelligent.,He's a smart guy.,False
145,It's a very difficult language.,Il est très difficile de la langue.,It is very difficult of language.,False
146,He's a very bad teacher.,C'est un très mauvais professeur.,He's a terrible teacher.,False
147,He is a very clever man.,Il est un homme très intelligent.,He's a very smart man.,False
149,It's a long journey.,C'est un long voyage.,It's a long trip.,False
151,She's still in the office.,Elle est toujours au bureau.,She's still at the office.,False
152,She's alone in this city.,Elle est seule dans cette ville.,She's alone in this town.,False
155,She looks at the painter.,Elle regarde le peintre.,She's looking at the painter.,False
157,She lives alone in that room.,Elle vit seule dans cette chambre.,She lives alone in this room.,False
160,I'm glad you're here too.,Je suis heureux que vous soyez ici aussi.,"I'm glad you're here, too.",False
163,I'm ready for a long journey.,Je suis prêt pour un long voyage.,I'm ready for a long trip.,False
166,I even enjoy it sometimes.,J'ai même profiter d'elle parfois.,I even took advantage of her sometimes.,False
167,I usually see him on weekends.,J'ai l'habitude de le voir le week-end.,I'm used to seeing him on weekends.,False
168,They never show it in movies.,Ils ne le montrent jamais dans les films.,They never show it in the movies.,False
169,I just always order steak.,Je commande toujours un steak.,I always order a steak.,False
170,We often play football or volleyball.,Nous jouons souvent au football ou au volley-ball.,We often play soccer or volleyball.,False
174,They are late for lessons.,Ils sont en retard pour les cours.,They're late for class.,False
181,I am interested in computers.,Je suis intéressé par les ordinateurs.,I'm interested in computers.,False
186,I am interested in people.,Je suis intéressé par les gens.,I'm interested in people.,False
189,You are a very clever girl.,Vous êtes un très fille intelligente.,You're a very smart girl.,False
192,I am a very friendly person.,Je suis une personne très sympathique.,I'm a very nice person.,False
195,I'm a really good listener.,Je suis un bon auditeur.,I'm a good listener.,False
199,Meetings are usually boring.,Les réunions sont ennuyeuses.,Meetings are boring.,False
200,That car is too expensive.,Cette voiture est trop cher.,This car is too expensive.,False
201,This programme is very popular in our country.,Ce programme est très populaire dans notre pays.,This program is very popular in our country.,False
203,She often works for twelve hours.,Elle travaille souvent douze heures.,She often works twelve hours.,False
204,It sometimes rains and it often snows.,Il pleut parfois et il neige souvent.,It rains sometimes and it snows often.,False
205,It often snows here in winter.,Il neige souvent en hiver.,It often snows in winter.,False
210,He is in the supermarket.,Il est dans le supermarché.,He's in the supermarket.,False
211,We like your work.,Nous aimons votre travail.,We love your work.,False
213,I send her postcards.,Je lui envoyer des cartes postales.,I'm sending her postcards.,False
214,I am a teacher.,Je suis un enseignant.,I'm a teacher.,False
215,She is in the bedroom.,Elle est dans la chambre à coucher.,She's in the bedroom.,False
216,I thank you for your help.,Je vous remercie pour votre aide.,Thank you for your help.,False
217,I help her.,Je l'aide.,I'm helping him.,False
218,We like your school.,Nous aimons votre école.,We love your school.,False
219,I love her songs.,J'aime ses chansons.,I like his songs.,False
221,I enjoy swimming.,J'ai profiter de la baignade.,I enjoyed swimming.,False
222,We cook dinner.,Nous préparons le repas.,We prepare the meal.,False
223,I hold his hand.,Je tiens sa main.,I'm holding her hand.,False
225,You hear my song.,Vous écouter ma chanson.,You listen to my song.,False
226,My sister is funny.,Ma sœur est marrante.,My sister's funny.,False
227,This is my friend.,C'est mon ami.,He's my friend.,False
228,This is my favourite salad.,C'est mon préféré de la salade.,It's my favorite salad.,False
230,He is a good worker.,Il est un bon travailleur.,He's a good worker.,False
232,This task is very difficult.,Cette tâche est très difficile.,This is a very difficult task.,False
233,He works very well.,Il fonctionne très bien.,It works very well.,False
236,This film is not very interesting.,Ce film n'est pas très intéressant.,This movie is not very interesting.,False
237,You surprise me everyday.,Tu me surprends tous les jours.,You surprise me every day.,False
238,I really love animals.,J'aime vraiment les animaux.,I really like animals.,False
239,You talk to him.,Vous lui parlez.,You're talking to him.,False
240,I call him.,Je l'appelle.,I'll call him.,False
241,You love him.,Votre amour pour lui.,Your love for him.,False
244,I have an elder brother.,J'ai un frère aîné.,I have an older brother.,False
246,I am sorry for that.,Je suis désolé pour ça.,I'm sorry about that.,False
0,When do we go?,Quand allons-nous?,When are we going?,False
1,Where do you run?,Où courez-vous?,Where are you running to?,False
3,How do you play?,Comment voulez-vous jouer?,How do you want to play?,False
6,How do we grow?,Comment pouvons-nous développer?,How can we develop?,False
9,Do you have another card?,Vous avez une autre carte?,You have another card?,False
15,How does she look?,Comment fait-elle chercher?,How's she looking?,False
17,How does it happen?,Comment se fait-il?,How come?,False
18,Why does it rain?,Pourquoi pleut-il?,Why is it raining?,False
19,Where does she live?,Où est-elle vivre?,Where is she living?,False
20,How does it begin?,Comment est-il commencer?,How did it start?,False
21,Where does she work?,Où est-elle?,Where is she?,False
22,How does he look?,Comment se fait-il regarder?,How did it look?,False
23,Why does it happen?,Pourquoi se produit-il?,Why is it happening?,False
27,How does it sound?,Comment est-il du son?,How's that sound?,False
28,Why does she stay?,Pourquoi a-t-elle rester?,Why did she stay?,False
29,Why do you care?,Pourquoi s'en faire?,Why worry?,False
31,Where do they go?,Où vont-ils?,Where are they going?,False
32,How do they do it?,Comment font-ils?,How do they do that?,False
34,Why do you cry?,Pourquoi pleurez-vous?,Why are you crying?,False
36,When do you begin?,Quand pensez-vous commencer?,When do you start?,False
37,Why do you lie?,Pourquoi avez-vous le mensonge?,Why did you lie?,False
39,Do you have any coffee?,Avez-vous le café?,Do you have the coffee?,False
41,Do you have a photo?,Avez-vous une photo?,Do you have a picture?,False
46,Do you have any cash?,Avez-vous de l'argent?,Do you have any money?,False
53,Do we have a problem?,Avons-nous un problème?,We have a problem?,False
54,Do you have any change?,Vous avez de la monnaie?,Do you have change?,False
57,How do you see me?,Comment voulez-vous me voir?,How do you want to see me?,False
58,How do you know it?,Comment le savez-vous?,How do you know?,False
59,How do you say it?,Comment voulez-vous dire?,How do you mean?,False
60,How do I stop it?,Comment puis-je l'arrêter?,How can I stop it?,False
61,Where do you put it?,Où avez-vous le mettre?,Where did you put it?,False
