ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","64","Он не побеспокоит меня снова!","He won't be bothering me again!","He, Him, His, It, Its","He","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","bothering, bother, bothered, bothers","bothering","me, i, my, mine","me","again, against","again","","!","","","","","",""
"2","64","Я не буду видеться с ними снова.","I won't be seeing them again.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","seeing, saw, see, seen, sees, seemest, seeger, seeta","seeing","them, they, their, theirs","them","again, against","again","",".","","","","","",""
"3","64","Я не буду преследовать вас больше.","I won't be chasing you anymore.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","chasing, chase, chased, chases, chaseing","chasing","you, your, yours","you","anymore","anymore","",".","","","","","",""
"4","64","Я не буду видеться с тобой снова.","I won't be seeing you again.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","seeing, saw, see, seen, sees, seemest, seeger, seeta","seeing","you, your, yours","you","again, against","again","",".","","","","","",""
"5","64","Он не побеспокоит вас снова.","He won't be bothering you again.","He, Him, His, It, Its","He","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","bothering, bother, bothered, bothers","bothering","you, your, yours","you","again, against","again","",".","","","","","",""
"6","64","Мы не будем беспокоить вас снова.","We won't be troubling you again.","We, Our, Us, Ours","We","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","troubling, trouble, troubled, troubles, troubler","troubling","you, your, yours","you","again, against","again","",".","","","","","",""
"7","64","Мы не будем встречаться с ним снова.","We won't be seeing him again.","We, Our, Us, Ours","We","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","seeing, saw, see, seen, sees, seemest, seeger, seeta","seeing","him, he, his, it, its","him","again, against","again","",".","","","","","",""
"8","64","Я не буду видеться с вами позже.","I won't be seeing you later.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","seeing, saw, see, seen, sees, seemest, seeger, seeta","seeing","you, your, yours","you","later, laters, latera, lateri","later","",".","","","","","",""
"9","64","Вы не получите это обратно.","You won't be getting it back.","You, Your, Yours","You","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","getting, get, got, gotten, gets, gettest, geted, gets'","getting","it, he, him, his, its","it","back, backed, backer, backing, backs","back","",".","","","","","",""
"10","64","Я не буду видеться с ним снова.","I won't be seeing him again.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","seeing, saw, see, seen, sees, seemest, seeger, seeta","seeing","him, he, his, it, its","him","again, against","again","",".","","","","","",""
"11","64","Он не будет носить это снова.","He won't be wearing it again.","He, Him, His, It, Its","He","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","wearing, wear, wore, worn, wears, worne, weared, weard","wearing","it, he, him, his, its","it","again, against","again","",".","","","","","",""
"12","64","Вы не будете видеться с ним снова.","You won't be seeing him again.","You, Your, Yours","You","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","seeing, saw, see, seen, sees, seemest, seeger, seeta","seeing","him, he, his, it, its","him","again, against","again","",".","","","","","",""
"13","64","Я не буду целовать вас снова.","I won't be kissing you again.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","kissing, kiss, kissed, kisses, kisses'","kissing","you, your, yours","you","again, against","again","",".","","","","","",""
"14","64","Я не буду задерживать вас больше.","I won't be keeping you anymore.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","keeping, keep, kept, keeps, keepest, keeped, keepping, keep ging","keeping","you, your, yours","you","anymore","anymore","",".","","","","","",""
"15","64","Я не буду спрашивать его снова.","I won't be asking him again.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","asking, ask, asked, asks, askest, asks'","asking","him, he, his, it, its","him","again, against","again","",".","","","","","",""
"16","64","Я не буду пользоваться ими снова.","I won't be using them again.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","using, use, used, uses, useta, useing, use's","using","them, they, their, theirs","them","again, against","again","",".","","","","","",""
"17","64","Он не будет бить вас снова.","He won't be hitting you again.","He, Him, His, It, Its","He","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","hitting, hit, hits, hittest, hited, hiting, hitted","hitting","you, your, yours","you","again, against","again","",".","","","","","",""
"18","64","Я не буду делать это снова.","I won't be doing it again.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","doing, do, does, did, done","doing","it, he, him, his, its","it","again, against","again","",".","","","","","",""
"19","64","Мы не будем пользоваться.","We won't be using","We, Our, Us, Ours","We","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","using, use, used, uses, useta, useing, use's","using","","","","","","","","","","","",""
