ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","60","Это не будет работать.","This will not work.","This, It'll, It's, Its","This","will, is, be, been, are, was, were, shall","will","not, no, none, neither, nore, nope","not","work, working, works, wrought, worked, workest","work","",".","","","","","","","","","",""
"2","60","Это не поможет.","This won't help.","This, It'll, It's, Its","This","won't, want, wont","won't","help, helping, helped, helps, helpped","help","",".","","","","","","","","","","","",""
"3","60","Это не будет больно.","This won't hurt!","This, It'll, It's, Its","This","won't, want, wont","won't","hurt, hurts, hurting, hurted, hurtest","hurt","","!","","","","","","","","","","","",""
"4","60","Это не продлится.","This won't last.","This, It'll, It's, Its","This","won't, want, wont","won't","last, lasting, lasted, lastest, lasts, laster, lasten, lasts'","last","",".","","","","","","","","","","","",""
"5","60","Вы не будете с ними!","You will not be with them!","You, Your, Yours","You","will, is, be, been, are, was, were, shall","will","not, no, none, neither, nore, nope","not","be, is, been, are, was, were, will, shall","be","with, withing, withim, withs","with","them, they, their, theirs","them","","!","","","","","",""
"6","60","Я не буду жить без тебя.","I won't live without you.","I, me, my, mine","I","won't, want, wont","won't","live, liver, lives, living, lived, livest, liveing","live","without, withal, withstand, withhold, withdrawal, wither, with, withdraw","without","you, your, yours","you","",".","","","","","","","",""
"7","60","Я не пойду за тобой.","I won't go after you.","I, me, my, mine","I","won't, want, wont","won't","go, going, gone, went, goes, gos, goed, gota","go","after, afters, aftera","after","you, your, yours","you","",".","","","","","","","",""
"8","60","Он не будет бороться за нас!","He won't fight for us!","He, Him, His, It, Its","He","won't, want, wont","won't","fight, fighting, fought, fights, fightest, fighted","fight","for, on, in, at, since, ago, before, to","for","us, we, our, ours","us","","!","","","","","","","",""
"9","60","Я не буду смотреть на него.","I won't look at him.","I, me, my, mine","I","won't, want, wont","won't","look, looking, looks, looked, lookest","look","at, on, in, since, for, ago, before, to","at","him, he, his, it, its","him","",".","","","","","","","",""
"10","60","Она не будет ждать их.","She won't wait for them.","She, Her, Hers","She","won't, want, wont","won't","wait, waiting, waited, waits, waitting","wait","for, on, in, at, since, ago, before, to","for","them, they, their, theirs","them","",".","","","","","","","",""
"11","60","Я не буду с тобой.","I won't be with you.","I, me, my, mine","I","won't, want, wont","won't","be, is, been, are, was, were, will, shall","be","with, withing, withim, withs","with","you, your, yours","you","",".","","","","","","","",""
"12","60","Я не пойду с ним.","I won't go with him.","I, me, my, mine","I","won't, want, wont","won't","go, going, gone, went, goes, gos, goed, gota","go","with, withing, withim, withs","with","him, he, his, it, its","him","",".","","","","","","","",""
"13","60","Мы не будем ждать тебя.","We will not wait for you.","We, Our, Us, Ours","We","will, is, be, been, are, was, were, shall","will","not, no, none, neither, nore, nope","not","wait, waiting, waited, waits, waitting","wait","for, on, in, at, since, ago, before, to","for","you, your, yours","you","",".","","","","","",""
"14","60","Мы не будем беспокоиться о них.","We won't bother about them.","We, Our, Us, Ours","We","won't, want, wont","won't","bother, bothered, bothering, bothers","bother","about, from, of, by, on, in, off, out of","about","them, they, their, theirs","them","",".","","","","","","","",""
"15","60","Ты не спрячешься от меня!","You will not hide from me.","You, Your, Yours","You","will, is, be, been, are, was, were, shall","will","not, no, none, neither, nore, nope","not","hide, hid, hidden, hiding, hides, hidest, hided, hideing","hide","from, in, at, on, by, next to, beside, under","from","me, i, my, mine","me","",".","","","","","",""
"16","60","Я не буду думать о нём.","I will not think about him.","I, me, my, mine","I","will, is, be, been, are, was, were, shall","will","not, no, none, neither, nore, nope","not","think, thinking, thought, thinks, thinkest, thinked, thinks'","think","about, from, of, by, on, in, off, out of","about","him, he, his, it, its","him","",".","","","","","",""
"17","60","Я не буду извиняться за это.","I won't apologize for it.","I, me, my, mine","I","won't, want, wont","won't","apologize, apologized, apologizing, apologizes","apologize","for, on, in, at, since, ago, before, to","for","it, he, him, his, its","it","",".","","","","","","","",""
"18","60","Они не будут ждать её.","They won't wait for her.","They, Them, Their, Theirs","They","won't, want, wont","won't","wait, waiting, waited, waits, waitting","wait","for, on, in, at, since, ago, before, to","for","her, she, hers","her","",".","","","","","","","",""
"19","60","Я не уйду без неё.","I will not leave without her.","I, me, my, mine","I","will, is, be, been, are, was, were, shall","will","not, no, none, neither, nore, nope","not","leave, leaves, left, leaving, leavest, loven, leav'd","leave","without, withal, withstand, withhold, withdrawal, wither, with, withdraw","without","her, she, hers","her","",".","","","","","",""
"20","60","Я не буду спорить с ним.","I will not argue with him.","I, me, my, mine","I","will, is, be, been, are, was, were, shall","will","not, no, none, neither, nore, nope","not","argue, argued, arguing, argues, argueing, argu'd","argue","with, withing, withim, withs","with","him, he, his, it, its","him","",".","","","","","",""
"21","60","Он не будет говорить об этом.","He won't talk about it.","He, Him, His, It, Its","He","won't, want, wont","won't","talk, talking, talks, talked, talkest","talk","about, from, of, by, on, in, off, out of","about","it, he, him, his, its","it","",".","","","","","","","",""
"22","60","Я не буду говорить о ней.","I won't talk about her.","I, me, my, mine","I","won't, want, wont","won't","talk, talking, talks, talked, talkest","talk","about, from, of, by, on, in, off, out of","about","her, she, hers","her","",".","","","","","","","",""
"23","60","Я не буду голосовать за это.","I won't vote for it.","I, me, my, mine","I","won't, want, wont","won't","vote, voting, votes, voted","vote","for, on, in, at, since, ago, before, to","for","it, he, him, his, its","it","",".","","","","","","","",""
"24","60","Ты не забудешь о ней.","You won't forget about her.","You, Your, Yours","You","won't, want, wont","won't","forget, forgot, forgotten, forgetting, forgets, forgettest","forget","about, from, of, by, on, in, off, out of","about","her, she, hers","her","",".","","","","","","","",""
