ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","232","У нас есть милый маленький сад.","We have a nice small garden.","We, Our, Us, Ours","We","have, had, has, having, haves, haveta, haveing, have led","have","a, an","a","nice, nicer, nicest, nices","nice","small, smalls, smaller, smallest, small ta, smalls'","small","garden, gardens, gardened, garden bed","garden","",".","","","","","",""
"2","232","У них чудесный большой дом.","They have a wonderful big house.","They, Them, Their, Theirs","They","have, had, has, having, haves, haveta, haveing, have led","have","a, an","a","wonderful, wonderfulest, wonderfuls","wonderful","big, biggest, bigger, bigs, bigging, bigest","big","house, housing, houses, housed, hous'd","house","",".","","","","","",""
"3","232","У меня маленькая старая машина.","I have a small old car.","I, me, my, mine","I","have, had, has, having, haves, haveta, haveing, have led","have","a, an","a","small, smalls, smaller, smallest, small ta, smalls'","small","old, elder, eldest, oldest, older, olds, olding","old","car, carer, cars, carring, carred","car","",".","","","","","",""
"4","232","У Мэри красивая новая сумка.","Mary has a beautiful new bag.","Mary, Maries, Marys, Marier, Maryed, Maried, Marying","Mary","has, had, have, having, haves, haveta, haveing, have led","has","a, an","a","beautiful, beautifulest, beautifuls","beautiful","new, news, newest, newer, newed, newing","new","bag, bagged, bagging, bags","bag","",".","","","","","",""
"5","232","Я купил великолепное французское пальто.","I bought a great French coat.","I, me, my, mine","I","bought, buy, buys, buying, buyest, buyed, buies","bought","a, an","a","great, greater, greats, greatest, greated, greating, greatter, greats'","great","French, Frencher, Frenching, Frenches, Frenched","French","coat, coating, coated, coats","coat","",".","","","","","",""
"6","232","Это был скучный долгий урок.","It was a boring long lesson.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","a, an","a","boring, borings, borung","boring","long, longer, longest, longing, longed, longs, longbed, long bed","long","lesson, lessons, lessoned, lessoning","lesson","",".","","","","","",""
"7","232","У моей мамы есть чудесная итальянская ваза.","My mum has a wonderful Italian vase.","My, I, Me, Mine","My","mum, mums, mumming, mums', mummed","mum","has, had, have, having, haves, haveta, haveing, have led","has","a, an","a","wonderful, wonderfulest, wonderfuls","wonderful","Italian, Italics, Italy","Italian","vase, vases, vases'","vase","",".","","","",""
"8","232","Ты видишь ту большую черную машину?","Do you see that big black car?","Do, Does, Did, Done, Doing","Do","you, your, yours","you","see, saw, seeing, seen, sees, seemest, seeger, seeta","see","that, those, thats, that led","that","big, biggest, bigger, bigs, bigging, bigest","big","black, blacking, blacker, blackest, blacks, blacked, blacknest","black","car, carer, cars, carring, carred","car","","?","","","",""
"9","232","У нее есть милый деревянный стол.","She has a nice wooden table.","She, Her, Hers","She","has, had, have, having, haves, haveta, haveing, have led","has","a, an","a","nice, nicer, nicest, nices","nice","wooden, woodens, wooden's","wooden","table, tables, tabled, tabling, tabler","table","",".","","","","","",""
"10","232","У нас нет красных пластиковых стаканов.","We don't have red plastic cups.","We, Our, Us, Ours","We","don't, didn't, doesn't","don't","have, had, has, having, haves, haveta, haveing, have led","have","red, redder, reds, reddest, reder","red","plastic, plasma, plaster","plastic","cups, cup, cupping, cupped, cuper","cups","",".","","","","","",""
