ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","231","Это моя первая неделя здесь.","It's my first week here.","It's, It'll, Its, This","It's","my, i, me, mine","my","first, one, once","first","week, weeks, weeked","week","here, heres, hering, hered","here","",".","","","","","","","",""
"2","231","Это ее второй день здесь.","It's her second day here.","It's, It'll, Its, This","It's","her, she, hers","her","second, two, twice, couple, duet","second","day, days, daid, daies, daybed, daybest, daying, dayta","day","here, heres, hering, hered","here","",".","","","","","","","",""
"3","231","Это его третий месяц здесь.","It's his third month here.","It's, It'll, Its, This","It's","his, he, him, it, its","his","third, thirds, thirded, thirding","third","month, months, monthly","month","here, heres, hering, hered","here","",".","","","","","","","",""
"4","231","Это их четвертая неделя здесь.","It's their fourth week here.","It's, It'll, Its, This","It's","their, they, them, theirs","their","fourth, fourteenth, fourteen","fourth","week, weeks, weeked","week","here, heres, hering, hered","here","",".","","","","","","","",""
"5","231","Это наш пятый год здесь.","It's our fifth year here.","It's, It'll, Its, This","It's","our, we, us, ours","our","fifth, fiftieth, fifteenth, fifteen, fifty","fifth","year, years, yeard, yeared, yearing","year","here, heres, hering, hered","here","",".","","","","","","","",""
"6","231","Это твой шестой час здесь.","It's your sixth hour here.","It's, It'll, Its, This","It's","your, you, yours","your","sixth, sixteenth, sixteen, sixty","sixth","hour, hours, hourglass, hourly","hour","here, heres, hering, hered","here","",".","","","","","","","",""
"7","231","Джон – моя первая любовь.","John is my first love.","John, Johnson, Johnny","John","is, be, been, are, was, were, will, shall","is","my, i, me, mine","my","first, one, once","first","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","",""
"8","231","Мэри – его первая любовь.","Mary is his first love.","Mary, Maries, Marys, Marier, Maryed, Maried, Marying","Mary","is, be, been, are, was, were, will, shall","is","his, he, him, it, its","his","first, one, once","first","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","",""
"9","231","Джейн – его первая жена.","Jane is his first wife.","Jane, Janes, Janes'","Jane","is, be, been, are, was, were, will, shall","is","his, he, him, it, its","his","first, one, once","first","wife, wives, wifes, wifed, wifing","wife","",".","","","","","","","",""
"10","231","Джеймс – ее второй муж.","James is her second husband.","James","James","is, be, been, are, was, were, will, shall","is","her, she, hers","her","second, two, twice, couple, duet","second","husband, husbands, husbanding, husbanded","husband","",".","","","","","","","",""
"11","231","У меня есть третий урок сегодня.","I have the third lesson today.","I, me, my, mine","I","have, had, has, having, haves, haveta, haveing, have led","have","the, then, though","the","third, thirds, thirded, thirding","third","lesson, lessons, lessoned, lessoning","lesson","today, todays, todays'","today","",".","","","","","",""
"12","231","У него нет четвертого урока сегодня.","He doesn't have the fourth lesson today.","He, Him, His, It, Its","He","doesn't, didn't, don't","doesn't","have, had, has, having, haves, haveta, haveing, have led","have","the, then, though","the","fourth, fourteenth, fourteen","fourth","lesson, lessons, lessoned, lessoning","lesson","today, todays, todays'","today","",".","","","",""
"13","231","Это наша десятая встреча.","This is our tenth meeting.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","our, we, us, ours","our","tenth, tenths, tenths'","tenth","meeting, meets, meet","meeting","",".","","","","","","","",""
"14","231","Это наш девятый урок танцев.","This is our ninth dancing class.","This, It'll, It's, Its","This","is, be, been, are, was, were, will, shall","is","our, we, us, ours","our","ninth, nintendo","ninth","dancing, dancin, dance, dancer","dancing","class, classes, classed, classing, classer","class","",".","","","","","",""
