ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","35","Я не думал так.","I did not think so.","I, me, my, mine","I","did, do, does, done, doing","did","not, no, none, neither, nore, nope","not","think, thinking, thought, thinks, thinkest, thinked, thinks'","think","so, sota, soren, soes, soing, soed","so","",".","","","","","","","",""
"2","35","Она не ответила ему.","She did not answer him.","She, Her, Hers","She","did, do, does, done, doing","did","not, no, none, neither, nore, nope","not","answer, answered, answers, answering, answerer, answerest","answer","him, he, his, it, its","him","",".","","","","","","","",""
"3","35","Я не знал её.","I didn't know her.","I, me, my, mine","I","didn't, doesn't, don't","didn't","know, knew, knowing, known, knows, knowed, knowest, knower","know","her, she, hers","her","",".","","","","","","","","","",""
"4","35","Она не последовала за ним.","She did not follow him.","She, Her, Hers","She","did, do, does, done, doing","did","not, no, none, neither, nore, nope","not","follow, following, followed, follows","follow","him, he, his, it, its","him","",".","","","","","","","",""
"5","35","Ты не поверил мне.","You didn't believe me.","You, Your, Yours","You","didn't, doesn't, don't","didn't","believe, believed, believes, believing, believest, believeing","believe","me, i, my, mine","me","",".","","","","","","","","","",""
"6","35","Я не планировал этого.","I didn't plan it.","I, me, my, mine","I","didn't, doesn't, don't","didn't","plan, planned, plans, planning","plan","it, he, him, his, its","it","",".","","","","","","","","","",""
"7","35","Я не любил ее.","I didn't love her.","I, me, my, mine","I","didn't, doesn't, don't","didn't","love, loving, loved, loves, lovest, loveing, love nest","love","her, she, hers","her","",".","","","","","","","","","",""
"8","35","Он не делал этого!","He didn't do it!","He, Him, His, It, Its","He","didn't, doesn't, don't","didn't","do, does, did, done, doing","do","it, he, him, his, its","it","","!","","","","","","","","","",""
"9","35","Я не звонил ему.","I didn't call him.","I, me, my, mine","I","didn't, doesn't, don't","didn't","call, calling, called, calls, callest, callled","call","him, he, his, it, its","him","",".","","","","","","","","","",""
"10","35","Вы не слушали меня.","You didn't listen to me.","You, Your, Yours","You","didn't, doesn't, don't","didn't","listen, listening, listened, listens, listenning, listen'd, listen's","listen","to, on, in, at, since, for, ago, before","to","me, i, my, mine","me","",".","","","","","","","",""
"11","35","Она не делала этого.","She didn't do it.","She, Her, Hers","She","didn't, doesn't, don't","didn't","do, does, did, done, doing","do","it, he, him, his, its","it","",".","","","","","","","","","",""
"12","35","Я не считал их.","I did not count them.","I, me, my, mine","I","did, do, does, done, doing","did","not, no, none, neither, nore, nope","not","count, counted, counting, counts, countest","count","them, they, their, theirs","them","",".","","","","","","","",""
"13","35","Я не писал этого.","I didn't write it.","I, me, my, mine","I","didn't, doesn't, don't","didn't","write, wrote, writing, written, writes, writeing, writes', write's","write","it, he, him, his, its","it","",".","","","","","","","","","",""
"14","35","Я не понял тебя.","I didn't understand you","I, me, my, mine","I","didn't, doesn't, don't","didn't","understand, understanding, understood, understands, understandest, understanded, understander, understands'","understand","you, your, yours","you","","","","","","","","","","","",""
"15","35","Я не начинал этого.","I didn't start it.","I, me, my, mine","I","didn't, doesn't, don't","didn't","start, starting, started, starts, startted, starttest, start'd","start","it, he, him, his, its","it","",".","","","","","","","","","",""
"16","35","Она не сказала мне.","She didn't tell me.","She, Her, Hers","She","didn't, doesn't, don't","didn't","tell, telling, told, tells, tellest, tollen","tell","me, i, my, mine","me","",".","","","","","","","","","",""
"17","35","Я не учил их.","I didn't teach them.","I, me, my, mine","I","didn't, doesn't, don't","didn't","teach, taught, teaching, teaches, teachs","teach","them, they, their, theirs","them","",".","","","","","","","","","",""
"18","35","Он не делал этого.","He didn't do it.","He, Him, His, It, Its","He","didn't, doesn't, don't","didn't","do, does, did, done, doing","do","it, he, him, his, its","it","",".","","","","","","","","","",""
"19","35","Я не доверял тебе.","I didn't trust you.","I, me, my, mine","I","didn't, doesn't, don't","didn't","trust, trusting, trusted, trusts, truster, trusts'","trust","you, your, yours","you","",".","","","","","","","","","",""
"20","35","Я не спрашивал тебя.","I didn't ask you.","I, me, my, mine","I","didn't, doesn't, don't","didn't","ask, asking, asked, asks, askest, asks'","ask","you, your, yours","you","",".","","","","","","","","","",""
"21","35","Я не поверил тебе.","I didn't believe you.","I, me, my, mine","I","didn't, doesn't, don't","didn't","believe, believed, believes, believing, believest, believeing","believe","you, your, yours","you","",".","","","","","","","","","",""
"22","35","Я не любила его.","I didn't love him.","I, me, my, mine","I","didn't, doesn't, don't","didn't","love, loving, loved, loves, lovest, loveing, love nest","love","him, he, his, it, its","him","",".","","","","","","","","","",""
