ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","31","Начало было простым.","The beginning was simple.","The, Then, Though","The","beginning, begins, beginner, begin","beginning","was, is, be, been, are, were, will, shall","was","simple, simplest, simpler, simples","simple","",".","","","","","","","","","",""
"2","31","Сад был пуст.","The garden was empty.","The, Then, Though","The","garden, gardens, gardened, garden bed","garden","was, is, be, been, are, were, will, shall","was","empty, emptied, emptying, empties, emptier, emptiest, emptyed, emptys","empty","",".","","","","","","","","","",""
"3","31","Изменение было удивительным.","The change was surprising.","The, Then, Though","The","change, changed, changing, changes, changeing","change","was, is, be, been, are, were, will, shall","was","surprising, surprised, surprisingly, surprise","surprising","",".","","","","","","","","","",""
"4","31","Ветер был холодным.","The wind was cold.","The, Then, Though","The","wind, winding, wound, winds, winded, windest","wind","was, is, be, been, are, were, will, shall","was","cold, colder, coldest, colds, colded, colds'","cold","",".","","","","","","","","","",""
"5","31","Погода была пасмурной.","The weather was cloudy.","The, Then, Though","The","weather, whether","weather","was, is, be, been, are, were, will, shall","was","cloudy, cloudier, cloudiest","cloudy","",".","","","","","","","","","",""
"6","31","Текст был великолепным!","The text was great!","The, Then, Though","The","text, texts, texted, texting","text","was, is, be, been, are, were, will, shall","was","great, greater, greats, greatest, greated, greating, greatter, greats'","great","","!","","","","","","","","","",""
"7","31","Ответ был прост.","The answer was simple.","The, Then, Though","The","answer, answered, answers, answering, answerer, answerest","answer","was, is, be, been, are, were, will, shall","was","simple, simplest, simpler, simples","simple","",".","","","","","","","","","",""
"8","31","Та часть была правдивой.","That part was true.","That, Those, Thats, That led","That","part, parted, parting, parts, parter","part","was, is, be, been, are, were, will, shall","was","true, truest, truer, truing, trues, trueing, trued","true","",".","","","","","","","","","",""
"9","31","Улица была тихой.","The street was quiet.","The, Then, Though","The","street, streets, streeted, streeter","street","was, is, be, been, are, were, will, shall","was","quiet, quieter, quieted, quieting, quietest, quiets","quiet","",".","","","","","","","","","",""
"10","31","Коридор был пустым.","The corridor was empty.","The, Then, Though","The","corridor, correspondingly, corrosive, corrosion, corrugate, corrode, corrective, correctness","corridor","was, is, be, been, are, were, will, shall","was","empty, emptied, emptying, empties, emptier, emptiest, emptyed, emptys","empty","",".","","","","","","","","","",""
"11","31","Результат был ужасным.","The effect was terrible.","The, Then, Though","The","effect, effects, effected, effecting, effectest","effect","was, is, be, been, are, were, will, shall","was","terrible, terribles, terribler, terribled","terrible","",".","","","","","","","","","",""
"12","31","Результат был чудесным.","The result was wonderful.","The, Then, Though","The","result, results, resulted, resulting","result","was, is, be, been, are, were, will, shall","was","wonderful, wonderfulest, wonderfuls","wonderful","",".","","","","","","","","","",""
"13","31","Дверь была открыта.","The door was open.","The, Then, Though","The","door, doors, doored","door","was, is, be, been, are, were, will, shall","was","open, opening, opened, opens, openest, openned, openning, opens'","open","",".","","","","","","","","","",""
"14","31","Идея была интересной.","The idea was interesting.","The, Then, Though","The","idea, idealize, idealist, idealism, idealistic, ideally, ideal","idea","was, is, be, been, are, were, will, shall","was","interesting, interests, interested, interestingly, interest","interesting","",".","","","","","","","","","",""
"15","31","Место было важным.","The place was important.","The, Then, Though","The","place, places, placed, placing","place","was, is, be, been, are, were, will, shall","was","important, importants, importantest","important","",".","","","","","","","","","",""
"16","31","Погода была прекрасной.","The weather was fine.","The, Then, Though","The","weather, whether","weather","was, is, be, been, are, were, will, shall","was","fine, fining, finer, finest, fines, fined","fine","",".","","","","","","","","","",""
"17","31","Погода была чудесной.","The weather was wonderful.","The, Then, Though","The","weather, whether","weather","was, is, be, been, are, were, will, shall","was","wonderful, wonderfulest, wonderfuls","wonderful","",".","","","","","","","","","",""
"18","31","Комната была темной.","The room was dark.","The, Then, Though","The","room, rooms, roomed, rooming, roomin'","room","was, is, be, been, are, were, will, shall","was","dark, darker, darkest, darking, darks","dark","",".","","","","","","","","","",""
"19","31","Воздух был горячим.","The air was hot.","The, Then, Though","The","air, airing, airs, aired, air bed, airi, air'd, airin'","air","was, is, be, been, are, were, will, shall","was","hot, hotter, hottest, hots, hotted, hoting, hotting, hoted","hot","",".","","","","","","","","","",""
"20","31","Песня была хорошей.","The song was good.","The, Then, Though","The","song, songs, songed, songer","song","was, is, be, been, are, were, will, shall","was","good, best, better, goods, gooding, goodest","good","",".","","","","","","","","","",""
"21","31","Кровать была пуста.","The bed was empty.","The, Then, Though","The","bed, bedding, beds, bedded, beder, bednest","bed","was, is, be, been, are, were, will, shall","was","empty, emptied, emptying, empties, emptier, emptiest, emptyed, emptys","empty","",".","","","","","","","","","",""
"22","31","Ответ был сложным.","The answer was difficult.","The, Then, Though","The","answer, answered, answers, answering, answerer, answerest","answer","was, is, be, been, are, were, will, shall","was","difficult, difficultest, difficults","difficult","",".","","","","","","","","","",""
"23","31","Комната была холодной.","The room was cold.","The, Then, Though","The","room, rooms, roomed, rooming, roomin'","room","was, is, be, been, are, were, will, shall","was","cold, colder, coldest, colds, colded, colds'","cold","",".","","","","","","","","","",""
"24","31","День был солнечным.","The day was sunny.","The, Then, Though","The","day, days, daid, daies, daybed, daybest, daying, dayta","day","was, is, be, been, are, were, will, shall","was","sunny, sunniest, sunnier, sunnies","sunny","",".","","","","","","","","","",""
"25","31","Воздух был теплым.","The air was warm.","The, Then, Though","The","air, airing, airs, aired, air bed, airi, air'd, airin'","air","was, is, be, been, are, were, will, shall","was","warm, warmer, warming, warmed, warmest, warms","warm","",".","","","","","","","","","",""
"26","31","Звук был ужасным.","The sound was horrible.","The, Then, Though","The","sound, sounder, sounding, sounds, sounded, soundest, soundbed","sound","was, is, be, been, are, were, will, shall","was","horrible, horrific, horrid, horribly, horrify","horrible","",".","","","","","","","","","",""
"27","31","Фродо выбросил кольцо.","Frodo threw away the ring.","","Frodo","threw, throw, thrown, throwing, throws, throwed, throwest, throws'","threw","away, aways, awaying","away","the, then, though","the","ring, rang, ringed, ringing, rung, rings, ringger","ring","",".","","","","","","","",""
