ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","52","Он не подписал это.","He hadn't signed it.","He, Him, His, It, Its","He","hadn't, haven't, hasn't","hadn't","signed, sign, signs, signing","signed","it, he, him, his, its","it","",".","","","","","","","","","",""
"2","52","Он не ожидал этого.","He hadn't expected it.","He, Him, His, It, Its","He","hadn't, haven't, hasn't","hadn't","expected, expect, expecting, expects","expected","it, he, him, his, its","it","",".","","","","","","","","","",""
"3","52","Они не разговаривали с нами.","They hadn't spoken to us.","They, Them, Their, Theirs","They","hadn't, haven't, hasn't","hadn't","spoken, speak, speaking, spoke, speaks, speakest, speaked, speakger","spoken","to, on, in, at, since, for, ago, before","to","us, we, our, ours","us","",".","","","","","","","",""
"4","52","Я не разговаривал с ним.","I hadn't spoken to him.","I, me, my, mine","I","hadn't, haven't, hasn't","hadn't","spoken, speak, speaking, spoke, speaks, speakest, speaked, speakger","spoken","to, on, in, at, since, for, ago, before","to","him, he, his, it, its","him","",".","","","","","","","",""
"5","52","Она не слушала это.","She hadn't listened to it.","She, Her, Hers","She","hadn't, haven't, hasn't","hadn't","listened, listen, listening, listens, listenning, listen'd, listen's","listened","to, on, in, at, since, for, ago, before","to","it, he, him, his, its","it","",".","","","","","","","",""
"6","52","Это не имело значения для неё.","It hadn't mattered to her.","It, He, Him, His, Its","It","hadn't, haven't, hasn't","hadn't","mattered, matter, matters, mattering, mattera","mattered","to, on, in, at, since, for, ago, before","to","her, she, hers","her","",".","","","","","","","",""
"7","52","Она не нашла его.","She hadn't found him.","She, Her, Hers","She","hadn't, haven't, hasn't","hadn't","found, find, finding, finds, findest, finded, finds'","found","him, he, his, it, its","him","",".","","","","","","","","","",""
"8","52","Он не осознал это.","He had not realized it.","He, Him, His, It, Its","He","had, has, have, having, haves, haveta, haveing, have led","had","not, no, none, neither, nore, nope","not","realized, realize, realizing, realizes","realized","it, he, him, his, its","it","",".","","","","","","","",""
"9","52","Он не забыл их.","He hadn't forgotten them.","He, Him, His, It, Its","He","hadn't, haven't, hasn't","hadn't","forgotten, forget, forgot, forgetting, forgets, forgettest","forgotten","them, they, their, theirs","them","",".","","","","","","","","","",""
"10","52","Она не защитила их.","She had not protected them.","She, Her, Hers","She","had, has, have, having, haves, haveta, haveing, have led","had","not, no, none, neither, nore, nope","not","protected, protect, protects, protecting, protectest, protects'","protected","them, they, their, theirs","them","",".","","","","","","","",""
"11","52","Она не предала меня.","She hadn't betrayed me.","She, Her, Hers","She","hadn't, haven't, hasn't","hadn't","betrayed, betray, betrays, betraying, betrayest, betraid, betraied","betrayed","me, i, my, mine","me","",".","","","","","","","","","",""
"12","52","Она не спасла его.","She hadn't saved him.","She, Her, Hers","She","hadn't, haven't, hasn't","hadn't","saved, save, saving, saves, savest, saves'","saved","him, he, his, it, its","him","",".","","","","","","","","","",""
"13","52","Он не потерял меня.","He hadn't lost me.","He, Him, His, It, Its","He","hadn't, haven't, hasn't","hadn't","lost, lose, losing, loses, losest, losed, loseing","lost","me, i, my, mine","me","",".","","","","","","","","","",""
"14","52","Он не ответил на тот вопрос.","He hadn't answered that question.","He, Him, His, It, Its","He","hadn't, haven't, hasn't","hadn't","answered, answer, answers, answering, answerer, answerest","answered","that, those, thats, that led","that","question, questioning, questions, questioned, questionning","question","",".","","","","","","","",""
"15","52","Он не кусал тот сыр.","He had not bitten that cheese.","He, Him, His, It, Its","He","had, has, have, having, haves, haveta, haveing, have led","had","not, no, none, neither, nore, nope","not","bitten, bit, bite, biting, bites, bote","bitten","that, those, thats, that led","that","cheese, cheeses, cheesed, cheesing, cheeses'","cheese","",".","","","","","",""
"16","52","Она не поверила ему.","She had not believed him.","She, Her, Hers","She","had, has, have, having, haves, haveta, haveing, have led","had","not, no, none, neither, nore, nope","not","believed, believe, believes, believing, believest, believeing","believed","him, he, his, it, its","him","",".","","","","","","","",""
"17","52","Он не исправлял её.","He hadn't corrected her.","He, Him, His, It, Its","He","hadn't, haven't, hasn't","hadn't","corrected, correct, correcting, corrects, correctest","corrected","her, she, hers","her","",".","","","","","","","","","",""
"18","52","Он не преследовал меня.","He had not chased me.","He, Him, His, It, Its","He","had, has, have, having, haves, haveta, haveing, have led","had","not, no, none, neither, nore, nope","not","chased, chase, chasing, chases, chaseing","chased","me, i, my, mine","me","",".","","","","","","","",""
"19","52","Он не построил это.","He had not built it.","He, Him, His, It, Its","He","had, has, have, having, haves, haveta, haveing, have led","had","not, no, none, neither, nore, nope","not","built, build, building, builds, builded, buildest, build's","built","it, he, him, his, its","it","",".","","","","","","","",""
"20","52","Он не простил меня.","He hadn't forgiven me.","He, Him, His, It, Its","He","hadn't, haven't, hasn't","hadn't","forgiven, forgave, forgive, forgiving, forgives, forgivest","forgiven","me, i, my, mine","me","",".","","","","","","","","","",""
"21","52","Он не принял это.","He hadn't accepted it.","He, Him, His, It, Its","He","hadn't, haven't, hasn't","hadn't","accepted, accept, accepter, accepting, accepts, acceptest, acceptin'","accepted","it, he, him, his, its","it","",".","","","","","","","","","",""
"22","52","Он не смотрел за ней.","He hadn't watched her.","He, Him, His, It, Its","He","hadn't, haven't, hasn't","hadn't","watched, watch, watching, watches, watchs, watches'","watched","her, she, hers","her","",".","","","","","","","","","",""
"23","52","Он не забыл её.","He hadn't forgotten her.","He, Him, His, It, Its","He","hadn't, haven't, hasn't","hadn't","forgotten, forget, forgot, forgetting, forgets, forgettest","forgotten","her, she, hers","her","",".","","","","","","","","","",""
"24","52","Это не побеспокоило её.","It hadn't bothered her.","It, He, Him, His, Its","It","hadn't, haven't, hasn't","hadn't","bothered, bother, bothering, bothers","bothered","her, she, hers","her","",".","","","","","","","","","",""
"25","52","Она не истратила это.","She hadn't wasted it.","She, Her, Hers","She","hadn't, haven't, hasn't","hadn't","wasted, waste, waster, wasting, wastes, wasteing, wastes'","wasted","it, he, him, his, its","it","",".","","","","","","","","","",""
"26","52","Эмили не была собой.","Emily hadn't been herself.","Emily, Emilies, Emilys","Emily","hadn't, haven't, hasn't","hadn't","been, is, be, are, was, were, will, shall","been","herself, hers","herself","",".","","","","","","","","","",""
"27","52","Филипп не поверил ей.","Philip had not believed her.","Philip, Philippine, Philistine","Philip","had, has, have, having, haves, haveta, haveing, have led","had","not, no, none, neither, nore, nope","not","believed, believe, believes, believing, believest, believeing","believed","her, she, hers","her","",".","","","","","","","",""
"28","52","Грейс не видела их.","Grace hadn't seen them.","Grace, Graces, Gracing, Graced, Grac'd","Grace","hadn't, haven't, hasn't","hadn't","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","them, they, their, theirs","them","",".","","","","","","","","","",""
"29","52","Питер не присоединился к ним.","Peter had not joined them.","Peter, Petered, Peters, Petering","Peter","had, has, have, having, haves, haveta, haveing, have led","had","not, no, none, neither, nore, nope","not","joined, join, joining, joins, joins'","joined","them, they, their, theirs","them","",".","","","","","","","",""
