ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","51","Где это началось?","Where had it begun?","Where, When, Why, Who, What","Where","had, has, have, having, haves, haveta, haveing, have led","had","it, he, him, his, its","it","begun, began, begin, beginning, begins, beginnest, begining, beginer","begun","","?","","","","","","","","","",""
"2","51","Что она сделала?","What had she done?","What, Where, When, Why, Who","What","had, has, have, having, haves, haveta, haveing, have led","had","she, her, hers","she","done, do, does, did, doing","done","","?","","","","","","","","","",""
"3","51","Чего он ожидал?","What had he expected?","What, Where, When, Why, Who","What","had, has, have, having, haves, haveta, haveing, have led","had","he, him, his, it, its","he","expected, expect, expecting, expects","expected","","?","","","","","","","","","",""
"4","51","Что они сделали?","What had they done?","What, Where, When, Why, Who","What","had, has, have, having, haves, haveta, haveing, have led","had","they, them, their, theirs","they","done, do, does, did, doing","done","","?","","","","","","","","","",""
"5","51","Что это было?","What had it been?","What, Where, When, Why, Who","What","had, has, have, having, haves, haveta, haveing, have led","had","it, he, him, his, its","it","been, is, be, are, was, were, will, shall","been","","?","","","","","","","","","",""
"6","51","Что ты сделал?","What had you done?","What, Where, When, Why, Who","What","had, has, have, having, haves, haveta, haveing, have led","had","you, your, yours","you","done, do, does, did, doing","done","","?","","","","","","","","","",""
"7","51","Что она носила?","What had she worn?","What, Where, When, Why, Who","What","had, has, have, having, haves, haveta, haveing, have led","had","she, her, hers","she","worn, wear, wearing, wore, wears, worne, weared, weard","worn","","?","","","","","","","","","",""
"8","51","Что он наблюдал?","What had he observed?","What, Where, When, Why, Who","What","had, has, have, having, haves, haveta, haveing, have led","had","he, him, his, it, its","he","observed, observe, observing, observes","observed","","?","","","","","","","","","",""
"9","51","Что он забыл?","What had he forgotten?","What, Where, When, Why, Who","What","had, has, have, having, haves, haveta, haveing, have led","had","he, him, his, it, its","he","forgotten, forget, forgot, forgetting, forgets, forgettest","forgotten","","?","","","","","","","","","",""
"10","51","Что мы сделали?","What had we done?","What, Where, When, Why, Who","What","had, has, have, having, haves, haveta, haveing, have led","had","we, our, us, ours","we","done, do, does, did, doing","done","","?","","","","","","","","","",""
"11","51","Что они забыли?","What had they forgotten?","What, Where, When, Why, Who","What","had, has, have, having, haves, haveta, haveing, have led","had","they, them, their, theirs","they","forgotten, forget, forgot, forgetting, forgets, forgettest","forgotten","","?","","","","","","","","","",""
"12","51","Куда они ушли?","Where had they gone?","Where, When, Why, Who, What","Where","had, has, have, having, haves, haveta, haveing, have led","had","they, them, their, theirs","they","gone, go, going, went, goes, gos, goed, gota","gone","","?","","","","","","","","","",""
"13","51","Где она была?","Where had she been?","Where, When, Why, Who, What","Where","had, has, have, having, haves, haveta, haveing, have led","had","she, her, hers","she","been, is, be, are, was, were, will, shall","been","","?","","","","","","","","","",""
"14","51","Где оно было?","Where had it been?","Where, When, Why, Who, What","Where","had, has, have, having, haves, haveta, haveing, have led","had","it, he, him, his, its","it","been, is, be, are, was, were, will, shall","been","","?","","","","","","","","","",""
"15","51","Почему оно изменилось?","Why had it altered?","Why, Where, When, Who, What","Why","had, has, have, having, haves, haveta, haveing, have led","had","it, he, him, his, its","it","altered, alter, altering, alters, altera, alteri","altered","","?","","","","","","","","","",""
"16","51","Почему я беспокоился?","Why had I bothered?","Why, Where, When, Who, What","Why","had, has, have, having, haves, haveta, haveing, have led","had","I, me, my, mine","I","bothered, bother, bothering, bothers","bothered","","?","","","","","","","","","",""
"17","51","Почему он спрятался?","Why had he hidden?","Why, Where, When, Who, What","Why","had, has, have, having, haves, haveta, haveing, have led","had","he, him, his, it, its","he","hidden, hid, hide, hiding, hides, hidest, hided, hideing","hidden","","?","","","","","","","","","",""
"18","51","Почему он беспокоился?","Why had he bothered?","Why, Where, When, Who, What","Why","had, has, have, having, haves, haveta, haveing, have led","had","he, him, his, it, its","he","bothered, bother, bothering, bothers","bothered","","?","","","","","","","","","",""
"19","51","Когда он упал?","When had he fallen?","When, Where, Why, Who, What","When","had, has, have, having, haves, haveta, haveing, have led","had","he, him, his, it, its","he","fallen, fall, falling, fell, falls, fallest, fallling","fallen","","?","","","","","","","","","",""
"20","51","Когда это началось?","When had it begun?","When, Where, Why, Who, What","When","had, has, have, having, haves, haveta, haveing, have led","had","it, he, him, his, its","it","begun, began, begin, beginning, begins, beginnest, begining, beginer","begun","","?","","","","","","","","","",""
"21","51","Почему он волновался?","Why had he worried?","Why, Where, When, Who, What","Why","had, has, have, having, haves, haveta, haveing, have led","had","he, him, his, it, its","he","worried, worry, worrying, worries, worrys, worryed","worried","","?","","","","","","","","","",""
"22","51","Кто заказал кольцо?","Who had ordered the ring?","Who, Where, When, Why, What","Who","had, has, have, having, haves, haveta, haveing, have led","had","ordered, order, ordering, orders, orderi, orderest","ordered","the, then, though","the","ring, rang, ringed, ringing, rung, rings, ringger","ring","","?","","","","","","","",""
"23","51","Кто принёс это письмо?","Who had brought this letter?","Who, Where, When, Why, What","Who","had, has, have, having, haves, haveta, haveing, have led","had","brought, bring, bringing, brings, brung, bringed","brought","this, it'll, it's, its","this","letter, lettered, lettering, letters, lettera, letter'd","letter","","?","","","","","","","",""
"24","51","Кто отправил письмо?","Who had sent the letter?","Who, Where, When, Why, What","Who","had, has, have, having, haves, haveta, haveing, have led","had","sent, send, sends, sending, sended, sendest","sent","the, then, though","the","letter, lettered, lettering, letters, lettera, letter'd","letter","","?","","","","","","","",""
"25","51","Кто отправил сообщение?","Who had sent the message?","Who, Where, When, Why, What","Who","had, has, have, having, haves, haveta, haveing, have led","had","sent, send, sends, sending, sended, sendest","sent","the, then, though","the","message, messages, messager, messaging, messaged","message","","?","","","","","","","",""
"26","51","Кто написал заметку?","Who had written the note?","Who, Where, When, Why, What","Who","had, has, have, having, haves, haveta, haveing, have led","had","written, wrote, write, writing, writes, writeing, writes', write's","written","the, then, though","the","note, noted, noting, notes","note","","?","","","","","","","",""
"27","51","Как долго она знала?","How long had she known?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","had, has, have, having, haves, haveta, haveing, have led","had","she, her, hers","she","known, knew, know, knowing, knows, knowed, knowest, knower","known","","?","","","","","","","",""
"28","51","Насколько права она была?","How right had she been?","How, Hown, Hows, Howed, Howest","How","right, rights, righting, righted, righter, rightest","right","had, has, have, having, haves, haveta, haveing, have led","had","she, her, hers","she","been, is, be, are, was, were, will, shall","been","","?","","","","","","","",""
"29","51","Мужчина ускользнул?","Had the man escaped?","Had, Hads, Hader, Had best","Had","the, then, though","the","man, manned, manning, men, maning, mans, maned, maner","man","escaped, escape, escaping, escapes, escape's","escaped","","?","","","","","","","","","",""
