ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","50","Он изменил мир.","He had changed the world.","He, Him, His, It, Its","He","had, has, have, having, haves, haveta, haveing, have led","had","changed, change, changing, changes, changeing","changed","the, then, though","the","world, worlds, worlded, worlder","world","",".","","","","","","","",""
"2","50","Она уничтожила их всех.","She had destroyed them all.","She, Her, Hers","She","had, has, have, having, haves, haveta, haveing, have led","had","destroyed, destroy, destroying, destroys, destroied, destroyest","destroyed","them, they, their, theirs","them","all, allbest, alls'","all","",".","","","","","","","",""
"3","50","Они спланировали всё отлично.","They had planned everything perfectly.","They, Them, Their, Theirs","They","had, has, have, having, haves, haveta, haveing, have led","had","planned, plan, plans, planning","planned","everything, everythings, everythung","everything","perfectly, perfectionist, perfection, perfect","perfectly","",".","","","","","","","",""
"4","50","Они потеряли всё остальное.","They had lost everything else.","They, Them, Their, Theirs","They","had, has, have, having, haves, haveta, haveing, have led","had","lost, lose, losing, loses, losest, losed, loseing","lost","everything, everythings, everythung","everything","else, already, yet, too, either, neither, or","else","",".","","","","","","","",""
"5","50","Это был кто-то другой.","It had been someone else.","It, He, Him, His, Its","It","had, has, have, having, haves, haveta, haveing, have led","had","been, is, be, are, was, were, will, shall","been","someone, somethin', somebody's, something's, someone's, somersault, somerset, somethin","someone","else, already, yet, too, either, neither, or","else","",".","","","","","","","",""
"6","50","Она заслужила ту судьбу.","She had earned that fate.","She, Her, Hers","She","had, has, have, having, haves, haveta, haveing, have led","had","earned, earn, earning, earns, earnt, earn'd","earned","that, those, thats, that led","that","fate, fated, fates, fating","fate","",".","","","","","","","",""
"7","50","Они обсудили тот вопрос.","They had discussed that question.","They, Them, Their, Theirs","They","had, has, have, having, haves, haveta, haveing, have led","had","discussed, discuss, discussing, discusses","discussed","that, those, thats, that led","that","question, questioning, questions, questioned, questionning","question","",".","","","","","","","",""
"8","50","Он забыл тот голос.","He had forgotten that voice.","He, Him, His, It, Its","He","had, has, have, having, haves, haveta, haveing, have led","had","forgotten, forget, forgot, forgetting, forgets, forgettest","forgotten","that, those, thats, that led","that","voice, voiced, voices, voicing","voice","",".","","","","","","","",""
"9","50","Они спели о любви.","They had sung of love.","They, Them, Their, Theirs","They","had, has, have, having, haves, haveta, haveing, have led","had","sung, sunglasses","sung","of, from, by, on, in, off, out of, at","of","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","",""
"10","50","Она страдала от депрессии.","She had suffered from depression.","She, Her, Hers","She","had, has, have, having, haves, haveta, haveing, have led","had","suffered, suffer, suffering, suffers, sufferest","suffered","from, in, at, on, by, next to, beside, under","from","depression, depressed, depressive, depress","depression","",".","","","","","","","",""
"11","50","Вся энергия покинула его тело.","All energy had left his body.","All, Allbest, Alls'","All","energy, energetically, energize, energetic","energy","had, has, have, having, haves, haveta, haveing, have led","had","left, leave, leaves, leaving, leavest, loven, leav'd","left","his, he, him, it, its","his","body, bodies, bodied, bodys, bodying","body","",".","","","","","",""
"12","50","Та девочка отдала ей её деньги.","That girl had given her money.","That, Those, Thats, That led","That","girl, girls, girled","girl","had, has, have, having, haves, haveta, haveing, have led","had","given, gave, give, giving, gives, givest, gived, giveing","given","her, she, hers","her","money, monetary","money","",".","","","","","",""
"13","50","Она обманула его снова.","She had deceived him again.","She, Her, Hers","She","had, has, have, having, haves, haveta, haveing, have led","had","deceived, deceive, deceiving, deceives, deceivest","deceived","him, he, his, it, its","him","again, against","again","",".","","","","","","","",""
"14","50","Он хотел, чтобы он знал.","He wished that he had known","He, Him, His, It, Its","He","wished, wish, wishes, wishing, wishest","wished","that, those, thats, that led","that","he, him, his, it, its","he","had, has, have, having, haves, haveta, haveing, have led","had","known, knew, know, knowing, knows, knowed, knowest, knower","known","","","","","","","",""
"15","50","Он видел, что он добился успеха.","He saw that he had succeeded.","He, Him, His, It, Its","He","saw, sawn, saws, sawing, sawed, sawest, sawer, saws'","saw","that, those, thats, that led","that","he, him, his, it, its","he","had, has, have, having, haves, haveta, haveing, have led","had","succeeded, succeed, succeeding, succeeds, succeeder","succeeded","",".","","","","","",""
"16","50","Они были старше, чем она думала.","They were older than she had thought.","They, Them, Their, Theirs","They","were, is, be, been, are, was, will, shall","were","older, elder, eldest, old, oldest, olds, olding","older","than, thaner, thans","than","she, her, hers","she","had, has, have, having, haves, haveta, haveing, have led","had","thought, think, thinking, thinks, thinkest, thinked, thinks'","thought","",".","","","",""
"17","50","Они пели лучше, чем он ожидал.","They sang better than he had expected.","They, Them, Their, Theirs","They","sang, sing, singing, sung, sings, singging","sang","better, best, good, goods, gooding, goodest","better","than, thaner, thans","than","he, him, his, it, its","he","had, has, have, having, haves, haveta, haveing, have led","had","expected, expect, expecting, expects","expected","",".","","","",""
"18","50","Это было больше, чем я думал.","It was larger than I had thought.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","larger, large, largest, larges, larged, larging","larger","than, thaner, thans","than","I, me, my, mine","I","had, has, have, having, haves, haveta, haveing, have led","had","thought, think, thinking, thinks, thinkest, thinked, thinks'","thought","",".","","","",""
"19","50","Она была моложе, чем он думал.","She was younger than he had thought.","She, Her, Hers","She","was, is, be, been, are, were, will, shall","was","younger, young, youngest, youngs","younger","than, thaner, thans","than","he, him, his, it, its","he","had, has, have, having, haves, haveta, haveing, have led","had","thought, think, thinking, thinks, thinkest, thinked, thinks'","thought","",".","","","",""
"20","50","Она казалась такой счастливой.","She had seemed so happy.","She, Her, Hers","She","had, has, have, having, haves, haveta, haveing, have led","had","seemed, seem, seeming, seems","seemed","so, sota, soren, soes, soing, soed","so","happy, happier, happiest, happys, happied, happynest, happying","happy","",".","","","","","","","",""
"21","50","Пейзаж начал меняться.","The landscape had begun to change.","The, Then, Though","The","landscape, landscapes, landscaping, landscaped","landscape","had, has, have, having, haves, haveta, haveing, have led","had","begun, began, begin, beginning, begins, beginnest, begining, beginer","begun","to, on, in, at, since, for, ago, before","to","change, changed, changing, changes, changeing","change","",".","","","","","",""
"22","50","Но он знал, что она слышала.","But he knew she had heard.","But, Buts","But","he, him, his, it, its","he","knew, know, knowing, known, knows, knowed, knowest, knower","knew","she, her, hers","she","had, has, have, having, haves, haveta, haveing, have led","had","heard, hear, hearing, hears, horne, heared, hearther, hearred","heard","",".","","","","","",""
"23","50","Она была моложе, чем я ожидал.","She was younger than I'd expected.","She, Her, Hers","She","was, is, be, been, are, were, will, shall","was","younger, young, youngest, youngs","younger","than, thaner, thans","than","I'd, I'll, I'm, I've","I'd","expected, expect, expecting, expects","expected","",".","","","","","",""
"24","50","Он был моложе, чем она предполагала.","He was younger than she'd assumed.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","younger, young, youngest, youngs","younger","than, thaner, thans","than","she'd, she'll, she's, she're","she'd","assumed, assume, assuming, assumes","assumed","",".","","","","","",""
"25","50","Оно было тяжелее, чем она представляла.","It was heavier than she'd imagined.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","heavier, heavy, heaviest, heavies, heavied, heavyest","heavier","than, thaner, thans","than","she'd, she'll, she's, she're","she'd","imagined, imagine, imagines, imagining, imagineing","imagined","",".","","","","","",""
"26","50","Это было хуже, чем я ожидал.","It was worse than I'd expected.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","worse, bad, worst, baddest, bads, bader, badest","worse","than, thaner, thans","than","I'd, I'll, I'm, I've","I'd","expected, expect, expecting, expects","expected","",".","","","","","",""
"27","50","Оно было больше, чем я ожидал.","It was bigger than I'd expected.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","bigger, big, biggest, bigs, bigging, bigest","bigger","than, thaner, thans","than","I'd, I'll, I'm, I've","I'd","expected, expect, expecting, expects","expected","",".","","","","","",""
"28","50","Это было труднее, чем он думал.","It was harder than he'd thought.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","harder, hard, hards, hardest, harding, hardbed, hard bed, hardnest","harder","than, thaner, thans","than","he'd, he'll, he's, he're","he'd","thought, think, thinking, thinks, thinkest, thinked, thinks'","thought","",".","","","","","",""
"29","50","Это было сложнее, чем она думала.","It was harder than she'd thought.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","harder, hard, hards, hardest, harding, hardbed, hard bed, hardnest","harder","than, thaner, thans","than","she'd, she'll, she's, she're","she'd","thought, think, thinking, thinks, thinkest, thinked, thinks'","thought","",".","","","","","",""
"30","50","Но я знал, что я проиграл.","But I knew I had lost.","But, Buts","But","I, me, my, mine","I","knew, know, knowing, known, knows, knowed, knowest, knower","knew","I, me, my, mine","I","had, has, have, having, haves, haveta, haveing, have led","had","lost, lose, losing, loses, losest, losed, loseing","lost","",".","","","","","",""
"31","50","Но она заметила, что они ушли.","But she noticed they had gone.","But, Buts","But","she, her, hers","she","noticed, notice, notices, noticing","noticed","they, them, their, theirs","they","had, has, have, having, haves, haveta, haveing, have led","had","gone, go, going, went, goes, gos, goed, gota","gone","",".","","","","","",""
"32","50","Он знал, что он победил.","He knew that he had won.","He, Him, His, It, Its","He","knew, know, knowing, known, knows, knowed, knowest, knower","knew","that, those, thats, that led","that","he, him, his, it, its","he","had, has, have, having, haves, haveta, haveing, have led","had","won, win, winning, wins, winer, winned, wins'","won","",".","","","","","",""
"33","50","Она знала, что она солгала.","She knew that she had lied.","She, Her, Hers","She","knew, know, knowing, known, knows, knowed, knowest, knower","knew","that, those, thats, that led","that","she, her, hers","she","had, has, have, having, haves, haveta, haveing, have led","had","lied, lain, lay, lie, lying, lies, lieing, liebing","lied","",".","","","","","",""
"34","50","Они знали, что мы приехали.","They knew that we had arrived.","They, Them, Their, Theirs","They","knew, know, knowing, known, knows, knowed, knowest, knower","knew","that, those, thats, that led","that","we, our, us, ours","we","had, has, have, having, haves, haveta, haveing, have led","had","arrived, arrive, arrives, arriving, arriven","arrived","",".","","","","","",""
"35","50","Он предполагал, что он победил.","He assumed that he had won.","He, Him, His, It, Its","He","assumed, assume, assuming, assumes","assumed","that, those, thats, that led","that","he, him, his, it, its","he","had, has, have, having, haves, haveta, haveing, have led","had","won, win, winning, wins, winer, winned, wins'","won","",".","","","","","",""
"36","50","Это было тяжелее, чем он ожидал.","It was heavier than he had expected.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","heavier, heavy, heaviest, heavies, heavied, heavyest","heavier","than, thaner, thans","than","he, him, his, it, its","he","had, has, have, having, haves, haveta, haveing, have led","had","expected, expect, expecting, expects","expected","",".","","","",""
"37","50","Я думал, что вы убежали.","I thought that you had escaped.","I, me, my, mine","I","thought, think, thinking, thinks, thinkest, thinked, thinks'","thought","that, those, thats, that led","that","you, your, yours","you","had, has, have, having, haves, haveta, haveing, have led","had","escaped, escape, escaping, escapes, escape's","escaped","",".","","","","","",""
"38","50","Это было, как я ожидал.","It was as I had expected.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","as, a, aed, aren, aing, abing, a bed, abest","as","I, me, my, mine","I","had, has, have, having, haves, haveta, haveing, have led","had","expected, expect, expecting, expects","expected","",".","","","","","",""
"39","50","Время пришло!","The time had come!","The, Then, Though","The","time, timer, timing, times, timed, timeger, timest, timeing","time","had, has, have, having, haves, haveta, haveing, have led","had","come, came, coming, comes, comest, comeing","come","","!","","","","","","","","","",""
"40","50","Они не знали, что я сделал.","They didn't know what I had done.","They, Them, Their, Theirs","They","didn't, doesn't, don't","didn't","know, knew, knowing, known, knows, knowed, knowest, knower","know","what, where, when, why, who","what","I, me, my, mine","I","had, has, have, having, haves, haveta, haveing, have led","had","done, do, does, did, doing","done","",".","","","",""
"41","50","Она не знала, что она имела в виду.","She didn't know what she'd meant.","She, Her, Hers","She","didn't, doesn't, don't","didn't","know, knew, knowing, known, knows, knowed, knowest, knower","know","what, where, when, why, who","what","she'd, she'll, she's, she're","she'd","meant, mean, meaning, means, meanest, meaner, meaned","meant","",".","","","","","",""
"42","50","Мне не понравилось то, что я увидел.","I didn't like what I had seen.","I, me, my, mine","I","didn't, doesn't, don't","didn't","like, liking, likes, liked, likest, liker, licken, likeing","like","what, where, when, why, who","what","I, me, my, mine","I","had, has, have, having, haves, haveta, haveing, have led","had","seen, saw, see, seeing, sees, seemest, seeger, seeta","seen","",".","","","",""
"43","50","Он не знал, что она услышала.","He didn't know what she had heard.","He, Him, His, It, Its","He","didn't, doesn't, don't","didn't","know, knew, knowing, known, knows, knowed, knowest, knower","know","what, where, when, why, who","what","she, her, hers","she","had, has, have, having, haves, haveta, haveing, have led","had","heard, hear, hearing, hears, horne, heared, hearther, hearred","heard","",".","","","",""
"44","50","Он не знал, что он сделал.","He did not know what he had done.","He, Him, His, It, Its","He","did, do, does, done, doing","did","not, no, none, neither, nore, nope","not","know, knew, knowing, known, knows, knowed, knowest, knower","know","what, where, when, why, who","what","he, him, his, it, its","he","had, has, have, having, haves, haveta, haveing, have led","had","done, do, does, did, doing","done","",".","",""
"45","50","Я не знал, что он сделал.","I didn't know what he had done.","I, me, my, mine","I","didn't, doesn't, don't","didn't","know, knew, knowing, known, knows, knowed, knowest, knower","know","what, where, when, why, who","what","he, him, his, it, its","he","had, has, have, having, haves, haveta, haveing, have led","had","done, do, does, did, doing","done","",".","","","",""
"46","50","Я оставил телефон, который звонил.","I kept the phone that had rung.","I, me, my, mine","I","kept, keep, keeping, keeps, keepest, keeped, keepping, keep ging","kept","the, then, though","the","phone, phones, phoning, phoned","phone","that, those, thats, that led","that","had, has, have, having, haves, haveta, haveing, have led","had","","rung","",".","","","",""
"47","50","Я вспомнил драку, которая началась.","I remembered the fight that had started.","I, me, my, mine","I","remembered, remember, remembering, remembers, rememberest, remembers'","remembered","the, then, though","the","fight, fighting, fought, fights, fightest, fighted","fight","that, those, thats, that led","that","had, has, have, having, haves, haveta, haveing, have led","had","started, start, starting, starts, startted, starttest, start'd","started","",".","","","",""
"48","50","Я увидел толпу, которая собралась.","I saw the crowd that had gathered.","I, me, my, mine","I","saw, sawn, saws, sawing, sawed, sawest, sawer, saws'","saw","the, then, though","the","crowd, crowded, crowds, crowding","crowd","that, those, thats, that led","that","had, has, have, having, haves, haveta, haveing, have led","had","gathered, gather, gathering, gathers","gathered","",".","","","",""
"49","50","Это была чашка, которую он искал.","This was the cup he had sought.","This, It'll, It's, Its","This","was, is, be, been, are, were, will, shall","was","the, then, though","the","cup, cupping, cups, cupped, cuper","cup","he, him, his, it, its","he","had, has, have, having, haves, haveta, haveing, have led","had","sought, seek, seeks, seeking, seeked, seekest, seeks'","sought","",".","","","",""
