ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","16","Ты не идешь никуда!","You're not going anywhere!","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","anywhere, anyways, anyway","anywhere","","!","","","","","","","","","",""
"2","16","Ты не останешься здесь.","You're not staying here.","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","staying, stay, stayed, stays, stayest, staies, staied, stays'","staying","here, heres, hering, hered","here","",".","","","","","","","","","",""
"3","16","Ты не возвращаешься.","You're not coming back.","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","coming, came, come, comes, comest, comeing","coming","back, backed, backer, backing, backs","back","",".","","","","","","","","","",""
"4","16","Мы не идём никуда.","We're not going anywhere.","We're, We'd, We'll, We've","We're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","anywhere, anyways, anyway","anywhere","",".","","","","","","","","","",""
"5","16","Я не прошу многого.","I'm not asking much.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","asking, ask, asked, asks, askest, asks'","asking","much, more, most, muches","much","",".","","","","","","","","","",""
"6","16","Я не иду никуда.","I'm not going anywhere.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","anywhere, anyways, anyway","anywhere","",".","","","","","","","","","",""
"7","16","Они не возвращаются.","They're not coming back.","They're, They'd, They'll, They've","They're","not, no, none, neither, nore, nope","not","coming, came, come, comes, comest, comeing","coming","back, backed, backer, backing, backs","back","",".","","","","","","","","","",""
"8","16","Я не теряю другой корабль.","I'm not losing another ship.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","losing, lose, lost, loses, losest, losed, loseing","losing","another, anothers, anotheria","another","ship, shipping, ships, shipped, shiped","ship","",".","","","","","","","",""
"9","16","Я не воспринимаю эту ситуацию.","I'm not feeling this situation","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","feeling, feel, felt, feels, feeled, feelest, feelling","feeling","this, it'll, it's, its","this","situation, situations, situated, situate","situation","","","","","","","","","",""
"10","16","Я не играю в эту игру.","I'm not playing this game.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","playing, play, played, plays, plaied, plaies, plays'","playing","this, it'll, it's, its","this","game, games, gamed, gaming, gamest, gamer, gameren, gameing","game","",".","","","","","","","",""
"11","16","Я не поднимаюсь.","I'm not going up.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","up, upper, ups, upping, upped, upest, uping, uppest","up","",".","","","","","","","","","",""
"12","16","Я больше не дерусь.","I am not fighting anymore","I, me, my, mine","I","am, are, be, been, being, is, was, were","am","not, no, none, neither, nore, nope","not","fighting, fight, fought, fights, fightest, fighted","fighting","anymore","anymore","","","","","","","","","",""
"13","16","Я не отступаю.","I'm not turning back.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","turning, turn, turned, turns, turnest, turn led, turnped, turnning","turning","back, backed, backer, backing, backs","back","",".","","","","","","","","","",""
"14","16","Я не сбегаю.","I'm not going away.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","away, aways, awaying","away","",".","","","","","","","","","",""
"15","16","Я не иду туда.","I'm not going there.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","there, theres, thered, thering","there","",".","","","","","","","","","",""
"16","16","Я не ухожу.","I'm not walking away.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","walking, walk, walked, walks, walkest","walking","away, aways, awaying","away","",".","","","","","","","","","",""
"17","16","Он плохо себя чувствует.","He's not feeling well.","He's, He'd, He'll, He're","He's","not, no, none, neither, nore, nope","not","feeling, feelings, feelin","feeling","well, best, better, welled, wells, welling, wellest, wollen","well","",".","","","","","","","","","",""
"18","16","Она плохо себя чувствует.","She's not feeling well.","She's, She'd, She'll, She're","She's","not, no, none, neither, nore, nope","not","feeling, feelings, feelin","feeling","well, best, better, welled, wells, welling, wellest, wollen","well","",".","","","","","","","","","",""
"19","16","Ты не теряешь многого.","You're not missing much.","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","missing, miss, missed, misses, misser","missing","much, more, most, muches","much","",".","","","","","","","","","",""
"20","16","Я не иду никуда.","I am not going anywhere.","I, me, my, mine","I","am, are, be, been, being, is, was, were","am","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","anywhere, anyways, anyway","anywhere","",".","","","","","","","",""
"21","16","Ты не идёшь один.","You're not going alone.","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","alone, alongside, along","alone","",".","","","","","","","","","",""
"22","16","Ты не мыслишь ясно.","You're not thinking clearly.","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","thinking, think, thought, thinks, thinkest, thinked, thinks'","thinking","clearly, clears, cleared, clearing, clearness, clearance, clear","clearly","",".","","","","","","","","","",""
"23","16","Я не убегаю.","I'm not running away.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","running, ran, run, runner, runs, runned, runer, runnest","running","away, aways, awaying","away","",".","","","","","","","","","",""
"24","16","Я не останусь здесь.","I'm not staying here.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","staying, stay, stayed, stays, stayest, staies, staied, stays'","staying","here, heres, hering, hered","here","",".","","","","","","","","","",""
"25","16","Я не возвращаюсь.","I'm not coming back.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","coming, came, come, comes, comest, comeing","coming","back, backed, backer, backing, backs","back","",".","","","","","","","","","",""
"26","16","Мы не живем вместе.","We're not living together.","We're, We'd, We'll, We've","We're","not, no, none, neither, nore, nope","not","living, live, liver, lives, lived, livest, liveing","living","together","together","",".","","","","","","","","","",""
