ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","22","Я потратил это.","I've spent it.","I've, I'd, I'll, I'm","I've","spent, spend, spends, spending, spended, spendest","spent","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"2","22","Мы обидели его.","We've hurt him.","We've, We'd, We'll, We're","We've","hurt, hurts, hurting, hurted, hurtest","hurt","him, he, his, it, its","him","",".","","","","","","","","","","","",""
"3","22","Они забыли меня!","They've forgotten me!","They've, They'd, They'll, They're","They've","forgotten, forget, forgot, forgetting, forgets, forgettest","forgotten","me, i, my, mine","me","","!","","","","","","","","","","","",""
"4","22","Я защищал вас.","I have protected you.","I, me, my, mine","I","have, had, has, having, haves, haveta, haveing, have led","have","protected, protect, protects, protecting, protectest, protects'","protected","you, your, yours","you","",".","","","","","","","","","",""
"5","22","Вы поймали меня.","You've caught me.","You've, You'd, You'll, You're","You've","caught, catch, catching, catches, catched, catchs","caught","me, i, my, mine","me","",".","","","","","","","","","","","",""
"6","22","Вы открыли это!","You have opened it!","You, Your, Yours","You","have, had, has, having, haves, haveta, haveing, have led","have","opened, open, opening, opens, openest, openned, openning, opens'","opened","it, he, him, his, its","it","","!","","","","","","","","","",""
"7","22","Мы закончили это.","We have ended it.","We, Our, Us, Ours","We","have, had, has, having, haves, haveta, haveing, have led","have","ended, end, ending, ends, ender","ended","it, he, him, his, its","it","",".","","","","","","","","","",""
"8","22","Ты ударил меня.","You've hit me.","You've, You'd, You'll, You're","You've","hit, hitting, hits, hittest, hited, hiting, hitted","hit","me, i, my, mine","me","",".","","","","","","","","","","","",""
"9","22","Я сломал это!","I've broken it!","I've, I'd, I'll, I'm","I've","broken, break, breaking, broke, breaks, breakest, breaked","broken","it, he, him, his, its","it","","!","","","","","","","","","","","",""
"10","22","Вы спасли меня.","You've saved me.","You've, You'd, You'll, You're","You've","saved, save, saving, saves, savest, saves'","saved","me, i, my, mine","me","",".","","","","","","","","","","","",""
"11","22","Я перебил тебя.","I have interrupted you.","I, me, my, mine","I","have, had, has, having, haves, haveta, haveing, have led","have","interrupted, interrupt, interrupting, interrupts","interrupted","you, your, yours","you","",".","","","","","","","","","",""
"12","22","Я выучил это.","I've learned it.","I've, I'd, I'll, I'm","I've","learned, learn, learning, learnt, learns, learnning","learned","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"13","22","Вы разрушили это.","You've ruined it.","You've, You'd, You'll, You're","You've","ruined, ruin, ruining, ruins, ruiner, ruinned, ruin's, ruins'","ruined","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"14","22","Я рассказал им.","I have told them.","I, me, my, mine","I","have, had, has, having, haves, haveta, haveing, have led","have","told, tell, telling, tells, tellest, tollen","told","them, they, their, theirs","them","",".","","","","","","","","","",""
"15","22","Они предали тебя.","They've betrayed you.","They've, They'd, They'll, They're","They've","betrayed, betray, betrays, betraying, betrayest, betraid, betraied","betrayed","you, your, yours","you","",".","","","","","","","","","","","",""
"16","22","Вы потеряли её.","You've lost her.","You've, You'd, You'll, You're","You've","lost, lose, losing, loses, losest, losed, loseing","lost","her, she, hers","her","",".","","","","","","","","","","","",""
"17","22","Я нашла её.","I've found her.","I've, I'd, I'll, I'm","I've","found, find, finding, finds, findest, finded, finds'","found","her, she, hers","her","",".","","","","","","","","","","","",""
"18","22","Они спрятали это.","They've hidden it.","They've, They'd, They'll, They're","They've","hidden, hid, hide, hiding, hides, hidest, hided, hideing","hidden","it, he, him, his, its","it","",".","","","","","","","","","","","",""
"19","22","Они оставили его.","They've left him.","They've, They'd, They'll, They're","They've","left, leave, leaves, leaving, leavest, loven, leav'd","left","him, he, his, it, its","him","",".","","","","","","","","","","","",""
