ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","29","Я не пишу.","I haven't been writing.","I, me, my, mine","I","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","writing, wrote, write, written, writes, writeing, writes', write's","writing","",".","","","","","","","","","",""
"2","29","Я не кашляю.","I've not been coughing.","I've, I'd, I'll, I'm","I've","not, no, none, neither, nore, nope","not","been, is, be, are, was, were, will, shall","been","coughing, cough, coughed, coughs, coughs'","coughing","",".","","","","","","","","","",""
"3","29","Я не жалуюсь.","I haven't been complaining","I, me, my, mine","I","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","complaining, complain, complains, complained, complainer, complainest","complaining","","","","","","","","","","","",""
"4","29","Вы не слушаете.","You haven't been listening.","You, Your, Yours","You","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","listening, listen, listened, listens, listenning, listen'd, listen's","listening","",".","","","","","","","","","",""
"5","29","Я не борюсь.","I haven't been fighting.","I, me, my, mine","I","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","fighting, fight, fought, fights, fightest, fighted","fighting","",".","","","","","","","","","",""
"6","29","Я не плаваю.","I haven't been swimming","I, me, my, mine","I","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","swimming, swam, swim, swum, swims, swiming, swimmed, swimed","swimming","","","","","","","","","","","",""
"7","29","Я не вру!","I haven't been lying!","I, me, my, mine","I","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","lying, lain, lay, lie, lies, lied, lieing, liebing","lying","","!","","","","","","","","","",""
"8","29","Вы не слушаете.","You haven't been listening","You, Your, Yours","You","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","listening, listen, listened, listens, listenning, listen'd, listen's","listening","","","","","","","","","","","",""
"9","29","Я не прячусь.","I haven't been hiding.","I, me, my, mine","I","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","hiding, hid, hidden, hide, hides, hidest, hided, hideing","hiding","",".","","","","","","","","","",""
"10","29","Мы не ждём.","We haven't been waiting","We, Our, Us, Ours","We","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","waiting, wait, waited, waits, waitting","waiting","","","","","","","","","","","",""
"11","29","Вы не работаете.","You haven't been working.","You, Your, Yours","You","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","working, work, works, wrought, worked, workest","working","",".","","","","","","","","","",""
"12","29","Вы не платите им.","You haven't been paying them.","You, Your, Yours","You","haven't, hadn't, hasn't","haven't","been, is, be, are, was, were, will, shall","been","paying, paid, pay, payer, pays, payest, payed, payta","paying","them, they, their, theirs","them","",".","","","","","","","",""
