ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","28","Ты играешь в теннис?","Have you been playing tennis?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","playing, play, played, plays, plaied, plaies, plays'","playing","tennis, tennessee","tennis","","?","","","","","","","",""
"2","28","Кто курит?","Who's been smoking?","Who's, What's, Why's","Who's","been, is, be, are, was, were, will, shall","been","smoking, smoke, smoked, smokes, smokeing, smokes'","smoking","","?","","","","","","","","","","","",""
"3","28","Кто сплетничает?","Who's been gossiping?","Who's, What's, Why's","Who's","been, is, be, are, was, were, will, shall","been","gossiping, gossip, gossips, gossiped, gossipping, gossipped, gossips', gossip'd","gossiping","","?","","","","","","","","","","","",""
"4","28","Что происходит?","What's been happening?","What's, Who's, Why's","What's","been, is, be, are, was, were, will, shall","been","happening, happen, happened, happens, happenest, happenned, happenning","happening","","?","","","","","","","","","","","",""
"5","28","Как вы спите?","How have you been sleeping?","How, Hown, Hows, Howed, Howest","How","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","sleeping, sleep, slept, sleeps, sleepest, sleeped, sleepping, sleepped","sleeping","","?","","","","","","","",""
"6","28","Что вы едите?","What've you been eating?","What've, What, Whats, Whaten, Whatted","What've","you, your, yours","you","been, is, be, are, was, were, will, shall","been","eating, ate, eat, eaten, eats, eatest, eated, eatting","eating","","?","","","","","","","","","",""
"7","28","Что вы изучаете?","What have you been studying?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","studying, studied, study, studies, studier, studys, studid","studying","","?","","","","","","","",""
"8","28","Что вы обсуждаете?","What have you been discussing?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","discussing, discuss, discussed, discusses","discussing","","?","","","","","","","",""
"9","28","Что мы делаем?","What have we been doing?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","we, our, us, ours","we","been, is, be, are, was, were, will, shall","been","doing, do, does, did, done","doing","","?","","","","","","","",""
"10","28","Что вы пьёте?","What have you been drinking?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","drinking, drank, drink, drunk, drinks, drinked, drinkest","drinking","","?","","","","","","","",""
"11","28","Что вы делаете?","What've you been doing?","What've, What, Whats, Whaten, Whatted","What've","you, your, yours","you","been, is, be, are, was, were, will, shall","been","doing, do, does, did, done","doing","","?","","","","","","","","","",""
"12","28","Что вы читаете?","What have you been reading?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","reading, read, reader, reads, readest, readed","reading","","?","","","","","","","",""
"13","28","Что я делаю?","What have I been doing?","What, Where, When, Why, Who","What","have, had, has, having, haves, haveta, haveing, have led","have","I, me, my, mine","I","been, is, be, are, was, were, will, shall","been","doing, do, does, did, done","doing","","?","","","","","","","",""
"14","28","Как долго оно горит?","How long's it been burning?","How, Hown, Hows, Howed, Howest","How","long's, long, longer, longest, longing, longed, longs, longbed","long's","it, he, him, his, its","it","been, is, be, are, was, were, will, shall","been","burning, burn, burnt, burned, burns, burnest, burnning, burnped","burning","","?","","","","","","","",""
"15","28","Как долго он играет?","How long has he been playing?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","has, had, have, having, haves, haveta, haveing, have led","has","he, him, his, it, its","he","been, is, be, are, was, were, will, shall","been","playing, play, played, plays, plaied, plaies, plays'","playing","","?","","","","","",""
"16","28","Как долго она плачет?","How long has she been crying?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","has, had, have, having, haves, haveta, haveing, have led","has","she, her, hers","she","been, is, be, are, was, were, will, shall","been","crying, cried, cries, cry, crys, cryed, criest, cryling","crying","","?","","","","","",""
"17","28","Как долго он ждет?","How long has he been waiting?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","has, had, have, having, haves, haveta, haveing, have led","has","he, him, his, it, its","he","been, is, be, are, was, were, will, shall","been","waiting, wait, waited, waits, waitting","waiting","","?","","","","","",""
"18","28","Как долго она кашляет?","How long has she been coughing?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","has, had, have, having, haves, haveta, haveing, have led","has","she, her, hers","she","been, is, be, are, was, were, will, shall","been","coughing, cough, coughed, coughs, coughs'","coughing","","?","","","","","",""
"19","28","Как долго она практикуется?","How long has she been practicing?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","has, had, have, having, haves, haveta, haveing, have led","has","she, her, hers","she","been, is, be, are, was, were, will, shall","been","practicing, practice, practices, practiced","practicing","","?","","","","","",""
"20","28","Как долго она преподаёт?","How long has she been teaching?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","has, had, have, having, haves, haveta, haveing, have led","has","she, her, hers","she","been, is, be, are, was, were, will, shall","been","teaching, taught, teach, teaches, teachs","teaching","","?","","","","","",""
"21","28","Как долго ты встречаешься с ним?","How long have you been seeing him?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","seeing, saw, see, seen, sees, seemest, seeger, seeta","seeing","him, he, his, it, its","him","","?","","","",""
"22","28","Как долго ты планируешь это?","How long have you been planning it?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","planning, plan, planned, plans","planning","it, he, him, his, its","it","","?","","","",""
"23","28","Как долго ты занимаешься этим?","How long have you been doing it?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","doing, do, does, did, done","doing","it, he, him, his, its","it","","?","","","",""
"24","28","Как долго вы наблюдаете за мной?","How long have you been watching me?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","watching, watch, watches, watched, watchs, watches'","watching","me, i, my, mine","me","","?","","","",""
"25","28","Как долго вы лечите его?","How long have you been treating him?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","treating, treat, treats, treated, treatest, treaten, treats'","treating","him, he, his, it, its","him","","?","","","",""
"26","28","Как долго мы делаем это?","How long have we been doing it?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","we, our, us, ours","we","been, is, be, are, was, were, will, shall","been","doing, do, does, did, done","doing","it, he, him, his, its","it","","?","","","",""
"27","28","Как долго вы помогаете им?","How long have you been helping them?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","helping, help, helped, helps, helpped","helping","them, they, their, theirs","them","","?","","","",""
"28","28","Как долго ты читаешь это?","How long have you been reading it?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","reading, read, reader, reads, readest, readed","reading","it, he, him, his, its","it","","?","","","",""
"29","28","Как долго вы следуете за мной?","How long have you been following me?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","following, follow, followed, follows","following","me, i, my, mine","me","","?","","","",""
"30","28","Как долго ты встречаешься с ним?","How long have you been dating him?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","dating, date, dated, dates, dateing","dating","him, he, his, it, its","him","","?","","","",""
"31","28","Как долго вы идёте за нами?","How long have you been following us?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","following, follow, followed, follows","following","us, we, our, ours","us","","?","","","",""
"32","28","Как долго мы наблюдаем за ними?","How long have we been watching them?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","we, our, us, ours","we","been, is, be, are, was, were, will, shall","been","watching, watch, watches, watched, watchs, watches'","watching","them, they, their, theirs","them","","?","","","",""
"33","28","Как долго вы изучаете это?","How long have you been studying it?","How, Hown, Hows, Howed, Howest","How","long, longer, longest, longing, longed, longs, longbed, long bed","long","have, had, has, having, haves, haveta, haveing, have led","have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","studying, studied, study, studies, studier, studys, studid","studying","it, he, him, his, its","it","","?","","","",""
"34","28","Ты работаешь всю ночь?","Have you been working all night?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","working, work, works, wrought, worked, workest","working","all, allbest, alls'","all","night, nights, nighter","night","","?","","","","","",""
"35","28","Вы принимаете какое-либо лекарство?","Have you been taking any medication?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","taking, take, taken, took, takes, taketa, taked, takeing","taking","any, anys, anyming, anying, anies","any","medication, medicare, medicate, medically, medical","medication","","?","","","","","",""
"36","28","Вы едете на машине всю ночь?","Have you been driving all night?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","driving, drive, driven, drove, drives, drivest, drived","driving","all, allbest, alls'","all","night, nights, nighter","night","","?","","","","","",""
"37","28","Ты работаешь весь день?","Have you been working all day?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","working, work, works, wrought, worked, workest","working","all, allbest, alls'","all","day, days, daid, daies, daybed, daybest, daying, dayta","day","","?","","","","","",""
"38","28","Вы следите за новостями?","Have you been following the news?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","following, follow, followed, follows","following","the, then, though","the","news, newspapers, newscaster, newsstand, newsletter, newspaper","news","","?","","","","","",""
"39","28","Вы смотрите новости?","Have you been watching the news?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","watching, watch, watches, watched, watchs, watches'","watching","the, then, though","the","news, newspapers, newscaster, newsstand, newsletter, newspaper","news","","?","","","","","",""
"40","28","Ты читаешь прессу?","Have you been reading the press?","Have, Had, Has, Having, Haves, Haveta, Haveing, Have led","Have","you, your, yours","you","been, is, be, are, was, were, will, shall","been","reading, read, reader, reads, readest, readed","reading","the, then, though","the","press, pressing, pressed, presses, presses'","press","","?","","","","","",""
