ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","20","Они не собираются трогать что-либо.","They are not going to touch anything.","They, Them, Their, Theirs","They","are, is, be, been, was, were, will, shall","are","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","touch, touched, touching, touches, touchs, touches'","touch","anything, anytime","anything","",".","","","",""
"2","20","Я не собираюсь терять деньги.","I'm not going to lose money.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","lose, losing, lost, loses, losest, losed, loseing","lose","money, monetary","money","",".","","","","","",""
"3","20","Мы не собираемся покупать что-либо.","We're not going to buy anything.","We're, We'd, We'll, We've","We're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","buy, bought, buys, buying, buyest, buyed, buies","buy","anything, anytime","anything","",".","","","","","",""
"4","20","Мы не собираемся ломать что-либо.","We're not going to break anything.","We're, We'd, We'll, We've","We're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","break, breaking, broke, broken, breaks, breakest, breaked","break","anything, anytime","anything","",".","","","","","",""
"5","20","Я не собираюсь делать покупки.","I am not going to do shopping.","I, me, my, mine","I","am, are, be, been, being, is, was, were","am","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","do, does, did, done, doing","do","shopping, shoplift, shopper, shopkeeper, shop","shopping","",".","","","",""
"6","20","Я не собираюсь объяснять что-либо.","I am not going to explain anything.","I, me, my, mine","I","am, are, be, been, being, is, was, were","am","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","explain, explained, explains, explaining, explainer, explainest","explain","anything, anytime","anything","",".","","","",""
"7","20","Я не собираюсь доказывать что-либо.","I am not going to prove anything.","I, me, my, mine","I","am, are, be, been, being, is, was, were","am","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","prove, proven, proved, proves, proving","prove","anything, anytime","anything","",".","","","",""
"8","20","Ты не собираешься есть рис.","You're not going to eat rice.","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","eat, ate, eaten, eating, eats, eatest, eated, eatting","eat","rice, rices, ricing, riced","rice","",".","","","","","",""
"9","20","Мы не собираемся делать что-либо.","We're not going to do anything.","We're, We'd, We'll, We've","We're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","do, does, did, done, doing","do","anything, anytime","anything","",".","","","","","",""
"10","20","Вы не собираетесь избегать изменений.","You're not going to avoid change.","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","avoid, avoided, avoiding, avoids, avoidin'","avoid","change, changed, changing, changes, changeing","change","",".","","","","","",""
"11","20","Я не собираюсь прыгать сегодня.","I'm not going to jump today.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","jump, jumper, jumping, jumped, jumps, jump'd","jump","today, todays, todays'","today","",".","","","","","",""
"12","20","Я не собираюсь забывать что-либо.","I'm not going to forget anything.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","forget, forgot, forgotten, forgetting, forgets, forgettest","forget","anything, anytime","anything","",".","","","","","",""
"13","20","Я не собираюсь арестовывать кого-либо.","I'm not going to arrest anybody.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","arrest, arresting, arrested, arrests, arrests'","arrest","anybody, anybodys, anybodies","anybody","",".","","","","","",""
"14","20","Я не собираюсь готовить ужин.","I'm not going to make dinner.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","make, made, making, makes, mook, maken, make  bed, makeing","make","dinner, dinners, dinners'","dinner","",".","","","","","",""
"15","20","Мы не собираемся осматривать дворец.","We're not going to see the palace.","We're, We'd, We'll, We've","We're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","see, saw, seeing, seen, sees, seemest, seeger, seeta","see","the, then, though","the","palace, palaces, palaces'","palace","",".","","","",""
"16","20","Я не собираюсь оставлять машину.","I'm not going to leave the car.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","leave, leaves, left, leaving, leavest, loven, leav'd","leave","the, then, though","the","car, carer, cars, carring, carred","car","",".","","","",""
"17","20","Я не собираюсь быть врачом.","I'm not going to be a doctor.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","be, is, been, are, was, were, will, shall","be","a, an","a","doctor, doctors, doctoring, doctored","doctor","",".","","","",""
"18","20","Я не собираюсь обсуждать вопрос.","I'm not going to discuss the matter.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","discuss, discussing, discussed, discusses","discuss","the, then, though","the","matter, matters, mattered, mattering, mattera","matter","",".","","","",""
"19","20","Я не собираюсь накрывать какой-либо ужин.","I'm not going to serve any dinner.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","serve, serving, served, serves","serve","any, anys, anyming, anying, anies","any","dinner, dinners, dinners'","dinner","",".","","","",""
"20","20","Я не собираюсь терять время.","I'm not going to lose any time.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","lose, losing, lost, loses, losest, losed, loseing","lose","any, anys, anyming, anying, anies","any","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","",""
"21","20","Вы не собираетесь спасать мир.","You're not going to save the world.","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","save, saving, saved, saves, savest, saves'","save","the, then, though","the","world, worlds, worlded, worlder","world","",".","","","",""
"22","20","Я не собираюсь принимать стипендию.","I'm not going to take the scholarship.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","take, taken, taking, took, takes, taketa, taked, takeing","take","the, then, though","the","scholarship, scholarly, scholar","scholarship","",".","","","",""
"23","20","Я не собираюсь грабить магазин.","I'm not going to rob the shop.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","rob, robbed, robbing, robs","rob","the, then, though","the","shop, shopping, shops, shopped","shop","",".","","","",""
"24","20","Я не собираюсь выходить замуж за принца!","I'm not going to marry the prince!","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","marry, married, marrying, marries, marryed","marry","the, then, though","the","prince, princes, princed","prince","","!","","","",""
"25","20","Вы не собираетесь подхватить какую-нибудь болезнь.","You're not going to catch any disease.","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","catch, catching, caught, catches, catched, catchs","catch","any, anys, anyming, anying, anies","any","disease, diseased, diseases","disease","",".","","","",""
"26","20","Я не собираюсь пить этот яд.","I'm not going to drink this poison.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","drink, drank, drunk, drinking, drinks, drinked, drinkest","drink","this, it'll, it's, its","this","poison, poisoning, poisons, poisoned","poison","",".","","","",""
"27","20","Я не собираюсь носить шляпу.","I'm not going to wear a hat.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","wear, wearing, wore, worn, wears, worne, weared, weard","wear","a, an","a","hat, hats, hatted, hatest, haten, hatting, hatbed","hat","",".","","","",""
"28","20","Я не собираюсь продавать эту компанию.","I'm not going to sell this company.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","sell, sold, selling, sells, sollen, sell best","sell","this, it'll, it's, its","this","company, companies, companys, companied, companying","company","",".","","","",""
"29","20","Но я не собираюсь плакать.","But I'm not going to cry.","But, Buts","But","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","cry, cried, cries, crying, crys, cryed, criest, cryling","cry","",".","","","","","",""
"30","20","Я не собираюсь терять свою работу.","I'm not going to lose my job.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","lose, losing, lost, loses, losest, losed, loseing","lose","my, i, me, mine","my","job, jobber, jobbing, jobs, jobbed","job","",".","","","",""
"31","20","И я не собираюсь притворяться!","And I'm not going to pretend!","And, Ands, Ood, Anded, Anding, Ander, Andren","And","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","pretend, pretended, pretends, pretending","pretend","","!","","","","","",""
"32","20","Но я не собираюсь спрашивать.","But I'm not going to ask.","But, Buts","But","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","ask, asking, asked, asks, askest, asks'","ask","",".","","","","","",""
"33","20","Я не собираюсь тратить своё время.","I'm not going to waste my time.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","waste, waster, wasting, wasted, wastes, wasteing, wastes'","waste","my, i, me, mine","my","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","",""
"34","20","Мы не собираемся звонить твоему отцу.","We are not going to call your dad.","We, Our, Us, Ours","We","are, is, be, been, was, were, will, shall","are","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","call, calling, called, calls, callest, callled","call","your, you, yours","your","dad, dads","dad","",".","",""
"35","20","Я не собираюсь менять своё имя.","I'm not going to change my name.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","change, changed, changing, changes, changeing","change","my, i, me, mine","my","name, names, named, naming, namest, namer","name","",".","","","",""
"36","20","Мы не собираемся публиковать вашу книгу.","We're not going to publish your book.","We're, We'd, We'll, We've","We're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","publish, publishing, published, publishes","publish","your, you, yours","your","book, booked, booking, booker, books","book","",".","","","",""
"37","20","Я не собираюсь быть вашим другом.","I'm not going to be your friend.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","be, is, been, are, was, were, will, shall","be","your, you, yours","your","friend, friends, friending, friended","friend","",".","","","",""
"38","20","Вы не собираетесь брать его деньги.","You're not going to take his money.","You're, You'd, You'll, You've","You're","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","take, taken, taking, took, takes, taketa, taked, takeing","take","his, he, him, it, its","his","money, monetary","money","",".","","","",""
"39","20","Ты не собираешься пойти туда один.","You are not going there alone.","You, Your, Yours","You","are, is, be, been, was, were, will, shall","are","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","there, theres, thered, thering","there","alone, alongside, along","alone","",".","","","","","",""
"40","20","Но я не собираюсь спать!","But I'm not going to sleep!","But, Buts","But","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","sleep, slept, sleeping, sleeps, sleepest, sleeped, sleepping, sleepped","sleep","","!","","","","","",""
"41","20","Но я не собираюсь рассказывать.","But I'm not going to tell.","But, Buts","But","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","tell, telling, told, tells, tellest, tollen","tell","",".","","","","","",""
"42","20","Я не собираюсь делать твою работу.","I'm not going to do your job.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","do, does, did, done, doing","do","your, you, yours","your","job, jobber, jobbing, jobs, jobbed","job","",".","","","",""
"43","20","Я не собираюсь забирать твою кошку.","I'm not going to take your cat.","I'm, I'd, I'll, I've","I'm","not, no, none, neither, nore, nope","not","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","take, taken, taking, took, takes, taketa, taked, takeing","take","your, you, yours","your","cat, cats, catted, catting, catter","cat","",".","","","",""
