ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","18","Я собираюсь купить немного хлеба.","I'm going to buy some bread.","I'm, I'd, I'll, I've","I'm","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","buy, bought, buys, buying, buyest, buyed, buies","buy","some, somes, someing","some","bread, breaded, breads, breading, breader","bread","",".","","","","","",""
"2","18","Я собираюсь отказать ему.","I'm going to refuse him.","I'm, I'd, I'll, I've","I'm","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","refuse, refusing, refused, refuses","refuse","him, he, his, it, its","him","",".","","","","","","","",""
"3","18","Я собираюсь поймать его.","I'm going to catch him.","I'm, I'd, I'll, I've","I'm","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","catch, catching, caught, catches, catched, catchs","catch","him, he, his, it, its","him","",".","","","","","","","",""
"4","18","Ты собираешься нанять их.","You're going to hire them.","You're, You'd, You'll, You've","You're","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","hire, hired, hiring, hires, hirebed, hir'd","hire","them, they, their, theirs","them","",".","","","","","","","",""
"5","18","Мы собираемся встретить его.","We're going to meet him.","We're, We'd, We'll, We've","We're","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","meet, meeting, met, meets, meeter, meetest, meeted, meetting","meet","him, he, his, it, its","him","",".","","","","","","","",""
"6","18","Я собираюсь закрыть это.","I'm going to close it.","I'm, I'd, I'll, I've","I'm","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","close, closed, closing, closer, closes, closest, closeing, closes'","close","it, he, him, his, its","it","",".","","","","","","","",""
"7","18","Мы собираемся остановить его.","We're going to stop him.","We're, We'd, We'll, We've","We're","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","stop, stopping, stopped, stops","stop","him, he, his, it, its","him","",".","","","","","","","",""
"8","18","Мы собираемся взять это.","We're going to take it.","We're, We'd, We'll, We've","We're","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","take, taken, taking, took, takes, taketa, taked, takeing","take","it, he, him, his, its","it","",".","","","","","","","",""
"9","18","Вы собираетесь помочь нам.","You are going to help us.","You, Your, Yours","You","are, is, be, been, was, were, will, shall","are","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","help, helping, helped, helps, helpped","help","us, we, our, ours","us","",".","","","","","",""
"10","18","Я собираюсь объявить это.","I'm going to announce it","I'm, I'd, I'll, I've","I'm","going, go, gone, went, goes, gos, goed, gota","going","to, on, in, at, since, for, ago, before","to","announce, announced, announces, announcing, announc'd","announce","it, he, him, his, its","it","","","","","","","","","",""
