ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","94","Санта Клаус настоящий.","Santa Claus is real.","Santa, Santiago","Santa","Claus, Claustrophobia, Claustrophobic, Clause","Claus","is, be, been, are, was, were, will, shall","is","real, reals, realest, reis, realer","real","",".","","","","","","","","","",""
"2","94","Манхэттен дорогой.","Manhattan is expensive.","Manhattan, Manhunt, Manhole, Manhood","Manhattan","is, be, been, are, was, were, will, shall","is","expensive, expensively, expense","expensive","",".","","","","","","","","","","","",""
"3","94","Англия особенная.","England is special.","England, Englishpod, Englishwoman, Englishman, English","England","is, be, been, are, was, were, will, shall","is","special, specials, specialer, specialed, specialest","special","",".","","","","","","","","","","","",""
"4","94","Шотландия красивая.","Scotland is beautiful.","Scotland, Scott, Scot, Scottish, Scotch","Scotland","is, be, been, are, was, were, will, shall","is","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","","","","","",""
"5","94","Эмили красивая.","Emily is beautiful.","Emily, Emilies, Emilys","Emily","is, be, been, are, was, were, will, shall","is","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","","","","","",""
"6","94","Суп лёгкий.","Soup is easy.","Soup, Soups, Souped, Souping, Souper, Soups'","Soup","is, be, been, are, was, were, will, shall","is","easy, easier, easiest, easy led, easies","easy","",".","","","","","","","","","","","",""
"7","94","Удача полезна.","Luck is useful.","Luck, Lucked, Lucks, Lucking, Luckest","Luck","is, be, been, are, was, were, will, shall","is","useful, usefulness","useful","",".","","","","","","","","","","","",""
"8","94","Машина медленная.","The car is slow.","The, Then, Though","The","car, carer, cars, carring, carred","car","is, be, been, are, was, were, will, shall","is","slow, slowed, slower, slowest, slowing, slows, slown","slow","",".","","","","","","","","","",""
"9","94","Земля красива.","Earth is beautiful.","Earth, Earthing, Earths, Earthed, Earth'd","Earth","is, be, been, are, was, were, will, shall","is","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","","","","","",""
"10","94","Где Кэти?","Where's Katie?","Where's, Where, Wheres, Whered, Whereing","Where's","","Katie","","?","","","","","","","","","","","","","",""
"11","94","Как мама?","How's Mum?","How's, How, Hown, Hows, Howed, Howest","How's","Mum, Mums, Mumming, Mums', Mummed","Mum","","?","","","","","","","","","","","","","",""
"12","94","Как Краков?","How's Krakow?","How's, How, Hown, Hows, Howed, Howest","How's","","Krakow","","?","","","","","","","","","","","","","",""
"13","94","Где Джейн?","Where's Jane?","Where's, Where, Wheres, Whered, Whereing","Where's","Jane, Janes, Janes'","Jane","","?","","","","","","","","","","","","","",""
"14","94","Оно как лёд.","It's like ice.","It's, It'll, Its, This","It's","like, liking, likes, liked, likest, liker, licken, likeing","like","ice, icing, ices, iced, iceing, iceta","ice","",".","","","","","","","","","","","",""
"15","94","Она плачет ночью.","She cries at night.","She, Her, Hers","She","cries, cried, cry, crying, crys, cryed, criest, cryling","cries","at, on, in, since, for, ago, before, to","at","night, nights, nighter","night","",".","","","","","","","","","",""
"16","94","Она в опасности.","She's in danger.","She's, She'd, She'll, She're","She's","in, on, at, since, for, ago, before, to","in","danger, dangers, dangered, dangers'","danger","",".","","","","","","","","","","","",""
"17","94","Она работает из дома.","She works from home.","She, Her, Hers","She","works, work, working, wrought, worked, workest","works","from, in, at, on, by, next to, beside, under","from","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"18","94","Она дома.","She is at home.","She, Her, Hers","She","is, be, been, are, was, were, will, shall","is","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"19","94","Оно начинается в полночь.","It starts at midnight.","It, He, Him, His, Its","It","starts, start, starting, started, startted, starttest, start'd","starts","at, on, in, since, for, ago, before, to","at","midnight, midnights, midnighter","midnight","",".","","","","","","","","","",""
"20","94","Он мечтает о деньгах.","He dreams about money.","He, Him, His, It, Its","He","dreams, dream, dreamt, dreamed, dreaming, dreamest, dreamled","dreams","about, from, of, by, on, in, off, out of","about","money, monetary","money","",".","","","","","","","","","",""
"21","94","Он на телевидении.","He's on television.","He's, He'd, He'll, He're","He's","on, in, at, since, for, ago, before, to","on","television, telecom, televise, telepathy, telepathic, telecommunication, teleport, telegraph","television","",".","","","","","","","","","","","",""
"22","94","Она учится в университете.","She studies at university.","She, Her, Hers","She","studies, studied, study, studying, studier, studys, studid","studies","at, on, in, since, for, ago, before, to","at","university, universities, universitys","university","",".","","","","","","","","","",""
"23","94","Он в школе.","He's at school.","He's, He'd, He'll, He're","He's","at, on, in, since, for, ago, before, to","at","school, schooling, schools, schooled","school","",".","","","","","","","","","","","",""
"24","94","Он путешествует на автобусе.","He travels by bus","He, Him, His, It, Its","He","travels, travel, travelled, travelling, traveled, traveling","travels","by, on, in, at, since, for, ago, before","by","bus, busing, bussing, busses, buses, bussed, bused, buses'","bus","","","","","","","","","","","",""
"25","94","Оно о жизни.","It's about life.","It's, It'll, Its, This","It's","about, from, of, by, on, in, off, out of","about","life, lifer, lives, lifes, lifed, lifeing","life","",".","","","","","","","","","","","",""
"26","94","Оно о любви.","It's about love.","It's, It'll, Its, This","It's","about, from, of, by, on, in, off, out of","about","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","","","","","",""
"27","94","Это о бизнесе.","It is about business.","It, He, Him, His, Its","It","is, be, been, are, was, were, will, shall","is","about, from, of, by, on, in, off, out of","about","business, businesswoman, businesslike, businessman","business","",".","","","","","","","","","",""
"28","94","Она влюблена.","She's in love.","She's, She'd, She'll, She're","She's","in, on, at, since, for, ago, before, to","in","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","","","","","",""
"29","94","Это для лета.","It's for summer.","It's, It'll, Its, This","It's","for, on, in, at, since, ago, before, to","for","summer, summers, summered, summering, summer'd","summer","",".","","","","","","","","","","","",""
"30","94","Она мечтает о любви.","She dreams of love.","She, Her, Hers","She","dreams, dream, dreamt, dreamed, dreaming, dreamest, dreamled","dreams","of, from, by, on, in, off, out of, at","of","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","","","",""
"31","94","Это о любви.","It's about love.","It's, It'll, Its, This","It's","about, from, of, by, on, in, off, out of","about","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","","","","","",""
"32","94","Это о правде.","It's about truth.","It's, It'll, Its, This","It's","about, from, of, by, on, in, off, out of","about","truth, truths, truthed","truth","",".","","","","","","","","","","","",""
"33","94","Он на борту!","He is on board!","He, Him, His, It, Its","He","is, be, been, are, was, were, will, shall","is","on, in, at, since, for, ago, before, to","on","board, boarding, boards, boarded, boardin'","board","","!","","","","","","","","","",""
"34","94","Она в больнице.","She's in hospital.","She's, She'd, She'll, She're","She's","in, on, at, since, for, ago, before, to","in","hospital, hospitable, hospitality","hospital","",".","","","","","","","","","","","",""
"35","94","Он под арестом!","He's under arrest!","He's, He'd, He'll, He're","He's","under, in, at, on, by, next to, beside, below","under","arrest, arresting, arrested, arrests, arrests'","arrest","","!","","","","","","","","","","","",""
"36","94","Она поёт о доме.","She sings of home.","She, Her, Hers","She","sings, singin, singing, singly, singsong, singularity, singularly, singe","sings","of, from, by, on, in, off, out of, at","of","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"37","94","Это о работе.","It's about work.","It's, It'll, Its, This","It's","about, from, of, by, on, in, off, out of","about","work, working, works, wrought, worked, workest","work","",".","","","","","","","","","","","",""
"38","94","Он в тюрьме.","He's in prison.","He's, He'd, He'll, He're","He's","in, on, at, since, for, ago, before, to","in","prison, prisons, prisoned, prisoning","prison","",".","","","","","","","","","","","",""
"39","94","Он в отпуске.","He's on vacation.","He's, He'd, He'll, He're","He's","on, in, at, since, for, ago, before, to","on","vacation, vacations, vacationed, vacationing, vacations', vacationin'","vacation","",".","","","","","","","","","","","",""
"40","94","Он в опасности.","He's in danger.","He's, He'd, He'll, He're","He's","in, on, at, since, for, ago, before, to","in","danger, dangers, dangered, dangers'","danger","",".","","","","","","","","","","","",""
"41","94","Он в отпуске.","He's on holiday.","He's, He'd, He'll, He're","He's","on, in, at, since, for, ago, before, to","on","holiday, holidays, holidaying, holidayed, holidaies","holiday","",".","","","","","","","","","","","",""
"42","94","Добро пожаловать в Бангкок!","Welcome to Bangkok!","Welcome, Welcoming, Welcomed, Welcomes, Welcomest, Welcomes'","Welcome","to, on, in, at, since, for, ago, before","to","Bangkok, Bangladesh, Bang","Bangkok","","!","","","","","","","","","","","",""
"43","94","Добро пожаловать в Каракас.","Welcome to Caracas.","Welcome, Welcoming, Welcomed, Welcomes, Welcomest, Welcomes'","Welcome","to, on, in, at, since, for, ago, before","to","Caracas, Cara, Caramel, Caravan","Caracas","",".","","","","","","","","","","","",""
"44","94","Поезжайте к бабушке.","Go to Granny.","Go, Going, Gone, Went, Goes, Gos, Goed, Gota","Go","to, on, in, at, since, for, ago, before","to","Granny, Grannies, Grannys, Grannied, Grannies'","Granny","",".","","","","","","","","","","","",""
"45","94","Добро пожаловать в Будапешт.","Welcome to Budapest.","Welcome, Welcoming, Welcomed, Welcomes, Welcomest, Welcomes'","Welcome","to, on, in, at, since, for, ago, before","to","Budapest","Budapest","",".","","","","","","","","","","","",""
"46","94","Поезжай в Пенсильванию.","Go to Pennsylvania.","Go, Going, Gone, Went, Goes, Gos, Goed, Gota","Go","to, on, in, at, since, for, ago, before","to","Pennsylvania, Penn, Pennant, Penniless, Penny","Pennsylvania","",".","","","","","","","","","","","",""
"47","94","Добро пожаловать на Аляску.","Welcome to Alaska.","Welcome, Welcoming, Welcomed, Welcomes, Welcomest, Welcomes'","Welcome","to, on, in, at, since, for, ago, before","to","Alaska, Alaskan, Alas","Alaska","",".","","","","","","","","","","","",""
