ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","79","Он говорит это всё время.","He says it all the time.","He, Him, His, It, Its","He","says, said, say, saying, sayest, sayed, sayling, saies","says","it, he, him, his, its","it","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","",""
"2","79","Он делает это всё время.","He does it all the time.","He, Him, His, It, Its","He","does, do, did, done, doing","does","it, he, him, his, its","it","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","",""
"3","79","Вы со мной всё время.","You're with me all the time.","You're, You'd, You'll, You've","You're","with, withing, withim, withs","with","me, i, my, mine","me","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","",""
"4","79","Я беспокоюсь об этом всё время.","I worry about it all the time.","I, me, my, mine","I","worry, worried, worrying, worries, worrys, worryed","worry","about, from, of, by, on, in, off, out of","about","it, he, him, his, its","it","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","",""
"5","79","Мы самые счастливые.","We're the happiest","We're, We'd, We'll, We've","We're","the, then, though","the","happiest, happens, happening, happened, happily, happiness, happy, happen","happiest","","","","","","","","","","","","","",""
"6","79","Ты самый молодой.","You're the youngest.","You're, You'd, You'll, You've","You're","the, then, though","the","youngest, young, younger, youngs","youngest","",".","","","","","","","","","","","",""
"7","79","Они самые простые.","They're the simplest.","They're, They'd, They'll, They've","They're","the, then, though","the","simplest, simplification, simpleton, simplistic, simplify, simplicity, simply, simple","simplest","",".","","","","","","","","","","","",""
"8","79","Мы самые молодые.","We are the youngest.","We, Our, Us, Ours","We","are, is, be, been, was, were, will, shall","are","the, then, though","the","youngest, young, younger, youngs","youngest","",".","","","","","","","","","",""
"9","79","Ты хочешь самого лучшего.","You want the best.","You, Your, Yours","You","want, won't, wont","want","the, then, though","the","best, bested, bestest, besting, bester, bests, best best","best","",".","","","","","","","","","",""
"10","79","Они самые грустные.","They're the saddest.","They're, They'd, They'll, They've","They're","the, then, though","the","saddest, saddlebag, sadden, saddle","saddest","",".","","","","","","","","","","","",""
"11","79","Я самый сильный.","I'm the strongest.","I'm, I'd, I'll, I've","I'm","the, then, though","the","strongest, strong, stronger, strongs","strongest","",".","","","","","","","","","","","",""
"12","79","Я самый великий!","I am the greatest!","I, me, my, mine","I","am, are, be, been, being, is, was, were","am","the, then, though","the","greatest, great, greater, greats, greated, greating, greatter, greats'","greatest","","!","","","","","","","","","",""
"13","79","Я самый старший.","I'm the oldest.","I'm, I'd, I'll, I've","I'm","the, then, though","the","oldest, elder, eldest, old, older, olds, olding","oldest","",".","","","","","","","","","","","",""
"14","79","Они самые большие.","They're the biggest.","They're, They'd, They'll, They've","They're","the, then, though","the","biggest, big, bigger, bigs, bigging, bigest","biggest","",".","","","","","","","","","","","",""
"15","79","Они самые лучшие!","They are the best!","They, Them, Their, Theirs","They","are, is, be, been, was, were, will, shall","are","the, then, though","the","best, bested, bestest, besting, bester, bests, best best","best","","!","","","","","","","","","",""
"16","79","Мы лучшие.","We are the best.","We, Our, Us, Ours","We","are, is, be, been, was, were, will, shall","are","the, then, though","the","best, bested, bestest, besting, bester, bests, best best","best","",".","","","","","","","","","",""
"17","79","Он наблюдает за нами всё время.","He watches us all the time.","He, Him, His, It, Its","He","watches, watch, watching, watched, watchs, watches'","watches","us, we, our, ours","us","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","",""
"18","79","Она звонит мне всё время.","She calls me all the time.","She, Her, Hers","She","calls, call, calling, called, callest, callled","calls","me, i, my, mine","me","all, allbest, alls'","all","the, then, though","the","time, timer, timing, times, timed, timeger, timest, timeing","time","",".","","","","","",""
"19","79","Игра интересная.","The game is interesting.","The, Then, Though","The","game, games, gamed, gaming, gamest, gamer, gameren, gameing","game","is, be, been, are, was, were, will, shall","is","interesting, interest, interested, interests","interesting","",".","","","","","","","","","",""
"20","79","Я хожу в кино.","I go to the cinema.","I, me, my, mine","I","go, going, gone, went, goes, gos, goed, gota","go","to, on, in, at, since, for, ago, before","to","the, then, though","the","cinema, cinematic","cinema","",".","","","","","","","",""
"21","79","Вы говорите с доктором.","You talk to the doctor.","You, Your, Yours","You","talk, talking, talks, talked, talkest","talk","to, on, in, at, since, for, ago, before","to","the, then, though","the","doctor, doctors, doctoring, doctored","doctor","",".","","","","","","","",""
"22","79","Вы едете в аэропорт.","You go to the airport.","You, Your, Yours","You","go, going, gone, went, goes, gos, goed, gota","go","to, on, in, at, since, for, ago, before","to","the, then, though","the","airport, airports, airports'","airport","",".","","","","","","","",""
"23","79","Ты слушаешь музыку.","You listen to the music.","You, Your, Yours","You","listen, listening, listened, listens, listenning, listen'd, listen's","listen","to, on, in, at, since, for, ago, before","to","the, then, though","the","music, musics, musicer, musics'","music","",".","","","","","","","",""
"24","79","Ты ходишь в бар.","You go to the bar.","You, Your, Yours","You","go, going, gone, went, goes, gos, goed, gota","go","to, on, in, at, since, for, ago, before","to","the, then, though","the","bar, barring, bars, barred, barther","bar","",".","","","","","","","",""
"25","79","Вы слушаете новости.","You listen to the news.","You, Your, Yours","You","listen, listening, listened, listens, listenning, listen'd, listen's","listen","to, on, in, at, since, for, ago, before","to","the, then, though","the","news, newspapers, newscaster, newsstand, newsletter, newspaper","news","",".","","","","","","","",""
"26","79","Мы едем в отель.","We go to the hotel.","We, Our, Us, Ours","We","go, going, gone, went, goes, gos, goed, gota","go","to, on, in, at, since, for, ago, before","to","the, then, though","the","hotel, hotels, hoteled, hotels'","hotel","",".","","","","","","","",""
"27","79","Мы идём на вечеринку.","We go to the party.","We, Our, Us, Ours","We","go, going, gone, went, goes, gos, goed, gota","go","to, on, in, at, since, for, ago, before","to","the, then, though","the","party, parties, partied, partier, partys","party","",".","","","","","","","",""
"28","79","Они знают актрису.","They know the actress.","They, Them, Their, Theirs","They","know, knew, knowing, known, knows, knowed, knowest, knower","know","the, then, though","the","actress, actresses, actressing, actresses'","actress","",".","","","","","","","","","",""
"29","79","Я хожу в библиотеку.","I go to the library.","I, me, my, mine","I","go, going, gone, went, goes, gos, goed, gota","go","to, on, in, at, since, for, ago, before","to","the, then, though","the","library, libraries, librarys","library","",".","","","","","","","",""
"30","79","Я хожу в парк.","I go to the park.","I, me, my, mine","I","go, going, gone, went, goes, gos, goed, gota","go","to, on, in, at, since, for, ago, before","to","the, then, though","the","park, parking, parks, parked, parks'","park","",".","","","","","","","",""
"31","79","Я кричу водителю.","I shout to the driver.","I, me, my, mine","I","shout, shouting, shouter, shouted, shouts, shoutting, shouts'","shout","to, on, in, at, since, for, ago, before","to","the, then, though","the","driver, driven, drives, drivel, driveway, drive","driver","",".","","","","","","","",""
"32","79","Магазины были всё ещё открыты.","The shops were still open.","The, Then, Though","The","shops, shop, shopping, shopped","shops","were, is, be, been, are, was, will, shall","were","still, stilled, stiller, stilling, stills, stillest","still","open, opening, opened, opens, openest, openned, openning, opens'","open","",".","","","","","","","",""
"33","79","Дороги были очень сухие.","The roads were very dry.","The, Then, Though","The","roads, road, roading, roaded, roads'","roads","were, is, be, been, are, was, will, shall","were","very, veriest, verys, very best, verybest, verier","very","dry, dried, drier, drying, dries, driest, dryest, drys","dry","",".","","","","","","","",""
"34","79","Глаза были не красные.","The eyes were not red.","The, Then, Though","The","eyes, eye, eyed, eyeing, eying","eyes","were, is, be, been, are, was, will, shall","were","not, no, none, neither, nore, nope","not","red, redder, reds, reddest, reder","red","",".","","","","","","","",""
"35","79","Пассажиры были немолоды.","The passengers were not young.","The, Then, Though","The","passengers, passes, passed, passerby, passer, passenger","passengers","were, is, be, been, are, was, will, shall","were","not, no, none, neither, nore, nope","not","young, younger, youngest, youngs","young","",".","","","","","","","",""
"36","79","Двери были всё ещё открыты.","The doors were still open.","The, Then, Though","The","doors, door, doored","doors","were, is, be, been, are, was, will, shall","were","still, stilled, stiller, stilling, stills, stillest","still","open, opening, opened, opens, openest, openned, openning, opens'","open","",".","","","","","","","",""
"37","79","Цветы были действительно красивыми.","The flowers were really beautiful.","The, Then, Though","The","flowers, flower, flowered, flowering, flower bed, flowerest","flowers","were, is, be, been, are, was, will, shall","were","really, reallys, reallying, reallier","really","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","",""
"38","79","Актёры были так хороши.","The actors were so good.","The, Then, Though","The","actors, actor","actors","were, is, be, been, are, was, will, shall","were","so, sota, soren, soes, soing, soed","so","good, best, better, goods, gooding, goodest","good","",".","","","","","","","",""
"39","79","Столы были пустыми.","The tables were empty.","The, Then, Though","The","tables, table, tabled, tabling, tabler","tables","were, is, be, been, are, was, will, shall","were","empty, emptied, emptying, empties, emptier, emptiest, emptyed, emptys","empty","",".","","","","","","","","","",""
"40","79","Я видел Мартина в коридоре.","I saw Martin in the corridor.","I, me, my, mine","I","saw, sawn, saws, sawing, sawed, sawest, sawer, saws'","saw","Martin, Martini, Martinus","Martin","in, on, at, since, for, ago, before, to","in","the, then, though","the","corridor, correspondingly, corrosive, corrosion, corrugate, corrode, corrective, correctness","corridor","",".","","","","","",""
"41","79","Я встретил Фреда в кафе.","I met Fred at the cafe.","I, me, my, mine","I","met, meet, meeting, meets, meeter, meetest, meeted, meetting","met","Fred, Freddy, Freddie","Fred","at, on, in, since, for, ago, before, to","at","the, then, though","the","cafe, cafeteria","cafe","",".","","","","","",""
"42","79","Он взял Джона за руку.","He took John by the arm.","He, Him, His, It, Its","He","took, take, taken, taking, takes, taketa, taked, takeing","took","John, Johnson, Johnny","John","by, on, in, at, since, for, ago, before","by","the, then, though","the","arm, armed, arming, arms, armin'","arm","",".","","","","","",""
"43","79","Он нашёл Гарри в кухне.","He found Harry in the kitchen.","He, Him, His, It, Its","He","found, find, finding, finds, findest, finded, finds'","found","Harry, Harried, Harrying, Harrys, Harries","Harry","in, on, at, since, for, ago, before, to","in","the, then, though","the","kitchen, kitchens, kitchens'","kitchen","",".","","","","","",""
"44","79","Он нашёл Элизабет в саду.","He found Elizabeth in the garden.","He, Him, His, It, Its","He","found, find, finding, finds, findest, finded, finds'","found","Elizabeth, Elizabethan","Elizabeth","in, on, at, since, for, ago, before, to","in","the, then, though","the","garden, gardens, gardened, garden bed","garden","",".","","","","","",""
"45","79","Он положил Чарли на пол.","He put Charlie on the floor.","He, Him, His, It, Its","He","put, putting, puts, puttest","put","Charlie, Charlatan, Charleston, Charlotte","Charlie","on, in, at, since, for, ago, before, to","on","the, then, though","the","floor, floorer, flooring, floors, floored, floors'","floor","",".","","","","","",""
"46","79","Он закрыл дверь за ним.","He closed the door behind him.","He, Him, His, It, Its","He","closed, close, closing, closer, closes, closest, closeing, closes'","closed","the, then, though","the","door, doors, doored","door","behind","behind","him, he, his, it, its","him","",".","","","","","",""
"47","79","Он взял карту у неё.","He took the card from her.","He, Him, His, It, Its","He","took, take, taken, taking, takes, taketa, taked, takeing","took","the, then, though","the","card, carding, cards, carded","card","from, in, at, on, by, next to, beside, under","from","her, she, hers","her","",".","","","","","",""
"48","79","Она взяла ключ у него.","She took the key from him.","She, Her, Hers","She","took, take, taken, taking, takes, taketa, taked, takeing","took","the, then, though","the","key, keyed, keys, keying, kier, keid, keies, key'd","key","from, in, at, on, by, next to, beside, under","from","him, he, his, it, its","him","",".","","","","","",""
"49","79","Я взял коробку у него.","I took the box from him.","I, me, my, mine","I","took, take, taken, taking, takes, taketa, taked, takeing","took","the, then, though","the","box, boxing, boxes, boxed","box","from, in, at, on, by, next to, beside, under","from","him, he, his, it, its","him","",".","","","","","",""
"50","79","Ты провёл день с ней.","You spent the day with her.","You, Your, Yours","You","spent, spend, spends, spending, spended, spendest","spent","the, then, though","the","day, days, daid, daies, daybed, daybest, daying, dayta","day","with, withing, withim, withs","with","her, she, hers","her","",".","","","","","",""
"51","79","Он вернулся в комнату.","He returned to the room.","He, Him, His, It, Its","He","returned, return, returning, returns, returnest","returned","to, on, in, at, since, for, ago, before","to","the, then, though","the","room, rooms, roomed, rooming, roomin'","room","",".","","","","","","","",""
"52","79","Я вернулась на пляж.","I returned to the beach.","I, me, my, mine","I","returned, return, returning, returns, returnest","returned","to, on, in, at, since, for, ago, before","to","the, then, though","the","beach, beached, beaches, beaching, beachs","beach","",".","","","","","","","",""
"53","79","Мы ходили в лес.","We went to the forest.","We, Our, Us, Ours","We","went, go, going, gone, goes, gos, goed, gota","went","to, on, in, at, since, for, ago, before","to","the, then, though","the","forest, forests, forested, foresting","forest","",".","","","","","","","",""
"54","79","Они вернулись в гостиницу.","They returned to the hotel.","They, Them, Their, Theirs","They","returned, return, returning, returns, returnest","returned","to, on, in, at, since, for, ago, before","to","the, then, though","the","hotel, hotels, hoteled, hotels'","hotel","",".","","","","","","","",""
"55","79","Она вернулась к столу.","She returned to the table.","She, Her, Hers","She","returned, return, returning, returns, returnest","returned","to, on, in, at, since, for, ago, before","to","the, then, though","the","table, tables, tabled, tabling, tabler","table","",".","","","","","","","",""
"56","79","Мы бегали в церковь.","We ran to the church.","We, Our, Us, Ours","We","ran, run, runner, running, runs, runned, runer, runnest","ran","to, on, in, at, since, for, ago, before","to","the, then, though","the","church, churcher, churches, churching, churched, churchs","church","",".","","","","","","","",""
"57","79","Мы слушали радио.","We listened to the radio.","We, Our, Us, Ours","We","listened, listen, listening, listens, listenning, listen'd, listen's","listened","to, on, in, at, since, for, ago, before","to","the, then, though","the","radio, radios, radioed, radioing, radioes, radios', radio'd","radio","",".","","","","","","","",""
"58","79","Он ходил в бар.","He went to the bar.","He, Him, His, It, Its","He","went, go, going, gone, goes, gos, goed, gota","went","to, on, in, at, since, for, ago, before","to","the, then, though","the","bar, barring, bars, barred, barther","bar","",".","","","","","","","",""
"59","79","Она ходила в библиотеку.","She went to the library.","She, Her, Hers","She","went, go, going, gone, goes, gos, goed, gota","went","to, on, in, at, since, for, ago, before","to","the, then, though","the","library, libraries, librarys","library","",".","","","","","","","",""
