ID,Page ID,Local text,English text
1,8,Он не нуждается в помощи.,He does not need help.
2,8,Это не значит ничего.,It doesn't mean anything.
3,8,Он не хочет ничего.,He doesn't want anything.
4,8,Это не показывает ничего.,It doesn't show anything.
5,8,Он не знает ничего.,He doesn't know anything.
6,8,Это не меняет ничего.,It doesn't change anything.
7,8,Он не говорит ничего.,He doesn't say anything.
8,8,Я не думаю так.,I do not think so.
9,8,Мы не знаем еще.,We don't know yet.
10,8,Вы не живете здесь.,You don't live here.
11,8,Мы не считаем так.,We don't think so.
12,8,Я не знаю много об этом.,I don't know much about it.
13,8,Я не понимаю этого.,I don't understand it.
14,8,Я не доверяю ему.,I don't trust him.
15,8,Я не понимаю тебя.,I don't understand you.
16,8,Я не вижу этого.,I don't see it.
17,8,Они не помнят его.,They do not remember him.
18,8,Я не хочу этого.,I don't want it.
19,8,Ты не отвечаешь мне.,You don't answer me.
20,8,Ты не доверяешь мне.,You don't trust me.
21,8,Вы не имеете в виду это.,You don't mean it.
22,8,Я не знаю вас!,I don't know you!
23,8,Я не знаю этого!,I don't know it!
24,8,У нас нет этого.,We don't have it.
25,8,Они не верят мне.,They don't believe me.
26,8,Я не верю ей.,I don't believe her.
27,8,Я не помню этого.,I don't remember it
28,8,Я не вижу ее.,I don't see her.
29,8,Вы не нуждаетесь в ней.,You don't need her.
30,8,Я не ненавижу её.,I don't hate her.
31,8,Вам не нравится это.,You don't like it.
32,8,Я не согласен.,I don't agree.
33,8,Я не помогаю ей.,I don't help her.
34,8,Я не понимаю его.,I don't understand him.
35,8,Я не хочу этого.,I do not want it.
36,8,Ты не помнишь меня.,You don't remember me.
37,8,Я не люблю его.,I don't love him.
38,8,Мы не пользуемся этим.,We don't use it.
39,8,Им не нравится это.,They don't like it.
40,8,Вы не знаете её.,You don't know her.
41,8,Я не верю ему.,I do not believe him.
42,8,Вы не знаете их.,You don't know them.
43,8,Вы не верите мне.,You don't believe me.
44,8,Ты не любишь его.,You don't love him.
45,8,Я не знаю этого.,I don't know it.
46,8,Я не вижу их.,I don't see them.
47,8,Они не любят его.,They do not love him.
48,8,Вы не чувствуете этого.,You don't feel it.
49,8,Я не понимаю себя.,I don't understand myself.
50,8,Мы не знаем вас.,We don't know you.
51,8,Я не помню тебя.,I don't remember you.
52,8,Ты не помогаешь мне.,You don't help me.
53,8,Они не знают тебя.,They don't know you.
54,8,У них нет этого.,They don't have it.
55,8,Ты не видишь этого.,You don't see it.
56,8,Мне не нравится это.,I do not like it.
57,8,Я не помню ее.,I don't remember her.
58,8,Ты не знаешь его!,You don't know him!
59,8,Я не верю вам.,I do not believe you.
60,8,Ты не любишь меня.,You do not love me.
61,8,Я не понимаю тебя.,I do not understand you.
62,8,Они не звонят мне.,They don't call me.
63,8,Я не доверяю тебе.,I do not trust you.
64,8,Они не видят меня.,They don't see me.
65,8,Мне не нужен врач.,I don't need a doctor.
66,8,Мне не нужен душ.,I don't need a shower.
67,8,Я не хочу никаких проблем.,I don't want any problems.
68,8,Мне не нужна работа.,I don't need a job.
69,8,У тебя нет подруги.,You don't have a girlfriend.
70,8,Мне не нравится этот вопрос.,I don't like this question.
71,8,У меня нет плана.,I don't have a plan.
72,8,У нас нет никакого выбора.,We don't have any choice.
73,8,Я не понимаю вопроса.,I don't understand the question.
74,8,У нас нет выбора.,We don't have a choice
75,8,Мне не нравится эта игра.,I don't like this game.
76,8,У меня нет мужа.,I don't have a husband.
77,8,Мне не нравится это место.,I don't like this place.
78,8,У меня нет списка.,I don't have a list.
79,8,У меня нет работы.,I don't have a job.
80,8,У вас нет шанса.,You don't have a chance.
81,8,У меня нет ответа.,I don't have an answer.
82,8,У вас нет машины.,You don't have a car.
83,8,У меня нет проблемы.,I don't have a problem.
84,8,У меня нет сына.,I don't have a son.
85,8,У меня нет брата.,I don't have a brother.
86,8,У меня нет никаких наличных денег.,I don't have any cash.
87,8,У меня нет отца.,I don't have a father.
88,8,У нас нет выбора.,We don't have a choice.
89,8,У меня нет пистолета.,I don't have a gun.
90,8,Мне не нужен другой друг.,I don't need another friend
91,8,Я не ношу часы.,I don't wear a watch.
92,8,У меня нет телефона.,I don't have a phone.
93,8,Тебе не нужно пальто.,You don't need a coat.
94,8,У меня нет дочери.,I don't have a daughter.
95,8,У вас нет никакого выбора.,You don't have any choice.
96,8,Я не знаю дороги.,I do not know the way.
97,8,Мне не нужно молоко.,I don't need any milk.
98,8,Ты не скучаешь по мне.,You don't miss me.
99,8,У меня нет ключа.,I don't have a key.
100,8,У меня нет мужа.,I don't have a husband.
101,8,Мне не нравится эта книга.,I don't like this book.
102,8,У меня нет ручки.,I don't have a pen.
103,8,У меня нет матери.,I don't have a mother.
104,8,Я не помню названия.,I don't remember the name.
105,8,У меня нет времени.,I don't have the time
106,8,Мне не нравится этот дом.,I don't like this house.
107,8,Мне не нужен доктор.,I don't need a doctor.
108,8,У меня нет сына.,I don't have a son.
109,8,Мне не нужен танец.,I don't need a dance.
110,8,Я не понимаю этот язык.,I don't understand this language
111,8,Вы ничего не знаете.,You don't know a thing
112,8,У тебя нет никаких вопросов.,You don't have any questions.
113,8,У нас нет ни минуты.,We don't have a minute.
114,8,Я не говорю ни слова.,I don't say a word.
115,8,Мне не нужен учитель.,I don't need a teacher.
116,8,Вам не нужна причина.,You don't need a reason
117,8,Нам не нужна причина.,We don't need a reason
118,8,У нас нет никаких денег.,We don't have any money.
119,8,Я не чувствую никакой боли.,I don't feel any pain
120,8,Мне не нужен компьютер.,I don't need a computer
121,8,Она не нуждается в нём.,She doesn't need him
