ID,Page ID,Local text,English text
1,6,Когда мы идем?,When do we go?
2,6,Куда ты бежишь?,Where do you run?
3,6,Как я отвечаю?,How do I answer?
4,6,Как ты играешь?,How do you play?
5,6,Как они работают?,How do they work?
6,6,Где вы поворачиваете?,Where do you turn?
7,6,Как мы растём?,How do we grow?
8,6,Где они живут?,Where do they live?
9,6,Как ты выбираешь?,How do you choose?
10,6,У тебя есть другая карта?,Do you have another card?
11,6,У вас есть паспорт?,Do you have a passport?
12,6,У вас есть врач?,Do you have a doctor?
13,6,Ты хочешь правду?,Do you want the truth?
14,6,Где это заканчивается?,Where does it end?
15,6,Где он спит?,Where does he sleep?
16,6,Как она выглядит?,How does she look?
17,6,Как это работает?,How does it work?
18,6,Как это происходит?,How does it happen?
19,6,Почему идет дождь?,Why does it rain?
20,6,Где она живёт?,Where does she live?
21,6,Как это начинается?,How does it begin?
22,6,Где она работает?,Where does she work?
23,6,Как он выглядит?,How does he look?
24,6,Почему это происходит?,Why does it happen?
25,6,Откуда она знает?,How does she know?
26,6,Где он работает?,Where does he work?
27,6,У тебя есть деньги?,Do you have the money?
28,6,Как это звучит?,How does it sound?
29,6,Почему она остаётся?,Why does she stay?
30,6,Почему ты беспокоишься?,Why do you care?
31,6,Когда вы начинаете?,When do you start?
32,6,Куда они идут?,Where do they go?
33,6,Как они это делают?,How do they do it?
34,6,Куда я иду?,Where do I go?
35,6,Почему ты плачешь?,Why do you cry?
36,6,Где вы спите?,Where do you sleep?
37,6,Когда ты начинаешь?,When do you begin?
38,6,Почему ты врёшь?,Why do you lie?
39,6,У вас есть телефон?,Do you have a phone?
40,6,У вас есть кофе?,Do you have any coffee?
41,6,У вас есть адрес?,Do you have the address?
42,6,У вас есть фотография?,Do you have a photo?
43,6,У тебя есть собака?,Do you have a dog?
44,6,У вас есть билет?,Do you have a ticket?
45,6,У тебя есть нож?,Do you have a knife?
46,6,У тебя есть картина?,Do you have a picture?
47,6,У тебя есть какие-нибудь наличные?,Do you have any cash?
48,6,У нас есть план?,Do we have a plan?
49,6,У вас есть вода?,Do you have any water?
50,6,У тебя есть выбор?,Do you have a choice?
51,6,У тебя есть доллар?,Do you have a dollar?
52,6,У вас есть карта?,Do you have a map?
53,6,У тебя есть брат?,Do you have a brother?
54,6,У нас проблема?,Do we have a problem?
55,6,У тебя есть какая-нибудь мелочь?,Do you have any change?
56,6,У тебя есть корова?,Do you have a cow?
57,6,Мне нужен врач?,Do I need a doctor?
58,6,Как ты видишь меня?,How do you see me?
59,6,Откуда вы знаете это?,How do you know it?
60,6,Как вы говорите это?,How do you say it?
61,6,Как мне остановить это?,How do I stop it?
62,6,Куда ты кладёшь это?,Where do you put it?
63,6,Как вы объясняете это?,How do you explain it?
64,6,Как ты чистишь это?,How do you clean it?
65,6,Зачем я делаю это?,Why do I do it?
66,6,Как нам остановить это?,How do we stop it?
67,6,Почему ты помогаешь мне?,Why do you help me?
68,6,Как мне связаться с вами?,How do I contact you?
69,6,Как ты меняешь это?,How do you change it?
70,6,Зачем вам нужно это?,Why do you need it?
71,6,Как мы изучаем это?,How do we study it?
72,6,Как нам остановить его?,How do we stop him?
73,6,Почему вы ненавидите меня?,Why do you hate me?
74,6,Как вы используете это?,How do you use it?
75,6,Почему ты ненавидишь это?,Why do you hate it?
76,6,Почему ты любишь его?,Why do you love him?
77,6,Почему ты спрашиваешь меня?,Why do you ask me?
78,6,Почему ты хочешь этого?,Why do you want it?
79,6,Когда тебе нужно это?,When do you need it?
80,6,Почему вы делаете это?,Why do you do it?
81,6,Что я ношу?,What do I wear?
82,6,Что ты изучаешь?,What do you study?
83,6,Что ты планируешь?,What do you plan?
84,6,Кого мы любим?,Who do we love?
85,6,Что они думают?,What do they think?
86,6,Что они видят?,What do they see?
87,6,Что ты ищешь?,What do you look for?
88,6,Что мы думаем?,What do we think?
89,6,Что ты слушаешь?,What do you listen to?
90,6,Что ты помнишь?,What do you remember?
91,6,Что ты советуешь?,What do you advise?
92,6,Что у меня есть?,What do I have?
93,6,Что им нужно?,What do they need?
94,6,Что ты учишь?,What do you learn?
95,6,Кого вы видите?,Who do you see?
96,6,Что вы едите?,What do you eat?
97,6,Что я чувствую?,What do I feel?
98,6,Что ты даешь мне?,What do you give me?
99,6,Что вы имеете в виду?,What do you mean?
100,6,Что ты хочешь?,What do you want?
101,6,Что вы продаёте?,What do you sell?
102,6,Что мы видим?,What do we see?
103,6,Что вы получаете?,What do you get?
104,6,Что я вижу?,What do I see?
105,6,Что вы понимаете?,What do you understand?
106,6,Что они говорят?,What do they say?
107,6,Что я выигрываю?,What do I win?
108,6,Что ты предлагаешь?,What do you offer?
109,6,Что у нас есть?,What do we have?
110,6,Что мы получаем?,What do we get?
111,6,Что ты чувствуешь?,What do you feel?
112,6,Чем ты занимаешься?,What do you do?
113,6,Что мы знаем?,What do we know?
114,6,Что ты знаешь?,What do you know?
115,6,Что вы говорите?,What do you say?
116,6,Что вы пьёте?,What do you drink?
117,6,Что вы думаете?,What do you think?
118,6,Чего ты боишься?,What are you afraid of?
119,6,Что ты имеешь в виду?,What do you mean?
120,6,Зачем мы пытаемся?,Why do we try?
121,6,Как ты отвечаешь?,How do you answer?
122,6,Как мне принять решение?,How do I decide?
123,6,Где мы стоим?,Where do we stand?
124,6,Когда я ухожу?,When do I leave?
125,6,Как я помогаю тебе?,How do I help you?
126,6,Почему вы остаётесь?,Why do you stay?
127,6,Почему вы останавливаетесь?,Why do you stop?
128,6,Когда мы едим?,When do we eat?
129,6,Когда мне идти?,When do I go?
130,6,Как мы продолжаем?,How do we continue?
131,6,Где деньги?,Where's the money?
132,6,Где менеджер?,Where is the manager?
133,6,Где ключ?,Where's the key?
134,6,Где кухня?,Where's the kitchen?
135,6,Где находится душ?,Where's the shower?
136,6,Как обед?,How is the lunch?
137,6,Где находится больница?,Where's the hospital?
138,6,Как ребёнок?,How is the baby?
139,6,Где калькулятор?,Where is the calculator?
140,6,Где зонт?,Where is the umbrella?
141,6,Где ручка?,Where is the pen?
142,6,Где телефон?,Where is the phone?
143,6,Почему он прячется?,Why does he hide?
144,6,Где он занимается спортом?,Where does he do sport?
145,6,Когда он приезжает?,When does he arrive?
146,6,Где чайник?,Where's the kettle?
147,6,Где это начинается?,Where does it begin?
148,6,Где он живёт?,Where does he live?
149,6,Когда он приходит?,When does he come?
150,6,Когда она спит?,When does she sleep?
151,6,Почему она поет?,Why does she sing?
152,6,Почему она учится?,Why does she study?
153,6,Когда она улыбается?,When does she smile?
154,6,Вы обещаете мне?,Do you promise me?
155,6,Как тебе нравится твоя комната?,How do you like your room?
156,6,Как ты произносишь по буквам своё имя?,How do you spell your name?
157,6,Как тебе нравится мое платье?,How do you like my dress?
158,6,Как ты учишь новые слова?,How do you learn new words?
159,6,Куда мне положить моё пальто?,Where do I put my coat?
160,6,Где ты паркуешь свою машину?,Where do you park your car?
161,6,Ты любишь их?,Do you love them?
162,6,Они понимают это?,Do they understand it?
163,6,Они помнят меня?,Do they remember me?
164,6,Как ты работаешь?,How do you work?
165,6,Они любят его?,Do they love him?
166,6,Они учат это?,Do they learn it?
167,6,Вы прощаете меня?,Do you forgive me?
168,6,Как вам нравится моя борода?,How do you like my beard?
169,6,Как вы произносите по буквам его имя?,How do you spell his name?
170,6,Как ты проводишь своё время?,How do you spend your time?
171,6,Как ты ездишь в школу?,How do you go to school?
172,6,Как ты копишь деньги?,How do you save money?
173,6,Почему у тебя его фотография?,Why do you have his picture?
174,6,Где мне найти мой багаж?,Where do I find my baggage?
175,6,Как ты говоришь своему начальнику?,How do you tell your boss?
176,6,Когда ты делаешь свою домашнюю работу?,When do you do your homework?
177,6,Куда мне отправить мой счёт?,Where do I send my bill?
178,6,Как ты открываешь свою дверь?,How do you open your door?
179,6,Почему ты говоришь с ней?,Why do you talk to her?
180,6,Ты хочешь немного торта?,Do you want some cake?
181,6,Где ты начинаешь своё путешествие?,Where do you start your journey?
182,6,Как тебе нравится моя рубашка?,How do you like my shirt?
183,6,Почему бы тебе не попытаться?,Why don't you try?
184,6,Почему бы тебе не дать ему шанс?,Why don't you give him a chance?
185,6,"Кто твой начальник, кстати?","Who is your boss, by the way?"
186,6,"Как тебя зовут, кстати?","What's your name, by the way?"
187,6,"Как его зовут, кстати?","What's his name, by the way?"
188,6,Почему вы не носите свой новый костюм?,Why don't you wear your new suit?
189,6,Какое число сегодня?,What date is it today?
190,6,Какой день сегодня?,What day is it today?
