,ID,Page ID,Local text,English text,en_fr_yandex_tr,fr_en_yandex_tr,ru_fr_yandex_tr,fr_ru_yandex_tr
0,1,4,Мне нравится вино.,I like wine.,J'aime le vin.,I like wine.,J'aime le vin.,Я люблю вино.
1,2,4,Я хочу всё.,I want everything,Je veux tout,I want it all,Je veux tout.,Я хочу все.
2,3,4,Мне нравится зима.,I like winter.,J'aime l'hiver.,I like winter.,J'aime l'hiver.,Я люблю зиму.
3,4,4,Я люблю читать.,I love reading.,J'aime la lecture.,I like reading.,J'aime lire.,Я люблю читать.
4,5,4,Ты знаешь всё.,You know everything.,Vous savez tout.,You know everything.,Tu connais tout.,Ты все знаешь.
5,6,4,Я обожаю готовить.,I enjoy cooking.,J'aime faire la cuisine.,I like cooking.,J'adore cuisiner.,Я люблю готовить.
6,7,4,Они знают всё.,They know everything.,Ils savent tout.,They know everything.,Ils savent tout.,Они все знают.
7,8,4,Нам необходимо время.,We need time.,Nous avons besoin de temps.,We need time.,Nous avons besoin de temps.,Нам нужно время.
8,9,4,Мы любим торты.,We love cakes.,On aime les gâteaux.,We like cake.,Nous aimons les gâteaux.,Мы любим торты.
9,10,4,Мне нравится футбол.,I like football.,J'aime le football.,I like football.,J'aime le football.,Я люблю футбол.
10,11,4,Я люблю мясо.,I love meat.,J'aime la viande.,I like meat.,J'aime la viande.,Я люблю мясо.
11,12,4,Я смотрю телевизор.,I watch TV.,- Je regarder la TÉLÉVISION.,- Watching TV.,Je suis en train de regarder la télévision.,Я смотрю телевизор.
12,13,4,Мне нужно время.,I need time,J'ai besoin de temps,I need time,J'ai besoin de temps.,Мне нужно время.
13,14,4,Я люблю цветы.,I love flowers.,J'aime les fleurs.,I like flowers.,J'aime les fleurs.,Я люблю цветы.
14,15,4,Мне нравится читать.,I like reading.,J'aime la lecture.,I like reading.,J'aime la lecture.,Я люблю читать.
15,16,4,Я люблю бейсбол.,I love baseball.,J'aime le baseball.,I like baseball.,J'aime le baseball.,Я люблю бейсбол.
16,17,4,Мы делимся всем.,We share everything.,Nous partageons tout.,We share everything.,Nous partageons tout.,Мы все разделяем.
17,18,4,Тебе нужны деньги.,You need money.,Vous avez besoin d'argent.,You need money.,Vous avez besoin d'argent.,Вам нужны деньги.
18,19,4,Я слышу все.,I hear everything.,J'entends tout.,I hear everything.,J'entends tout.,Я все слышу.
19,20,4,Мне нравятся деньги.,I like money.,J'aime l'argent.,I like money.,J'aime l'argent.,Я люблю деньги.
20,21,4,Мне нравится бейсбол.,I like baseball.,J'aime le baseball.,I like baseball.,J'aime le baseball.,Я люблю бейсбол.
21,22,4,У меня есть работа.,I have work.,J'ai du travail.,I've got work to do.,J'ai du travail.,У меня есть работа.
22,23,4,Я люблю кофе.,I love coffee.,J'aime le café.,I like coffee.,J'aime le café.,Я люблю кофе.
23,24,4,Я люблю еду.,I love food.,J'aime beaucoup la nourriture.,I like food very much.,J'aime la nourriture.,Я люблю еду.
24,25,4,У меня есть информация.,I have information.,- Je avoir des informations., I have information.,J'ai des informations.,У меня есть информация.
25,26,4,Мне нужны наличные.,I need cash.,J'ai besoin d'argent.,I need money.,J'ai besoin d'argent.,Мне нужны деньги.
26,27,4,Мы знаем всё.,We know everything.,Nous savons tout.,We know everything.,Nous le savons tous.,Мы все это знаем.
27,28,4,У нас ничего нет!,We have nothing!,Nous n'avons rien!,We have nothing!,Nous n'avons rien!,У нас ничего нет!
28,29,4,Я ненавижу футбол.,I hate football.,Je déteste le football.,I hate football.,Je déteste le football.,Я ненавижу футбол.
29,30,4,Мы идём домой.,We go home.,Nous rentrons à la maison.,We're going home.,Nous rentrons chez nous.,Мы возвращаемся домой.
30,31,4,Они пьют кофе.,They drink coffee.,Ils boivent du café.,They drink coffee.,Ils boivent du café.,Они пьют кофе.
31,32,4,Вы делаете всё.,You do everything.,Vous faites tout.,You do everything.,Vous faites tout.,Вы все делаете.
32,33,4,Мы теряем всё.,We lose everything.,Nous avons tout à perdre.,We have everything to lose.,Nous perdons tous.,Мы все проигрываем.
33,34,4,Я люблю музыку.,I love music,J'aime la musique,I love the music,J'apprécie la musique.,Мне нравится музыка.
34,35,4,Вам нужна вода.,You need water.,Vous avez besoin d'eau.,You need water.,Vous avez besoin d'eau.,Вам нужна вода.
35,36,4,Я ненавижу биологию.,I hate biology.,Je déteste la biologie.,I hate biology.,Je déteste la Biologie.,Ненавижу биологию.
36,37,4,Я знаю его песни.,I know his songs.,Je connais ses chansons.,I know his songs.,Je connais ses chansons.,Я знаю его песни.
37,38,4,Я знаю её хорошо.,I know her well.,Je la connais bien.,I know her well.,Je la connais bien.,Я ее хорошо знаю.
38,39,4,Мне нужен твой совет.,I need your advice.,J'ai besoin de vos conseils.,I need your advice.,J'ai besoin de ton conseil.,Мне нужен твой совет.
39,40,4,Мне нравится его книга.,I like his book.,J'aime son livre.,I like his book.,J'aime son livre.,Мне нравится его книга.
40,41,4,Я знаю свою сестру.,I know my sister.,Je sais que ma sœur.,I know my sister.,Je connais ma sœur.,Я знаю свою сестру.
41,42,4,Я знаю его имя.,I know his name.,Je sais son nom.,I know his name.,Je connais son nom.,Я знаю его имя.
42,43,4,Я беру его за руку.,I take his hand.,Je prends sa main.,I'll take his hand.,Je prends sa main.,Я беру ее за руку.
43,44,4,Мне нужна его помощь.,I need his help.,J'ai besoin de son aide.,I need his help.,J'ai besoin de son aide.,Мне нужна его помощь.
44,45,4,Мне нужен ваш телефон.,I need your phone.,J'ai besoin de votre téléphone.,I need your phone.,J'ai besoin de votre téléphone.,Мне нужен ваш телефон.
45,46,4,Мне нравится ваша шляпа.,I like your hat.,J'aime votre chapeau.,I like your hat.,J'aime votre chapeau.,Мне нравится ваша шляпа.
46,47,4,Я люблю свою мать.,I love my mother.,J'aime ma mère.,I love my mother.,J'aime ma mère.,Я люблю свою мать.
47,48,4,Тебе нужна моя помощь.,You need my help.,Vous avez besoin de mon aide.,You need my help.,Tu as besoin de mon aide.,Тебе нужна моя помощь.
48,49,4,Нам нужна ваша помощь.,We need your help.,Nous avons besoin de votre aide.,We need your help.,Nous avons besoin de votre aide.,Нам нужна ваша помощь.
49,50,4,Я рассказываю ей всё.,I tell her everything.,Je lui dis tout.,I tell him everything.,Je ne parle que de lui.,Я говорю только о нем.
50,51,4,Мне нужен твой брат.,I need your brother.,J'ai besoin de votre frère.,I need your brother.,J'ai besoin de ton frère.,Мне нужен твой брат.
51,52,4,Вы знаете моё имя.,You know my name.,Vous savez mon nom.,You know my name.,Vous connaissez mon nom.,Вы знаете мое имя.
52,53,4,Я вижу твое лицо.,I see your face.,Je vois votre visage.,I see your face.,Je vois ton visage.,Я вижу твое лицо.
53,54,4,Я скучаю по своему папе.,I miss my dad.,Je m'ennuie de mon père.,I miss my father.,Je m'ennuie de mon papa.,Я соскучилась по папе.
54,55,4,Мне нравится твоя рубашка.,I like your shirt.,J'aime ta chemise.,I like your shirt.,J'aime ta chemise.,Мне нравится твоя рубашка.
55,56,4,Мне нравится ваш стиль.,I like your style,J'aime votre style,I like your style,J'aime votre style.,Мне нравится ваш стиль.
56,57,4,Мне нравятся твои волосы.,I like your hair.,J'aime vos cheveux.,I like your hair.,J'aime tes cheveux.,Мне нравятся твои волосы.
57,58,4,Я читаю ваш текст.,I read your text.,J'ai lu votre texte.,I read your text.,Je lis votre texte.,Я читаю ваш текст.
58,59,4,У тебя есть мой номер.,You have my number.,Vous avez mon numéro.,You have my number.,Vous avez mon numéro.,У вас есть мой номер.
59,60,4,У меня есть ваш заказ.,I have your order.,J'ai votre commande.,I have your order.,J'ai votre commande.,У меня есть ваш заказ.
60,61,4,Я скучаю по своей жене.,I miss my wife.,Je m'ennuie de ma femme.,I miss my wife.,Je m'ennuie de ma femme.,Я соскучился по жене.
61,62,4,Мне нужен твой карандаш.,I need your pencil.,J'ai besoin de votre crayon.,I need your pencil.,J'ai besoin de ton crayon.,Мне нужен твой карандаш.
62,63,4,Мы благодарим вас за вашу помощь.,We thank you for your help.,Nous vous remercions pour votre aide.,We thank you for your help.,Nous vous remercions de votre aide.,Мы благодарим вас за помощь.
63,64,4,Я слышу тебя.,I hear you.,Je vous entends.,I can hear you.,Je t'entends.,Я тебя слышу.
64,65,4,Я люблю своего сына!,I love my son!,J'aime mon fils!,I love my son!,J'aime mon fils!,Я люблю своего сына!
65,66,4,Я люблю ее улыбку.,I love her smile.,J'adore son sourire.,I love her smile.,J'aime son sourire.,Мне нравится его улыбка.
66,67,4,Мне нравится твоя работа.,I like your work.,J'aime votre travail.,I like your work.,J'aime ton travail.,Мне нравится твоя работа.
67,68,4,Мне нужна ваша подпись.,I need your signature.,J'ai besoin de votre signature.,I need your signature.,J'ai besoin de votre signature.,Мне нужна ваша подпись.
68,69,4,Я люблю его музыку.,I love his music.,J'adore sa musique.,I love his music.,J'aime sa musique.,Мне нравится его музыка.
69,70,4,Я вижу твое лицо.,I see your face.,Je vois votre visage.,I see your face.,Je vois ton visage.,Я вижу твое лицо.
70,71,4,Я знаю свою дочь.,I know my daughter.,Je sais que ma fille.,I know my daughter.,Je connais ma fille.,Я знаю свою дочь.
71,72,4,Я узнаю ваш голос.,I recognize your voice.,Je reconnais votre voix.,I recognize your voice.,Je reconnais votre voix.,Я узнаю ваш голос.
72,73,4,Я понимаю ваше беспокойство.,I understand your concern.,Je comprends votre préoccupation.,I understand your concern.,Je comprends votre inquiétude.,Я понимаю ваше беспокойство.
73,74,4,Я хватаю свой телефон.,I grab my phone.,Je me saisis de mon téléphone.,I'm taking my phone.,Je prends mon téléphone.,Я беру телефон.
74,75,4,Мне нравится моя жизнь.,I like my life.,J'aime ma vie.,I love my life.,J'aime ma vie.,Я люблю свою жизнь.
75,76,4,Я беру ее за руку.,I take her hand.,Je lui prends la main.,I'll take his hand.,Je prends sa main.,Я беру ее за руку.
