,bigram,freq
1,"('of_ADP', 'the_DET')",4
35,"('it_PRON', 'be_AUX')",2
69,"('in_ADP', 'this_DET')",2
59,"('be_AUX', 'a_DET')",2
81,"('be_AUX', 'repetitive_ADJ')",2
0,"('example_NOUN', 'of_ADP')",1
87,"('be_AUX', 'modular_ADJ')",1
83,"('but_CCONJ', 'they_PRON')",1
84,"('they_PRON', 'be_AUX')",1
85,"('repetitive_ADJ', 'without_ADP')",1
86,"('without_ADP', 'be_AUX')",1
90,"('one_NOUN', 'of_ADP')",1
88,"('modular_ADJ', 'each_DET')",1
89,"('each_DET', 'one_NOUN')",1
91,"('the_DET', 'element_NOUN')",1
92,"('element_NOUN', 'in_ADP')",1
82,"('repetitive_ADJ', 'but_CCONJ')",1
79,"('this_DET', 'stair_NOUN')",1
80,"('stair_NOUN', 'be_AUX')",1
94,"('structure_NOUN', 'be_AUX')",1
78,"('of_ADP', 'this_DET')",1
77,"('component_NOUN', 'of_ADP')",1
76,"('the_DET', 'component_NOUN')",1
75,"('that_SCONJ', 'the_DET')",1
74,"('see_VERB', 'that_SCONJ')",1
73,"('can_AUX', 'see_VERB')",1
72,"('you_PRON', 'can_AUX')",1
71,"('example_NOUN', 'you_PRON')",1
70,"('this_DET', 'example_NOUN')",1
68,"('and_CCONJ', 'in_ADP')",1
67,"('Queens_NOUN', 'and_CCONJ')",1
93,"('this_DET', 'structure_NOUN')",1
95,"('a_DET', 'unique_ADJ')",1
65,"('do_VERB', 'in_ADP')",1
96,"('unique_ADJ', 'distance_NOUN')",1
125,"('the_DET', 'form_NOUN')",1
124,"('definition_NOUN', 'of_ADP')",1
123,"('based_VERB', 'definition_NOUN')",1
122,"('calculus_NOUN', 'based_VERB')",1
121,"('a_DET', 'calculus_NOUN')",1
120,"('use_VERB', 'a_DET')",1
119,"('by_ADP', 'use_VERB')",1
118,"('be_AUX', 'by_ADP')",1
117,"('construct_VERB', 'it_PRON')",1
116,"('possibly_ADV', 'construct_VERB')",1
115,"('or_CCONJ', 'possibly_ADV')",1
114,"('that_SCONJ', 'or_CCONJ')",1
113,"('design_VERB', 'that_SCONJ')",1
112,"('can_AUX', 'design_VERB')",1
111,"('we_PRON', 'can_AUX')",1
110,"('way_NOUN', 'we_PRON')",1
109,"('only_ADJ', 'way_NOUN')",1
108,"('the_DET', 'only_ADJ')",1
107,"('now_ADV', 'the_DET')",1
106,"('angle_NOUN', 'now_ADV')",1
105,"('unique_ADJ', 'angle_NOUN')",1
104,"('be_AUX', 'unique_ADJ')",1
103,"('connection_NOUN', 'be_AUX')",1
102,"('the_DET', 'connection_NOUN')",1
101,"('all_PRON', 'of_ADP')",1
100,"('and_CCONJ', 'all_PRON')",1
99,"('dimension_NOUN', 'and_CCONJ')",1
98,"('and_CCONJ', 'dimension_NOUN')",1
97,"('distance_NOUN', 'and_CCONJ')",1
66,"('in_ADP', 'Queens_NOUN')",1
63,"('that_PRON', 'we_PRON')",1
64,"('we_PRON', 'do_VERB')",1
30,"('part_NOUN', 'be_AUX')",1
28,"('and_CCONJ', 'the_DET')",1
27,"('whole_NOUN', 'and_CCONJ')",1
26,"('the_DET', 'whole_NOUN')",1
25,"('because_SCONJ', 'the_DET')",1
24,"('complex_ADJ', 'because_SCONJ')",1
23,"('more_ADV', 'complex_ADJ')",1
22,"('be_AUX', 'more_ADV')",1
21,"('subdivision_NOUN', 'be_AUX')",1
20,"('of_ADP', 'subdivision_NOUN')",1
19,"('idea_NOUN', 'of_ADP')",1
18,"('whole_ADJ', 'idea_NOUN')",1
17,"('the_DET', 'whole_ADJ')",1
16,"('calculus_NOUN', 'the_DET')",1
15,"('with_ADP', 'calculus_NOUN')",1
14,"('idea_NOUN', 'with_ADP')",1
13,"('-whole_VERB', 'idea_NOUN')",1
12,"('to_PART', '-whole_VERB')",1
11,"('part_NOUN', 'to_PART')",1
10,"('fractional_ADJ', 'part_NOUN')",1
9,"('a_DET', 'fractional_ADJ')",1
8,"('be_VERB', 'a_DET')",1
7,"('there_ADV', 'be_VERB')",1
6,"('face_NOUN', 'there_ADV')",1
5,"('the_DET', 'face_NOUN')",1
4,"('to_ADP', 'the_DET')",1
3,"('nose_NOUN', 'to_ADP')",1
2,"('the_DET', 'nose_NOUN')",1
29,"('the_DET', 'part_NOUN')",1
31,"('be_AUX', 'one_NUM')",1
62,"('church_NOUN', 'that_PRON')",1
32,"('one_NUM', 'continuous_ADJ')",1
61,"('Korean_ADJ', 'church_NOUN')",1
60,"('a_DET', 'Korean_ADJ')",1
58,"('this_PRON', 'be_AUX')",1
57,"('work_NOUN', 'this_PRON')",1
56,"('that_SCONJ', 'work_NOUN')",1
55,"('how_ADV', 'that_SCONJ')",1
54,"('describe_VERB', 'how_ADV')",1
53,"('just_ADV', 'describe_VERB')",1
52,"('to_PART', 'just_ADV')",1
51,"('image_NOUN', 'to_PART')",1
50,"('some_DET', 'image_NOUN')",1
49,"('bring_VERB', 'some_DET')",1
48,"('I_PRON', 'bring_VERB')",1
47,"('so_ADV', 'I_PRON')",1
46,"('calculus_NOUN', 'so_ADV')",1
45,"('on_ADP', 'calculus_NOUN')",1
44,"('lecture_NOUN', 'on_ADP')",1
43,"('a_DET', 'lecture_NOUN')",1
42,"('for_ADP', 'a_DET')",1
41,"('morning_NOUN', 'for_ADP')",1
40,"('the_DET', 'morning_NOUN')",1
39,"('in_ADP', 'the_DET')",1
38,"('early_ADV', 'in_ADP')",1
