,bigram,freq
532,"('of_ADP', 'the_DET')",596
358,"('in_ADP', 'the_DET')",383
394,"('I_PRON', 'be_AUX')",344
232,"('to_ADP', 'the_DET')",286
155,"('it_PRON', 'be_AUX')",254
156,"('be_AUX', 'a_DET')",254
555,"('and_CCONJ', 'I_PRON')",197
549,"('to_PART', 'be_AUX')",190
699,"('be_AUX', 'the_DET')",181
183,"('of_ADP', 'a_DET')",173
539,"('on_ADP', 'the_DET')",164
97,"('and_CCONJ', 'the_DET')",144
11,"('do_AUX', 'not_PART')",139
2232,"('he_PRON', 'be_AUX')",138
1652,"('at_ADP', 'the_DET')",124
1217,"('that_PRON', 'be_AUX')",121
529,"('in_ADP', 'a_DET')",120
373,"('go_VERB', 'to_PART')",119
5348,"('we_PRON', 'can_AUX')",119
1607,"('as_ADP', 'a_DET')",109
10,"('___', 'do_AUX')",105
504,"('I_PRON', 'can_AUX')",103
1991,"('I_PRON', 'say_VERB')",100
1930,"('with_ADP', 'the_DET')",100
381,"('be_AUX', 'not_PART')",98
1744,"('this_PRON', 'be_AUX')",97
1674,"('that_SCONJ', 'the_DET')",95
989,"('for_ADP', 'the_DET')",92
5342,"('by_ADP', 'the_DET')",87
548,"('have_VERB', 'to_PART')",87
364,"('we_PRON', 'be_AUX')",87
1131,"('you_PRON', 'be_AUX')",86
520,"('want_VERB', 'to_PART')",85
332,"('can_AUX', 'be_AUX')",83
28,"('I_PRON', 'have_VERB')",83
500,"('have_VERB', 'a_DET')",83
3489,"('for_ADP', 'a_DET')",83
2021,"('he_PRON', 'say_VERB')",81
57,"('there_ADV', 'be_VERB')",80
2020,"('and_CCONJ', 'he_PRON')",79
5914,"('try_VERB', 'to_PART')",78
31,"('have_AUX', 'be_AUX')",76
5184,"('number_NOUN', 'of_ADP')",75
42,"('you_PRON', 'know_VERB')",75
105,"('that_SCONJ', 'I_PRON')",75
2614,"('of_ADP', 'my_DET')",74
423,"('with_ADP', 'a_DET')",72
322,"('the_DET', 'first_ADJ')",71
19218,"(""'_X"", ""'_X"")",70
23575,"('a_DET', 'procedure_NOUN')",69
275,"('out_ADP', 'of_ADP')",69
667,"('I_PRON', 'will_AUX')",69
682,"('I_PRON', 'think_VERB')",67
561,"('the_DET', 'same_ADJ')",67
3104,"('from_ADP', 'the_DET')",66
335,"('when_SCONJ', 'I_PRON')",65
1405,"('and_CCONJ', 'then_ADV')",65
2121,"('will_AUX', 'be_AUX')",63
1728,"('one_NUM', 'of_ADP')",62
11005,"('the_DET', 'procedure_NOUN')",62
498,"('do_AUX', 'you_PRON')",61
30,"('I_PRON', 'have_AUX')",61
23177,"('the_DET', 'value_NOUN')",60
413,"('but_CCONJ', 'I_PRON')",60
23178,"('value_NOUN', 'of_ADP')",58
2559,"('kind_NOUN', 'of_ADP')",57
188,"('they_PRON', 'be_AUX')",56
1195,"('look_VERB', 'at_ADP')",56
15543,"('J.D._PROPN', ""'s_PART"")",55
2011,"('as_ADP', 'the_DET')",55
1502,"('I_PRON', '’d_VERB')",55
12320,"('we_PRON', 'will_AUX')",55
688,"('to_PART', 'do_VERB')",55
1346,"('be_AUX', 'in_ADP')",55
395,"('be_AUX', 'go_VERB')",54
584,"('if_SCONJ', 'you_PRON')",54
1620,"('there_ADV', 'be_AUX')",54
1268,"('can_AUX', 'not_PART')",54
1204,"('in_ADP', 'my_DET')",53
1123,"('it_PRON', '’s_VERB')",53
12193,"('the_DET', 'number_NOUN')",53
1267,"('___', 'can_AUX')",52
2046,"('all_DET', 'the_DET')",52
552,"('the_DET', 'other_ADJ')",51
7239,"('way_NOUN', 'to_PART')",51
118,"('to_PART', 'make_VERB')",51
5476,"('the_DET', 'process_NOUN')",50
473,"('and_CCONJ', 'we_PRON')",49
1651,"('and_CCONJ', 'you_PRON')",48
22,"('I_PRON', 'know_VERB')",48
283,"('you_PRON', 'can_AUX')",47
653,"('in_ADP', 'this_DET')",47
9016,"('at_ADP', 'i_PRON')",47
2474,"('about_ADP', 'the_DET')",46
544,"('I_PRON', '’m_NOUN')",45
342,"('to_PART', 'see_VERB')",44
451,"('be_AUX', 'just_ADV')",44
4788,"('into_ADP', 'the_DET')",44
1599,"('I_PRON', 'couldn_VERB')",44
9719,"('for_ADP', 'example_NOUN')",43
4150,"('i_PRON', 'I_PRON')",42
908,"('the_DET', 'way_NOUN')",42
9865,"('such_ADJ', 'as_ADP')",42
272,"('and_CCONJ', 'it_PRON')",42
1939,"('so_ADV', 'I_PRON')",42
1424,"('a_DET', 'lot_NOUN')",42
639,"('to_PART', 'get_VERB')",42
41,"('not_PART', 'you_PRON')",42
564,"('I_PRON', '’m_VERB')",42
295,"('on_ADP', 'a_DET')",42
2593,"('of_ADP', 'this_DET')",42
273,"('it_PRON', ""'s_PART"")",41
3985,"('like_ADP', 'a_DET')",41
1114,"('to_ADP', 'a_DET')",41
1230,"('the_DET', 'world_NOUN')",41
1280,"('if_SCONJ', 'I_PRON')",41
3612,"('and_CCONJ', 'a_DET')",41
1132,"('be_AUX', 'that_SCONJ')",40
58,"('be_VERB', 'a_DET')",40
633,"('need_VERB', 'to_PART')",40
215,"('to_PART', 'go_VERB')",40
1251,"('it_PRON', 'be_VERB')",39
1032,"('be_AUX', 'so_ADV')",39
13056,"('be_AUX', 'still_ADV')",39
2195,"('I_PRON', 'get_VERB')",39
1361,"('you_PRON', 'will_AUX')",38
336,"('I_PRON', 'look_VERB')",38
15984,"('Dr_ADV', 'Cox_NOUN')",38
1665,"('that_SCONJ', '’s_DET')",37
1792,"('I_PRON', 'didn’t_VERB')",37
1048,"('we_PRON', 'have_AUX')",37
6995,"('as_SCONJ', 'I_PRON')",37
932,"('just_ADV', 'a_DET')",36
648,"('be_AUX', 'you_PRON')",36
507,"('a_DET', 'little_ADJ')",36
620,"('I_PRON', 'just_ADV')",36
1281,"('I_PRON', 'don_NOUN')",35
328,"('be_AUX', 'use_VERB')",35
35484,"('my_DET', 'eyes_NOUN')",35
1558,"('use_VERB', 'the_DET')",35
9143,"('may_AUX', 'be_AUX')",35
20486,"('the_DET', 'interpreter_NOUN')",35
2756,"('have_VERB', 'the_DET')",35
4333,"('if_SCONJ', 'we_PRON')",34
4260,"('which_PRON', 'be_AUX')",34
519,"('I_PRON', 'want_VERB')",34
1992,"('say_VERB', 'I_PRON')",34
9976,"('by_ADP', 'a_DET')",34
2920,"('wasn_VERB', '’t_ADV')",34
8420,"('I_PRON', 'ask_VERB')",34
16701,"('the_DET', 'door_NOUN')",34
2917,"('that_SCONJ', 'you_PRON')",33
2686,"('what_PRON', 'I_PRON')",33
9602,"('must_AUX', 'be_AUX')",33
1291,"('shall_AUX', 'be_AUX')",33
178,"('get_VERB', 'a_DET')",33
1767,"('to_PART', 'have_VERB')",33
2434,"('with_ADP', 'i_PRON')",33
35109,"('“I_ADJ', '’m_NOUN')",33
302,"('my_DET', 'head_NOUN')",32
5981,"('be_VERB', 'to_PART')",32
3134,"('but_CCONJ', 'it_PRON')",32
5183,"('a_DET', 'number_NOUN')",32
516,"('for_ADP', 'you_PRON')",32
187,"('and_CCONJ', 'they_PRON')",32
2410,"('a_DET', 'good_ADJ')",32
3703,"('he_PRON', 'ask_VERB')",32
25426,"('good_ADJ', 'enough_ADV')",32
1501,"('know_VERB', 'I_PRON')",32
585,"('you_PRON', 'want_VERB')",32
19794,"('the_DET', 'square_NOUN')",32
2005,"('go_VERB', 'to_ADP')",32
17056,"('I_PRON', 'try_VERB')",32
2372,"('you_PRON', '’re_ADV')",31
23218,"('procedure_NOUN', 'that_PRON')",31
4849,"('when_SCONJ', 'we_PRON')",31
1137,"('use_VERB', 'to_PART')",31
9683,"('the_DET', 'requirement_NOUN')",31
3290,"('didn_VERB', '’t_ADV')",31
1425,"('lot_NOUN', 'of_ADP')",31
700,"('the_DET', 'end_NOUN')",31
1859,"('you_PRON', '’re_VERB')",31
1513,"('what_PRON', 'be_AUX')",30
