,bigram,freq
2688,"('young_ADJ', 'man_NOUN')",329
140002,"('young_ADJ', 'inventor_NOUN')",179
33135,"('old_ADJ', 'man_NOUN')",165
139866,"('mister_NOUN', 'Damon_NOUN')",160
87394,"('old_ADJ', 'mister_NOUN')",119
2918,"('long_ADJ', 'time_NOUN')",115
3,"('librivox_ADJ', 'recording_NOUN')",98
22863,"('next_ADJ', 'day_NOUN')",93
17622,"('young_ADJ', 'lady_NOUN')",92
13691,"('next_ADJ', 'morning_NOUN')",91
3591,"('great_ADJ', 'deal_NOUN')",86
13836,"('first_ADJ', 'time_NOUN')",75
8637,"('year_NOUN', 'old_ADJ')",69
288813,"('mrs_NOUN', 'Ladybug_NOUN')",69
8116,"('good_ADJ', 'deal_NOUN')",65
138,"('last_ADJ', 'night_NOUN')",62
288695,"('pleasant_ADJ', 'valley_NOUN')",57
1084,"('old_ADJ', 'gentleman_NOUN')",55
1369,"('little_ADJ', 'boy_NOUN')",53
10,"('public_ADJ', 'domain_NOUN')",49
24,"('visit_NOUN', 'librivox.org_NOUN')",49
7222,"('short_ADJ', 'time_NOUN')",48
30258,"('many_ADJ', 'year_NOUN')",47
23,"('please_ADJ', 'visit_NOUN')",47
4815,"('old_ADJ', 'woman_NOUN')",45
101632,"('living_ADJ', 'room_NOUN')",42
17568,"('little_ADJ', 'girl_NOUN')",42
3451,"('new_ADJ', 'York_NOUN')",41
308746,"('Timothy_ADJ', 'turtle_NOUN')",40
11083,"('anything_NOUN', 'else_ADJ')",37
17206,"('first_ADJ', 'place_NOUN')",37
15945,"('good_ADJ', 'thing_NOUN')",37
33083,"('old_ADJ', 'friend_NOUN')",36
127173,"('al_ADJ', 'Din_NOUN')",36
84725,"('happy_ADJ', 'child_NOUN')",36
7243,"('good_ADJ', 'many_ADJ')",35
302475,"('Meadow_NOUN', 'Mouse_NOUN')",34
5374,"('low_ADJ', 'voice_NOUN')",34
62697,"('white_ADJ', 'man_NOUN')",34
266286,"('air_NOUN', 'ship_NOUN')",33
28159,"('young_ADJ', 'girl_NOUN')",33
4799,"('young_ADJ', 'woman_NOUN')",33
5411,"('great_ADJ', 'deal_ADJ')",32
19202,"('many_ADJ', 'thing_NOUN')",32
302855,"('Meadow_ADJ', 'Mouse_NOUN')",31
9322,"('great_ADJ', 'many_ADJ')",31
67504,"('old_ADJ', 'fellow_NOUN')",29
12580,"('poor_ADJ', 'fellow_NOUN')",29
114851,"('good_ADJ', 'fortune_NOUN')",29
30886,"('little_ADJ', 'way_NOUN')",28
153014,"('mister_NOUN', 'Nestor_NOUN')",28
54756,"('several_ADJ', 'day_NOUN')",28
17990,"('dining_NOUN', 'room_NOUN')",28
287147,"('deer_NOUN', 'mouse_NOUN')",27
290088,"('Daddy_ADJ', 'Longlegs_NOUN')",27
308886,"('mister_NOUN', 'turtle_NOUN')",26
71661,"('poor_ADJ', 'little_ADJ')",26
352372,"('young_ADJ', 'commander_NOUN')",26
259486,"('little_ADJ', 'slam_NOUN')",26
299081,"('major_ADJ', 'Monkey_NOUN')",25
3478,"('next_ADJ', 'time_NOUN')",25
55363,"('several_ADJ', 'time_NOUN')",25
5018,"('good_ADJ', 'friend_NOUN')",25
328489,"('block_NOUN', 'house_NOUN')",24
27490,"('little_ADJ', 'man_NOUN')",24
22875,"('drawing_NOUN', 'room_NOUN')",24
26471,"('many_ADJ', 'people_NOUN')",24
28115,"('great_ADJ', 'chief_NOUN')",23
152272,"('stone_ADJ', 'wall_NOUN')",23
2454,"('poor_ADJ', 'boy_NOUN')",23
46844,"('great_ADJ', 'man_NOUN')",23
53166,"('whole_ADJ', 'day_NOUN')",23
18238,"('second_ADJ', 'time_NOUN')",22
4850,"('old_ADJ', 'lady_NOUN')",22
261037,"('mrs_NOUN', 'miles_NOUN')",22
285340,"('prairie_ADJ', 'dog_NOUN')",22
9704,"('short_ADJ', 'distance_NOUN')",22
52769,"('many_ADJ', 'time_NOUN')",22
329484,"('Dick_NOUN', 'Varley_NOUN')",22
187208,"('old_ADJ', 'dog_NOUN')",22
208838,"('mister_NOUN', 'Smith_NOUN')",22
923,"('pocket_NOUN', 'book_NOUN')",22
286872,"('mister_NOUN', 'Fox_NOUN')",22
256797,"('mrs_NOUN', 'Selim_NOUN')",22
87489,"('fairy_ADJ', 'story_NOUN')",21
145914,"('good_ADJ', 'time_NOUN')",21
150214,"('full_ADJ', 'speed_NOUN')",20
71286,"('little_ADJ', 'creature_NOUN')",20
33050,"('young_ADJ', 'fellow_NOUN')",20
35428,"('back_ADJ', 'door_NOUN')",20
74371,"('little_ADJ', 'Kay_NOUN')",20
237620,"('pump_NOUN', '-room_NOUN')",20
36834,"('little_ADJ', 'time_NOUN')",20
114745,"('good_ADJ', 'luck_NOUN')",20
142058,"('mister_NOUN', 'Foger_NOUN')",19
184680,"('thousand_NOUN', 'franc_NOUN')",19
57833,"('new_ADJ', 'home_NOUN')",19
17144,"('new_ADJ', 'friend_NOUN')",19
58767,"('first_ADJ', 'thing_NOUN')",19
139582,"('electric_ADJ', 'car_NOUN')",19
68425,"('little_ADJ', 'one_NOUN')",19
8058,"('thousand_NOUN', 'dollar_NOUN')",18
53869,"('half_ADJ', 'hour_NOUN')",18
53574,"('wild_ADJ', 'beast_NOUN')",18
174797,"('lost_ADJ', 'city_NOUN')",18
28235,"('English_ADJ', 'officer_NOUN')",18
237097,"('mrs_NOUN', 'Allen_NOUN')",18
43728,"('hard_ADJ', 'work_NOUN')",18
139640,"('motor_NOUN', 'cycle_NOUN')",18
370245,"('golden_ADJ', 'eyes_NOUN')",18
140163,"('colored_ADJ', 'man_NOUN')",18
265838,"('uncle_ADJ', 'Phaeton_NOUN')",18
159008,"('next_ADJ', 'moment_NOUN')",18
12780,"('fresh_ADJ', 'air_NOUN')",18
12796,"('new_ADJ', 'clothe_NOUN')",18
79781,"('right_ADJ', 'hand_NOUN')",18
54819,"('little_ADJ', 'thing_NOUN')",18
90277,"('little_ADJ', 'fellow_NOUN')",17
292597,"('mister_NOUN', 'Crow_NOUN')",17
101634,"('dining_ADJ', 'room_NOUN')",17
29595,"('poor_ADJ', 'girl_NOUN')",17
65646,"('little_ADJ', 'child_NOUN')",17
