,trigram,freq
106031,"('oooh_ADJ', 'oh_ADJ', 'oh_ADJ')",15
106030,"('oh_ADJ', 'oooh_ADJ', 'oh_ADJ')",15
106029,"('oh_ADJ', 'oh_ADJ', 'oooh_ADJ')",15
176,"('anthem_NOUN', 'prison_NOUN', 'break_NOUN')",14
174,"('prison_NOUN', 'break_NOUN', 'anthem_NOUN')",13
175,"('break_NOUN', 'anthem_NOUN', 'prison_NOUN')",13
106028,"('oh_ADJ', 'oh_ADJ', 'oh_ADJ')",12
279,"('prison_NOUN', 'break_NOUN', 'anthey_NOUN')",9
106032,"('oh_ADJ', 'oh_ADJ', 'oh_NOUN')",9
106033,"('oh_ADJ', 'oh_NOUN', 'catch_NOUN')",6
106047,"('ah_ADJ', 'ah_ADJ', 'ah_NOUN')",6
106046,"('ah_ADJ', 'ah_ADJ', 'ah_ADJ')",6
106045,"('rah_ADJ', 'ah_ADJ', 'ah_ADJ')",6
106043,"('romance_NOUN', 'Rah_ADV', 'rah_ADJ')",6
459,"('nothing_NOUN', 'else_ADJ', 'matter_NOUN')",5
102474,"('bed_NOUN', 'You_PROPN', 'thought_NOUN')",4
69781,"('word_NOUN', 'every_DET', 'thought_NOUN')",4
69790,"('smile_NOUN', 'every_DET', 'frown_ADJ')",4
69788,"('touch_NOUN', 'every_DET', 'smile_NOUN')",4
106080,"('love_NOUN', 'love_PROPN', 'love_NOUN')",4
106129,"('romance_NOUN', 'Oh_ADV', 'oh_ADJ')",4
106184,"('fashion_NOUN', 'baby_ADP', 'work_NOUN')",4
69783,"('thought_NOUN', 'every_DET', 'sound_ADJ')",3
69786,"('Surrender_NOUN', 'every_DET', 'touch_NOUN')",3
62150,"('year_NOUN', 'cal_VERB', 'life_NOUN')",3
105905,"('savior_NOUN', 'Saintlike_ADP', 'behavior_NOUN')",3
105918,"('dimension_NOUN', 'Godlike_ADP', 'ascension_NOUN')",3
633,"('blue_ADJ', 'blue_NOUN', 'sky_NOUN')",3
452,"('heart_NOUN', 'Forever_ADP', 'truste_NOUN')",3
104976,"('English_ADJ', 'development_NOUN', 'report_NOUN')",3
29389,"('city_NOUN', ""'s_PART"", 'beautiful_NOUN')",3
71637,"('man_NOUN', ""'s_PART"", 'voice_NOUN')",2
50452,"('obsessive_ADJ', 'compulsive_ADJ', 'disorder_NOUN')",2
60142,"('Portable_ADJ', 'document_NOUN', 'Format_NOUN')",2
66457,"('doctor_NOUN', ""'_PART"", 'club_NOUN')",2
12725,"('mother_NOUN', ""'s_PART"", 'thought_NOUN')",2
63571,"('twelve_ADJ', 'year_NOUN', 'old_ADJ')",2
23621,"('father_NOUN', ""'s_PART"", 'death_NOUN')",2
23574,"('late_ADJ', 'mister_NOUN', 'Darcy_NOUN')",2
47338,"('gasp_NOUN', 'gasp_NOUN', 'gasp_NOUN')",2
61663,"('friendly_ADJ', 'disk_NOUN', 'eject_NOUN')",2
61662,"('user_ADJ', 'friendly_ADJ', 'disk_NOUN')",2
24714,"('Bingley_NOUN', ""'s_PART"", 'regard_NOUN')",2
99672,"('else_ADJ', '’s_DET', 'land_NOUN')",2
99524,"('natural_ADJ', 'resource_NOUN', 'base_NOUN')",2
72191,"('missile_ADJ', 'proof_NOUN', 'glass_NOUN')",2
36115,"('“I_ADJ', '’m_NOUN', 'glad_NOUN')",2
9314,"('dear_NOUN', 'say_VERB', 'mister_NOUN')",2
105368,"('flome_NOUN', 'like_ADP', 'love_NOUN')",2
105362,"('hope_NOUN', 'lie_VERB', 'lose_ADJ')",2
105360,"('darkness_NOUN', 'us_DET', 'hope_NOUN')",2
69652,"('bluebird_ADJ', 'hill_ADJ', 'thanks_NOUN')",2
105375,"('hope_NOUN', 'anymore_ADP', 'pain_NOUN')",2
40368,"('Ren&#_NOUN', '233_NUM', 'e_NOUN')",2
29878,"('change_NOUN', 'anything_NOUN', 'Sorry_NOUN')",2
29877,"('’t_ADJ', 'change_NOUN', 'anything_NOUN')",2
105408,"('love_NOUN', 'like_ADP', 'flame_NOUN')",2
58343,"('framework_NOUN', 'aid_VERB', 'rapid_ADJ')",2
58391,"('Apple_NOUN', 'Intel_ADJ', 'transition_NOUN')",2
104691,"('control_NOUN', 'I_PRON', 'fear_NOUN')",2
80368,"('scale_NOUN', 'panic_ADJ', 'attack_NOUN')",2
104591,"('bullet_NOUN', 'proof_ADP', 'vest_NOUN')",2
