,quadragram,PMI
0,"('Guy', 'Lewis', 'Steele', 'Jr')",42.26805617654388
1,"('da', 'da', 'da', 'da')",40.23384046120597
2,"('midnight', 'dancer', 'oho', 'oho')",38.51959494353984
3,"('McGraw', 'Hill', 'book', 'company')",38.28255574623899
4,"('Hey', 'midnight', 'dancer', 'oho')",38.27166743009626
5,"('see', 'Inclusion', 'Exclusion', 'Criteria')",37.8729933770263
6,"('dancer', 'oho', 'oho', 'Hey')",37.079022352153856
7,"('big', 'romancer', 'oho', 'oho')",36.388350410261594
8,"('Hey', 'big', 'romancer', 'oho')",36.140422896818
9,"('oho', 'Hey', 'big', 'romancer')",36.140422896818
10,"('white', 'Dope', 'One', 'part')",35.82511268069515
11,"('great', 'white', 'Dope', 'One')",35.64454043505333
12,"('21', 'gun', 'Lay', 'down')",35.3407226448314
13,"('faith', 'faith', 'faith', 'faith')",34.624199986769156
14,"('neg', 'point', 'po', 'point')",34.481285586642365
15,"('Dope', 'great', 'white', 'Dope')",34.32261234016596
16,"('oho', 'oho', 'Hey', 'big')",34.140422896818
17,"('ruin', 'one', '21', 'gun')",33.973665174454375
18,"('sport', 'sever', 'I', 'endeavoure')",33.95626245879023
19,"('Color', 'us', 'world', 'blacken')",33.719619551847835
20,"('one', '21', 'gun', 'Lay')",33.65173707956701
21,"('21', 'gun', 'Throw', 'up')",33.466008399900666
22,"('the', 'national', 'Football', 'League')",33.19428948845016
23,"('faith', 'faith', 'faith', 'science')",33.17353857775959
24,"('expmo', 'base', 'exp', '2')",33.14407276330406
25,"('one', '21', 'gun', 'Throw')",32.80374017301206
26,"('white', 'Dope', 'great', 'white')",32.78655943992575
27,"('Massachusetts', 'institute', 'of', 'technology')",32.668738382845646
28,"('rain', 'drop', 'come', 'pour')",32.59610238059419
29,"('dry', 'her', 'eyes', 'Broken')",32.31867688245478
30,"('heading', 'straight', 'to', 'heave')",32.284349983884525
31,"('fight', 'one', '21', 'gun')",31.886202333204036
32,"('and', 'Gerald', 'Jay', 'Sussman')",31.822006769827325
33,"('fail', 'us', 'mother', 'Earth')",31.812728956239315
34,"('great', 'white', 'Dope', 'great')",31.557077593802987
35,"('base', 'exp', '2', 'm')",31.491996066724365
36,"('stop', 'It', ""'s"", 'rock')",31.32158847787468
37,"('ai', 'not', 'worth', 'live')",31.207562884794978
