"word_id","ref_id","setting_id","translate"
44776,3,1,"vigia"
14498,3,1,"empresário"
6623,3,1,"taxista"
35321,3,1,"vendedor"
10022,3,1,"conselheiro"
474467,3,1,"traumatologista"
28276,3,1,"operador"
3570,3,1,"artista"
30499,3,1,"médico"
26788,3,1,"babá"
40546,3,1,"professor"
31080,3,1,"encanador"
38247,3,1,"especialista"
6543,3,1,"açougueiro"
22501,3,1,"joalheiro"
10100,3,1,"carteiro"
288545,3,1,"carteiro"
40916,3,1,"terapeuta"
4348,3,1,"banqueiro"
31510,3,1,"carteiro"
104025,3,1,"escriturário"
41839,3,1,"treinador"
193834,3,1,"reparador"
3833,3,1,"advogado"
22714,3,1,"jurista"
7680,3,1,"diarista"
207110,3,1,"policial"
9944,3,1,"cosmetologista"
4496,3,1,"barman"
36551,3,1,"militar"
4449,3,1,"barman"
18599,3,1,"guarda"
474446,3,1,"cinologista"
32003,3,1,"padre"
210055,3,1,"tatuador"
23495,3,1,"advogado"
16219,3,1,"fixador"
32525,3,1,"psiquiatra"
2964,3,1,"locutor"
14366,3,1,"engenheiro"
46045,3,1,"programador"
11655,3,1,"dentista"
25103,3,1,"massagista"
32385,3,1,"promotor"
27694,3,1,"enfermeira"
2104,3,1,"defensor"
34162,3,1,"mecânico"
8260,3,1,"faxineiro"
30448,3,1,"fotógrafo"
6237,3,1,"corretor"
5856,3,1,"botânico"
24862,3,1,"gerente"
4218,3,1,"padeiro"
4397,3,1,"barbeiro"
13983,3,1,"eletricista"
1921,3,1,"ator"
11757,3,1,"deputado"
9951,3,1,"cosmonauta"
9077,3,1,"compositor"
30380,3,1,"filósofo"
23800,3,1,"bibliotecário"
22612,3,1,"jornalista"
22404,3,1,"zelador"
46141,3,1,"animador"
25288,3,1,"mecânico"
550060,3,1,"esteticista"
3903,3,1,"autor"
9249,3,1,"confeiteiro"
174486,3,1,"aeromoça"
127826,3,1,"ecologista"
35774,3,1,"cientista"
44972,3,1,"tecelão"
25526,3,1,"mensageiro"
32534,3,1,"psicólogo"
474442,3,1,"maquiador"
27948,3,1,"oculista"
26654,3,1,"músico"
2018,3,1,"administrador"
123948,3,1,"cardiologista"
27868,3,1,"obstetra"
39877,3,1,"cirurgião"
30340,3,1,"farmacêutico"
12130,3,1,"nutricionista"
3406,3,1,"arquiteto"
36100,3,1,"secretário"
13409,3,1,"motorista"
474450,3,1,"tabelião"
7942,3,1,"coreógrafo"
44575,3,1,"garçom"
32169,3,1,"produtor"
9709,3,1,"cozinheiro"
3766,3,1,"atleta"
301673,3,1,"neuropatologista"
55754,3,1,"câmera"
18627,3,1,"guia"
39415,3,1,"estilista"
18849,3,1,"cabeleireiro"
45815,3,1,"escritor"
3739,3,1,"astronauta"
16011,3,1,"financista"
44176,3,1,"veterinário"
37232,3,1,"cantor"
5196,3,1,"biólogo"
21978,3,1,"intérprete"
38505,3,1,"esportista"
31230,3,1,"político"
50168,3,1,"pediatra"
3859,3,1,"auditor"
13816,3,1,"economista"
4079,3,1,"babá"
6368,3,1,"construtor"
1815,3,1,"contador"
9507,3,1,"consultor"
8542,3,1,"sapateiro"
15134,3,1,"especialista"
36901,3,1,"sapateiro"
7208,3,1,"caixa"
8480,3,1,"treinador"
31214,3,1,"policial"
122981,3,1,"irmãos"
7824,3,1,"criança"
36143,3,1,"ver"
53775,3,1,"parentes"
20329,3,1,"marido"
18276,3,1,"neto"
