"translate","trans_rating","translation_id","word_id","ref_id"
"мачеха",1617763,1,38937,1
"супруг(а)",1472268,1,38517,1
"семья",1402033,1,15470,1
"пасынок",1338321,1,38943,1
"падчерица",1263808,1,38935,1
"потолок",1184258,1,7411,1
"муж",1136633,1,20329,1
"сын",1131536,1,37995,1
"сирота",1053169,1,28453,1
"племянница",979185,1,27195,1
"племянник",891298,1,27036,1
"коричневый",793749,1,6273,1
"персиковый",791154,1,29757,1
"отчим",769534,1,38936,1
"внучка",766791,1,18261,1
"сестра",758283,1,37288,1
"лагерь",745573,1,6830,1
"зелёный",740763,1,18385,1
"надежда",733529,1,19992,1
"улыбка",731080,1,37662,1
"полотенце",727248,1,41723,1
"тётя",726590,1,3872,1
"выключатель",725103,1,40074,1
"внук",713458,1,18276,1
"чёрный",711506,1,5296,1
"родители",691992,1,50735,1
"прадед",691051,1,18372,1
"подушка",690106,1,30662,1
"я",684403,1,663,1
"мясорубка",666261,1,474141,1
"стена",665219,1,44605,1
"мюсли",663738,1,7498,1
"жёлтый",643666,1,45908,1
"дядя",636078,1,42828,1
"счастливый",632688,1,19042,1
"шея",619721,1,26936,1
"шоколадный",616113,1,7905,1
"дочь",612655,1,10980,1
"конечность",610448,1,23929,1
"жизнь",610291,1,23836,1
"класть",609767,1,32789,1
"сепия",607807,1,36453,1
"белый",602270,1,45271,1
"бабушка",600200,1,18271,1
"ковер",596495,1,7108,1
"слово",595903,1,45681,1
"производить",588106,1,32168,1
"ванна",584955,1,4568,1
"звонок",582694,1,6764,1
"голубой",580637,1,5538,1
"белоснежный",576873,1,37800,1
"красный",574166,1,33713,1
"хороший",574115,1,18123,1
"страна",571405,1,10077,1
"любовь",568124,1,24389,1
"жена",567103,1,45373,1
"брат",563172,1,6263,1
"трепет",561789,1,41124,1
"кипятильник",561560,1,203370,1
"автомобиль",560621,1,7004,1
"веник",560559,1,6259,1
"серебряный",559316,1,37173,1
"она",558731,1,36745,1
"щека",554389,1,7725,1
"салфетка",553214,1,26796,1
"нетерпеливый",552474,1,20761,1
"наполнять",552456,1,15978,1
"прабабушка",551026,1,140650,1
"пристыженный",550635,1,3607,1
"ворота",548415,1,17585,1
"владеть",548099,1,28953,1
"мир",542225,1,45725,1
"идея",541989,1,20515,1
"лампочка",540138,1,6375,1
"яркий",528513,1,6176,1
"свадьба",527186,1,44980,1
"беспокойный",526694,1,42223,1
"дверь",524792,1,13065,1
"дедушка",524674,1,18264,1
"школа",523623,1,35741,1
"вода",522456,1,44778,1
"глубокий",521966,1,11337,1
"думать",516778,1,41009,1
"позволять",508553,1,286204,1
"раковина",505074,1,37257,1
"ребёнок",501443,1,7824,1
"ступня",500220,1,16604,1
"балкон",497117,1,4237,1
"раздражение",491352,1,22280,1
"отвращение",486795,1,34555,1
"есть",485990,1,13770,1
"кондиционер",485571,1,46656,1
"первенец",485539,1,16138,1
"лодыжка",484751,1,2946,1
"розовый",482544,1,30715,1
"голова",480619,1,19249,1
"платить",477018,1,29717,1
"лицо",476331,1,15339,1
"умный",474538,1,8312,1
"хотеть",471674,1,44637,1
"через",471420,1,41140,1
"злость",469583,1,2911,1
"хранить",469120,1,22787,1
"оранжевый",468141,1,1073,1
"оно",464120,1,22309,1
"газ",462571,1,17521,1
"полка",460227,1,36788,1
"сердце",457675,1,19315,1
"развлечение",457469,1,14458,1
"хлеб",457167,1,6060,1
"ласка",457076,1,7067,1
"благосостояние",456665,1,44929,1
"свеча",456107,1,6881,1
"блюдце",454954,1,35551,1
"наследовать",451100,1,21531,1
"ответ",450941,1,3003,1
"квартира",449269,1,16290,1
"свояченица",448970,2,37289,1
"таз",448702,1,29911,1
"незрелый",448446,1,43452,1
"рот",447730,1,26471,1
"люди",447657,1,30011,1
"белье",446879,1,23978,1
"пить",446530,1,13387,1
"начинать",446487,1,38791,1
"мальчик",445144,1,5958,1
"петь",443524,1,37230,1
"позволять",443026,1,23715,1
"мысль",440214,1,41056,1
"час",436274,1,20138,1
"электрозажигалка",434963,1,1042388,1
"право",434782,1,34664,1
"шоколад",434552,2,7905,1
"время",434446,1,41282,1
"глаз",433962,1,15296,1
"компаньон",432500,1,29529,1
"пылесос",426646,1,43829,1
"радость",424458,1,22622,1
"спичка",423900,1,25135,1
"менять",420974,1,7606,1
"знать",420769,1,23052,1
"пила",417857,1,35584,1
"розыгрыш",415677,1,31659,1
"розетка",414334,1,37870,1
"дерево",410284,1,42025,1
"радио",409161,1,33141,1
"свет",408759,1,23870,1
"улица",407835,1,39265,1
"глотать",407429,1,489037,1
"пирог",406190,1,30576,1
"год",404964,1,45896,1
"совет",404624,1,2096,1
"помощь",403910,1,19482,1
"даже",397031,1,14843,1
"день",396304,1,10993,1
"апатия",395939,1,3156,1
"посуда",391989,1,10389,1
"мужчина",391841,1,24847,1
"брать",390461,1,40307,1
"позвоночник",388458,1,4116,1
"простыня",388144,1,36777,1
"кладбище",388066,1,7441,1
"женщина",387908,1,45607,1
"выбирать",386585,1,228455,1
