,word_id,word,wordform
0,745018,cabooses,"['caboose', 'calorie', 'caboodle', 'arouse', 'choose']"
1,745021,crummies,"['rummage', 'plummet', 'courtiers', 'chamois', 'crumpling', 'crummy']"
2,745106,repositions,"['reposited', 'repositioned', 'repositioning', 'repositings', 'repositing', 'reposits', 'reposit', 'reposition', 'repositionings']"
3,745176,imbeds,"['imbed', 'imbedding', 'imbedded']"
4,745275,duffles,"['dukes', 'duplex', 'ruffles', 'duffle', 'waffles']"
5,745434,emptive,"['emotive', 'engraved', 'comprise', 'exposing', 'evasive', 'elective']"
6,745448,flairs,"['flaw', 'flair', 'stair', 'flit', 'frail']"
7,745754,aquiring,"['cunning', 'acquired', 'squirming', 'aquifer', 'springing', 'budging']"
8,746181,sadhana,"['chants', 'gallant', 'spanking', 'scathing', 'sharks', 'badass']"
9,746230,mahatmas,"['cantata', 'emanate', 'manacled', 'dharma', 'mahatma']"
10,287955,lipper,"['coppers', 'tipper', 'supper', 'ripped', 'lifer', 'wiper']"
11,287962,kristina,"['gristle', 'brushing', 'criminals', 'criminal', 'drastic', 'wrestling']"
12,288023,polis,"['pours', 'boil', 'polite', 'folk', 'slits', 'pliers']"
13,288031,precipitations,"['precipitance', 'precipitateness', 'precipitates', 'precipitators', 'precipitately', 'precipitated', 'precipitances', 'precipitator', 'precipitants', 'precipitancies', 'precipitation', 'precipitant', 'precipitatenesses', 'precipitating', 'precipitancy', 'precipitate']"
14,288062,saddo,"['palo', 'santa', 'sauce', 'rodeo', 'yard', 'slides']"
15,288109,sweatshop,"['sweatshops', 'seasoned', 'switches', 'sideshow', 'sleuthing']"
16,288110,aspirational,"['directional', 'educational', 'inspirations', 'palpitations', 'foundational', 'palpitation']"
17,288114,nepotistic,"['fantastic', 'stylistic', 'encaustic', 'aesthetics', 'negotiable', 'soporific']"
18,288122,publicists,"['publicizes', 'publicizers', 'publicized', 'publicizer', 'publicizing', 'publicize', 'publicisers', 'publicist', 'publicise', 'publicizings', 'publiciser']"
19,288146,profitabilities,"['profitableness', 'advantaging', 'profitable', 'profitablenesses', 'advantaged', 'profitability', 'advantageousness', 'advantageously', 'advantageousnesses', 'advantageous', 'advantage', 'advantages']"
20,288236,nds,"['hob', 'lamb', 'ada', 'bosh', 'leaf', 'hop']"
21,288332,codec,"['modes', 'cowed', 'cope', 'rodeo', 'lode', 'cole']"
22,288341,twirly,"['dearly', 'tally', 'twice', 'wanly', 'tiredly', 'girly']"
23,288342,sonogram,"['congealed', 'monograph', 'honours', 'honoured', 'sonograms']"
24,288380,choise,"['choices', 'noise', 'horse', 'chisel', 'horses', 'copse']"
